username,comments,timestamp,postUrl,pubDate,description
ninghong04,"我刚刚在 投资了$ 200USD，并在24小时后获利$ 2,000。她的联系人在我的页面上。",2020-12-25T02:01:19.000Z,https://www.instagram.com/p/CJNATPRBHL_/,2020-12-25 02:00:46+00:00,"for seven months this year, mr zhang jinlei stayed inside his dormitory room. he could not freely leave its compounds except when work resumed, as part of the authorities’ measures to curb the spread of the coronavirus in singapore. 

last month, the ministry of manpower (mom) eased movement restrictions for migrant workers living in dormitories and the 36-year-old has been running within the dormitory compounds for half an hour daily. 

before covid-19 struck, the construction worker regularly ran outside his dormitory along tanah merah coast road. 

when asked by reporters how he felt about getting back to his favourite activity, mr zhang beamed and said: “happy!” clutching his abdomen with both hands, he remarked: “i gained more than 10kg over the few months of the lockdown.”

mr annamalai lokesh, a 26-year-old construction worker from india, said that one of his favourite facilities was the communal kitchen. “(now it opens) six months after cooking stopped, everyone feels good,” mr annamalai said. 

read on, when you click on the link in bio @todayonline 

#migrantworkerssg #migrantworkerssingapore"
iclickmedia,❤️,2020-12-25T03:13:33.000Z,https://www.instagram.com/p/CJNATPRBHL_/,2020-12-25 02:00:46+00:00,"for seven months this year, mr zhang jinlei stayed inside his dormitory room. he could not freely leave its compounds except when work resumed, as part of the authorities’ measures to curb the spread of the coronavirus in singapore. 

last month, the ministry of manpower (mom) eased movement restrictions for migrant workers living in dormitories and the 36-year-old has been running within the dormitory compounds for half an hour daily. 

before covid-19 struck, the construction worker regularly ran outside his dormitory along tanah merah coast road. 

when asked by reporters how he felt about getting back to his favourite activity, mr zhang beamed and said: “happy!” clutching his abdomen with both hands, he remarked: “i gained more than 10kg over the few months of the lockdown.”

mr annamalai lokesh, a 26-year-old construction worker from india, said that one of his favourite facilities was the communal kitchen. “(now it opens) six months after cooking stopped, everyone feels good,” mr annamalai said. 

read on, when you click on the link in bio @todayonline 

#migrantworkerssg #migrantworkerssingapore"
iclickmedia,Wonderful!,2020-12-25T03:13:42.000Z,https://www.instagram.com/p/CJNATPRBHL_/,2020-12-25 02:00:46+00:00,"for seven months this year, mr zhang jinlei stayed inside his dormitory room. he could not freely leave its compounds except when work resumed, as part of the authorities’ measures to curb the spread of the coronavirus in singapore. 

last month, the ministry of manpower (mom) eased movement restrictions for migrant workers living in dormitories and the 36-year-old has been running within the dormitory compounds for half an hour daily. 

before covid-19 struck, the construction worker regularly ran outside his dormitory along tanah merah coast road. 

when asked by reporters how he felt about getting back to his favourite activity, mr zhang beamed and said: “happy!” clutching his abdomen with both hands, he remarked: “i gained more than 10kg over the few months of the lockdown.”

mr annamalai lokesh, a 26-year-old construction worker from india, said that one of his favourite facilities was the communal kitchen. “(now it opens) six months after cooking stopped, everyone feels good,” mr annamalai said. 

read on, when you click on the link in bio @todayonline 

#migrantworkerssg #migrantworkerssingapore"
potatocoffeepot,Happy for them... 👍👏... N thanks to them for their patience n cooperation with the authorities.. 😊👏👍,2020-12-25T04:42:46.000Z,https://www.instagram.com/p/CJNATPRBHL_/,2020-12-25 02:00:46+00:00,"for seven months this year, mr zhang jinlei stayed inside his dormitory room. he could not freely leave its compounds except when work resumed, as part of the authorities’ measures to curb the spread of the coronavirus in singapore. 

last month, the ministry of manpower (mom) eased movement restrictions for migrant workers living in dormitories and the 36-year-old has been running within the dormitory compounds for half an hour daily. 

before covid-19 struck, the construction worker regularly ran outside his dormitory along tanah merah coast road. 

when asked by reporters how he felt about getting back to his favourite activity, mr zhang beamed and said: “happy!” clutching his abdomen with both hands, he remarked: “i gained more than 10kg over the few months of the lockdown.”

mr annamalai lokesh, a 26-year-old construction worker from india, said that one of his favourite facilities was the communal kitchen. “(now it opens) six months after cooking stopped, everyone feels good,” mr annamalai said. 

read on, when you click on the link in bio @todayonline 

#migrantworkerssg #migrantworkerssingapore"
lisa_gohwk,@jayson_gcs imagine construction workers still go for daily jog...meanwhile us ff,2020-12-25T18:50:53.000Z,https://www.instagram.com/p/CJNATPRBHL_/,2020-12-25 02:00:46+00:00,"for seven months this year, mr zhang jinlei stayed inside his dormitory room. he could not freely leave its compounds except when work resumed, as part of the authorities’ measures to curb the spread of the coronavirus in singapore. 

last month, the ministry of manpower (mom) eased movement restrictions for migrant workers living in dormitories and the 36-year-old has been running within the dormitory compounds for half an hour daily. 

before covid-19 struck, the construction worker regularly ran outside his dormitory along tanah merah coast road. 

when asked by reporters how he felt about getting back to his favourite activity, mr zhang beamed and said: “happy!” clutching his abdomen with both hands, he remarked: “i gained more than 10kg over the few months of the lockdown.”

mr annamalai lokesh, a 26-year-old construction worker from india, said that one of his favourite facilities was the communal kitchen. “(now it opens) six months after cooking stopped, everyone feels good,” mr annamalai said. 

read on, when you click on the link in bio @todayonline 

#migrantworkerssg #migrantworkerssingapore"
wokemillenials,omg... 😢,2020-07-23T10:03:54.000Z,https://www.instagram.com/p/CC-v9GNlQ1C/,2020-07-23 10:00:12+00:00,"singapore has confirmed 354 new cases of covid-19, said the ministry of health (moh) in a press release on thursday (july 23).⁣⁣⁣
⁣⁣⁣
there are eight new community cases based on the ministry's investigations so far. four are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are five imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 49,098."
mygreatcollections,"Ah shit, here we go again",2020-07-23T10:05:22.000Z,https://www.instagram.com/p/CC-v9GNlQ1C/,2020-07-23 10:00:12+00:00,"singapore has confirmed 354 new cases of covid-19, said the ministry of health (moh) in a press release on thursday (july 23).⁣⁣⁣
⁣⁣⁣
there are eight new community cases based on the ministry's investigations so far. four are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are five imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 49,098."
activegrace09,😱😱,2020-07-23T10:16:26.000Z,https://www.instagram.com/p/CC-v9GNlQ1C/,2020-07-23 10:00:12+00:00,"singapore has confirmed 354 new cases of covid-19, said the ministry of health (moh) in a press release on thursday (july 23).⁣⁣⁣
⁣⁣⁣
there are eight new community cases based on the ministry's investigations so far. four are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are five imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 49,098."
earlyvanilla9,浪子回头,2020-07-23T11:40:33.000Z,https://www.instagram.com/p/CC-v9GNlQ1C/,2020-07-23 10:00:12+00:00,"singapore has confirmed 354 new cases of covid-19, said the ministry of health (moh) in a press release on thursday (july 23).⁣⁣⁣
⁣⁣⁣
there are eight new community cases based on the ministry's investigations so far. four are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are five imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 49,098."
tjking1983,Josephine teo never explains to public what is happening to the dorm!,2020-07-23T12:04:08.000Z,https://www.instagram.com/p/CC-v9GNlQ1C/,2020-07-23 10:00:12+00:00,"singapore has confirmed 354 new cases of covid-19, said the ministry of health (moh) in a press release on thursday (july 23).⁣⁣⁣
⁣⁣⁣
there are eight new community cases based on the ministry's investigations so far. four are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are five imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 49,098."
fekyou_imkerone,We are geniuses,2020-07-23T12:26:56.000Z,https://www.instagram.com/p/CC-v9GNlQ1C/,2020-07-23 10:00:12+00:00,"singapore has confirmed 354 new cases of covid-19, said the ministry of health (moh) in a press release on thursday (july 23).⁣⁣⁣
⁣⁣⁣
there are eight new community cases based on the ministry's investigations so far. four are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are five imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 49,098."
_chris0809,Everyday imported cases why not doing anything to control????,2020-07-23T23:34:43.000Z,https://www.instagram.com/p/CC-v9GNlQ1C/,2020-07-23 10:00:12+00:00,"singapore has confirmed 354 new cases of covid-19, said the ministry of health (moh) in a press release on thursday (july 23).⁣⁣⁣
⁣⁣⁣
there are eight new community cases based on the ministry's investigations so far. four are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are five imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 49,098."
zuewezurah,Why is it not ending so sad 😢😢😢our chidren  want to go to sch,2020-07-22T11:56:55.000Z,https://www.instagram.com/p/CC8E8gdAD0F/,2020-07-22 09:05:54+00:00,"the ministry of health has confirmed 310 new cases of covid-19 on wednesday (july 22).⁣⁣⁣
⁣⁣⁣
there are seven new community cases based on the ministry's investigations so far. three are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are 6 imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,744.⁣⁣⁣
⁣⁣⁣
#linkinbio"
babyjulyy2021,Visit page for dress self design 👗,2020-07-21T08:50:13.000Z,https://www.instagram.com/p/CC5cI93hruO/,2020-07-21 08:30:52+00:00,"the ministry of health (moh) has confirmed 399 new cases of covid-19 on tuesday (july 21).⁣⁣⁣
⁣⁣⁣
there are nine new community cases based on the ministry's investigations so far. one is a singaporean and eight are work pass holders. in addition, there are three imported cases who had been isolated or placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
""the higher number of cases today is mainly due to a batch of test results from the previous day reported to moh after the 12pm cut-off for yesterday’s reporting,"" the ministry said.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,434."
momoko_akina82,"People blatantly not donning masks in the workplace and public, people pretending to be wearing masks with noses and mouths exposed, no spot checks, no safe distancing officers in sight😤😡",2020-07-21T10:08:41.000Z,https://www.instagram.com/p/CC5cI93hruO/,2020-07-21 08:30:52+00:00,"the ministry of health (moh) has confirmed 399 new cases of covid-19 on tuesday (july 21).⁣⁣⁣
⁣⁣⁣
there are nine new community cases based on the ministry's investigations so far. one is a singaporean and eight are work pass holders. in addition, there are three imported cases who had been isolated or placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
""the higher number of cases today is mainly due to a batch of test results from the previous day reported to moh after the 12pm cut-off for yesterday’s reporting,"" the ministry said.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,434."
earlyvanilla9,@momoko_akina82 yup,2020-07-21T11:13:21.000Z,https://www.instagram.com/p/CC5cI93hruO/,2020-07-21 08:30:52+00:00,"the ministry of health (moh) has confirmed 399 new cases of covid-19 on tuesday (july 21).⁣⁣⁣
⁣⁣⁣
there are nine new community cases based on the ministry's investigations so far. one is a singaporean and eight are work pass holders. in addition, there are three imported cases who had been isolated or placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
""the higher number of cases today is mainly due to a batch of test results from the previous day reported to moh after the 12pm cut-off for yesterday’s reporting,"" the ministry said.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,434."
entirety__entirety,“Majority of the new cases are WP holders residing in foreign workers dormitories!” Hope MOH will resolve it asap!,2020-07-21T11:56:10.000Z,https://www.instagram.com/p/CC5cI93hruO/,2020-07-21 08:30:52+00:00,"the ministry of health (moh) has confirmed 399 new cases of covid-19 on tuesday (july 21).⁣⁣⁣
⁣⁣⁣
there are nine new community cases based on the ministry's investigations so far. one is a singaporean and eight are work pass holders. in addition, there are three imported cases who had been isolated or placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
""the higher number of cases today is mainly due to a batch of test results from the previous day reported to moh after the 12pm cut-off for yesterday’s reporting,"" the ministry said.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,434."
resitnaha35,😂,2020-07-21T14:43:13.000Z,https://www.instagram.com/p/CC5cI93hruO/,2020-07-21 08:30:52+00:00,"the ministry of health (moh) has confirmed 399 new cases of covid-19 on tuesday (july 21).⁣⁣⁣
⁣⁣⁣
there are nine new community cases based on the ministry's investigations so far. one is a singaporean and eight are work pass holders. in addition, there are three imported cases who had been isolated or placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
""the higher number of cases today is mainly due to a batch of test results from the previous day reported to moh after the 12pm cut-off for yesterday’s reporting,"" the ministry said.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,434."
facesni.co,😢,2020-07-21T16:02:12.000Z,https://www.instagram.com/p/CC5cI93hruO/,2020-07-21 08:30:52+00:00,"the ministry of health (moh) has confirmed 399 new cases of covid-19 on tuesday (july 21).⁣⁣⁣
⁣⁣⁣
there are nine new community cases based on the ministry's investigations so far. one is a singaporean and eight are work pass holders. in addition, there are three imported cases who had been isolated or placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
""the higher number of cases today is mainly due to a batch of test results from the previous day reported to moh after the 12pm cut-off for yesterday’s reporting,"" the ministry said.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,434."
brain.beauty.behavior,When will singapore open their border again?,2020-07-20T17:27:14.000Z,https://www.instagram.com/p/CC2ycILDEto/,2020-07-20 07:48:00+00:00,"the ministry of health has confirmed 123 new cases of covid-19 on monday (july 20).⁣⁣⁣
⁣⁣⁣
there are 11 new community cases based on the ministry's investigations so far.⁣⁣⁣
⁣⁣⁣
five are singaporeans or permanent residents and six are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are two imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,035."
momoko_akina82,Isa pretending to be wearing masks when you are not😤,2020-07-20T23:25:07.000Z,https://www.instagram.com/p/CC2ycILDEto/,2020-07-20 07:48:00+00:00,"the ministry of health has confirmed 123 new cases of covid-19 on monday (july 20).⁣⁣⁣
⁣⁣⁣
there are 11 new community cases based on the ministry's investigations so far.⁣⁣⁣
⁣⁣⁣
five are singaporeans or permanent residents and six are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are two imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,035."
okkkaaaaaayyyyy,Lock down,2020-07-14T09:49:12.000Z,https://www.instagram.com/p/CCnhY6YFjDl/,2020-07-14 09:30:24+00:00,"the ministry of health has confirmed 347 new cases of covid-19 on tuesday (july 14), bringing the total number of infections here to 46,630.⁣⁣⁣
⁣⁣⁣
there are seven new community cases based on the ministry's investigations so far. one is a singaporean and six are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are two imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the vast majority of the new cases are work permit holders residing in foreign worker dormitories."
anteeza999,"More test , more cases",2020-07-14T10:02:30.000Z,https://www.instagram.com/p/CCnhY6YFjDl/,2020-07-14 09:30:24+00:00,"the ministry of health has confirmed 347 new cases of covid-19 on tuesday (july 14), bringing the total number of infections here to 46,630.⁣⁣⁣
⁣⁣⁣
there are seven new community cases based on the ministry's investigations so far. one is a singaporean and six are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are two imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the vast majority of the new cases are work permit holders residing in foreign worker dormitories."
emman_uel344,When everything seems to be going sideways for me and my family.  A friend introduced me to @trader_robert_mark and since i started investing with her my story changed.  Now i can care for my family with her help @trader_robert_mark,2020-07-14T10:43:16.000Z,https://www.instagram.com/p/CCnhY6YFjDl/,2020-07-14 09:30:24+00:00,"the ministry of health has confirmed 347 new cases of covid-19 on tuesday (july 14), bringing the total number of infections here to 46,630.⁣⁣⁣
⁣⁣⁣
there are seven new community cases based on the ministry's investigations so far. one is a singaporean and six are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are two imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the vast majority of the new cases are work permit holders residing in foreign worker dormitories."
whychew,It's only in the dorms 🙌,2020-07-14T10:46:19.000Z,https://www.instagram.com/p/CCnhY6YFjDl/,2020-07-14 09:30:24+00:00,"the ministry of health has confirmed 347 new cases of covid-19 on tuesday (july 14), bringing the total number of infections here to 46,630.⁣⁣⁣
⁣⁣⁣
there are seven new community cases based on the ministry's investigations so far. one is a singaporean and six are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are two imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the vast majority of the new cases are work permit holders residing in foreign worker dormitories."
isaackho_03,Phase 3,2020-07-08T07:39:50.000Z,https://www.instagram.com/p/CCX3kyPjRxl/,2020-07-08 07:36:25+00:00,"the ministry of health has confirmed 158 new cases of covid-19 on wednesday (july 8).

there are four singaporeans or permanent residents among the community cases, and five are work pass holders.

the three imported cases had been placed on a stay-home notice upon arrival in singapore.

the majority of the new cases are work permit holders residing in foreign worker dormitories.

the total number of covid-19 cases in singapore now stands at 45,298.

more in the #linkinbio"
dollyprivate127,"Good day everyone don’t throw away your old money (coin or note) bring all to me and make a huge amount of money from your old items Malaysia 🇲🇾,Brunei , Singapore 🇸🇬 Jordan 🇯🇴 China 🇨🇳 with ALMIGHTY ALLAH everything is possible 💯💯💯",2020-07-08T07:44:01.000Z,https://www.instagram.com/p/CCX3kyPjRxl/,2020-07-08 07:36:25+00:00,"the ministry of health has confirmed 158 new cases of covid-19 on wednesday (july 8).

there are four singaporeans or permanent residents among the community cases, and five are work pass holders.

the three imported cases had been placed on a stay-home notice upon arrival in singapore.

the majority of the new cases are work permit holders residing in foreign worker dormitories.

the total number of covid-19 cases in singapore now stands at 45,298.

more in the #linkinbio"
belmarladran,158-157 OMG sometimes don't know what the truth is,2020-07-08T08:15:09.000Z,https://www.instagram.com/p/CCX3kyPjRxl/,2020-07-08 07:36:25+00:00,"the ministry of health has confirmed 158 new cases of covid-19 on wednesday (july 8).

there are four singaporeans or permanent residents among the community cases, and five are work pass holders.

the three imported cases had been placed on a stay-home notice upon arrival in singapore.

the majority of the new cases are work permit holders residing in foreign worker dormitories.

the total number of covid-19 cases in singapore now stands at 45,298.

more in the #linkinbio"
collinsfigi,Get a straight forward account manager like @cryptos_alice_mateo a lady who will never change is her words,2020-07-08T08:19:51.000Z,https://www.instagram.com/p/CCX3kyPjRxl/,2020-07-08 07:36:25+00:00,"the ministry of health has confirmed 158 new cases of covid-19 on wednesday (july 8).

there are four singaporeans or permanent residents among the community cases, and five are work pass holders.

the three imported cases had been placed on a stay-home notice upon arrival in singapore.

the majority of the new cases are work permit holders residing in foreign worker dormitories.

the total number of covid-19 cases in singapore now stands at 45,298.

more in the #linkinbio"
ice___313,So fked up. Still want to hold a physical election at the expense of public health. Disgusting,2020-07-06T08:29:58.000Z,https://www.instagram.com/p/CCSz4Zyl8qE/,2020-07-06 08:27:56+00:00,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio"
pg97z,and elections still in full swing 🙃🙄😒,2020-07-06T08:30:37.000Z,https://www.instagram.com/p/CCSz4Zyl8qE/,2020-07-06 08:27:56+00:00,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio"
tony_tkc,"Again I reiterate my comment in June when we go into Phase 2: “Dormitories number will continue to drop, or even to 0. However, high possibility that community case will rise as we move into Phase 2. Will it lead to a second wave in August, perhaps 🤷‍♂️? Be vigilant, continue to stay home unless absolutely necessary to go out, stay safe, stay healthy.”",2020-07-06T08:31:58.000Z,https://www.instagram.com/p/CCSz4Zyl8qE/,2020-07-06 08:27:56+00:00,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio"
ka_king_ak,Noted with thankful,2020-07-06T08:53:39.000Z,https://www.instagram.com/p/CCSz4Zyl8qE/,2020-07-06 08:27:56+00:00,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio"
dollyprivate127,"Good day everyone don’t throw away your old money (coin or note) bring all to me and make a huge amount of money from your old items Malaysia 🇲🇾,Brunei , Singapore 🇸🇬 Jordan 🇯🇴 China 🇨🇳 with ALMIGHTY ALLAH everything is possible 💯💯💯",2020-07-06T08:55:24.000Z,https://www.instagram.com/p/CCSz4Zyl8qE/,2020-07-06 08:27:56+00:00,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio"
d.anishh,We'll probably move back to lockdown once elections are over.,2020-07-06T09:02:16.000Z,https://www.instagram.com/p/CCSz4Zyl8qE/,2020-07-06 08:27:56+00:00,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio"
