username,comments,timestamp,postUrl,pubDate,description
ashmaniam,Can I know why won't the Mediacorp artists charged?,2021-02-06T02:36:48.000Z,https://www.instagram.com/p/CK7x8GdhgQB/,2021-02-06 02:30:59+00:00,"the court heard that they were gathered for a social purpose without reasonable excuse.

ten people were charged in court yesterday with breaking covid-19 regulations.this comes after a video of a group of 10 partying on a white yacht near lazarus island went viral, drawing flak from netizens. 

some of theose onboard the pleasure craft could be seen dancing, while others wore santa hats. 

read on, when you click on the link in bio @todayonline 

photos: social media
#covid_19 #yacht #yachtparty #lazarusisland"
keenkeeee,Proceed to dance in the fking jail,2021-02-06T02:32:44.000Z,https://www.instagram.com/p/CK7x8GdhgQB/,2021-02-06 02:30:59+00:00,"the court heard that they were gathered for a social purpose without reasonable excuse.

ten people were charged in court yesterday with breaking covid-19 regulations.this comes after a video of a group of 10 partying on a white yacht near lazarus island went viral, drawing flak from netizens. 

some of theose onboard the pleasure craft could be seen dancing, while others wore santa hats. 

read on, when you click on the link in bio @todayonline 

photos: social media
#covid_19 #yacht #yachtparty #lazarusisland"
singaporeuntold,Ang mohs lol,2021-02-06T06:13:24.000Z,https://www.instagram.com/p/CK7x8GdhgQB/,2021-02-06 02:30:59+00:00,"the court heard that they were gathered for a social purpose without reasonable excuse.

ten people were charged in court yesterday with breaking covid-19 regulations.this comes after a video of a group of 10 partying on a white yacht near lazarus island went viral, drawing flak from netizens. 

some of theose onboard the pleasure craft could be seen dancing, while others wore santa hats. 

read on, when you click on the link in bio @todayonline 

photos: social media
#covid_19 #yacht #yachtparty #lazarusisland"
_mirin.sake_,yay yatch party,2021-02-06T05:57:27.000Z,https://www.instagram.com/p/CK7x8GdhgQB/,2021-02-06 02:30:59+00:00,"the court heard that they were gathered for a social purpose without reasonable excuse.

ten people were charged in court yesterday with breaking covid-19 regulations.this comes after a video of a group of 10 partying on a white yacht near lazarus island went viral, drawing flak from netizens. 

some of theose onboard the pleasure craft could be seen dancing, while others wore santa hats. 

read on, when you click on the link in bio @todayonline 

photos: social media
#covid_19 #yacht #yachtparty #lazarusisland"
truecolours1971,We not really interested in this case. We prefer to see how will the law handle those irresponsible Mediacorp artists!,2021-02-06T16:53:48.000Z,https://www.instagram.com/p/CK7x8GdhgQB/,2021-02-06 02:30:59+00:00,"the court heard that they were gathered for a social purpose without reasonable excuse.

ten people were charged in court yesterday with breaking covid-19 regulations.this comes after a video of a group of 10 partying on a white yacht near lazarus island went viral, drawing flak from netizens. 

some of theose onboard the pleasure craft could be seen dancing, while others wore santa hats. 

read on, when you click on the link in bio @todayonline 

photos: social media
#covid_19 #yacht #yachtparty #lazarusisland"
despi_erwanto_06.4048_persada,Ooh,2021-02-06T03:22:09.000Z,https://www.instagram.com/p/CK7x8GdhgQB/,2021-02-06 02:30:59+00:00,"the court heard that they were gathered for a social purpose without reasonable excuse.

ten people were charged in court yesterday with breaking covid-19 regulations.this comes after a video of a group of 10 partying on a white yacht near lazarus island went viral, drawing flak from netizens. 

some of theose onboard the pleasure craft could be seen dancing, while others wore santa hats. 

read on, when you click on the link in bio @todayonline 

photos: social media
#covid_19 #yacht #yachtparty #lazarusisland"
despi_erwanto_06.4048_persada,Ooh,2021-02-06T03:18:41.000Z,https://www.instagram.com/p/CK7x8GdhgQB/,2021-02-06 02:30:59+00:00,"the court heard that they were gathered for a social purpose without reasonable excuse.

ten people were charged in court yesterday with breaking covid-19 regulations.this comes after a video of a group of 10 partying on a white yacht near lazarus island went viral, drawing flak from netizens. 

some of theose onboard the pleasure craft could be seen dancing, while others wore santa hats. 

read on, when you click on the link in bio @todayonline 

photos: social media
#covid_19 #yacht #yachtparty #lazarusisland"
walter.8830,No worries.  Nothing much will happen to those artistes.,2021-02-09T03:18:53.000Z,https://www.instagram.com/p/CK7x8GdhgQB/,2021-02-06 02:30:59+00:00,"the court heard that they were gathered for a social purpose without reasonable excuse.

ten people were charged in court yesterday with breaking covid-19 regulations.this comes after a video of a group of 10 partying on a white yacht near lazarus island went viral, drawing flak from netizens. 

some of theose onboard the pleasure craft could be seen dancing, while others wore santa hats. 

read on, when you click on the link in bio @todayonline 

photos: social media
#covid_19 #yacht #yachtparty #lazarusisland"
walter.8830,No worries.  Nothing much will happen to those artistes.,2021-02-09T02:36:58.000Z,https://www.instagram.com/p/CK7x8GdhgQB/,2021-02-06 02:30:59+00:00,"the court heard that they were gathered for a social purpose without reasonable excuse.

ten people were charged in court yesterday with breaking covid-19 regulations.this comes after a video of a group of 10 partying on a white yacht near lazarus island went viral, drawing flak from netizens. 

some of theose onboard the pleasure craft could be seen dancing, while others wore santa hats. 

read on, when you click on the link in bio @todayonline 

photos: social media
#covid_19 #yacht #yachtparty #lazarusisland"
chow03,過去兩個星期以來一直在與Gyunghui_Hayoon進行交易，我可以自豪地說她是最棒的,2021-02-06T02:36:36.000Z,https://www.instagram.com/p/CK7x8GdhgQB/,2021-02-06 02:30:59+00:00,"the court heard that they were gathered for a social purpose without reasonable excuse.

ten people were charged in court yesterday with breaking covid-19 regulations.this comes after a video of a group of 10 partying on a white yacht near lazarus island went viral, drawing flak from netizens. 

some of theose onboard the pleasure craft could be seen dancing, while others wore santa hats. 

read on, when you click on the link in bio @todayonline 

photos: social media
#covid_19 #yacht #yachtparty #lazarusisland"
