,name,comment,processed_text,demojize_text
0,ima.balr,Eh this fellow.. unless,"['eh', 'fellow', 'unless']",Eh this fellow.. unless
1,charliechen81,the feng shui Master said 28th is a GOOD day? LOL,"['feng', 'shui', 'master', 'said', 'good', 'day', 'lol']",the feng shui Master said 28th is a GOOD day? LOL
2,we.shopforyou,why have to be friends? I am happy to be able to go out with my family which we have more than 5 people 🤣,"['friend', 'happi', 'abl', 'go', 'famili', 'peopl']",why have to be friends? I am happy to be able to go out with my family which we have more than 5 people :rolling_on_the_floor_laughing:
3,spongycakes_,lsl had the audacity to assume that i have 7 friends,"['lsl', 'audac', 'assum', 'friend']",lsl had the audacity to assume that i have 7 friends
4,yehuda5745,❤️,[],:red_heart:
5,redbluegreencorgi,5some was not enuff. Time for a 8some,"['enuff', 'time']",5some was not enuff. Time for a 8some
6,vincen5222,Why not before Christmas like 25th. It will bring back some cheers after this long dreaded year.,"['christma', 'like', 'bring', 'back', 'cheer', 'long', 'dread', 'year']",Why not before Christmas like 25th. It will bring back some cheers after this long dreaded year.
7,muhammad___afi,This one LJ lah because chinese new year coming that why open P3 fast,"['one', 'lj', 'lah', 'chines', 'new', 'year', 'come', 'open', 'fast']",This one LJ lah because chinese new year coming that why open P3 fast
8,giz_102,Finally plus 3 more ppl....thats alot,"['final', 'plu', 'ppl', 'that', 'alot']",Finally plus 3 more ppl....thats alot
9,asiahawk147,Yes yes can start planing for the charlet liao,"['ye', 'ye', 'start', 'plane', 'charlet', 'liao']",Yes yes can start planing for the charlet liao
10,parrisonhu,Robbie wanna have dinner phrase 3 soon 😄👌,"['robbi', 'wan', 'na', 'dinner', 'phrase', 'soon']",Robbie wanna have dinner phrase 3 soon :grinning_face_with_smiling_eyes::OK_hand:
11,parrisonhu,Guys if you never owe money but ah long harass you what should you do ?,"['guy', 'never', 'owe', 'money', 'ah', 'long', 'harass']",Guys if you never owe money but ah long harass you what should you do ?
12,atx_ii,NO I WANT TO ENJOY MY PEACE ALONE 😩✋,"['want', 'enjoy', 'peac', 'alon']",NO I WANT TO ENJOY MY PEACE ALONE :weary_face::raised_hand:
13,qwertymese,Imagine the fear of the gov on 28th,"['imagin', 'fear', 'gov']",Imagine the fear of the gov on 28th
14,imkimsama,Memes:yo hv NO friend..(´༎ຶ ͜ʖ ༎ຶ `)..,"['meme', 'yo', 'hv', 'friend']",Memes:yo hv NO friend..(´༎ຶ ͜ʖ ༎ຶ `)..
15,octifi_lifestyle,Comments here though 😄,"['comment', 'though']",Comments here though :grinning_face_with_smiling_eyes:
16,ire828,What about cny?,['cni'],What about cny?
17,khai_noob24,Me who go out with more then 5 people:👁👄👁,"['go', 'peopl']",Me who go out with more then 5 people::eye::mouth::eye:
18,lionbreweryco,Yeah!!! 🍻🍻🍻🍻🍻🍻,['yeah'],Yeah!!! :clinking_beer_mugs::clinking_beer_mugs::clinking_beer_mugs::clinking_beer_mugs::clinking_beer_mugs::clinking_beer_mugs:
19,cocks1ut,Who tf has 7 friends,"['tf', 'friend']",Who tf has 7 friends
20,meganpannata,"me, yall @noviinovianty, JR, @natashaxu, ZJ, Max, xbb all can pio liao","['yall', 'jr', 'zj', 'max', 'xbb', 'pio', 'liao']","me, yall @noviinovianty, JR, @natashaxu, ZJ, Max, xbb all can pio liao"
