,name,comment,processed_text,demojize_text
0,finding_new0,her eyes tell me otherwise,"['eye', 'tell', 'otherwis']",her eyes tell me otherwise
1,octifi_lifestyle,👏👏👏,[],:clapping_hands::clapping_hands::clapping_hands:
2,jun_weiliang,But I see yr face like v painful leh.. y u lie?,"['see', 'yr', 'face', 'like', 'v', 'pain', 'leh', 'u', 'lie']",But I see yr face like v painful leh.. y u lie?
3,ashi.l4y,Imagine we are just test subjects to see if the vaccine works LOL,"['imagin', 'test', 'subject', 'see', 'vaccin', 'work', 'lol']",Imagine we are just test subjects to see if the vaccine works LOL
4,rachtwz,It’s not about feeling the pain 😒 @michellenuch,"['feel', 'pain']",It’s not about feeling the pain :unamused_face: @michellenuch
5,d3adman_89,"if you not scared of needles, can say liddat ah.. wah lau!!","['scare', 'needl', 'say', 'liddat', 'ah', 'wah', 'lau']","if you not scared of needles, can say liddat ah.. wah lau!!"
6,haziqhimself,Prepare the ODM gear,"['prepar', 'odm', 'gear']",Prepare the ODM gear
7,reenadzmi,"I thought LHL and parliment ppl will do first? To ""show"" us that it's safe? 🤔","['thought', 'lhl', 'parliment', 'ppl', 'first', 'show', 'us', 'safe']","I thought LHL and parliment ppl will do first? To ""show"" us that it's safe? :thinking_face:"
8,chloevu12pt,So many negative comments omg,"['mani', 'neg', 'comment', 'omg']",So many negative comments omg
9,f4iryb3ll444,ok cool,"['ok', 'cool']",ok cool
10,caifan.plainwater,Finally,['final'],Finally
11,_j.xs0n_,Please I really want go back indonesia,"['pleas', 'realli', 'want', 'go', 'back', 'indonesia']",Please I really want go back indonesia
12,evelynslestrange,Too young tp get the vaccine tho😭,"['young', 'tp', 'get', 'vaccin', 'tho']",Too young tp get the vaccine tho:loudly_crying_face:
13,itz_nathanieltanyt2020,Wait later she start flying,"['wait', 'later', 'start', 'fli']",Wait later she start flying
14,slaymehhh,The nurse like: “knncb”,"['nurs', 'like', 'knncb']",The nurse like: “knncb”
15,20adrtan21,Poor Aunty.... She looked so worried... Hope you are fine...,"['poor', 'aunti', 'look', 'worri', 'hope', 'fine']",Poor Aunty.... She looked so worried... Hope you are fine...
16,002guitar,Really appreciate the people who are in the front lines in Singapore fighting the virus 🙏 Thank you! ❤️,"['realli', 'appreci', 'peopl', 'front', 'line', 'singapor', 'fight', 'viru', 'thank']",Really appreciate the people who are in the front lines in Singapore fighting the virus :folded_hands: Thank you! :red_heart:
17,itsdaneol,now shes gonna crawl on the wall,"['she', 'gon', 'na', 'crawl', 'wall']",now shes gonna crawl on the wall
18,bowler_kyqe275,So did she turn into a zombie?,"['turn', 'zombi']",So did she turn into a zombie?
0,verrarinana,"""There is expiration date of this batch of vaccine supply. "" But But, who has confidence in this Pfizer vaccine?😭","['expir', 'date', 'batch', 'vaccin', 'confid', 'pfizer', 'vaccin']","""There is expiration date of this batch of vaccine supply. "" But But, who has confidence in this Pfizer vaccine?:loudly_crying_face:"
1,physiotherabeat,Haha decide and dont be fickle.,"['haha', 'decid', 'dont', 'fickl']",Haha decide and dont be fickle.
2,the_sloth_g,Those moron who about or going for vacation must think twice for vaccination now. Staycation is excluded. Sadly the vaccine is on low supply. 🤷‍♂️,"['moron', 'go', 'vacat', 'must', 'think', 'twice', 'vaccin', 'staycat', 'exclud', 'sadli', 'vaccin', 'low', 'suppli']",Those moron who about or going for vacation must think twice for vaccination now. Staycation is excluded. Sadly the vaccine is on low supply. :man_shrugging:
3,kevinzxygo,Allow us to choose vaccine brands first. Don't want the US one.,"['allow', 'us', 'choos', 'vaccin', 'brand', 'first', 'want', 'us', 'one']",Allow us to choose vaccine brands first. Don't want the US one.
4,kevinzxygo,Allow us to choose vaccine brands first. Don't want the US one.,"['allow', 'us', 'choos', 'vaccin', 'brand', 'first', 'want', 'us', 'one']",Allow us to choose vaccine brands first. Don't want the US one.
5,diondaru,Finally the right approach. The kiasu factor. 😂,"['final', 'right', 'approach', 'kiasu', 'factor']",Finally the right approach. The kiasu factor. :face_with_tears_of_joy:
6,kid474,"well of course, if anyone knew how how it'll cost to store these vaccines.","['well', 'cours', 'anyon', 'knew', 'cost', 'store', 'vaccin']","well of course, if anyone knew how how it'll cost to store these vaccines."
7,kid474,same thing they've said for the TT devices..,"['thing', 'said', 'tt', 'devic']",same thing they've said for the TT devices..
8,bigbadmeow,@raphaelhozhiyi wan to scalp vaccine on carousell ma hahaha,"['wan', 'scalp', 'vaccin', 'carousel', 'hahaha']",@raphaelhozhiyi wan to scalp vaccine on carousell ma hahaha
9,bernardtoh1708,There are report in Norway that there are 23 dead after taking the vaccine as such what have we done to evade such incident???,"['report', 'norway', 'dead', 'take', 'vaccin', 'done', 'evad', 'incid']",There are report in Norway that there are 23 dead after taking the vaccine as such what have we done to evade such incident???
10,jeck.koh,“SG boleh”. 💪💪💪 Vaccine also priority to AMK & Tanjong Pagar elderly.,"['sg', 'boleh', 'vaccin', 'also', 'prioriti', 'amk', 'tanjong', 'pagar', 'elderli']",“SG boleh”. :flexed_biceps::flexed_biceps::flexed_biceps: Vaccine also priority to AMK & Tanjong Pagar elderly.
11,florianmaik_official,That's the only right way to do!,"['right', 'way']",That's the only right way to do!
