,Unnamed: 0,name,comment,processed_text,demojize_text
0,0,supernatural_gp,When will be Singapore open for Tourists ??,"['singapor', 'open', 'tourist']",When will be Singapore open for Tourists ??
1,1,heizenberg_el_chino,Time Line For Opening SG Is SET By COVID & Not any Gov..,"['time', 'line', 'open', 'sg', 'set', 'covid', 'gov']",Time Line For Opening SG Is SET By COVID & Not any Gov..
2,2,peggyhorse88,👍,[],:thumbs_up:
3,3,sabasiva8,"FORTITUDE, ATTITUDE, & FEELING THE PULSE , SOCIO-ECONOMIC HEALTH & WELL BEING OF THE PEOPLE AT LARGE WITH GENUINE CARE , AFFECTION & FOCUSSED DEDICATION 24/7/365. A QUINTESSENTIAL SOUL SEARCHING DIGITALLY EMOTIONAL CONNECT BETWEEN NATIONAL LEADERSHIP & ITS PEOPLE AT LARGE BEING THE THRIVING LUMINOUSLY PINNACLE HALLMARK OF ,#sgunited🇸🇬 #sgunited🇸🇬 🌹🌅AS UNIVERSALLY ALL LIVES & EVERY LIFE ALWAYS MATTER TILL ETERNITY🌹🌺🌅💘 For this Watershed performance itself my benevolent humble VOTE 4 U TO GET NOT ONLY NOBLE PRIZE FOR MEDICINE, BUT ALSO THE NOBLE PRIZE FOR PHYSICS, CHEMISTRY, BIOLOGY, LITERATURE & ECONOMICS 4 THE YEAR 2020-21-22 WITH LUMINOUSLY RADIANT & ALLURINGILY SIZZLING & SUBLIME MIDAS TOUCH TO BOOT TILL ETERNITY,,,,,👍👍💑❤👄💋💙💖💘💞💝🎂🎂🍺🍻🍻🍷😘💟🍷💄🎂🍺🍻👍💑🎇❤👄💋💙💖💘💞💝😘💟🍷💄🎂🍺🍻👍💑🎇❤👄💋💙💖💘💞💝😘💟🍷💄🎂🍺🍻💙💘💖💘💙💘💖💘💙💘💖💘💙💘💙💙💘💖💙💘💝😘💟🍷🍻💑🌹🌺🌹💋💙💙💘💙💘💙💙💘💙💘💘","['fortitud', 'attitud', 'feel', 'puls', 'health', 'well', 'peopl', 'larg', 'genuin', 'care', 'affect', 'focuss', 'dedic', 'quintessenti', 'soul', 'search', 'digit', 'emot', 'connect', 'nation', 'leadership', 'peopl', 'larg', 'thrive', 'lumin', 'pinnacl', 'hallmark', 'univers', 'live', 'everi', 'life', 'alway', 'matter', 'till', 'etern', 'watersh', 'perform', 'benevol', 'humbl', 'vote', 'u', 'get', 'nobl', 'prize', 'medicin', 'also', 'nobl', 'prize', 'physic', 'chemistri', 'biolog', 'literatur', 'econom', 'year', 'lumin', 'radiant', 'alluringili', 'sizzl', 'sublim', 'mida', 'touch', 'boot', 'till', 'etern']","FORTITUDE, ATTITUDE, & FEELING THE PULSE , SOCIO-ECONOMIC HEALTH & WELL BEING OF THE PEOPLE AT LARGE WITH GENUINE CARE , AFFECTION & FOCUSSED DEDICATION 24/7/365. A QUINTESSENTIAL SOUL SEARCHING DIGITALLY EMOTIONAL CONNECT BETWEEN NATIONAL LEADERSHIP & ITS PEOPLE AT LARGE BEING THE THRIVING LUMINOUSLY PINNACLE HALLMARK OF ,#sgunited:Singapore: #sgunited:Singapore: :rose::sunrise:AS UNIVERSALLY ALL LIVES & EVERY LIFE ALWAYS MATTER TILL ETERNITY:rose::hibiscus::sunrise::heart_with_arrow: For this Watershed performance itself my benevolent humble VOTE 4 U TO GET NOT ONLY NOBLE PRIZE FOR MEDICINE, BUT ALSO THE NOBLE PRIZE FOR PHYSICS, CHEMISTRY, BIOLOGY, LITERATURE & ECONOMICS 4 THE YEAR 2020-21-22 WITH LUMINOUSLY RADIANT & ALLURINGILY SIZZLING & SUBLIME MIDAS TOUCH TO BOOT TILL ETERNITY,,,,,:thumbs_up::thumbs_up::couple_with_heart::red_heart::mouth::kiss_mark::blue_heart::sparkling_heart::heart_with_arrow::revolving_hearts::heart_with_ribbon::birthday_cake::birthday_cake::beer_mug::clinking_beer_mugs::clinking_beer_mugs::wine_glass::face_blowing_a_kiss::heart_decoration::wine_glass::lipstick::birthday_cake::beer_mug::clinking_beer_mugs::thumbs_up::couple_with_heart::sparkler::red_heart::mouth::kiss_mark::blue_heart::sparkling_heart::heart_with_arrow::revolving_hearts::heart_with_ribbon::face_blowing_a_kiss::heart_decoration::wine_glass::lipstick::birthday_cake::beer_mug::clinking_beer_mugs::thumbs_up::couple_with_heart::sparkler::red_heart::mouth::kiss_mark::blue_heart::sparkling_heart::heart_with_arrow::revolving_hearts::heart_with_ribbon::face_blowing_a_kiss::heart_decoration::wine_glass::lipstick::birthday_cake::beer_mug::clinking_beer_mugs::blue_heart::heart_with_arrow::sparkling_heart::heart_with_arrow::blue_heart::heart_with_arrow::sparkling_heart::heart_with_arrow::blue_heart::heart_with_arrow::sparkling_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::blue_heart::heart_with_arrow::sparkling_heart::blue_heart::heart_with_arrow::heart_with_ribbon::face_blowing_a_kiss::heart_decoration::wine_glass::clinking_beer_mugs::couple_with_heart::rose::hibiscus::rose::kiss_mark::blue_heart::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::heart_with_arrow:"
4,0,agnes_sl,How about short term visitors who doesn’t have data plan? Will the SingPass app work even with data? Thxs!,"['short', 'term', 'visitor', 'data', 'plan', 'singpass', 'app', 'work', 'even', 'data', 'thx']",How about short term visitors who doesn’t have data plan? Will the SingPass app work even with data? Thxs!
5,1,agnes_sl,*without,['without'],*without
6,2,emaarrahman,"Or just a tourist who does not have an NRIC, SingPass etc. Is there the ability to use your passport number?","['tourist', 'nric', 'singpass', 'etc', 'abil', 'use', 'passport', 'number']","Or just a tourist who does not have an NRIC, SingPass etc. Is there the ability to use your passport number?"
7,3,jjasmineloh,Yeah. Fast check in. 👍🏻👍🏻☑️,"['yeah', 'fast', 'check']",Yeah. Fast check in. :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::check_box_with_check:
8,4,yoloscl,Hope will implement at public transportation where we stay in 'small' enclosed place and safe distancing pratice is challenging.,"['hope', 'implement', 'public', 'transport', 'stay', 'enclos', 'place', 'safe', 'distanc', 'pratic', 'challeng']",Hope will implement at public transportation where we stay in 'small' enclosed place and safe distancing pratice is challenging.
9,5,dandelion_kaixin,"Use Tracetogether app, easier.","['use', 'tracetogeth', 'app', 'easier']","Use Tracetogether app, easier."
10,6,kissteenaa,will there be extra layers of secure to prevent data leaks?,"['extra', 'layer', 'secur', 'prevent', 'data', 'leak']",will there be extra layers of secure to prevent data leaks?
11,7,unice7273,🇸🇬🤗星期三 直播 Mambo Jambo Nite Live 40:00 大家一起跳💃 Swing Singapore😉🎑 https://youtu.be/5e11TBY8ib4 #sgunited #sgcultureanywhere #sgyouthactionplan #sgexercises #Unstoppable🎐#四面臺 #勢不可擋 #西門町 #兰桂坊 #四小龙 #mediacorp #sphradio #sph #TVB #tvbs新聞 #gratefulheart #grateful #swingsingapore #感謝,"['mambo', 'jambo', 'nite', 'live', 'swing', 'singapor']",:Singapore::hugging_face:星期三 直播 Mambo Jambo Nite Live 40:00 大家一起跳:woman_dancing: Swing Singapore:winking_face::moon_viewing_ceremony: https://youtu.be/5e11TBY8ib4 #sgunited #sgcultureanywhere #sgyouthactionplan #sgexercises #Unstoppable:wind_chime:#四面臺 #勢不可擋 #西門町 #兰桂坊 #四小龙 #mediacorp #sphradio #sph #TVB #tvbs新聞 #gratefulheart #grateful #swingsingapore #感謝
12,8,mydailylowsugarmeal,"I read that my details will be sent to the outlet using the safe entry. I am fine with providing my information via safe entry so that authority can contact me when need arises My question is if it is necessary to provide these info to the outlet. These information can be kept with the authority and only to provide the info for contact purpose when need arises. Yes, you can claim the info use is regulated and protected by laws. But it can be abused. For your consideration to keep the safe entry and contact information with the authority only please. Thank you.","['read', 'detail', 'sent', 'outlet', 'use', 'safe', 'entri', 'fine', 'provid', 'inform', 'via', 'safe', 'entri', 'author', 'contact', 'need', 'aris', 'question', 'necessari', 'provid', 'info', 'outlet', 'inform', 'kept', 'author', 'provid', 'info', 'contact', 'purpos', 'need', 'aris', 'ye', 'claim', 'info', 'use', 'regul', 'protect', 'law', 'abus', 'consider', 'keep', 'safe', 'entri', 'contact', 'inform', 'author', 'pleas', 'thank']","I read that my details will be sent to the outlet using the safe entry. I am fine with providing my information via safe entry so that authority can contact me when need arises My question is if it is necessary to provide these info to the outlet. These information can be kept with the authority and only to provide the info for contact purpose when need arises. Yes, you can claim the info use is regulated and protected by laws. But it can be abused. For your consideration to keep the safe entry and contact information with the authority only please. Thank you."
13,9,jennysan_tham,"I understand that government encourage people go to supermarkets must scan their IC or QR codes but yet don't know why NTUC & Sheng Siong ask their customers to fill up the form when their customers forgotten to bring their IC??? Really defeat the purpose of scanning IC & QR codes! How to trace whether the customers fill up their own particular or just simply fill up only (not their particular) as they just want to go into supermarkets only? Very appropriate if you could look into it seriously, thank you.","['understand', 'govern', 'encourag', 'peopl', 'go', 'supermarket', 'must', 'scan', 'ic', 'qr', 'code', 'yet', 'know', 'ntuc', 'sheng', 'siong', 'ask', 'custom', 'fill', 'form', 'custom', 'forgotten', 'bring', 'ic', 'realli', 'defeat', 'purpos', 'scan', 'ic', 'qr', 'code', 'trace', 'whether', 'custom', 'fill', 'particular', 'simpli', 'fill', 'particular', 'want', 'go', 'supermarket', 'appropri', 'could', 'look', 'serious', 'thank']","I understand that government encourage people go to supermarkets must scan their IC or QR codes but yet don't know why NTUC & Sheng Siong ask their customers to fill up the form when their customers forgotten to bring their IC??? Really defeat the purpose of scanning IC & QR codes! How to trace whether the customers fill up their own particular or just simply fill up only (not their particular) as they just want to go into supermarkets only? Very appropriate if you could look into it seriously, thank you."
14,10,rajfitnessologist,@patriciarajendranath,[],@patriciarajendranath
15,11,rdbird,What happens if you don’t check out as it’s not intuitive - will you be recorded as still active at that location hours later even if you’ve left?,"['happen', 'check', 'intuit', 'record', 'still', 'activ', 'locat', 'hour', 'later', 'even', 'left']",What happens if you don’t check out as it’s not intuitive - will you be recorded as still active at that location hours later even if you’ve left?
16,12,fredtan_,"Great initiative to step up contact tracing capabilities. The more we can get comminity wide contact tracing, the better we will get at identifying potential hotspots and overcome this crisis.","['great', 'initi', 'step', 'contact', 'trace', 'capabl', 'get', 'commin', 'wide', 'contact', 'trace', 'better', 'get', 'identifi', 'potenti', 'hotspot', 'overcom', 'crisi']","Great initiative to step up contact tracing capabilities. The more we can get comminity wide contact tracing, the better we will get at identifying potential hotspots and overcome this crisis."
17,13,sunnyshine.windy,🙌😊,[],:raising_hands::smiling_face_with_smiling_eyes:
