,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
17,37,"your covid-19 questions answered:
 
do we still need to practise safe management measures after getting vaccinated?
 
#vaccineqnsanswered #vaccinationsg",2021-02-10 09:30:47+00:00,Then when can take out mask ah…,2021-02-10 09:32:11+00:00,7
29,52,"your covid-19 questions answered:

how can the vaccine be safe when it was developed so quickly?

#vaccineqnsanswered #vaccinationsg",2021-02-09 10:00:36+00:00,same same when we were told no need to wear masks one year ago,2021-02-09 13:20:41+00:00,14
44,77,"getting staff to be in the office when they could wfh puts us at risk of covid-19 community spread. we shouldn't let up on workplace safe management measures. 

as we approach cny, remember that lohei and cny meals are not allowed. 

let's stay vigilant to protect ourselves and re-open our economy safely. 

for more: go.gov.sg-safe-workplace-ig (link in bio)",2021-02-08 08:30:56+00:00,"I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing.",2021-02-09 02:23:44+00:00,73
54,102,"here's a tale of a man called nick, who went to work though he was sick 🤒

if you feel unwell with flu-like symptoms, go to a doctor and stay home afterwards. do not go to work, do not go to school. protect yourself and your loved ones ❤️

tips on keeping covid-19 safe: https://www.gov.sg/features/how-tos",2021-01-29 05:16:39+00:00,"NO to CB Season 2. Stay alert, vigilant. Wear your mask properly, which means cover both mouth and nose. Clean your hands. Practice social distancing. 🙌 JIA YOU EVERYONE 🙌🙌",2021-01-29 06:25:22+00:00,27
109,237,"do we need to wear masks when we exercise? 🏃‍♂️🏃‍♀️

why must i keep to a regular social circle? 👥

can’t we close our borders to stop imported cases? ⛔️

dr @kohpohkoon explains your concerns on covid-19 safe management measures.

find out more: go.gov.sg/explain-kpk-ig (link in bio)

#expertsexplain #whyah",2020-12-10 11:07:06+00:00,"Hi,It might be good, as covid is both aerosol AIRBORNE and direct transmission, to add another layer of protection.We can 1. Install Counter Shield plastic in all of OUR Cashier/Concierge/Customer Service countersREASON: STAFF & CUSTOMER are constally interact with one another hence speech droplets are produce although they wore facemask, (Counter Shield clear thick plastic or glass)2. All of our temperature Checker to wear both Facemask, FaceShield and install COUNTER SHIELD CLEAR PLASTIC OR GLASSREASON: same reason as the 1st. Staff and people see each other face to face. Atleast adding this will provide additional protection3. Install table shield arcylic in all of our dine in TablesREASON: PEOPLE in dine in will remove Facemask when eating, hence breath and speech droplets are release in the air.This will add additional protection specially to all service staff and make everyone feel even safer while shopping or dining in ALL PLACES IN SG.Thank you very much",2020-12-10 23:49:04+00:00,150
111,240,"do we need to wear masks when we exercise? 🏃‍♂️🏃‍♀️

why must i keep to a regular social circle? 👥

can’t we close our borders to stop imported cases? ⛔️

dr @kohpohkoon explains your concerns on covid-19 safe management measures.

find out more: go.gov.sg/explain-kpk-ig (link in bio)

#expertsexplain #whyah",2020-12-10 11:07:06+00:00,"bruh I just had the craziest idea.as you know(or as I think) heat kills off the virus and so you place your mask under the sun to bask- it is now masking. 🙌 @gov.sg if you ever use this idea I expect to be credited. Yours faithfully, goodbeaucafe.",2020-12-11 08:22:27+00:00,46
112,242,"why are stay-home notice (shn) durations different for some travellers? 🏠

watch as dr @janilputhucheary explains how we protect ourselves from imported cases.

for more: go.gov.sg/explain-jp-ig (link in bio)

#expertsexplain #whyah",2020-12-10 07:19:26+00:00,"Hi,It might be good, as covid is both aerosol AIRBORNE and direct transmission, to add another layer of protection.We can 1. Install Counter Shield plastic in all of OUR Cashier/Concierge/Customer Service countersREASON: STAFF & CUSTOMER are constally interact with one another hence speech droplets are produce although they wore facemask, (Counter Shield clear thick plastic or glass)2. All of our temperature Checker to wear both Facemask, FaceShield and install COUNTER SHIELD CLEAR PLASTIC OR GLASSREASON: same reason as the 1st. Staff and people see each other face to face. Atleast adding this will provide additional protection3. Install table shield arcylic in all of our dine in TablesREASON: PEOPLE in dine in will remove Facemask when eating, hence breath and speech droplets are release in the air.This will add additional protection specially to all service staff and make everyone feel even safer while shopping or dining in ALL PLACES IN SG.Thank you very much",2020-12-10 23:49:17+00:00,150
114,247,"the gov.sg whatsapp service now has an in-built infobot! available in 4 languages, you can use it to access information on the covid-19 situation in singapore, safe distancing measures, financial support and more. 

simply open your gov.sg whatsapp chat window and type ""hello"" to get started. 

📱if you haven't subscribed to the gov.sg whatsapp service, you can do so at go.gov.sg/whatsapp (link in bio)",2020-12-05 02:01:23+00:00,Hi.Mandate all people to wear both faceshield and facemaskMandate all customer service/congierge/cashier counters to put TABLE PLASTIC SHIELDS OR GLASS SURROUNDING THE COUNTERSMANDATE ALL FOODCOURT/EATERY/RESTAURANTS TABLE BOTH AIRCON AND NON AIRCON TO INSTALL Table Shields plastic to seperate each customer and for added layer of protectionMANDATE all BUS DRIVER CABIN AND TAXI/GRAB DRIVET CABIN to install CABIN PLASTIC SHIELDSTHANK YOU,2020-12-09 04:00:03+00:00,64
121,266,commute safely with your mask on at all times and sanitise your hands regularly. scroll for more.,2020-11-12 04:00:34+00:00,Hi Kindly required all of your*safe distance ambasador *temperature screener in all industryto wear both faceshield and facemask for additional protection as they interact with people face to face and Covid is both Aerosol and Contact transmission.Thank you,2020-11-18 23:05:58+00:00,38
128,273,"as we journey towards phase 3, here are some updates to help us resume more activities safely.

swipe to find out more 👉🏻

full article: go.gov.sg/reopening-10nov",2020-11-11 04:58:27+00:00,Hi Kindly required all of your*safe distance ambasador *temperature screener in all industryto wear both faceshield and facemask for additional protection as they interact with people face to face and Covid is both Aerosol and Contact transmission.Thank you,2020-11-18 23:05:16+00:00,38
