,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,1,"I visited our vaccination centre and met with essential staff getting their vaccines. ⠀
⠀
Eligible seniors will be receiving letters to book appointments for vaccinations that will begin next Monday, 22 February 2021 at the Senja Cashew Community Club. ⠀
⠀
You may browse https://www.vaccine.gov.sg or head down to the CC with your letter to book an appointment. ⠀
⠀
Medical personnel on site will assess you and address your queries.",2021-02-20 08:13:32+00:00,Dr liang boss I'm ruhui I don't think that I want injury,2021-02-20 09:03:06+00:00,10
1,2,"I visited our vaccination centre and met with essential staff getting their vaccines. ⠀
⠀
Eligible seniors will be receiving letters to book appointments for vaccinations that will begin next Monday, 22 February 2021 at the Senja Cashew Community Club. ⠀
⠀
You may browse https://www.vaccine.gov.sg or head down to the CC with your letter to book an appointment. ⠀
⠀
Medical personnel on site will assess you and address your queries.",2021-02-20 08:13:32+00:00,Dr liang boss I'm ruhui I don't think that I want injury,2021-02-20 09:55:01+00:00,10
2,4,"I visited our vaccination centre and met with essential staff getting their vaccines. ⠀
⠀
Eligible seniors will be receiving letters to book appointments for vaccinations that will begin next Monday, 22 February 2021 at the Senja Cashew Community Club. ⠀
⠀
You may browse https://www.vaccine.gov.sg or head down to the CC with your letter to book an appointment. ⠀
⠀
Medical personnel on site will assess you and address your queries.",2021-02-20 08:13:32+00:00,I have completed the vaccinations already.  Just a mild side effects after both vaccines.. Our SG Fighting💪💖,2021-02-21 06:45:56+00:00,17
3,5,"I visited our vaccination centre and met with essential staff getting their vaccines. ⠀
⠀
Eligible seniors will be receiving letters to book appointments for vaccinations that will begin next Monday, 22 February 2021 at the Senja Cashew Community Club. ⠀
⠀
You may browse https://www.vaccine.gov.sg or head down to the CC with your letter to book an appointment. ⠀
⠀
Medical personnel on site will assess you and address your queries.",2021-02-20 08:13:32+00:00,Long queue at raffles city . No chairs for us mostly elderly to rest while waiting. I am standing in line for more than 20 mins!! Don’t know how long more to wait!!!,2021-02-21 11:54:13+00:00,32
4,6,"I visited our vaccination centre and met with essential staff getting their vaccines. ⠀
⠀
Eligible seniors will be receiving letters to book appointments for vaccinations that will begin next Monday, 22 February 2021 at the Senja Cashew Community Club. ⠀
⠀
You may browse https://www.vaccine.gov.sg or head down to the CC with your letter to book an appointment. ⠀
⠀
Medical personnel on site will assess you and address your queries.",2021-02-20 08:13:32+00:00,"Mr Minister, please help to make waiting for comfortable for us. To serve bottled drinks. Thanks again",2021-02-21 11:56:28+00:00,17
5,7,"I visited our vaccination centre and met with essential staff getting their vaccines. ⠀
⠀
Eligible seniors will be receiving letters to book appointments for vaccinations that will begin next Monday, 22 February 2021 at the Senja Cashew Community Club. ⠀
⠀
You may browse https://www.vaccine.gov.sg or head down to the CC with your letter to book an appointment. ⠀
⠀
Medical personnel on site will assess you and address your queries.",2021-02-20 08:13:32+00:00,"We suspect Myanmar military coup's bank accounts are help in Singapore .At 88 ,Dictators were able to slip and didn't have direct effect much  sanctions of UN by making private bank accounts in Singapore .We need help of international governments by prohibiting their money to flow though their countries and make our people suffer more !  #whatishappeninginmyanmar",2021-02-23 03:30:41+00:00,52
6,1,"Visited the vaccination centre at Jalan Besar CC today with Minister @gankimyong. We will be commencing vaccinations for seniors above 70 years old from next Monday, and more vaccination centres will also be opened progressively for the convenience of all. 

Our vaccination efforts have been going well so far. About 250,000 people have received at least one dose of the vaccine. We are now getting supplies from both Pfizer and Moderna. Based on the expected supply schedule, another 1 million people should be able to get at least one dose of the vaccine by around end-March/early-April. This will cover all seniors above 60. 

Do encourage your seniors at home to get vaccinated when their turn comes, for their protection and safety.",2021-02-19 14:11:41+00:00,How about Singaporean oversea?Will we able to get vaccination at the country singapore embassy?,2021-02-20 03:24:21+00:00,15
7,3,"Visited the vaccination centre at Jalan Besar CC today with Minister @gankimyong. We will be commencing vaccinations for seniors above 70 years old from next Monday, and more vaccination centres will also be opened progressively for the convenience of all. 

Our vaccination efforts have been going well so far. About 250,000 people have received at least one dose of the vaccine. We are now getting supplies from both Pfizer and Moderna. Based on the expected supply schedule, another 1 million people should be able to get at least one dose of the vaccine by around end-March/early-April. This will cover all seniors above 60. 

Do encourage your seniors at home to get vaccinated when their turn comes, for their protection and safety.",2021-02-19 14:11:41+00:00,Then about 50 year old to 60 year old.When receive the COVID-19 vaccine of the both Pfizer and Moderna?,2021-02-22 04:55:17+00:00,16
8,8,"Good news! We received our first shipment of Moderna vaccines this afternoon. This follows another batch of Pfizer-BioNTech vaccines that arrived this morning. These shipments will enable us to progressively roll out our vaccination programme, with vaccination for seniors in the community set to begin later next week.
 
We expect more vaccines from both Moderna and Pfizer-BioNTech to arrive over the coming months. We will continue to monitor our supplies closely, to meet our target of vaccinating all Singaporeans and long-term residents by the end of this year.

📷: MCI",2021-02-17 10:32:56+00:00,wish to get it asap. We should only accept high efficacy vaccines like Moderna and Pfizer.,2021-02-17 11:08:10+00:00,16
9,12,"Good news! We received our first shipment of Moderna vaccines this afternoon. This follows another batch of Pfizer-BioNTech vaccines that arrived this morning. These shipments will enable us to progressively roll out our vaccination programme, with vaccination for seniors in the community set to begin later next week.
 
We expect more vaccines from both Moderna and Pfizer-BioNTech to arrive over the coming months. We will continue to monitor our supplies closely, to meet our target of vaccinating all Singaporeans and long-term residents by the end of this year.

📷: MCI",2021-02-17 10:32:56+00:00,Good. Let wins this fight as one nation. Lion roarsssss 👍,2021-02-17 14:47:06+00:00,10
