,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"The air travel bubble, which would have allowed for leisure travel between the 2 sides, had been suspended indefinitely since November last year, after a spike in Covid-19 cases in Hong Kong.

Both cities had earlier agreed that the arrangement would be suspended if the 7-day average of unlinked coronavirus cases in either city exceeded 5. Hong Kong's figure currently stands at 4.57.

Link in bio @straits_times
#airtravelbubble #coronavirus #covid19 #StraitsTimes",2021-02-20 07:32:28+00:00,Stay safe. Donƒ??t travel first. Health priority. Fun last.,2021-02-20 08:11:53+00:00,9
1,"The air travel bubble, which would have allowed for leisure travel between the 2 sides, had been suspended indefinitely since November last year, after a spike in Covid-19 cases in Hong Kong.

Both cities had earlier agreed that the arrangement would be suspended if the 7-day average of unlinked coronavirus cases in either city exceeded 5. Hong Kong's figure currently stands at 4.57.

Link in bio @straits_times
#airtravelbubble #coronavirus #covid19 #StraitsTimes",2021-02-20 07:32:28+00:00,Just stop travelling for a period of time till the spike decreases,2021-02-20 08:00:49+00:00,12
2,"The air travel bubble, which would have allowed for leisure travel between the 2 sides, had been suspended indefinitely since November last year, after a spike in Covid-19 cases in Hong Kong.

Both cities had earlier agreed that the arrangement would be suspended if the 7-day average of unlinked coronavirus cases in either city exceeded 5. Hong Kong's figure currently stands at 4.57.

Link in bio @straits_times
#airtravelbubble #coronavirus #covid19 #StraitsTimes",2021-02-20 07:32:28+00:00,Who would wanna go to Hong Kong ?,2021-02-20 11:18:15+00:00,7
3,"The air travel bubble, which would have allowed for leisure travel between the 2 sides, had been suspended indefinitely since November last year, after a spike in Covid-19 cases in Hong Kong.

Both cities had earlier agreed that the arrangement would be suspended if the 7-day average of unlinked coronavirus cases in either city exceeded 5. Hong Kong's figure currently stands at 4.57.

Link in bio @straits_times
#airtravelbubble #coronavirus #covid19 #StraitsTimes",2021-02-20 07:32:28+00:00,Here we go again boys,2021-02-20 07:45:53+00:00,5
6,"The air travel bubble, which would have allowed for leisure travel between the 2 sides, had been suspended indefinitely since November last year, after a spike in Covid-19 cases in Hong Kong.

Both cities had earlier agreed that the arrangement would be suspended if the 7-day average of unlinked coronavirus cases in either city exceeded 5. Hong Kong's figure currently stands at 4.57.

Link in bio @straits_times
#airtravelbubble #coronavirus #covid19 #StraitsTimes",2021-02-20 07:32:28+00:00,Hopefully itƒ??ll be good this time ?????????,2021-02-20 08:34:12+00:00,6
10,"The air travel bubble, which would have allowed for leisure travel between the 2 sides, had been suspended indefinitely since November last year, after a spike in Covid-19 cases in Hong Kong.

Both cities had earlier agreed that the arrangement would be suspended if the 7-day average of unlinked coronavirus cases in either city exceeded 5. Hong Kong's figure currently stands at 4.57.

Link in bio @straits_times
#airtravelbubble #coronavirus #covid19 #StraitsTimes",2021-02-20 07:32:28+00:00,Bruh why must die die go Hong Kong? Gahmen got relative there isiy,2021-02-21 01:44:43+00:00,13
11,"The air travel bubble, which would have allowed for leisure travel between the 2 sides, had been suspended indefinitely since November last year, after a spike in Covid-19 cases in Hong Kong.

Both cities had earlier agreed that the arrangement would be suspended if the 7-day average of unlinked coronavirus cases in either city exceeded 5. Hong Kong's figure currently stands at 4.57.

Link in bio @straits_times
#airtravelbubble #coronavirus #covid19 #StraitsTimes",2021-02-20 07:32:28+00:00,I think HKers wanna get infected for civil disobedience,2021-02-20 07:36:11+00:00,9
15,"Update: Singapore and Hong Kong have decided to defer the start of the air travel bubble to beyond this month given that the number of local unlinked cases in Hong Kong is still high, says CAAS.
The exact start date of the arrangement will be reviewed late this month.
The move comes as Hong Kong hunkers down under harsher social distancing measures in anticipation of what health authorities have warned could be the worst Covid-19 wave so far.
Hong Kong's daily new infections have crossed 70 for more than a week.
The spike was led initially by a growing dance club cluster of more than 500, most of whom are tai tais and their young dancing instructors.
Link in bio @straits_times
#travelbubble #hongkong #singapore #coronavirus #covid19 #StraitsTimes",2020-12-01 05:48:17+00:00,@tomatotihitina I wish I could live here so bad,2020-12-01 06:33:28+00:00,8
16,"Update: Singapore and Hong Kong have decided to defer the start of the air travel bubble to beyond this month given that the number of local unlinked cases in Hong Kong is still high, says CAAS.
The exact start date of the arrangement will be reviewed late this month.
The move comes as Hong Kong hunkers down under harsher social distancing measures in anticipation of what health authorities have warned could be the worst Covid-19 wave so far.
Hong Kong's daily new infections have crossed 70 for more than a week.
The spike was led initially by a growing dance club cluster of more than 500, most of whom are tai tais and their young dancing instructors.
Link in bio @straits_times
#travelbubble #hongkong #singapore #coronavirus #covid19 #StraitsTimes",2020-12-01 05:48:17+00:00,"As 1 country it is easy to say what needs to get done and everyone toe the line. This takes some leadership foresight and a public who's generally willing to cooperate. Opening up a country to another? Unless both countries have the common same detection, tracing, control methods and direction (just like 1 country) setting measurements to determine when to pull the plug is not enough. Are the countries in a travel bubble willing to adapt and adjust to each other for a common way forward- just like a single country's response, containment and treatment methods? Are the people of both countries trusting enough of the other? If not, then travel bubbles anywhere would be some way off.",2020-12-01 06:33:45+00:00,114
18,"Update: Singapore and Hong Kong have decided to defer the start of the air travel bubble to beyond this month given that the number of local unlinked cases in Hong Kong is still high, says CAAS.
The exact start date of the arrangement will be reviewed late this month.
The move comes as Hong Kong hunkers down under harsher social distancing measures in anticipation of what health authorities have warned could be the worst Covid-19 wave so far.
Hong Kong's daily new infections have crossed 70 for more than a week.
The spike was led initially by a growing dance club cluster of more than 500, most of whom are tai tais and their young dancing instructors.
Link in bio @straits_times
#travelbubble #hongkong #singapore #coronavirus #covid19 #StraitsTimes",2020-12-01 05:48:17+00:00,Good job Singapore well done,2020-12-01 06:44:16+00:00,5
