,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"Lawrence Wong: “We certainly cannot rule out having to impose additional restrictions or even to have to put in place another nationwide circuit breaker down the road… but we will try very hard not to have to go down that path and we are able to do so because we now have an expanded toolkit of control measures and that’s what we have been building up over these past few months.”
.
Prof. Kenneth Mak and Minister Lawrence Wong were addressing comments on social media that Singapore would go back to Phase 1 after GE.",2020-07-07 11:45:14+00:00,"I don’t understand people nowadays. If they cancelled or postponed the GE, people will say they are trying to hold on to their power. But if they go on with this, they complain that they are opening up only for this. They open up CB for the GE then y’all complain, then if they didn’t y’all also complain. Stupid la sial",2020-07-08 07:34:52+00:00,65
3,"Lawrence Wong: “We certainly cannot rule out having to impose additional restrictions or even to have to put in place another nationwide circuit breaker down the road… but we will try very hard not to have to go down that path and we are able to do so because we now have an expanded toolkit of control measures and that’s what we have been building up over these past few months.”
.
Prof. Kenneth Mak and Minister Lawrence Wong were addressing comments on social media that Singapore would go back to Phase 1 after GE.",2020-07-07 11:45:14+00:00,No i don't want to go Phase 1.,2020-07-08 08:46:30+00:00,6
5,"Lawrence Wong: “We certainly cannot rule out having to impose additional restrictions or even to have to put in place another nationwide circuit breaker down the road… but we will try very hard not to have to go down that path and we are able to do so because we now have an expanded toolkit of control measures and that’s what we have been building up over these past few months.”
.
Prof. Kenneth Mak and Minister Lawrence Wong were addressing comments on social media that Singapore would go back to Phase 1 after GE.",2020-07-07 11:45:14+00:00,Why after GE must go back to phase 1,2020-07-08 11:32:49+00:00,8
6,"Lawrence Wong: “We certainly cannot rule out having to impose additional restrictions or even to have to put in place another nationwide circuit breaker down the road… but we will try very hard not to have to go down that path and we are able to do so because we now have an expanded toolkit of control measures and that’s what we have been building up over these past few months.”
.
Prof. Kenneth Mak and Minister Lawrence Wong were addressing comments on social media that Singapore would go back to Phase 1 after GE.",2020-07-07 11:45:14+00:00,they open so peopke vote for them but they dont think about our well being,2020-07-08 12:09:22+00:00,15
9,"Lawrence Wong: “We certainly cannot rule out having to impose additional restrictions or even to have to put in place another nationwide circuit breaker down the road… but we will try very hard not to have to go down that path and we are able to do so because we now have an expanded toolkit of control measures and that’s what we have been building up over these past few months.”
.
Prof. Kenneth Mak and Minister Lawrence Wong were addressing comments on social media that Singapore would go back to Phase 1 after GE.",2020-07-07 11:45:14+00:00,Sound quite firm tat we r going back phrase 1 after election. Please hope i'm wrong...,2020-07-09 01:22:16+00:00,14
10,"Lawrence Wong: “We certainly cannot rule out having to impose additional restrictions or even to have to put in place another nationwide circuit breaker down the road… but we will try very hard not to have to go down that path and we are able to do so because we now have an expanded toolkit of control measures and that’s what we have been building up over these past few months.”
.
Prof. Kenneth Mak and Minister Lawrence Wong were addressing comments on social media that Singapore would go back to Phase 1 after GE.",2020-07-07 11:45:14+00:00,"Conspiracy over lah.. covid-19, PAP feed us supply, GE fast forward. Whatever uh. If alot things happened in 2020, then This 2020 will be the the opposition time . Oh well.",2020-07-09 07:57:47+00:00,28
11,"Lawrence Wong: “We certainly cannot rule out having to impose additional restrictions or even to have to put in place another nationwide circuit breaker down the road… but we will try very hard not to have to go down that path and we are able to do so because we now have an expanded toolkit of control measures and that’s what we have been building up over these past few months.”
.
Prof. Kenneth Mak and Minister Lawrence Wong were addressing comments on social media that Singapore would go back to Phase 1 after GE.",2020-07-07 11:45:14+00:00,"come on, they yes their best already. don't say them lah.",2020-07-09 19:00:21+00:00,10
12,"Responding to a question on whether there was a certain number of cases that would trigger another round of circuit breaker measures, Gan Kim Yong emphasised the government would look at the specific nature of the cases, and that the main concern would be to keep clusters under control. This would result in more targeted interventions.

With regards to a nationwide circuit breaker where only essential activities are allowed, he said it is ""unlikely to return to that scenario. """,2020-06-25 12:13:02+00:00,"Bloody Long beat around the bush answer. TLDW: ""no. But we can introduce tighter measures only for specific settings where it seems those clusters are forming"".",2020-06-25 13:39:42+00:00,26
13,"Responding to a question on whether there was a certain number of cases that would trigger another round of circuit breaker measures, Gan Kim Yong emphasised the government would look at the specific nature of the cases, and that the main concern would be to keep clusters under control. This would result in more targeted interventions.

With regards to a nationwide circuit breaker where only essential activities are allowed, he said it is ""unlikely to return to that scenario. """,2020-06-25 12:13:02+00:00,this reporter is like those who remind the teachers who forgot to collect hw,2020-06-25 13:53:26+00:00,14
15,"Responding to a question on whether there was a certain number of cases that would trigger another round of circuit breaker measures, Gan Kim Yong emphasised the government would look at the specific nature of the cases, and that the main concern would be to keep clusters under control. This would result in more targeted interventions.

With regards to a nationwide circuit breaker where only essential activities are allowed, he said it is ""unlikely to return to that scenario. """,2020-06-25 12:13:02+00:00,I here lots of um,2020-06-26 05:21:17+00:00,5
16,"Responding to a question on whether there was a certain number of cases that would trigger another round of circuit breaker measures, Gan Kim Yong emphasised the government would look at the specific nature of the cases, and that the main concern would be to keep clusters under control. This would result in more targeted interventions.

With regards to a nationwide circuit breaker where only essential activities are allowed, he said it is ""unlikely to return to that scenario. """,2020-06-25 12:13:02+00:00,so basically see how but with a few extra steps,2020-06-26 05:37:52+00:00,10
17,"Responding to a question on whether there was a certain number of cases that would trigger another round of circuit breaker measures, Gan Kim Yong emphasised the government would look at the specific nature of the cases, and that the main concern would be to keep clusters under control. This would result in more targeted interventions.

With regards to a nationwide circuit breaker where only essential activities are allowed, he said it is ""unlikely to return to that scenario. """,2020-06-25 12:13:02+00:00,all i heard was nature,2020-06-27 03:56:16+00:00,5
18,"Responding to a question on whether there was a certain number of cases that would trigger another round of circuit breaker measures, Gan Kim Yong emphasised the government would look at the specific nature of the cases, and that the main concern would be to keep clusters under control. This would result in more targeted interventions.

With regards to a nationwide circuit breaker where only essential activities are allowed, he said it is ""unlikely to return to that scenario. """,2020-06-25 12:13:02+00:00,"Zomg just get to point la, walau talk to so much",2020-06-28 06:08:56+00:00,11
19,"Responding to a question on whether there was a certain number of cases that would trigger another round of circuit breaker measures, Gan Kim Yong emphasised the government would look at the specific nature of the cases, and that the main concern would be to keep clusters under control. This would result in more targeted interventions.

With regards to a nationwide circuit breaker where only essential activities are allowed, he said it is ""unlikely to return to that scenario. """,2020-06-25 12:13:02+00:00,"To all those who said that he was being long-winded, don’t you have at least some gratitude towards the amount of care, work and transparency that they have put in by explaining to the public about covid matters on a regular basis? Anyway, from what I’ve picked out, numbers are not their primary concern, but rather, the nature of these cases - ones that form huge clusters, a huge spike in unlinked cases, whether there’s a potential super spreader etc. If that happens, they will proceed with targeted intervention, to isolate these specific groups of people and stop certain activities to break the chain of transmission by increasing their detection capabilities. In that way, this prevents us from relapsing back to a nationwide CB like before.",2020-06-28 19:58:58+00:00,127
20,"Responding to a question on whether there was a certain number of cases that would trigger another round of circuit breaker measures, Gan Kim Yong emphasised the government would look at the specific nature of the cases, and that the main concern would be to keep clusters under control. This would result in more targeted interventions.

With regards to a nationwide circuit breaker where only essential activities are allowed, he said it is ""unlikely to return to that scenario. """,2020-06-25 12:13:02+00:00,"I hear "" number of cases start to grow"" mentally: ""aww shit here we go again"" 😑",2020-07-02 08:04:44+00:00,15
22,"Responding to a question on whether there was a certain number of cases that would trigger another round of circuit breaker measures, Gan Kim Yong emphasised the government would look at the specific nature of the cases, and that the main concern would be to keep clusters under control. This would result in more targeted interventions.

With regards to a nationwide circuit breaker where only essential activities are allowed, he said it is ""unlikely to return to that scenario. """,2020-06-25 12:13:02+00:00,things have changed since a few press conferences ago. is there really a need to be condescending 🙄,2020-07-12 01:54:43+00:00,17
24,Education Minister Ong Ye Kung spoke about the need to reopen schools during a doorstop interview at Xingnan Primary School today.,2020-06-02 13:56:09+00:00,"Please explain to me why they want my JK back on school for the last 11 days of school, is it to justify the 45k I had to spend",2020-06-02 18:13:24+00:00,27
25,Education Minister Ong Ye Kung spoke about the need to reopen schools during a doorstop interview at Xingnan Primary School today.,2020-06-02 13:56:09+00:00,some singaporean’s like jokers ah when school haven’t close complain when school close complain when school reopen also complain just trust goverment le,2020-06-02 18:36:27+00:00,25
