,Post Description,Post Datetime,Comments,Comment Datetime,num_words
14,"getting staff to be in the office when they could wfh puts us at risk of covid-19 community spread. we shouldn't let up on workplace safe management measures. 

as we approach cny, remember that lohei and cny meals are not allowed. 

let's stay vigilant to protect ourselves and re-open our economy safely. 

for more: go.gov.sg-safe-workplace-ig (link in bio)",2021-02-08 08:30:56+00:00,"I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing.",2021-02-09 02:23:44+00:00,73
15,"getting staff to be in the office when they could wfh puts us at risk of covid-19 community spread. we shouldn't let up on workplace safe management measures. 

as we approach cny, remember that lohei and cny meals are not allowed. 

let's stay vigilant to protect ourselves and re-open our economy safely. 

for more: go.gov.sg-safe-workplace-ig (link in bio)",2021-02-08 08:30:56+00:00,"At the public toilets, I notice they fewer people now wash their hands with soap, and these include food handlers.",2021-02-09 02:25:54+00:00,20
16,"getting staff to be in the office when they could wfh puts us at risk of covid-19 community spread. we shouldn't let up on workplace safe management measures. 

as we approach cny, remember that lohei and cny meals are not allowed. 

let's stay vigilant to protect ourselves and re-open our economy safely. 

for more: go.gov.sg-safe-workplace-ig (link in bio)",2021-02-08 08:30:56+00:00,"At the public toilets, I notice that fewer people now wash their hands with soap, they just sprinkle with water after toilet use, and these include food handlers. It’s like the situation on the roads. People don’t care till they notice a traffic police. It’s not our culture to abide by rules.",2021-02-09 02:27:34+00:00,55
17,"getting staff to be in the office when they could wfh puts us at risk of covid-19 community spread. we shouldn't let up on workplace safe management measures. 

as we approach cny, remember that lohei and cny meals are not allowed. 

let's stay vigilant to protect ourselves and re-open our economy safely. 

for more: go.gov.sg-safe-workplace-ig (link in bio)",2021-02-08 08:30:56+00:00,"Sorry I don’t mean to post repeatedly. The system kept asking me to tab, saying the posting failed to upload.",2021-02-09 02:29:01+00:00,21
18,"a year has passed since our first covid-19 case. it has been a tough year, but we have also grown better and stronger as individuals, and as a nation. 

watch how singaporeans thrived, and learn about the support schemes for you at www.go.gov.sg/tott2 and www.singaporebudget.gov.sg #bestinus",2021-01-23 03:00:50+00:00,Different experience from some of us went through during SARS and H1N1,2021-01-23 03:15:36+00:00,11
19,"a year has passed since our first covid-19 case. it has been a tough year, but we have also grown better and stronger as individuals, and as a nation. 

watch how singaporeans thrived, and learn about the support schemes for you at www.go.gov.sg/tott2 and www.singaporebudget.gov.sg #bestinus",2021-01-23 03:00:50+00:00,"Yes, it brought out the best in us...👍👏",2021-01-23 07:22:21+00:00,8
28,"times are tough, but we’re looking after our students’ education and training. discover all the support schemes available at https://go.gov.sg/tott-sg-student and www.singaporebudget.gov.sg (links in bio) #walkingwithyou",2021-01-17 10:00:56+00:00,Only 4700 trainees have gained experience? Thats not even 1% of population!,2021-01-17 11:04:34+00:00,10
29,our families are on our minds in the midst of this uncertainty. discover all the support schemes available at https://go.gov.sg/tott-sg-family and www.singaporebudget.gov.sg (links in bio) #walkingwithyou,2021-01-16 10:02:00+00:00,"Looking at other developed countries, I'm glad e have a government that looks at supporting every individual during this COVID period.  Imagine what if this is US? We will probably all be suffering and getting retrenched.  Count our blessings",2021-01-17 06:02:00+00:00,38
30,our families are on our minds in the midst of this uncertainty. discover all the support schemes available at https://go.gov.sg/tott-sg-family and www.singaporebudget.gov.sg (links in bio) #walkingwithyou,2021-01-16 10:02:00+00:00,I really wishI could to migrate to you country.,2021-01-17 07:16:14+00:00,9
41,"in his address yesterday at the parliament, dpm @hengsweekeat spoke on how the government will gradually reopen our economy and singapore’s plans for economic recovery. 

➡️ swipe to read the key points of dpm’s address

for more details: go.gov.sg/dpmaddress-5oct",2020-10-06 08:49:53+00:00,Is this given towards the community ?,2020-10-08 14:41:50+00:00,6
45,"as singapore tackles the economic challenges brought about by covid-19, let us be the generation that bounces back even stronger as one economy, one society and one nation. 
we can continue to create a brighter future for our children and their children to come.

#sgunited #sgtogether",2020-06-29 03:02:12+00:00,"Hey! I'm a NUS psychology graduate and I recently started this psychology page. I'm posting applied psychology tips, do check it out if you're keen. Thankyouu 😊",2020-06-29 08:16:11+00:00,23
46,"as singapore tackles the economic challenges brought about by covid-19, let us be the generation that bounces back even stronger as one economy, one society and one nation. 
we can continue to create a brighter future for our children and their children to come.

#sgunited #sgtogether",2020-06-29 03:02:12+00:00,"Agreed with the need to ""emerge stronger"". Wonder if the government plans to take this chance to restructure its economy towards cleaner industries that are less reliant on the volatile oil and gas markets?",2020-07-09 16:31:11+00:00,34
