,Post Description,Post Datetime,Comments,Comment Datetime,num_words
1,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",2020-08-06 12:08:19+00:00,Now we know that we have so many foreign workers dormitories in Singapore 😮,2020-08-06 12:52:49+00:00,13
2,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",2020-08-06 12:08:19+00:00,Wat i thought u count them at first when u put them into isolation then after tat u test them and if its still positive by right shouldn't add on to the confirmed case alr isn't it? Since they r alr listed in the cfm case after the first testing?🤔,2020-08-06 13:11:27+00:00,48
3,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",2020-08-06 12:08:19+00:00,Once cleared the next hurdle is the imported cases. Those can be reduced to zero or near zero.  Just ban the non citizens.  Stop them from importing their problems to SG!,2020-08-06 13:52:12+00:00,31
4,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",2020-08-06 12:08:19+00:00,"why allow msians to come to Singapore? just extend till next year. I tot saving jobs for singaporean is upmost priority. Not like our doctors, nurses, securities and economist are msians",2020-08-06 15:26:02+00:00,31
5,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",2020-08-06 12:08:19+00:00,"Infectious building ... how are you sure , they are not going get infected again .",2020-08-06 22:15:48+00:00,13
6,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",2020-08-06 12:08:19+00:00,Will this briefing be regular? How regular? @lawrencewongst,2020-08-07 00:13:29+00:00,7
8,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",2020-08-06 12:08:19+00:00,"❤️@official_carolina_fx_trade win big with her, she’s the best bitcoin account manager, I’ve earning massively on her platform",2020-08-07 01:28:59+00:00,18
9,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",2020-08-06 12:08:19+00:00,"Provided all human beings living in Singapore is cooperative and vigilant to cause the number to go down, by doing their part to continue putting on the mask and be responsible for others as well.",2020-08-07 01:47:32+00:00,35
10,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",2020-08-06 12:08:19+00:00,Hmmmm I dunno. I just find it does not make too much sense when the dorm have been under strict control and yet the numbers are still high after 4 months.,2020-08-07 23:24:09+00:00,30
11,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",2020-08-06 12:08:19+00:00,"Finishing the testing just before National Day? 😏 Hopefully the lessons learned from this unfortunate event will pave way for a better management of the dormitories, do not let the migrant workers feel such anxieties working in a foreign country. No more waves please. They are here to earn a living and contributing in building and maintaining the nation, not to be sent back to their home country in a body bag.",2020-08-08 02:43:13+00:00,71
12,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs.",2020-08-06 11:49:58+00:00,"But why already know why their mental health is shot. They work 12 hour days, 6 days a week, hard conditions, with shit pay, and then they sleep in a small cramped conditions. Not to mention the whole covid-19 thing. This won’t be fixed by doctors, this will be fixed by proper union action, not capable under the current PAP apparatus.",2020-08-06 11:53:42+00:00,60
13,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs.",2020-08-06 11:49:58+00:00,"""I totally believe whatever it is you are saying about taking care of the migrant workers mental health.""-insert sarcastic tone-",2020-08-06 11:56:37+00:00,21
14,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs.",2020-08-06 11:49:58+00:00,I've become free from all my debts since I started with Anna Jeremy @_annafxtrader,2020-08-06 12:00:33+00:00,12
