,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"The authorities will review the measures if the Covid-19 situation in Singapore remains stable and under control, says Minister Lawrence Wong.

Link in bio @straits_times
📸: Lim Yaohui
#coronavirus #covid19 #StraitsTimes",2021-02-19 10:34:24+00:00,"If SG has stopped importing since last Sep/Oct, think by now we could already become a mask-free country",2021-02-19 15:31:05+00:00,18
1,"The authorities will review the measures if the Covid-19 situation in Singapore remains stable and under control, says Minister Lawrence Wong.

Link in bio @straits_times
📸: Lim Yaohui
#coronavirus #covid19 #StraitsTimes",2021-02-19 10:34:24+00:00,Everywhere so crowded already. Lol,2021-02-19 11:50:26+00:00,5
2,"The authorities will review the measures if the Covid-19 situation in Singapore remains stable and under control, says Minister Lawrence Wong.

Link in bio @straits_times
📸: Lim Yaohui
#coronavirus #covid19 #StraitsTimes",2021-02-19 10:34:24+00:00,push 1030 cut off to a later timing 🙏🏻🙏🏻,2021-02-19 11:10:06+00:00,7
4,"The authorities will review the measures if the Covid-19 situation in Singapore remains stable and under control, says Minister Lawrence Wong.

Link in bio @straits_times
📸: Lim Yaohui
#coronavirus #covid19 #StraitsTimes",2021-02-19 10:34:24+00:00,The 10.30pm cut off timing is ridiculous. Push that to midnight instead to help our local F&B businesses!,2021-02-20 04:42:35+00:00,19
5,"The authorities will review the measures if the Covid-19 situation in Singapore remains stable and under control, says Minister Lawrence Wong.

Link in bio @straits_times
📸: Lim Yaohui
#coronavirus #covid19 #StraitsTimes",2021-02-19 10:34:24+00:00,The 10.30pm cut off timing is ridiculous. Push that to midnight instead to help our local F&B businesses!,2021-02-20 04:43:51+00:00,19
6,"The authorities will review the measures if the Covid-19 situation in Singapore remains stable and under control, says Minister Lawrence Wong.

Link in bio @straits_times
📸: Lim Yaohui
#coronavirus #covid19 #StraitsTimes",2021-02-19 10:34:24+00:00,"Restrict so much on us Singaporean’s, but ownself never restrict and close the borders @papsingapore and ICAIf you truly care about us and want Singapore to be covid free, you should have keep the borders closeYou know why you all lose votes? 🗳",2021-02-19 19:10:18+00:00,42
7,"The number of new coronavirus cases reported worldwide dropped by 16% last week to 2.7 million. Covid-19 deaths also fell 10% week on week to 81,000, says @who.

Link in bio @straits_times
#coronavirus #covid19 #StraitsTimes",2021-02-18 03:27:34+00:00,Vaccines and tighter measures seem to be working.,2021-02-18 03:31:18+00:00,8
8,"The number of new coronavirus cases reported worldwide dropped by 16% last week to 2.7 million. Covid-19 deaths also fell 10% week on week to 81,000, says @who.

Link in bio @straits_times
#coronavirus #covid19 #StraitsTimes",2021-02-18 03:27:34+00:00,"apparently it dropped, cuz most of the people alr get covid 🙂",2021-02-18 03:50:02+00:00,11
9,"The number of new coronavirus cases reported worldwide dropped by 16% last week to 2.7 million. Covid-19 deaths also fell 10% week on week to 81,000, says @who.

Link in bio @straits_times
#coronavirus #covid19 #StraitsTimes",2021-02-18 03:27:34+00:00,what i don't understand is why Indonesia is in SEA but Malaysia is in Pacific??,2021-02-18 04:28:51+00:00,14
10,"The number of new coronavirus cases reported worldwide dropped by 16% last week to 2.7 million. Covid-19 deaths also fell 10% week on week to 81,000, says @who.

Link in bio @straits_times
#coronavirus #covid19 #StraitsTimes",2021-02-18 03:27:34+00:00,Many countries still don’t have active community testing,2021-02-18 03:46:53+00:00,9
13,"The number of new coronavirus cases reported worldwide dropped by 16% last week to 2.7 million. Covid-19 deaths also fell 10% week on week to 81,000, says @who.

Link in bio @straits_times
#coronavirus #covid19 #StraitsTimes",2021-02-18 03:27:34+00:00,"Sadly, US deaths reached 500,000 as target set by Biden.  This is despite new infection cases droppinh significantly.",2021-02-18 06:28:19+00:00,17
15,"The number of new coronavirus cases reported worldwide dropped by 16% last week to 2.7 million. Covid-19 deaths also fell 10% week on week to 81,000, says @who.

Link in bio @straits_times
#coronavirus #covid19 #StraitsTimes",2021-02-18 03:27:34+00:00,It cause of herd immunity ppl most ppl alr got covid & the vaccine prevention,2021-02-18 03:50:07+00:00,14
16,"The number of new coronavirus cases reported worldwide dropped by 16% last week to 2.7 million. Covid-19 deaths also fell 10% week on week to 81,000, says @who.

Link in bio @straits_times
#coronavirus #covid19 #StraitsTimes",2021-02-18 03:27:34+00:00,It's pointless to report decline in Covid-19 cases as people will start to be lax in the safety procedures,2021-02-18 07:57:53+00:00,18
17,"The number of new coronavirus cases reported worldwide dropped by 16% last week to 2.7 million. Covid-19 deaths also fell 10% week on week to 81,000, says @who.

Link in bio @straits_times
#coronavirus #covid19 #StraitsTimes",2021-02-18 03:27:34+00:00,Ok open the borders now I want to go maldives I got money,2021-02-18 03:40:03+00:00,13
19,"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Bless you both for your kind deeds,2021-02-15 04:24:15+00:00,7
20,"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Thought MOM was doing that ???,2021-02-15 04:36:10+00:00,5
21,"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Says something about the government not allowing them to get food...,2021-02-15 04:21:04+00:00,11
22,"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,GOD LOVE'S THE CHEERFUL GIVER GOD BLESS YOUR FAMILY WITH GOOD HEALTH,2021-02-15 04:33:10+00:00,11
23,"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,👏👏👏👏👏 - if this drive is going would love to contribute our little drop too 🙌🙌,2021-02-15 05:25:31+00:00,13
24,"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,😍😍😍❤️❤️❤️👏👏👏 Proud of me fellow kind hearted Singaporeans.,2021-02-15 04:29:24+00:00,7
26,"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Sending all the love to this family!,2021-02-15 08:35:31+00:00,7
27,"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Nice...good reason to be thick skin,2021-02-15 04:39:38+00:00,7
28,"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Bless you both for your kind deeds,2021-02-15 05:12:04+00:00,7
31,This Chinese New Year will be quite different amid the coronavirus pandemic. Here are 3 ways you can help keep Covid-19-free during this year's festivities.,2021-02-11 08:01:00+00:00,then what’s the point i wnat to die anyways so covid way it is,2021-02-11 08:06:51+00:00,15
32,This Chinese New Year will be quite different amid the coronavirus pandemic. Here are 3 ways you can help keep Covid-19-free during this year's festivities.,2021-02-11 08:01:00+00:00,Quite a nicely done video!,2021-02-11 08:09:36+00:00,5
33,This Chinese New Year will be quite different amid the coronavirus pandemic. Here are 3 ways you can help keep Covid-19-free during this year's festivities.,2021-02-11 08:01:00+00:00,This is so cute! Happy New year everyone. Order DELICIOUS PINEAPPLE TARTS from us 😍🔥,2021-02-11 08:58:12+00:00,14
35,This Chinese New Year will be quite different amid the coronavirus pandemic. Here are 3 ways you can help keep Covid-19-free during this year's festivities.,2021-02-11 08:01:00+00:00,OMG THAT GUY EATING LOHEI WITH THE CUT MASK. GOT ME THERE AND NOW I CANT STOP LAUGHING AHAHAHHAA,2021-02-12 02:04:14+00:00,19
36,This Chinese New Year will be quite different amid the coronavirus pandemic. Here are 3 ways you can help keep Covid-19-free during this year's festivities.,2021-02-11 08:01:00+00:00,OMG THAT GUY EATING LOHEI WITH THE CUT MASK. GOT ME THERE AND NOW I CANT STOP LAUGHING AHAHAHHAA,2021-02-12 02:04:30+00:00,19
41,"⭐️ Good luck to all students!

Take note, only those collecting their results will be allowed entry into schools, and they will be expected to observe Covid-19 safe management measures.

Link in bio @straits_times
#alevels #StraitsTimes",2021-02-10 04:45:19+00:00,Good luck to those collecting their A-Levels results 👏🏻❤️,2021-02-10 07:00:22+00:00,7
42,"⭐️ Good luck to all students!

Take note, only those collecting their results will be allowed entry into schools, and they will be expected to observe Covid-19 safe management measures.

Link in bio @straits_times
#alevels #StraitsTimes",2021-02-10 04:45:19+00:00,Good luck to everyone! Hope all get good grades!❤️,2021-02-13 01:07:51+00:00,9
43,"⭐️ Good luck to all students!

Take note, only those collecting their results will be allowed entry into schools, and they will be expected to observe Covid-19 safe management measures.

Link in bio @straits_times
#alevels #StraitsTimes",2021-02-10 04:45:19+00:00,Good luck to everyone! Hope all get good grades!❤️,2021-02-13 01:49:55+00:00,9
44,"""The school had rendered full support to the student and family for her medical treatment and return to school,"" says MOE.

After the incident, all height-based activities in schools were suspended and the suspension was extended till January owing to the Covid-19 situation.

The instructor was also removed from MOE's registry and has been suspended from offering services to all MOE schools.

Link in bio @straits_times
📸: Lianhe Zaobao
#highelement #StraitsTimes",2021-02-10 03:34:46+00:00,nani why now then reveal,2021-02-10 03:40:31+00:00,5
