,Post Description,Post Datetime,Comments,Comment Datetime,num_words
13,"“Alone, we can do so little; together, we can do so much”. These were the words of Helen Keller, an author and educator, who became blind and deaf at a young age.
 
Her words continue to ring true decades after her lifetime. Indeed, this is the spirit of Singapore Together, where we pull together our energy and resources, to help the vulnerable among us. The pandemic has disrupted lives, especially for those who are disadvantaged. But I’m heartened that many have stepped up.
 
Together with @edwintong and @tinpeiling I met staff and volunteers of the Care Community Services Society (CCSS) this morning, and several of their corporate partners. CCSS provides support for families, seniors and children who need extra help. Some of their corporate partners have been supporting CCSS for many years.  Although the volunteers have found it more difficult to run their operations, they have also been pleasantly surprised that many more people are coming forward to help.

Edwin, Pei Ling and I witnessed the launch of the SG Cares Volunteer Centres @ Geylang, which will be operated by CCSS. This new centre  seeks to grow volunteerism, build capabilities, and connect partners in the Geylang area to meet the needs of the local community.

To emerge stronger as a society, we must rally more Singaporeans to play a more active part in building our shared future. As we overcome the crisis and progress as a society, we must not leave anyone behind.
 
This latest SG Cares Volunteer Centre will add to our efforts to galvanise communities to action. I hope that the measures that I announced at #SGBudget2021, to encourage giving and support for our social sector agencies, will bring even more people to donate and volunteer.
 
My thanks to the team at CCSS and all our charitable organizations for your ‘heart’ work! Let us work together to build a caring and inclusive #SingaporeTogether.

(PMO Video by Arina Ong)",2021-02-23 08:22:27+00:00,Very Good! Keep it up!,2021-02-23 18:02:01+00:00,5
15,"“Alone, we can do so little; together, we can do so much”. These were the words of Helen Keller, an author and educator, who became blind and deaf at a young age.
 
Her words continue to ring true decades after her lifetime. Indeed, this is the spirit of Singapore Together, where we pull together our energy and resources, to help the vulnerable among us. The pandemic has disrupted lives, especially for those who are disadvantaged. But I’m heartened that many have stepped up.
 
Together with @edwintong and @tinpeiling I met staff and volunteers of the Care Community Services Society (CCSS) this morning, and several of their corporate partners. CCSS provides support for families, seniors and children who need extra help. Some of their corporate partners have been supporting CCSS for many years.  Although the volunteers have found it more difficult to run their operations, they have also been pleasantly surprised that many more people are coming forward to help.

Edwin, Pei Ling and I witnessed the launch of the SG Cares Volunteer Centres @ Geylang, which will be operated by CCSS. This new centre  seeks to grow volunteerism, build capabilities, and connect partners in the Geylang area to meet the needs of the local community.

To emerge stronger as a society, we must rally more Singaporeans to play a more active part in building our shared future. As we overcome the crisis and progress as a society, we must not leave anyone behind.
 
This latest SG Cares Volunteer Centre will add to our efforts to galvanise communities to action. I hope that the measures that I announced at #SGBudget2021, to encourage giving and support for our social sector agencies, will bring even more people to donate and volunteer.
 
My thanks to the team at CCSS and all our charitable organizations for your ‘heart’ work! Let us work together to build a caring and inclusive #SingaporeTogether.

(PMO Video by Arina Ong)",2021-02-23 08:22:27+00:00,Awesome initiative! There are skills and beneficial return on involvement (ROI) from well-planned volunteering opportunities.,2021-02-25 04:22:59+00:00,14
17,"“Alone, we can do so little; together, we can do so much”. These were the words of Helen Keller, an author and educator, who became blind and deaf at a young age.
 
Her words continue to ring true decades after her lifetime. Indeed, this is the spirit of Singapore Together, where we pull together our energy and resources, to help the vulnerable among us. The pandemic has disrupted lives, especially for those who are disadvantaged. But I’m heartened that many have stepped up.
 
Together with @edwintong and @tinpeiling I met staff and volunteers of the Care Community Services Society (CCSS) this morning, and several of their corporate partners. CCSS provides support for families, seniors and children who need extra help. Some of their corporate partners have been supporting CCSS for many years.  Although the volunteers have found it more difficult to run their operations, they have also been pleasantly surprised that many more people are coming forward to help.

Edwin, Pei Ling and I witnessed the launch of the SG Cares Volunteer Centres @ Geylang, which will be operated by CCSS. This new centre  seeks to grow volunteerism, build capabilities, and connect partners in the Geylang area to meet the needs of the local community.

To emerge stronger as a society, we must rally more Singaporeans to play a more active part in building our shared future. As we overcome the crisis and progress as a society, we must not leave anyone behind.
 
This latest SG Cares Volunteer Centre will add to our efforts to galvanise communities to action. I hope that the measures that I announced at #SGBudget2021, to encourage giving and support for our social sector agencies, will bring even more people to donate and volunteer.
 
My thanks to the team at CCSS and all our charitable organizations for your ‘heart’ work! Let us work together to build a caring and inclusive #SingaporeTogether.

(PMO Video by Arina Ong)",2021-02-23 08:22:27+00:00,"❤️ Thank you DPM Heng, and well done CCSS!!!",2021-02-23 10:07:51+00:00,8
18,"“Alone, we can do so little; together, we can do so much”. These were the words of Helen Keller, an author and educator, who became blind and deaf at a young age.
 
Her words continue to ring true decades after her lifetime. Indeed, this is the spirit of Singapore Together, where we pull together our energy and resources, to help the vulnerable among us. The pandemic has disrupted lives, especially for those who are disadvantaged. But I’m heartened that many have stepped up.
 
Together with @edwintong and @tinpeiling I met staff and volunteers of the Care Community Services Society (CCSS) this morning, and several of their corporate partners. CCSS provides support for families, seniors and children who need extra help. Some of their corporate partners have been supporting CCSS for many years.  Although the volunteers have found it more difficult to run their operations, they have also been pleasantly surprised that many more people are coming forward to help.

Edwin, Pei Ling and I witnessed the launch of the SG Cares Volunteer Centres @ Geylang, which will be operated by CCSS. This new centre  seeks to grow volunteerism, build capabilities, and connect partners in the Geylang area to meet the needs of the local community.

To emerge stronger as a society, we must rally more Singaporeans to play a more active part in building our shared future. As we overcome the crisis and progress as a society, we must not leave anyone behind.
 
This latest SG Cares Volunteer Centre will add to our efforts to galvanise communities to action. I hope that the measures that I announced at #SGBudget2021, to encourage giving and support for our social sector agencies, will bring even more people to donate and volunteer.
 
My thanks to the team at CCSS and all our charitable organizations for your ‘heart’ work! Let us work together to build a caring and inclusive #SingaporeTogether.

(PMO Video by Arina Ong)",2021-02-23 08:22:27+00:00,Thank you DPM Heng for rallying Singaporeans to do our part to strengthen our social fabric.,2021-02-25 07:01:12+00:00,16
24,"Last year, I launched the Singapore Together Emerging Stronger Conversations (ESC) as a platform for Singaporeans to reflect, share their stories, reimagine a post-COVID Singapore, and to forge a way forward through this crisis of a generation. ESC builds on the Singapore Together movement launched in 2019, for us to build a democracy of deeds and a society in action.&nbsp;

If you have participated in any of the ESCs this past year, you might be interested in today’s ESC report. It takes stock of what fellow Singaporeans like yourself have shared at these conversations over the past months.&nbsp;

Our future is bright and hope-filled, when we work together as one Singapore on ideas, issues and solutions. The ESCs are ongoing and you can also be a part of it by accessing the online ESC report at www.sg/EmergingStrongerConversations.&nbsp;

#SingaporeTogether
#EmergingStronger",2021-02-09 08:45:20+00:00,Stop violence against women and gender discrimination.Respect women🌹,2021-02-09 11:28:19+00:00,7
33,"#EveryWorkerMatters⁣
⁣
This is the commitment of @ntucsingapore, and is also a commitment that my Cabinet colleagues and I share.⁣
⁣
Our unionists played a key role in helping our workers and businesses during this crisis of a generation — maintaining a good pulse of the ground situation, helping affected workers transit into new job opportunities, and strengthening support for vulnerable worker segments.&nbsp;⁣
⁣
The crisis is far from over, but our collective tripartite effort to preserve livelihoods and protect our workers has borne fruit. Yesterday, the Ministry of Manpower reported that unemployment rates fell for the second consecutive month in December 2020, with resident employment rebounding to pre-COVID levels.⁣
⁣
For #SGBudget2021, I had a dialogue with more than 200 union leaders on Wednesday evening to hear their perspectives and gather feedback on where we can do better. As usual, they were candid, constructive and collaborative — a hallmark of our brand of tripartism.⁣
⁣
Growing our economy and rebuilding from a crisis will always be a tripartite effort. Just as we had recovered from and thrived after previous crises, I am confident that we can overcome COVID-19 and emerge stronger.",2021-01-29 11:41:01+00:00,If only we have #EveryWorkerMatters boss,2021-01-29 14:57:55+00:00,5
37,"Wishing our Hindu community a fulfilling and meaningful Thaipusam!&nbsp;

With the pandemic, celebrations might be more muted, but no less meaningful. In my usual commute past Tank Road over the past week, I could see preparations underway – with a large tentage providing shelter, and barriers to guide the safe movement of devotees. Many devotees were able to offer their prayers at Sri Thendayuthapani Temple today, and prayer proceedings were also live streamed online.&nbsp;

As we mark the Hindu community’s holy festival, it is also timely to reflect on and appreciate the race and religious harmony that we have achieved over the past decades. Yesterday’s detention of a youth who was planning to attack two mosques was a stark reminder that our peace and stability must not be taken for granted.&nbsp;

As our society becomes more diverse, we must work even harder to build a shared future with a stake for everyone, and keep at bay the forces of division and polarisation.&nbsp;&nbsp;

(A devotee praying outside Sri Thendayuthapani Temple on 2 January 2021. / The Straits Times © Singapore Press Holdings Limited. Reproduced with permission.)",2021-01-28 06:12:00+00:00,Warm wishes to Singaporean Hindu devotees. I miss the vibrant community spirit and the delicious food and hope to visit when borders reopen. 🙏,2021-01-28 08:14:17+00:00,23
46,"Innovation never stops, even in the midst of a global pandemic. As much as COVID-19 has stressed healthcare systems around the world, the virus has also given new impetus for healthcare innovation. Human health and potential are key pillars of our R&D plans for the next five years, which I announced last month. I am also glad that the drive for innovation is pervasive across all our public healthcare institutions.⁣
⁣
@cghsg, which is situated in East Coast, is one such example. CGH has continued to push the bounds of innovation, working in collaboration with external partners. I witnessed the signing of the collaboration between CGH and Shimadzu Asia Pacific today – the Shimadzu-CGH Clinomics Centre (SC3). This partnership brings together CGH’s clinical and research expertise and Shimadzu’s diagnostic and analytical capabilities.&nbsp;⁣
⁣
Congratulations to Prof Ng Wai Hoe and the CGH team, and to Shimadzu! I look forward to more of such public-private partnerships, as we explore new ways of collaboration to build a more vibrant and resilient future.⁣
⁣
(MCI Photos by Zinkie Aw)",2021-01-27 14:10:42+00:00,Good news amid the pandemic! Nice to see companies investing and partnering in Singapore 🇸🇬 keep it up! 🤝,2021-01-28 00:08:34+00:00,17
48,"Innovation never stops, even in the midst of a global pandemic. As much as COVID-19 has stressed healthcare systems around the world, the virus has also given new impetus for healthcare innovation. Human health and potential are key pillars of our R&D plans for the next five years, which I announced last month. I am also glad that the drive for innovation is pervasive across all our public healthcare institutions.⁣
⁣
@cghsg, which is situated in East Coast, is one such example. CGH has continued to push the bounds of innovation, working in collaboration with external partners. I witnessed the signing of the collaboration between CGH and Shimadzu Asia Pacific today – the Shimadzu-CGH Clinomics Centre (SC3). This partnership brings together CGH’s clinical and research expertise and Shimadzu’s diagnostic and analytical capabilities.&nbsp;⁣
⁣
Congratulations to Prof Ng Wai Hoe and the CGH team, and to Shimadzu! I look forward to more of such public-private partnerships, as we explore new ways of collaboration to build a more vibrant and resilient future.⁣
⁣
(MCI Photos by Zinkie Aw)",2021-01-27 14:10:42+00:00,"Good move and forward looking innovation ! 👍 hope we also have a vaccine manufacturing plant here,  so that we don't have to worry on delivery disruption.  In the midst of this pandemic,  our kind Government needs to be more prudent on purchasing the vaccines for everyone as not 100% are opting for it due to medical reasons or have anti-jab mindsets. Can save cost for other needy emergency use. Hope our nation remains robust with mountain wealth and it doesn't deplete to flatten hill wealth caused by this pandemic . 💪💪💪🙏💡",2021-01-30 01:24:14+00:00,84
49,"Innovation never stops, even in the midst of a global pandemic. As much as COVID-19 has stressed healthcare systems around the world, the virus has also given new impetus for healthcare innovation. Human health and potential are key pillars of our R&D plans for the next five years, which I announced last month. I am also glad that the drive for innovation is pervasive across all our public healthcare institutions.⁣
⁣
@cghsg, which is situated in East Coast, is one such example. CGH has continued to push the bounds of innovation, working in collaboration with external partners. I witnessed the signing of the collaboration between CGH and Shimadzu Asia Pacific today – the Shimadzu-CGH Clinomics Centre (SC3). This partnership brings together CGH’s clinical and research expertise and Shimadzu’s diagnostic and analytical capabilities.&nbsp;⁣
⁣
Congratulations to Prof Ng Wai Hoe and the CGH team, and to Shimadzu! I look forward to more of such public-private partnerships, as we explore new ways of collaboration to build a more vibrant and resilient future.⁣
⁣
(MCI Photos by Zinkie Aw)",2021-01-27 14:10:42+00:00,Hay what are you doing,2021-02-01 13:34:28+00:00,5
