,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"As a safe distancing ambassador, Mr Adrian Goh takes on a role similar to that of school prefects - to remind people that their behaviour is being monitored and they cannot flout Covid-19 rules with impunity.

In his job, he has encountered incidents both humorous and unpleasant. Read his story - link in bio @straits_times 

📸: Yong Li Xuan
#Covid19 #safedistancing #StraitsTimes",2021-02-21 05:41:52+00:00,My friend who works SDA also got complain said alot still do not follow the rules and yet tried to bully him whenever he is working and had no choice sometimes has to enforce the law. If everyone cooperate would  be better. Obey the rules and do not let Government give them the chance to fine you on the spot and take away your money cos it's not worth it. Overall SDA in here are doing their job. They also human like us trying to meet ends meet,2021-02-21 05:49:59+00:00,87
1,"As a safe distancing ambassador, Mr Adrian Goh takes on a role similar to that of school prefects - to remind people that their behaviour is being monitored and they cannot flout Covid-19 rules with impunity.

In his job, he has encountered incidents both humorous and unpleasant. Read his story - link in bio @straits_times 

📸: Yong Li Xuan
#Covid19 #safedistancing #StraitsTimes",2021-02-21 05:41:52+00:00,Young people in here nv show respect to SDA. As they hate to see them. They tend to challenge them when they were being approached.,2021-02-21 05:46:14+00:00,25
2,"As a safe distancing ambassador, Mr Adrian Goh takes on a role similar to that of school prefects - to remind people that their behaviour is being monitored and they cannot flout Covid-19 rules with impunity.

In his job, he has encountered incidents both humorous and unpleasant. Read his story - link in bio @straits_times 

📸: Yong Li Xuan
#Covid19 #safedistancing #StraitsTimes",2021-02-21 05:41:52+00:00,"Having worked as a safeentry ambassador and having talked to the safe distancing ambassadors, they are just normal people who took this job cause they need an income",2021-02-21 05:55:25+00:00,28
3,"As a safe distancing ambassador, Mr Adrian Goh takes on a role similar to that of school prefects - to remind people that their behaviour is being monitored and they cannot flout Covid-19 rules with impunity.

In his job, he has encountered incidents both humorous and unpleasant. Read his story - link in bio @straits_times 

📸: Yong Li Xuan
#Covid19 #safedistancing #StraitsTimes",2021-02-21 05:41:52+00:00,"Well done Mr Goh. You’re out there reminding those who need reminding to be safe. For themselves. And more importantly, for everyone else. Keep up the good and caring work 👏",2021-02-21 05:48:01+00:00,31
4,"As a safe distancing ambassador, Mr Adrian Goh takes on a role similar to that of school prefects - to remind people that their behaviour is being monitored and they cannot flout Covid-19 rules with impunity.

In his job, he has encountered incidents both humorous and unpleasant. Read his story - link in bio @straits_times 

📸: Yong Li Xuan
#Covid19 #safedistancing #StraitsTimes",2021-02-21 05:41:52+00:00,Respect for doing such a job as a safe distancing ambassador bcos you can be verbally n physically abused by some unreasonable people...,2021-02-21 05:47:39+00:00,23
5,"As a safe distancing ambassador, Mr Adrian Goh takes on a role similar to that of school prefects - to remind people that their behaviour is being monitored and they cannot flout Covid-19 rules with impunity.

In his job, he has encountered incidents both humorous and unpleasant. Read his story - link in bio @straits_times 

📸: Yong Li Xuan
#Covid19 #safedistancing #StraitsTimes",2021-02-21 05:41:52+00:00,"If u follow the rules, they don't have to approach you. Period ! 🙌",2021-02-21 07:15:56+00:00,11
8,"As a safe distancing ambassador, Mr Adrian Goh takes on a role similar to that of school prefects - to remind people that their behaviour is being monitored and they cannot flout Covid-19 rules with impunity.

In his job, he has encountered incidents both humorous and unpleasant. Read his story - link in bio @straits_times 

📸: Yong Li Xuan
#Covid19 #safedistancing #StraitsTimes",2021-02-21 05:41:52+00:00,Where is your mask sir,2021-02-21 06:21:42+00:00,5
9,"As a safe distancing ambassador, Mr Adrian Goh takes on a role similar to that of school prefects - to remind people that their behaviour is being monitored and they cannot flout Covid-19 rules with impunity.

In his job, he has encountered incidents both humorous and unpleasant. Read his story - link in bio @straits_times 

📸: Yong Li Xuan
#Covid19 #safedistancing #StraitsTimes",2021-02-21 05:41:52+00:00,Technically they do work for the govt...,2021-02-21 06:47:00+00:00,7
10,"As a safe distancing ambassador, Mr Adrian Goh takes on a role similar to that of school prefects - to remind people that their behaviour is being monitored and they cannot flout Covid-19 rules with impunity.

In his job, he has encountered incidents both humorous and unpleasant. Read his story - link in bio @straits_times 

📸: Yong Li Xuan
#Covid19 #safedistancing #StraitsTimes",2021-02-21 05:41:52+00:00,Same boat then don't fine la. No wonder u get sack. If i am the captain i also want you off my boat,2021-02-21 15:31:33+00:00,22
11,"As a safe distancing ambassador, Mr Adrian Goh takes on a role similar to that of school prefects - to remind people that their behaviour is being monitored and they cannot flout Covid-19 rules with impunity.

In his job, he has encountered incidents both humorous and unpleasant. Read his story - link in bio @straits_times 

📸: Yong Li Xuan
#Covid19 #safedistancing #StraitsTimes",2021-02-21 05:41:52+00:00,oh wait .. I thought God existed,2021-02-23 00:42:40+00:00,6
