,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.,2020-03-18 09:49:10+00:00,Why no social distancing though? It is not about the class size,2020-03-18 10:00:38+00:00,12
2,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.,2020-03-18 09:49:10+00:00,A good theme for a class in SG and SMU. Too many students forget that they  are in social diversified country and region.,2020-03-18 10:36:00+00:00,23
4,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.,2020-03-18 09:49:10+00:00,Should have come to mine!,2020-03-18 10:53:04+00:00,5
7,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.,2020-03-18 09:49:10+00:00,"Welcome to SMU, sir! :) Glad to e-meet you during my elevator pitch today :D I was part of the group where my friend shared about the online alarm clock app for students! 😁",2020-03-18 16:36:18+00:00,30
8,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.,2020-03-18 09:49:10+00:00,Why only Minister is observing the distancing protocol ?,2020-03-19 03:16:48+00:00,8
10,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.,2020-03-18 09:49:10+00:00,Nice! Good to see that the students are all still in good spirits too. 🙌,2020-03-19 12:49:57+00:00,14
11,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.,2020-03-18 09:49:10+00:00,"Dear Minister, find out what it is like being the only socially distant person in the room: chng.it/JTtXgNFfCr",2020-03-20 04:01:52+00:00,17
14,"We officially started the Sea-Air Vaccination Exercise for our frontliners working at our borders on 18 Jan 2021. 

The attached graph shows the progress made in the maritime sector. 

The top horizontal line shows the number of frontline workers eligible - 18k. 

The first line bordering the blue area shows the number that got their first dose over the last 1.5 months. The number now stands at 17.6k, or 98% of eligible frontline maritime personnel. 

The second line bordering the green area shows the number who have received the second dose of the COVID-19 vaccine. 16.7k have, and in the coming days, almost all would have. 

This means that substantially all frontline maritime workers will be vaccinated, and this is a major step in securing our borders and minimising import cases infiltrating our community, and strengthening international confidence in our maritime hub. 

I thank the various stakeholders - @maritime_sg, EDB, EnterpriseSG, SMOU, SOS, SSA, ASMI, @moh_singapore, Fullerton Health, maritime companies, and also workers and their families, for their tremendous support. 

#MaritimeSGSteadyLah
#MaritimeSG",2021-03-01 01:30:34+00:00,❤️❤️❤️ Well done! Thank you for protecting our frontline specialists.,2021-03-01 01:35:20+00:00,9
15,"We officially started the Sea-Air Vaccination Exercise for our frontliners working at our borders on 18 Jan 2021. 

The attached graph shows the progress made in the maritime sector. 

The top horizontal line shows the number of frontline workers eligible - 18k. 

The first line bordering the blue area shows the number that got their first dose over the last 1.5 months. The number now stands at 17.6k, or 98% of eligible frontline maritime personnel. 

The second line bordering the green area shows the number who have received the second dose of the COVID-19 vaccine. 16.7k have, and in the coming days, almost all would have. 

This means that substantially all frontline maritime workers will be vaccinated, and this is a major step in securing our borders and minimising import cases infiltrating our community, and strengthening international confidence in our maritime hub. 

I thank the various stakeholders - @maritime_sg, EDB, EnterpriseSG, SMOU, SOS, SSA, ASMI, @moh_singapore, Fullerton Health, maritime companies, and also workers and their families, for their tremendous support. 

#MaritimeSGSteadyLah
#MaritimeSG",2021-03-01 01:30:34+00:00,Wishing a merry time ahead for our maritime sector.,2021-03-01 02:17:06+00:00,9
16,"My fellow Sembawang GRC MPs spoke in Parliament during the Budget Debate over the last two days.

Dr Lim Wee Kiak called for the rebate package for taxi and private hire drivers to be brought forward, which Government has followed up on.

Ms Mariam explained why when evaluating Singaporeâ€™s carbon emission, we need to take into account of the fact that Singapore is a city state which provides aviation, maritime and chemical processing services to the rest of the world.

Ms Poh Li San spoke about how Singapore, despite its limitations, has set a good international example on sustainability and conservation.

Mr Vikram Nair had useful suggestions on how to encourage more people to receive Covid-19 vaccinations.

Thank you to the voices of Sembawang MPs! #MakeSembawangSpecial",2021-02-27 09:56:04+00:00,Very nice of you to be profiling your team of MPs. Good leadership! 😊,2021-02-27 09:58:17+00:00,13
17,"My fellow Sembawang GRC MPs spoke in Parliament during the Budget Debate over the last two days.

Dr Lim Wee Kiak called for the rebate package for taxi and private hire drivers to be brought forward, which Government has followed up on.

Ms Mariam explained why when evaluating Singaporeâ€™s carbon emission, we need to take into account of the fact that Singapore is a city state which provides aviation, maritime and chemical processing services to the rest of the world.

Ms Poh Li San spoke about how Singapore, despite its limitations, has set a good international example on sustainability and conservation.

Mr Vikram Nair had useful suggestions on how to encourage more people to receive Covid-19 vaccinations.

Thank you to the voices of Sembawang MPs! #MakeSembawangSpecial",2021-02-27 09:56:04+00:00,"Spore should look into the efficiency of public service so that people can take bus or MRT  to work. But my area has the worst public transport in Spore, it is at Petir Road, I used to wait for bus no. 973 for 11 to 14 mins during peak hour to go home. Complained many times to MP but nothing done, worst thing is only one bus service is available😭😭",2021-02-27 12:26:41+00:00,67
