,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"Parliament today passed the Supply Bill, which means that Parliament has given its approval for the Government’s spending plans, totaling $107 billion, for the new fiscal year. This came after more than 70 hours of robust debate in Parliament, with 65 members speaking during the debate of the Budget Statement. The Bill will now be sent to President to seek her assent, before the Bill becomes law.⁣
⁣
As we enter into the second year of the pandemic, we are shifting gears. We will continue to tackle the immediate challenges. But this Budget’s central focus is on how we – all of us – can emerge stronger from this crisis – as an economy, as a society, and as one people. The Budget builds on the support that we provided in earlier Budgets, and the shared values that we stand for as Singaporeans. The investments that we are making this year and in the years ahead will put us on a stronger path to create a shared future for all.⁣
⁣
Having debated our Ministries’ plans to emerge stronger from COVID-19, the focus will now be on galvanising collective action to turn policies and resources into action. As one of our founding fathers Mr S. Rajaratnam said, Singapore must be a “democracy of deeds”. We will ensure that the funds are used well, to achieve maximal outcomes. More importantly, we will rally Singaporeans to work together, as we navigate the winds of change and waves of opportunities, to thrive in a post-COVID world.⁣
⁣
([1] Photo from @parl_sg, [2] Photo from @singaporemci)",2021-03-08 12:28:11+00:00,"I so happy to be S'porean,clean n safe 👍👏",2021-03-08 13:47:46+00:00,8
4,"Parliament today passed the Supply Bill, which means that Parliament has given its approval for the Government’s spending plans, totaling $107 billion, for the new fiscal year. This came after more than 70 hours of robust debate in Parliament, with 65 members speaking during the debate of the Budget Statement. The Bill will now be sent to President to seek her assent, before the Bill becomes law.⁣
⁣
As we enter into the second year of the pandemic, we are shifting gears. We will continue to tackle the immediate challenges. But this Budget’s central focus is on how we – all of us – can emerge stronger from this crisis – as an economy, as a society, and as one people. The Budget builds on the support that we provided in earlier Budgets, and the shared values that we stand for as Singaporeans. The investments that we are making this year and in the years ahead will put us on a stronger path to create a shared future for all.⁣
⁣
Having debated our Ministries’ plans to emerge stronger from COVID-19, the focus will now be on galvanising collective action to turn policies and resources into action. As one of our founding fathers Mr S. Rajaratnam said, Singapore must be a “democracy of deeds”. We will ensure that the funds are used well, to achieve maximal outcomes. More importantly, we will rally Singaporeans to work together, as we navigate the winds of change and waves of opportunities, to thrive in a post-COVID world.⁣
⁣
([1] Photo from @parl_sg, [2] Photo from @singaporemci)",2021-03-08 12:28:11+00:00,Very Glad the Budget Supply Bill has been passed.,2021-03-09 03:08:31+00:00,9
10,"Parliament today passed the Supply Bill, which means that Parliament has given its approval for the Government’s spending plans, totaling $107 billion, for the new fiscal year. This came after more than 70 hours of robust debate in Parliament, with 65 members speaking during the debate of the Budget Statement. The Bill will now be sent to President to seek her assent, before the Bill becomes law.⁣
⁣
As we enter into the second year of the pandemic, we are shifting gears. We will continue to tackle the immediate challenges. But this Budget’s central focus is on how we – all of us – can emerge stronger from this crisis – as an economy, as a society, and as one people. The Budget builds on the support that we provided in earlier Budgets, and the shared values that we stand for as Singaporeans. The investments that we are making this year and in the years ahead will put us on a stronger path to create a shared future for all.⁣
⁣
Having debated our Ministries’ plans to emerge stronger from COVID-19, the focus will now be on galvanising collective action to turn policies and resources into action. As one of our founding fathers Mr S. Rajaratnam said, Singapore must be a “democracy of deeds”. We will ensure that the funds are used well, to achieve maximal outcomes. More importantly, we will rally Singaporeans to work together, as we navigate the winds of change and waves of opportunities, to thrive in a post-COVID world.⁣
⁣
([1] Photo from @parl_sg, [2] Photo from @singaporemci)",2021-03-08 12:28:11+00:00,"Ma'am you're indeed a great lady to be called ,I assure you that I will bring my friends to invest with you because of the excellent work you did for me ,I will keep sharing the good news about you @janealfredfx",2021-03-08 15:11:38+00:00,38
18,"Emerging stronger as an economy is a key focus of Budget 2021. Our economic agencies are giving their best to ensure that our workers and companies can adapt and thrive in a post-COVID world. MTI and MOM presented these plans at the Committee of Supply debate in Parliament yesterday and today.  

While we can debate the specifics of each scheme, we must never forget the big picture: how do we develop a vibrant economy that can provide all Singaporean workers with a better life? Uplifting our workers, and in particular our lower wage workers, remains the highest priority for this Government.

This is why in October last year, I encouraged Minister @joteo.ylm to work with NTUC Secretary General @ng.chee.meng and the President of the Singapore National Employers Federation Dr Robert Yap to set up a Tripartite Workgroup on Lower-Wage Workers.  

I am happy that the workgroup has developed a roadmap for a major expansion of the Progressive Wage Model, by extending to sectors such as food services and retail. In the short term, this will more than double the PWM’s coverage from the existing 85,000 workers to 218,000 workers. Our ambition is to have some form of PWM in the longer-term for all sectors in Singapore. 

As we continue to transform our economy to emerge stronger from this crisis, let us do so together, and leave no worker behind.  

(Engaged with restaurant staff during my visit to @rasasentosa with @ntucsingapore Sec-Gen Ng Chee Meng on Chinese New Year’s Eve 2021. / MCI Photo by Lim Sin Thai)",2021-03-03 14:33:19+00:00,👏👏👏👏Late HON. LKY Noted Mr.Heng Is the BEST Secretary he had... 👏👏👏😍😍😍❤️❤️,2021-03-04 07:26:16+00:00,10
22,"What do you hope to achieve with the Emerging Stronger Together Budget? This question was posed to me by a youth at the East Coast Conversation yesterday, which was centered on #SGBudget2021.⁣
⁣
I explained to him that the Budget Statement was our strategic plan for the future. We are seeking not just to tackle immediate challenges, but to also enable our people and companies to emerge stronger from this crisis. And key to this is how we are able to work together and bring the best out of each other.⁣
⁣
The discussion covered a wide range of issues, from jobs and the economy, to household support, to GST and Electric Vehicles. I am glad that many understood the difficult choices that had to be made. Together, we can resolve to tackle the challenges from COVID-19 and secure a brighter future for Singapore in the post-pandemic world.⁣
⁣
The Budget process is an ongoing one. If you have feedback to share on #SGBudget2021, do visit www.reach.gov.sg/budget2021. I look forward to hearing from you!",2021-03-01 09:04:30+00:00,What a happy day. I received my payout today and I'm so excited all thanks to she who made it possible @official_annmcphil,2021-03-01 10:58:44+00:00,20
25,"Drawing on Past Reserves for the 2nd year in a row was a difficult decision. The discipline of balancing budgets is the cornerstone of our financial resilience.⁣
⁣
Early in the crisis, I sought the President’s approval to draw on the Reserves to deal decisively with the crisis, to save lives and livelihoods. As we enter the 2nd year of this crisis, we continue to tackle immediate challenges and provide targeted support to hard-hit sectors. Taken together, we expect to draw up to $53.7b in FY2020-2021.⁣
⁣
In my Budget Statement, I explained that if economic recovery progresses on track, we expect to fund the expenditures for the remainder of this term of Government without having to further draw on Reserves. But the global outlook is highly uncertain, and we must be prepared for a scenario where recovery is bumpier and takes much longer.⁣
⁣
If the economic and fiscal situations turn out to be worse than expected, we should still stay the course to invest for the longer term to emerge stronger. In such a scenario, how then do we continue to ensure good fiscal discipline?⁣
⁣
This issue is not unique to Singapore. Some countries have legislatively binding debt ceilings. In Germany, known for its fiscal rectitude, the issue of further suspension of the ‘debt brake’ was hotly debated.⁣
⁣
If the situation worsens, we may need to approach the President for a further draw on Past Reserves to continue funding investments that will enable Singapore to emerge stronger in the midst of this unprecedented crisis. We should then think hard about how we can ensure that if we need to draw on Past Reserves for this purpose, we can, over time, build this back.⁣
⁣
We have benefited during this crisis from the prudence and long-term orientation of previous generations. We owe it to future generations to exercise this prudence and ensure they can deal with future crises. I will say more at my Round-Up Speech.⁣
⁣
If we rally together and make the best choices to position us well for the longer term, I am confident that we can emerge stronger and build a better future for our children.⁣
⁣
(MCI Photo by Zinkie Aw)",2021-02-24 04:30:06+00:00,❤️ the best finance minister SG ever has. caring goes a long way 👏,2021-02-24 04:48:37+00:00,12
26,"Drawing on Past Reserves for the 2nd year in a row was a difficult decision. The discipline of balancing budgets is the cornerstone of our financial resilience.⁣
⁣
Early in the crisis, I sought the President’s approval to draw on the Reserves to deal decisively with the crisis, to save lives and livelihoods. As we enter the 2nd year of this crisis, we continue to tackle immediate challenges and provide targeted support to hard-hit sectors. Taken together, we expect to draw up to $53.7b in FY2020-2021.⁣
⁣
In my Budget Statement, I explained that if economic recovery progresses on track, we expect to fund the expenditures for the remainder of this term of Government without having to further draw on Reserves. But the global outlook is highly uncertain, and we must be prepared for a scenario where recovery is bumpier and takes much longer.⁣
⁣
If the economic and fiscal situations turn out to be worse than expected, we should still stay the course to invest for the longer term to emerge stronger. In such a scenario, how then do we continue to ensure good fiscal discipline?⁣
⁣
This issue is not unique to Singapore. Some countries have legislatively binding debt ceilings. In Germany, known for its fiscal rectitude, the issue of further suspension of the ‘debt brake’ was hotly debated.⁣
⁣
If the situation worsens, we may need to approach the President for a further draw on Past Reserves to continue funding investments that will enable Singapore to emerge stronger in the midst of this unprecedented crisis. We should then think hard about how we can ensure that if we need to draw on Past Reserves for this purpose, we can, over time, build this back.⁣
⁣
We have benefited during this crisis from the prudence and long-term orientation of previous generations. We owe it to future generations to exercise this prudence and ensure they can deal with future crises. I will say more at my Round-Up Speech.⁣
⁣
If we rally together and make the best choices to position us well for the longer term, I am confident that we can emerge stronger and build a better future for our children.⁣
⁣
(MCI Photo by Zinkie Aw)",2021-02-24 04:30:06+00:00,Mr heng the best is provide support to everyone. Not just a certain class of people.,2021-02-24 05:36:30+00:00,16
27,"Drawing on Past Reserves for the 2nd year in a row was a difficult decision. The discipline of balancing budgets is the cornerstone of our financial resilience.⁣
⁣
Early in the crisis, I sought the President’s approval to draw on the Reserves to deal decisively with the crisis, to save lives and livelihoods. As we enter the 2nd year of this crisis, we continue to tackle immediate challenges and provide targeted support to hard-hit sectors. Taken together, we expect to draw up to $53.7b in FY2020-2021.⁣
⁣
In my Budget Statement, I explained that if economic recovery progresses on track, we expect to fund the expenditures for the remainder of this term of Government without having to further draw on Reserves. But the global outlook is highly uncertain, and we must be prepared for a scenario where recovery is bumpier and takes much longer.⁣
⁣
If the economic and fiscal situations turn out to be worse than expected, we should still stay the course to invest for the longer term to emerge stronger. In such a scenario, how then do we continue to ensure good fiscal discipline?⁣
⁣
This issue is not unique to Singapore. Some countries have legislatively binding debt ceilings. In Germany, known for its fiscal rectitude, the issue of further suspension of the ‘debt brake’ was hotly debated.⁣
⁣
If the situation worsens, we may need to approach the President for a further draw on Past Reserves to continue funding investments that will enable Singapore to emerge stronger in the midst of this unprecedented crisis. We should then think hard about how we can ensure that if we need to draw on Past Reserves for this purpose, we can, over time, build this back.⁣
⁣
We have benefited during this crisis from the prudence and long-term orientation of previous generations. We owe it to future generations to exercise this prudence and ensure they can deal with future crises. I will say more at my Round-Up Speech.⁣
⁣
If we rally together and make the best choices to position us well for the longer term, I am confident that we can emerge stronger and build a better future for our children.⁣
⁣
(MCI Photo by Zinkie Aw)",2021-02-24 04:30:06+00:00,"Thank you Minister Heng that we continue to take the long term view rather than a short sighted approach! It is painful in the short run and some will question why not offer more cash in hand and payouts, but ultimately we should continue to be faithful to our principles and considerate to those that come after us!",2021-02-24 05:11:54+00:00,58
32,"Drawing on Past Reserves for the 2nd year in a row was a difficult decision. The discipline of balancing budgets is the cornerstone of our financial resilience.⁣
⁣
Early in the crisis, I sought the President’s approval to draw on the Reserves to deal decisively with the crisis, to save lives and livelihoods. As we enter the 2nd year of this crisis, we continue to tackle immediate challenges and provide targeted support to hard-hit sectors. Taken together, we expect to draw up to $53.7b in FY2020-2021.⁣
⁣
In my Budget Statement, I explained that if economic recovery progresses on track, we expect to fund the expenditures for the remainder of this term of Government without having to further draw on Reserves. But the global outlook is highly uncertain, and we must be prepared for a scenario where recovery is bumpier and takes much longer.⁣
⁣
If the economic and fiscal situations turn out to be worse than expected, we should still stay the course to invest for the longer term to emerge stronger. In such a scenario, how then do we continue to ensure good fiscal discipline?⁣
⁣
This issue is not unique to Singapore. Some countries have legislatively binding debt ceilings. In Germany, known for its fiscal rectitude, the issue of further suspension of the ‘debt brake’ was hotly debated.⁣
⁣
If the situation worsens, we may need to approach the President for a further draw on Past Reserves to continue funding investments that will enable Singapore to emerge stronger in the midst of this unprecedented crisis. We should then think hard about how we can ensure that if we need to draw on Past Reserves for this purpose, we can, over time, build this back.⁣
⁣
We have benefited during this crisis from the prudence and long-term orientation of previous generations. We owe it to future generations to exercise this prudence and ensure they can deal with future crises. I will say more at my Round-Up Speech.⁣
⁣
If we rally together and make the best choices to position us well for the longer term, I am confident that we can emerge stronger and build a better future for our children.⁣
⁣
(MCI Photo by Zinkie Aw)",2021-02-24 04:30:06+00:00,Thank you very much DPM Sir for helping everyone here👏,2021-02-24 12:12:40+00:00,10
33,"Drawing on Past Reserves for the 2nd year in a row was a difficult decision. The discipline of balancing budgets is the cornerstone of our financial resilience.⁣
⁣
Early in the crisis, I sought the President’s approval to draw on the Reserves to deal decisively with the crisis, to save lives and livelihoods. As we enter the 2nd year of this crisis, we continue to tackle immediate challenges and provide targeted support to hard-hit sectors. Taken together, we expect to draw up to $53.7b in FY2020-2021.⁣
⁣
In my Budget Statement, I explained that if economic recovery progresses on track, we expect to fund the expenditures for the remainder of this term of Government without having to further draw on Reserves. But the global outlook is highly uncertain, and we must be prepared for a scenario where recovery is bumpier and takes much longer.⁣
⁣
If the economic and fiscal situations turn out to be worse than expected, we should still stay the course to invest for the longer term to emerge stronger. In such a scenario, how then do we continue to ensure good fiscal discipline?⁣
⁣
This issue is not unique to Singapore. Some countries have legislatively binding debt ceilings. In Germany, known for its fiscal rectitude, the issue of further suspension of the ‘debt brake’ was hotly debated.⁣
⁣
If the situation worsens, we may need to approach the President for a further draw on Past Reserves to continue funding investments that will enable Singapore to emerge stronger in the midst of this unprecedented crisis. We should then think hard about how we can ensure that if we need to draw on Past Reserves for this purpose, we can, over time, build this back.⁣
⁣
We have benefited during this crisis from the prudence and long-term orientation of previous generations. We owe it to future generations to exercise this prudence and ensure they can deal with future crises. I will say more at my Round-Up Speech.⁣
⁣
If we rally together and make the best choices to position us well for the longer term, I am confident that we can emerge stronger and build a better future for our children.⁣
⁣
(MCI Photo by Zinkie Aw)",2021-02-24 04:30:06+00:00,Desperate Times Call for Desperate Measures,2021-02-24 07:48:01+00:00,6
