,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,I don't want to use the trace token,2020-12-13 08:01:25+00:00,7
1,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,When will there be a replenishment for the token? Don't want to use the app.. it drains the phone battery fast,2020-12-16 15:45:26+00:00,20
3,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,do i have to use wifi/ data to check in,2020-12-27 01:40:32+00:00,10
4,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,"Hi,It might be good, as covid spreads in aerosol AIRBORNE and direct transmission, to add another layer of protection. On top to the Measures by MOH to be applied to all Businesses, Employees nad Employer in Singapore..I AM ONLY GIVING FEEDBACKWE CAN MANDATE1. Install Counter Shield thick plastic or glass in all of OUR Cashier/Concierge/Customer Service countersREASON: STAFF & CUSTOMERS are constanly interact with one another, hence speech droplets are produce, although they wore facemask, 2. All of our temperature Checker to wear both Facemask, FaceShield and install COUNTER SHIELD CLEAR PLASTIC OR GLASS IN CHECK IN/OUT COUNTERSREASON: Same reason as the 1st. Staff and people see each other face to face.3. Install Table Shield Arcylic glass/clear thick plastic in all of our dine in TablesREASON: PEOPLE in dine in will remove Facemask when eating, hence breath and speech droplets are release in airThis will add additional protection specially to all service staff and make everyone feel even safer while VISITING, BUSINESS, shopping or dining in.THANK YOU",2021-01-01 15:56:30+00:00,169
5,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,"Is it true? Anyone from NZ does not have to be quarantined, if they have negative Covid-19 test results??",2021-01-02 11:19:31+00:00,19
6,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,is it true that doctors are allowed to deny medical treatment like hormone therapy if @moesingapore decides that a student doesn't deserve healthcare?,2021-01-16 15:50:33+00:00,21
7,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,Where is the vote consolidated from @moh_singapore ? My doubts just getting stronger,2021-01-28 02:25:41+00:00,11
8,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,Hello!! U tell people a little bit of flu a little bit of cough & runny nose pls go & see doctor. Any how also cost $25. Why dnt U let us pay by medisave or shut up yr mouth,2021-02-08 03:09:02+00:00,37
9,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,U say chronic illness then can pay by medisave outpatient cost. How many chronic illness that person must have to use up 40-50k of medisave saving with U?? A big joke,2021-02-08 03:13:47+00:00,31
10,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,"Hello, We are health professionals of the international collective : United Health Professionals, composed of more than 1,500 members (including professors of medicine, intensive care physicians, infectious disease specialists and politicians) from different countries of Europe, Africa, America, Asia and Oceania and we have this very urgent letter about COVID-19 for Ms. Halimah Yacob : President of Singapore, Mr. Lee Hsien Loong : Prime Minister and Mr. Gan Kim Yong : Singapore Health Minister : https://drive.google.com/file/d/1REmCcYpSHslRRTYEAcBaU41H-QiCAMtA/view?usp=sharing Can you forward our letter to them ? We thank you for your attention and we await your reply with interest. Sincerely yours,",2021-02-08 11:29:52+00:00,91
11,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,"The international collective : United Health Professionals, Our names and professions (from page 19) : https://drive.google.com/file/d/1hghf8Bh3AIUi5HxrnPA8FZeQqo77e_xN/view",2021-02-08 11:30:15+00:00,12
12,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg.",2020-12-11 11:57:33+00:00,"Good day! I have sent you a message, kindly check. Thank you!",2021-02-23 10:45:10+00:00,12
