,Post Description,Post Datetime,Comments,Comment Datetime,num_words
1,"✈️ 🇸🇬 connect@changi - a quarantine-free ‘bubble’ facility for business travellers to conduct meetings in a safe and contained environment - has been launched at singapore expo, with first guests expected to arrive in march 2021. 

watch our video!
for more info, click on the link in bio @todayonline 

#connectatchangi #singapore #singaporenews @singaporeexpo #singaporediscovers #business #businesstrip #businesstravel #businesstraveller #covid_19 #travelduringcovid #travellingduringcovid #innovation #meetingspace #meetingvenue #meetingplace",2021-02-20 13:03:56+00:00,"Thank you for being there for me when it was hard. @real_carolin  All I needed at the time was a trader, and you came along and showed me that some trader can be more than family.",2021-02-20 16:45:34+00:00,35
2,"✈️ 🇸🇬 connect@changi - a quarantine-free ‘bubble’ facility for business travellers to conduct meetings in a safe and contained environment - has been launched at singapore expo, with first guests expected to arrive in march 2021. 

watch our video!
for more info, click on the link in bio @todayonline 

#connectatchangi #singapore #singaporenews @singaporeexpo #singaporediscovers #business #businesstrip #businesstravel #businesstraveller #covid_19 #travelduringcovid #travellingduringcovid #innovation #meetingspace #meetingvenue #meetingplace",2021-02-20 13:03:56+00:00,How does this help the hotel MICE ?,2021-02-21 01:34:26+00:00,7
4,"✈️ 🇸🇬 connect@changi - a quarantine-free ‘bubble’ facility for business travellers to conduct meetings in a safe and contained environment - has been launched at singapore expo, with first guests expected to arrive in march 2021. 

watch our video!
for more info, click on the link in bio @todayonline 

#connectatchangi #singapore #singaporenews @singaporeexpo #singaporediscovers #business #businesstrip #businesstravel #businesstraveller #covid_19 #travelduringcovid #travellingduringcovid #innovation #meetingspace #meetingvenue #meetingplace",2021-02-20 13:03:56+00:00,Great idea to keep moving. Well-done to all involve in this initiative,2021-02-22 07:36:16+00:00,11
5,"💰 budget 2021 will be delivered tomorrow. 

what’s a k-shaped recovery?

click on the link in bio @todayonline to read on.

#budget #budget2021 #2021 #hengsweekeat #finance #singapore #economy",2021-02-15 03:51:22+00:00,Only few days ago i wished for #hengsweekeat to appear on tv with budget announcement. Seems like my wish came true. #carefulwhatyouwishfor 😂😂😂,2021-02-15 03:57:55+00:00,20
7,"💰 budget 2021 will be delivered tomorrow. 

what’s a k-shaped recovery?

click on the link in bio @todayonline to read on.

#budget #budget2021 #2021 #hengsweekeat #finance #singapore #economy",2021-02-15 03:51:22+00:00,I choose investing with @official_annmcphil over my job yeah I quit my job because in few weeks of trading with her I made $45000 which is way higher than my monthly salary ... thank you so much @official_annmcphil,2021-02-15 08:24:57+00:00,34
10,"be prepared. there is a lot to take in. 

every singaporean aged 18 and over will receive $100 in singaporediscovers vouchers from dec 1, 2020 to jun 30, 2021.the $100 can be used for tours, attraction tickets and staycations bookable at five authorised platforms. there are also physical booths set up islandwide to help those who need assistance to set up their singpass accounts, or to book experiences. 

each adult singaporean can redeem up to six child/youth subsidies (that's a $10 discount per child/youth ticket) for family members aged below 18. 

how to redeem the vouchers online? tip: have your singpass details ready. 

step 1: start shopping for experiences on one of the five authorised booking partners’ websites. eligible products are marked with the singaporediscovers vouchers icon.

step 2: select the experiences and dates you wish to book and add to cart. when you’re ready to pay, click on ‘use singaporediscovers vouchers’ at checkout. 

step 3: log in with singpass...

read on, when you click on the link in bio @todayonline 

#singapore #voucher #singaporediscovers #singaporediscoversvouchers",2020-11-25 05:11:44+00:00,I’m old money collector I buy old UAE 🇦🇪 🇲🇾MYR <10k> per one ☝ 🇸🇬SGD <10k> per one ☝ 🇧🇳BRU <10k> per one ☝I buy old MAL 🇲🇾(coins$ notes)10kkmyr per☝️old Sin🇸🇬(coins$note)10ksgd per☝️OLD BRU🇧🇳(coins$notes)10ksgd per☝️ YA ALLAH 🙏🙏🙏✅✅✅✅.....!!!!!!!!!!,2020-11-25 08:48:59+00:00,35
11,"be prepared. there is a lot to take in. 

every singaporean aged 18 and over will receive $100 in singaporediscovers vouchers from dec 1, 2020 to jun 30, 2021.the $100 can be used for tours, attraction tickets and staycations bookable at five authorised platforms. there are also physical booths set up islandwide to help those who need assistance to set up their singpass accounts, or to book experiences. 

each adult singaporean can redeem up to six child/youth subsidies (that's a $10 discount per child/youth ticket) for family members aged below 18. 

how to redeem the vouchers online? tip: have your singpass details ready. 

step 1: start shopping for experiences on one of the five authorised booking partners’ websites. eligible products are marked with the singaporediscovers vouchers icon.

step 2: select the experiences and dates you wish to book and add to cart. when you’re ready to pay, click on ‘use singaporediscovers vouchers’ at checkout. 

step 3: log in with singpass...

read on, when you click on the link in bio @todayonline 

#singapore #voucher #singaporediscovers #singaporediscoversvouchers",2020-11-25 05:11:44+00:00,Why are there so many fucking bots,2020-11-25 09:56:05+00:00,7
13,"be prepared. there is a lot to take in. 

every singaporean aged 18 and over will receive $100 in singaporediscovers vouchers from dec 1, 2020 to jun 30, 2021.the $100 can be used for tours, attraction tickets and staycations bookable at five authorised platforms. there are also physical booths set up islandwide to help those who need assistance to set up their singpass accounts, or to book experiences. 

each adult singaporean can redeem up to six child/youth subsidies (that's a $10 discount per child/youth ticket) for family members aged below 18. 

how to redeem the vouchers online? tip: have your singpass details ready. 

step 1: start shopping for experiences on one of the five authorised booking partners’ websites. eligible products are marked with the singaporediscovers vouchers icon.

step 2: select the experiences and dates you wish to book and add to cart. when you’re ready to pay, click on ‘use singaporediscovers vouchers’ at checkout. 

step 3: log in with singpass...

read on, when you click on the link in bio @todayonline 

#singapore #voucher #singaporediscovers #singaporediscoversvouchers",2020-11-25 05:11:44+00:00,Better keep it for yourself to used lah.,2020-11-25 12:07:32+00:00,8
14,"be prepared. there is a lot to take in. 

every singaporean aged 18 and over will receive $100 in singaporediscovers vouchers from dec 1, 2020 to jun 30, 2021.the $100 can be used for tours, attraction tickets and staycations bookable at five authorised platforms. there are also physical booths set up islandwide to help those who need assistance to set up their singpass accounts, or to book experiences. 

each adult singaporean can redeem up to six child/youth subsidies (that's a $10 discount per child/youth ticket) for family members aged below 18. 

how to redeem the vouchers online? tip: have your singpass details ready. 

step 1: start shopping for experiences on one of the five authorised booking partners’ websites. eligible products are marked with the singaporediscovers vouchers icon.

step 2: select the experiences and dates you wish to book and add to cart. when you’re ready to pay, click on ‘use singaporediscovers vouchers’ at checkout. 

step 3: log in with singpass...

read on, when you click on the link in bio @todayonline 

#singapore #voucher #singaporediscovers #singaporediscoversvouchers",2020-11-25 05:11:44+00:00,Ugly little dot you give people free $10 billion travel voucher also no one will come to see,2020-11-25 12:30:47+00:00,17
16,"be prepared. there is a lot to take in. 

every singaporean aged 18 and over will receive $100 in singaporediscovers vouchers from dec 1, 2020 to jun 30, 2021.the $100 can be used for tours, attraction tickets and staycations bookable at five authorised platforms. there are also physical booths set up islandwide to help those who need assistance to set up their singpass accounts, or to book experiences. 

each adult singaporean can redeem up to six child/youth subsidies (that's a $10 discount per child/youth ticket) for family members aged below 18. 

how to redeem the vouchers online? tip: have your singpass details ready. 

step 1: start shopping for experiences on one of the five authorised booking partners’ websites. eligible products are marked with the singaporediscovers vouchers icon.

step 2: select the experiences and dates you wish to book and add to cart. when you’re ready to pay, click on ‘use singaporediscovers vouchers’ at checkout. 

step 3: log in with singpass...

read on, when you click on the link in bio @todayonline 

#singapore #voucher #singaporediscovers #singaporediscoversvouchers",2020-11-25 05:11:44+00:00,What kind of market is mummy Tracy Wong pooi Yee in ? What kind of product will you creates for mummy Tracy Wong pooi Yee who is waiting for her children to come home while the father flirting with all mistresses and Ministry of social and family with corruption? How can she kill the time while waiting for good new of her children returning home soon ? Which market are suitable for mummy Tracy Wong pooi Yee ? Any recommendations while mummy Tracy Wong pooi Yee waiting for the corruptions to stop ?,2020-11-25 19:46:44+00:00,89
21,"part of the singapore tourism board’s singaporediscovers campaign.

an eclectic mix of local guided tours and workshops in december will offer a behind-the-scenes look at geylang's red light district and migrant worker dormitories, singpost's mail distribution centre and the kelongs off changi point, in the inaugural my community festival.

other programmes include tours around toa payoh’s funeral parlours, where an undertaker will show participants how bodies are prepared for funerals, and visits to traditional craftsmen including tay guan heng, who is believed to be singapore’s last joss stick maker.

the festival is being organised by my community, a non-profit organisation that promotes community heritage by managing community museums and holding neighbourhood tours and festivals.

more details, when you click on the link in bio @todayonline 

photos: @mycommunitysg; singpost

@singapore @visit_singapore @stb_sg #singaporediscovers",2020-11-21 02:00:14+00:00,@arko.bagchi they’re stealing ur job,2020-11-21 17:55:18+00:00,5
23,"part of the singapore tourism board’s singaporediscovers campaign.

an eclectic mix of local guided tours and workshops in december will offer a behind-the-scenes look at geylang's red light district and migrant worker dormitories, singpost's mail distribution centre and the kelongs off changi point, in the inaugural my community festival.

other programmes include tours around toa payoh’s funeral parlours, where an undertaker will show participants how bodies are prepared for funerals, and visits to traditional craftsmen including tay guan heng, who is believed to be singapore’s last joss stick maker.

the festival is being organised by my community, a non-profit organisation that promotes community heritage by managing community museums and holding neighbourhood tours and festivals.

more details, when you click on the link in bio @todayonline 

photos: @mycommunitysg; singpost

@singapore @visit_singapore @stb_sg #singaporediscovers",2020-11-21 02:00:14+00:00,Wah! How do i sign up,2020-11-23 14:24:59+00:00,6
24,"singapoliday time! 

each singaporean aged 18 and above (as of 2020) will get $100 in singaporediscovers vouchers that can be used for attraction tickets, hotel stays and local tours in singapore from dec 1, 2020 to june 30, 2021. these will be distributed in denominations of $10.

there are five authorised online platforms to redeem the vouchers: changi recommends, trip.com, klook, globaltix, and traveloka. you will need to use your singpass account to claim your vouchers.

for those who are unable to redeem their vouchers digitally, there will be physical touchpoints set up by booking platforms. stb is also working with the people’s association to set up physical booths at some community centres (ccs).

where can you use your singaporediscovers vouchers?
there are over 200 merchants where you can use those singaporediscover vouchers — 37 attractions, 164 hotels and 79 tour operators are on the list at press time.

for the full (and very handy) list of the attractions, hotels and local tours you can use your singaporediscovers vouchers at, click on the link in bio @todayonline 

photo: unsplash 

#singapore #singaporediscovers #voucher #supportllocal #supportlocalsg",2020-11-20 09:15:20+00:00,"I was so excited when I saw payment of $5000, what a boost! Exactly what I needed right now, thank you so much for the successful payment @official_consultantbrianna",2020-11-20 09:50:08+00:00,26
26,"singapoliday time! 

each singaporean aged 18 and above (as of 2020) will get $100 in singaporediscovers vouchers that can be used for attraction tickets, hotel stays and local tours in singapore from dec 1, 2020 to june 30, 2021. these will be distributed in denominations of $10.

there are five authorised online platforms to redeem the vouchers: changi recommends, trip.com, klook, globaltix, and traveloka. you will need to use your singpass account to claim your vouchers.

for those who are unable to redeem their vouchers digitally, there will be physical touchpoints set up by booking platforms. stb is also working with the people’s association to set up physical booths at some community centres (ccs).

where can you use your singaporediscovers vouchers?
there are over 200 merchants where you can use those singaporediscover vouchers — 37 attractions, 164 hotels and 79 tour operators are on the list at press time.

for the full (and very handy) list of the attractions, hotels and local tours you can use your singaporediscovers vouchers at, click on the link in bio @todayonline 

photo: unsplash 

#singapore #singaporediscovers #voucher #supportllocal #supportlocalsg",2020-11-20 09:15:20+00:00,$100 dollar you got to pay few hundred dollar more and more.,2020-11-20 12:11:59+00:00,11
27,"singapoliday time! 

each singaporean aged 18 and above (as of 2020) will get $100 in singaporediscovers vouchers that can be used for attraction tickets, hotel stays and local tours in singapore from dec 1, 2020 to june 30, 2021. these will be distributed in denominations of $10.

there are five authorised online platforms to redeem the vouchers: changi recommends, trip.com, klook, globaltix, and traveloka. you will need to use your singpass account to claim your vouchers.

for those who are unable to redeem their vouchers digitally, there will be physical touchpoints set up by booking platforms. stb is also working with the people’s association to set up physical booths at some community centres (ccs).

where can you use your singaporediscovers vouchers?
there are over 200 merchants where you can use those singaporediscover vouchers — 37 attractions, 164 hotels and 79 tour operators are on the list at press time.

for the full (and very handy) list of the attractions, hotels and local tours you can use your singaporediscovers vouchers at, click on the link in bio @todayonline 

photo: unsplash 

#singapore #singaporediscovers #voucher #supportllocal #supportlocalsg",2020-11-20 09:15:20+00:00,Red light district LETS GO,2020-11-20 12:35:35+00:00,5
28,"singapoliday time! 

each singaporean aged 18 and above (as of 2020) will get $100 in singaporediscovers vouchers that can be used for attraction tickets, hotel stays and local tours in singapore from dec 1, 2020 to june 30, 2021. these will be distributed in denominations of $10.

there are five authorised online platforms to redeem the vouchers: changi recommends, trip.com, klook, globaltix, and traveloka. you will need to use your singpass account to claim your vouchers.

for those who are unable to redeem their vouchers digitally, there will be physical touchpoints set up by booking platforms. stb is also working with the people’s association to set up physical booths at some community centres (ccs).

where can you use your singaporediscovers vouchers?
there are over 200 merchants where you can use those singaporediscover vouchers — 37 attractions, 164 hotels and 79 tour operators are on the list at press time.

for the full (and very handy) list of the attractions, hotels and local tours you can use your singaporediscovers vouchers at, click on the link in bio @todayonline 

photo: unsplash 

#singapore #singaporediscovers #voucher #supportllocal #supportlocalsg",2020-11-20 09:15:20+00:00,With $100 I can go a few attractions ! 👍🏻👏🏻💪🏻❤️🇸🇬,2020-11-20 13:13:13+00:00,7
30,"singapoliday time! 

each singaporean aged 18 and above (as of 2020) will get $100 in singaporediscovers vouchers that can be used for attraction tickets, hotel stays and local tours in singapore from dec 1, 2020 to june 30, 2021. these will be distributed in denominations of $10.

there are five authorised online platforms to redeem the vouchers: changi recommends, trip.com, klook, globaltix, and traveloka. you will need to use your singpass account to claim your vouchers.

for those who are unable to redeem their vouchers digitally, there will be physical touchpoints set up by booking platforms. stb is also working with the people’s association to set up physical booths at some community centres (ccs).

where can you use your singaporediscovers vouchers?
there are over 200 merchants where you can use those singaporediscover vouchers — 37 attractions, 164 hotels and 79 tour operators are on the list at press time.

for the full (and very handy) list of the attractions, hotels and local tours you can use your singaporediscovers vouchers at, click on the link in bio @todayonline 

photo: unsplash 

#singapore #singaporediscovers #voucher #supportllocal #supportlocalsg",2020-11-20 09:15:20+00:00,We can go river safari with these vouchers @joshualyx,2020-11-20 16:44:26+00:00,8
31,"singapoliday time! 

each singaporean aged 18 and above (as of 2020) will get $100 in singaporediscovers vouchers that can be used for attraction tickets, hotel stays and local tours in singapore from dec 1, 2020 to june 30, 2021. these will be distributed in denominations of $10.

there are five authorised online platforms to redeem the vouchers: changi recommends, trip.com, klook, globaltix, and traveloka. you will need to use your singpass account to claim your vouchers.

for those who are unable to redeem their vouchers digitally, there will be physical touchpoints set up by booking platforms. stb is also working with the people’s association to set up physical booths at some community centres (ccs).

where can you use your singaporediscovers vouchers?
there are over 200 merchants where you can use those singaporediscover vouchers — 37 attractions, 164 hotels and 79 tour operators are on the list at press time.

for the full (and very handy) list of the attractions, hotels and local tours you can use your singaporediscovers vouchers at, click on the link in bio @todayonline 

photo: unsplash 

#singapore #singaporediscovers #voucher #supportllocal #supportlocalsg",2020-11-20 09:15:20+00:00,Dont give a fucking flying fuck,2020-11-21 04:01:48+00:00,6
32,"singapoliday time! 

each singaporean aged 18 and above (as of 2020) will get $100 in singaporediscovers vouchers that can be used for attraction tickets, hotel stays and local tours in singapore from dec 1, 2020 to june 30, 2021. these will be distributed in denominations of $10.

there are five authorised online platforms to redeem the vouchers: changi recommends, trip.com, klook, globaltix, and traveloka. you will need to use your singpass account to claim your vouchers.

for those who are unable to redeem their vouchers digitally, there will be physical touchpoints set up by booking platforms. stb is also working with the people’s association to set up physical booths at some community centres (ccs).

where can you use your singaporediscovers vouchers?
there are over 200 merchants where you can use those singaporediscover vouchers — 37 attractions, 164 hotels and 79 tour operators are on the list at press time.

for the full (and very handy) list of the attractions, hotels and local tours you can use your singaporediscovers vouchers at, click on the link in bio @todayonline 

photo: unsplash 

#singapore #singaporediscovers #voucher #supportllocal #supportlocalsg",2020-11-20 09:15:20+00:00,"Great news for the youngsters but for the elderly,its of no use... Maybe they shud have other alternative for the elderly..😕",2020-11-21 16:43:37+00:00,22
