,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,"Now boomers can only complain ""gAhmEn tRacKinG u"" while using it",2020-10-21 10:18:30+00:00,11
1,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,why are they forcing us to use two different systems,2020-10-21 10:24:26+00:00,10
2,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,"Make Trace Together user-friendly 1st please just like singpass mobile app.. i do not have to scan QR code, i just need to search for location... I do not wish to stand and block others way just because I have to scan in.. work on that before you would like to implement it.. Thank You!",2020-10-21 10:26:18+00:00,53
3,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,what but i don’t bring phone to school then how ah,2020-10-21 11:23:05+00:00,12
4,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,1984. The monitor which is always in your house is now mobile. Good grief. The G is watching you 24/7🥶,2020-10-21 11:59:32+00:00,18
5,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,Where’s my tolen then haha,2020-10-21 12:22:58+00:00,6
8,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,*goverment wants to know your location*,2020-10-21 13:07:02+00:00,6
10,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,What's the fucking point of tracetogether when you still have to scan the QR code like the same thing with safeentry? Seems like they're just digitizing for digitizing's sake to look like they're streamlining and making things more efficient 🤦,2020-10-21 20:11:03+00:00,35
11,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,What if i forget to bring out my phone but only have IC on hand,2020-10-21 22:45:35+00:00,15
12,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,Iphone trying to make it easier to check in & check out with singpass only for govt to be like “Time for Trace Together”👀,2020-10-21 23:05:13+00:00,23
13,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,tf. the app is fucking useless. drain so much battery,2020-10-22 05:06:52+00:00,10
14,"not long now! 

by december, it will be compulsory to use the tracetogether mobile application or token to check in at venues such as workplaces, schools, malls as well as food and beverage outlets under the government's plan to further reopen the economy.

at these venues, people will not be able to check in by scanning their identification cards or safeentry qr codes with their phones, the smart nation and digital government office said in a statement yesterday.

instead, they will have to either use the tracetogether app to scan a qr code at the premises or have the staff there scan the qr code found on their token.

currently, only the use of safeentry is compulsory.

read on, when you click on the link in bio @todayonline 

#trace #tracker #tracetogether #covid_19 #corona #covid #government #sg #app",2020-10-21 10:11:00+00:00,Where to get tracetogether token?,2020-10-23 04:06:21+00:00,5
