,Post Description,Post Datetime,Comments,Comment Datetime,num_words
1,"the ministry of health is investigating a family cluster of five cases from two households who had taken part in family gatherings.

the five comprise two female teenagers aged 14 and 17 and three males aged 12, 20 and 21.

they were listed as contacts of ""case 56627"", a 13-year-old boy previously described as a community case with no known source of infection.

""these individuals had participated in family gatherings, and investigations are ongoing to see if there were any breaches of safe distancing rules,"" moh said.

more details, in the link in bio @todayonline",2020-09-01 03:00:43+00:00,New definition of toxic family members 🤭 hahahaha,2020-09-01 03:54:28+00:00,7
2,"the ministry of health is investigating a family cluster of five cases from two households who had taken part in family gatherings.

the five comprise two female teenagers aged 14 and 17 and three males aged 12, 20 and 21.

they were listed as contacts of ""case 56627"", a 13-year-old boy previously described as a community case with no known source of infection.

""these individuals had participated in family gatherings, and investigations are ongoing to see if there were any breaches of safe distancing rules,"" moh said.

more details, in the link in bio @todayonline",2020-09-01 03:00:43+00:00,@todayonline why stop report number of case in Singapore ?,2020-09-01 04:00:05+00:00,8
3,"clearly, social distancing was out in full force.

thousands of partygoers packed into a water park over the weekend in the central chinese city of wuhan - where the coronavirus first emerged late last year.

the popular wuhan maya beach water park was filled with people frolicking in swimsuits and goggles for an electronic music festival. 

some of the crowd had donned life jackets, but none of the tightly-packed partygoers were seen to be wearing face masks.

more details, in the link in bio @todayonline",2020-08-19 03:30:26+00:00,wuhan virus coming back to wuhan,2020-08-19 10:14:05+00:00,6
5,"clearly, social distancing was out in full force.

thousands of partygoers packed into a water park over the weekend in the central chinese city of wuhan - where the coronavirus first emerged late last year.

the popular wuhan maya beach water park was filled with people frolicking in swimsuits and goggles for an electronic music festival. 

some of the crowd had donned life jackets, but none of the tightly-packed partygoers were seen to be wearing face masks.

more details, in the link in bio @todayonline",2020-08-19 03:30:26+00:00,well that doesn’t look very safe,2020-08-19 12:43:02+00:00,7
6,"clearly, social distancing was out in full force.

thousands of partygoers packed into a water park over the weekend in the central chinese city of wuhan - where the coronavirus first emerged late last year.

the popular wuhan maya beach water park was filled with people frolicking in swimsuits and goggles for an electronic music festival. 

some of the crowd had donned life jackets, but none of the tightly-packed partygoers were seen to be wearing face masks.

more details, in the link in bio @todayonline",2020-08-19 03:30:26+00:00,Covid-19: super huge Buffet time. Yummy,2020-08-19 12:50:57+00:00,6
7,"clearly, social distancing was out in full force.

thousands of partygoers packed into a water park over the weekend in the central chinese city of wuhan - where the coronavirus first emerged late last year.

the popular wuhan maya beach water park was filled with people frolicking in swimsuits and goggles for an electronic music festival. 

some of the crowd had donned life jackets, but none of the tightly-packed partygoers were seen to be wearing face masks.

more details, in the link in bio @todayonline",2020-08-19 03:30:26+00:00,So how now? US going to supply their material at where now?,2020-08-19 14:02:27+00:00,12
8,"clearly, social distancing was out in full force.

thousands of partygoers packed into a water park over the weekend in the central chinese city of wuhan - where the coronavirus first emerged late last year.

the popular wuhan maya beach water park was filled with people frolicking in swimsuits and goggles for an electronic music festival. 

some of the crowd had donned life jackets, but none of the tightly-packed partygoers were seen to be wearing face masks.

more details, in the link in bio @todayonline",2020-08-19 03:30:26+00:00,Just spat in the face of the whole world lmao the audacity of them,2020-08-19 17:13:26+00:00,14
11,"clearly, social distancing was out in full force.

thousands of partygoers packed into a water park over the weekend in the central chinese city of wuhan - where the coronavirus first emerged late last year.

the popular wuhan maya beach water park was filled with people frolicking in swimsuits and goggles for an electronic music festival. 

some of the crowd had donned life jackets, but none of the tightly-packed partygoers were seen to be wearing face masks.

more details, in the link in bio @todayonline",2020-08-19 03:30:26+00:00,How many took a shower before entering the pool ? 😂,2020-08-19 20:13:21+00:00,9
14,"clearly, social distancing was out in full force.

thousands of partygoers packed into a water park over the weekend in the central chinese city of wuhan - where the coronavirus first emerged late last year.

the popular wuhan maya beach water park was filled with people frolicking in swimsuits and goggles for an electronic music festival. 

some of the crowd had donned life jackets, but none of the tightly-packed partygoers were seen to be wearing face masks.

more details, in the link in bio @todayonline",2020-08-19 03:30:26+00:00,You could say that they are eager for that next wave of the pandemic - pun fully intended.,2020-08-20 07:32:08+00:00,17
15,"the kind of passenger that's every taxi driver's worst nightmare. ⁣⁣⁣
⁣⁣⁣
in this story, the taxi driver is 71 year old mr chua. ⁣⁣⁣
⁣⁣⁣
a woman boarded his taxi along ang mo kio avenue 10. she was not wearing a mask, and asked to borrow mr chua's mobile phone. ⁣⁣⁣
⁣⁣⁣
“throughout the 17-minute journey, she made numerous calls and refused to return the phone despite repeated requests from my dad,” wrote mr chua's son in a facebook post, in an appeal to the public to help find the woman. ⁣⁣⁣
⁣⁣⁣
upon reaching the destination, the woman alighted without paying the fare, and when the elderly taxi driver followed her, she attacked him with a wooden pizza board that she picked up from one of the restaurants.⁣⁣⁣
⁣⁣⁣
the woman is believed to be involved in previous&nbsp;cases of fare evasion. she will also be&nbsp;investigated for breaching safe distancing measures.⁣⁣⁣
⁣⁣⁣
#linkinbio for the full article",2020-07-17 03:13:08+00:00,"The Armenia-Azerbaijan Nagorno-Karabakh conflict started with the Armenians` open territorial claims to Azerbaijan`s historical lands and ethnic provocations in 1988. From 1987 to 1989, more than 250,000 Azerbaijanis were expelled from their historical lands#KarabakhisAzerbaijan",2020-07-17 09:20:14+00:00,29
