,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"Travel restrictions have been a real challenge for families in Singapore whose children, for one reason or another, have been residing across the border in Malaysia. We have worked tirelessly to bring many Singaporean minors home.⠀
 ⠀
Proud of the dedication of our public officers in facilitating their return. ⠀
 ⠀
#SGUnited #SGTogether",2020-11-03 08:36:25+00:00,Hello I buy old MALAYSIA 🇲🇾 (coin$note)10kmyr per☝️Old Sin🇸🇬 (coin$note)10ksgd per☝️Old BRU(coin$note)10kbnd per☝️YA ALLAH🙏💼💼💯💯💯💯,2020-11-03 08:44:19+00:00,17
4,"Some members of the public have asked, during the open segment of the MFA Town Hall, about the potential opening of our borders. I know many are eager to travel again, be it to neighbouring countries or further, for business or to visit relatives. Others have, on the other hand, urged caution about opening up borders too quickly. ⠀
⠀
The reality is that we have to be prepared that overseas travel even to nearby destinations will not return to its pre-COVID-19 state in the near to medium term. But we must re-build our external links gradually, carefully, and pragmatically. Singapore has implemented the Singapore-China Fast Lane for Essential Travel, and we are in discussions with other countries to establish reciprocal green lane arrangements.⠀
⠀
In addition, we are working with Malaysia to address the needs of cross-border travellers. These arrangements will have to include mutually agreed public health protocols, to preserve the public health and safety of citizens on both sides. Discussions will take time, and we have to be thorough to ensure a stable recovery from the COVID-19 situation.⠀
⠀
Transcript of my remarks here: https://go.gov.sg/mfa-townhall-22june",2020-06-23 03:18:51+00:00,"Be calm, be safe & be vigilant",2020-06-23 04:12:50+00:00,6
11,"Some members of the public have asked, during the open segment of the MFA Town Hall, about the potential opening of our borders. I know many are eager to travel again, be it to neighbouring countries or further, for business or to visit relatives. Others have, on the other hand, urged caution about opening up borders too quickly. ⠀
⠀
The reality is that we have to be prepared that overseas travel even to nearby destinations will not return to its pre-COVID-19 state in the near to medium term. But we must re-build our external links gradually, carefully, and pragmatically. Singapore has implemented the Singapore-China Fast Lane for Essential Travel, and we are in discussions with other countries to establish reciprocal green lane arrangements.⠀
⠀
In addition, we are working with Malaysia to address the needs of cross-border travellers. These arrangements will have to include mutually agreed public health protocols, to preserve the public health and safety of citizens on both sides. Discussions will take time, and we have to be thorough to ensure a stable recovery from the COVID-19 situation.⠀
⠀
Transcript of my remarks here: https://go.gov.sg/mfa-townhall-22june",2020-06-23 03:18:51+00:00,New cases everywhere in Asian countries. How to open border. Not now. Better practise vigilance.,2020-06-23 14:39:54+00:00,15
12,"Some members of the public have asked, during the open segment of the MFA Town Hall, about the potential opening of our borders. I know many are eager to travel again, be it to neighbouring countries or further, for business or to visit relatives. Others have, on the other hand, urged caution about opening up borders too quickly. ⠀
⠀
The reality is that we have to be prepared that overseas travel even to nearby destinations will not return to its pre-COVID-19 state in the near to medium term. But we must re-build our external links gradually, carefully, and pragmatically. Singapore has implemented the Singapore-China Fast Lane for Essential Travel, and we are in discussions with other countries to establish reciprocal green lane arrangements.⠀
⠀
In addition, we are working with Malaysia to address the needs of cross-border travellers. These arrangements will have to include mutually agreed public health protocols, to preserve the public health and safety of citizens on both sides. Discussions will take time, and we have to be thorough to ensure a stable recovery from the COVID-19 situation.⠀
⠀
Transcript of my remarks here: https://go.gov.sg/mfa-townhall-22june",2020-06-23 03:18:51+00:00,"We TRUST you and your whole teams' judgement, careful planning and foresight. Thank u🙏",2020-06-23 14:43:13+00:00,14
14,"Some members of the public have asked, during the open segment of the MFA Town Hall, about the potential opening of our borders. I know many are eager to travel again, be it to neighbouring countries or further, for business or to visit relatives. Others have, on the other hand, urged caution about opening up borders too quickly. ⠀
⠀
The reality is that we have to be prepared that overseas travel even to nearby destinations will not return to its pre-COVID-19 state in the near to medium term. But we must re-build our external links gradually, carefully, and pragmatically. Singapore has implemented the Singapore-China Fast Lane for Essential Travel, and we are in discussions with other countries to establish reciprocal green lane arrangements.⠀
⠀
In addition, we are working with Malaysia to address the needs of cross-border travellers. These arrangements will have to include mutually agreed public health protocols, to preserve the public health and safety of citizens on both sides. Discussions will take time, and we have to be thorough to ensure a stable recovery from the COVID-19 situation.⠀
⠀
Transcript of my remarks here: https://go.gov.sg/mfa-townhall-22june",2020-06-23 03:18:51+00:00,Thank you for your efforts to open up the borders safely..we have elderly across the border to care for,2020-06-24 01:13:20+00:00,20
15,"We are in Phase One of the post-Circuit Breaker period and have to carefully and safely restore some normalcy to our lives, especially on the work front. One key question is how to re-enable safe travel for essential business and official purposes.⠀ ⠀
A Singapore-China ‘fast lane’ was launched on 8 June 2020. Both sides have formulated detailed precautions to ensure that cross border transmission does not occur.⠀ ⠀
Singapore is discussing similar arrangements with other partners. The gradual and safe reopening of our borders will help underpin Singapore’s position as a safe and reliable business, financial and aviation hub for the region.⠀
⠀
More details in the press statement here: https://go.gov.sg/9i5zy5",2020-06-08 14:17:24+00:00,"When are we opening flights to Chennai, India? We need to travel back to SG",2020-06-08 14:33:29+00:00,15
16,"We are in Phase One of the post-Circuit Breaker period and have to carefully and safely restore some normalcy to our lives, especially on the work front. One key question is how to re-enable safe travel for essential business and official purposes.⠀ ⠀
A Singapore-China ‘fast lane’ was launched on 8 June 2020. Both sides have formulated detailed precautions to ensure that cross border transmission does not occur.⠀ ⠀
Singapore is discussing similar arrangements with other partners. The gradual and safe reopening of our borders will help underpin Singapore’s position as a safe and reliable business, financial and aviation hub for the region.⠀
⠀
More details in the press statement here: https://go.gov.sg/9i5zy5",2020-06-08 14:17:24+00:00,"Sir any updates on flight from India, also once the flights resume will it be necessary to get approval from ministry of man power for those who have valid employment pass. Currently most of the applications are rejected or on pending status. It’s been three months I have been stuck in India and waiting to come back.",2020-06-08 14:48:30+00:00,58
21,"Residents may continue to collect their masks at various locations till 12 April.⠀
⠀
Our #Cashew grassroots volunteers serving at our mask distribution centres. Thank you all! ⠀
⠀
#SGUnited #SGTogether⠀",2020-04-05 13:41:13+00:00,Stay safe and distance yourself you never know,2020-04-05 14:00:34+00:00,8
23,"Residents may continue to collect their masks at various locations till 12 April.⠀
⠀
Our #Cashew grassroots volunteers serving at our mask distribution centres. Thank you all! ⠀
⠀
#SGUnited #SGTogether⠀",2020-04-05 13:41:13+00:00,We got our masks today. Thank you #Singapore #SGunited #SGTogether #HillviewCC,2020-04-05 14:10:34+00:00,7
24,"Residents may continue to collect their masks at various locations till 12 April.⠀
⠀
Our #Cashew grassroots volunteers serving at our mask distribution centres. Thank you all! ⠀
⠀
#SGUnited #SGTogether⠀",2020-04-05 13:41:13+00:00,Please wear mask Sir. Be safe as you are meeting many residents.,2020-04-05 14:23:25+00:00,12
