,name,comment,processed_text,demojize_text
0,jojobascrubs84,Never do bad things scared for what,"['never', 'bad', 'thing', 'scare']",Never do bad things scared for what
1,octifi_lifestyle,But when the pandemic will be over...,['pandem'],But when the pandemic will be over...
2,_eijiewa_,The question is when the pandemic will be over,"['question', 'pandem']",The question is when the pandemic will be over
3,kenkopite,@vivianbalakrishnan What does 'taking full responsibility' mean to you? From the YOG budget till now this - how many mistakes have you made? And @leehsienloong what is your take on these mistakes?,"['full', 'respons', 'mean', 'yog', 'budget', 'till', 'mani', 'mistak', 'made', 'take', 'mistak']",@vivianbalakrishnan What does 'taking full responsibility' mean to you? From the YOG budget till now this - how many mistakes have you made? And @leehsienloong what is your take on these mistakes?
4,liyanloves,"I feel that even after pandemic is over, we could still have contact tracing to protect ourselves from any danger especially ladies.","['feel', 'even', 'pandem', 'could', 'still', 'contact', 'trace', 'protect', 'danger', 'especi', 'ladi']","I feel that even after pandemic is over, we could still have contact tracing to protect ourselves from any danger especially ladies."
5,ong_kian_y,“I take full responsibility” Trump “it’s not my fault”,"['take', 'full', 'respons', 'trump', 'fault']",“I take full responsibility” Trump “it’s not my fault”
6,kimotakaa,"i dont get it , Tracetogether sole purpose was to ensure safety of singaporeans during this pandemic . So how are they using the data from Tracetogether to help solve a murder be so bad afterall ? What if it was crucial data?? Maybe it is their fault but come on la if they dont use it just think about the families on the other spectrum. im not a pap dude but come on what hes doing is helping in solving the crime what harm has that got to do with anything ?","['dont', 'get', 'tracetogeth', 'sole', 'purpos', 'ensur', 'safeti', 'singaporean', 'pandem', 'use', 'data', 'tracetogeth', 'help', 'solv', 'murder', 'bad', 'afteral', 'crucial', 'data', 'mayb', 'fault', 'come', 'la', 'dont', 'use', 'think', 'famili', 'spectrum', 'im', 'pap', 'dude', 'come', 'he', 'help', 'solv', 'crime', 'harm', 'got', 'anyth']","i dont get it , Tracetogether sole purpose was to ensure safety of singaporeans during this pandemic . So how are they using the data from Tracetogether to help solve a murder be so bad afterall ? What if it was crucial data?? Maybe it is their fault but come on la if they dont use it just think about the families on the other spectrum. im not a pap dude but come on what hes doing is helping in solving the crime what harm has that got to do with anything ?"
7,kenkopite,"@vivianbalakrishnan Can you please explain how did you give the statement that TT data would only be used for contact tracing purposes in June 2020, which is 1 month AFTER TT data had already been accessed by the police in May 2020 for a case investigation?","['pleas', 'explain', 'give', 'statement', 'tt', 'data', 'would', 'use', 'contact', 'trace', 'purpos', 'june', 'month', 'tt', 'data', 'alreadi', 'access', 'polic', 'may', 'case', 'investig']","@vivianbalakrishnan Can you please explain how did you give the statement that TT data would only be used for contact tracing purposes in June 2020, which is 1 month AFTER TT data had already been accessed by the police in May 2020 for a case investigation?"
8,kid474,can you (government) be clear on the usage of the TT device? Is it for pandemic or crime? What's the purpose of it should you decide to disable them after the pandemic. You're contradicting yourself please make up your mind. 😤,"['govern', 'clear', 'usag', 'tt', 'devic', 'pandem', 'crime', 'purpos', 'decid', 'disabl', 'pandem', 'contradict', 'pleas', 'make', 'mind']",can you (government) be clear on the usage of the TT device? Is it for pandemic or crime? What's the purpose of it should you decide to disable them after the pandemic. You're contradicting yourself please make up your mind. :face_with_steam_from_nose:
9,englingang,"Hmmm... if it helps to fight crime, why not keep it as a deterrent?","['hmmm', 'help', 'fight', 'crime', 'keep', 'deterr']","Hmmm... if it helps to fight crime, why not keep it as a deterrent?"
10,viv0823,"If one’s conscience is clear and didn’t break the law, what is there to be afraid of having the police check on the data from the token. Some people are just making a mountain out of a molehill.","['one', 'conscienc', 'clear', 'break', 'law', 'afraid', 'polic', 'check', 'data', 'token', 'peopl', 'make', 'mountain', 'molehil']","If one’s conscience is clear and didn’t break the law, what is there to be afraid of having the police check on the data from the token. Some people are just making a mountain out of a molehill."
11,blitzernyi,Why don’t we keep it after the pandemic?,"['keep', 'pandem']",Why don’t we keep it after the pandemic?
0,multidisaster_,"Some tracetogether tokens batteries ded,need go chnge","['tracetogeth', 'token', 'batteri', 'ded', 'need', 'go', 'chnge']","Some tracetogether tokens batteries ded,need go chnge"
1,wayneetermelon,wa sex,"['wa', 'sex']",wa sex
2,boboibot09,finally my parents can stop making a big fuss,"['final', 'parent', 'stop', 'make', 'big', 'fuss']",finally my parents can stop making a big fuss
3,z.ariffriff,@n.aqiqilz,[],@n.aqiqilz
4,always2074,This simply means there are already so much data collected even without checkin at individual shop! 🤣🤣🤣,"['simpli', 'mean', 'alreadi', 'much', 'data', 'collect', 'even', 'without', 'checkin', 'individu', 'shop']",This simply means there are already so much data collected even without checkin at individual shop! :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
5,shiro_universal,That’s great! Good news! 👍🏼,"['great', 'good', 'news']",That’s great! Good news! :thumbs_up_medium-light_skin_tone:
6,jad3n_.cuz,Well there goes our part time jobs😭,"['well', 'goe', 'part', 'time', 'job']",Well there goes our part time jobs:loudly_crying_face:
7,deeecruise,D..,[],D..
8,deeecruise,🤣😆ccc.x c. Xx3 3c.c .xx . Cxxx c seconds .x . X d cc x .xd . . .c3.32,"['cxxx', 'c', 'second', 'x', 'cc', 'x']",:rolling_on_the_floor_laughing::grinning_squinting_face:ccc.x c. Xx3 3c.c .xx . Cxxx c seconds .x . X d cc x .xd . . .c3.32
9,deeecruise,Dd,['dd'],Dd
10,deeecruise,க்ஷ,[],க்ஷ
11,unstable_luk,You don't say,['say'],You don't say
12,arkarwmh,@candydonmoong,[],@candydonmoong
13,charainey,@nickcgj,[],@nickcgj
14,tanguanxu0525,FinAlly dunneed check out spam for A whole minute,"['final', 'dunne', 'check', 'spam', 'whole', 'minut']",FinAlly dunneed check out spam for A whole minute
15,iamhafizahhassan,Clock in clock out important,"['clock', 'clock', 'import']",Clock in clock out important
16,danny011166,When goin to start this?,"['goin', 'start']",When goin to start this?
17,whathe_elle,Meaning ???!? @syarifuddinazharbr,['mean'],Meaning ???!? @syarifuddinazharbr
18,_t.naaa,@shasha_aljunied,[],@shasha_aljunied
