Post Description,Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
"getting staff to be in the office when they could wfh puts us at risk of covid-19 community spread. we shouldn't let up on workplace safe management measures. 

as we approach cny, remember that lohei and cny meals are not allowed. 

let's stay vigilant to protect ourselves and re-open our economy safely. 

for more: go.gov.sg-safe-workplace-ig (link in bio)",2021-02-08 08:30:56+00:00,"I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing.",2021-02-09,73,Economic Measures,73,3,-11.036610313277333,14,4,1,14.731701082709328,2,0,1.0
"getting staff to be in the office when they could wfh puts us at risk of covid-19 community spread. we shouldn't let up on workplace safe management measures. 

as we approach cny, remember that lohei and cny meals are not allowed. 

let's stay vigilant to protect ourselves and re-open our economy safely. 

for more: go.gov.sg-safe-workplace-ig (link in bio)",2021-02-08 08:30:56+00:00,"At the public toilets, I notice they fewer people now wash their hands with soap, and these include food handlers.",2021-02-09,20,Economic Measures,20,1,-11.38729905314782,3,1,1,72.01846726113338,4,0,0.0
"getting staff to be in the office when they could wfh puts us at risk of covid-19 community spread. we shouldn't let up on workplace safe management measures. 

as we approach cny, remember that lohei and cny meals are not allowed. 

let's stay vigilant to protect ourselves and re-open our economy safely. 

for more: go.gov.sg-safe-workplace-ig (link in bio)",2021-02-08 08:30:56+00:00,"At the public toilets, I notice that fewer people now wash their hands with soap, they just sprinkle with water after toilet use, and these include food handlers. It’s like the situation on the roads. People don’t care till they notice a traffic police. It’s not our culture to abide by rules.",2021-02-09,55,Economic Measures,52,3,-10.743372391134468,7,1,2,20.208374057571053,3,0,1.0
"getting staff to be in the office when they could wfh puts us at risk of covid-19 community spread. we shouldn't let up on workplace safe management measures. 

as we approach cny, remember that lohei and cny meals are not allowed. 

let's stay vigilant to protect ourselves and re-open our economy safely. 

for more: go.gov.sg-safe-workplace-ig (link in bio)",2021-02-08 08:30:56+00:00,"Sorry I don’t mean to post repeatedly. The system kept asking me to tab, saying the posting failed to upload.",2021-02-09,21,Economic Measures,20,1,-10.78543236672499,8,0,2,90.02233435309246,4,0,0.0
"a year has passed since our first covid-19 case. it has been a tough year, but we have also grown better and stronger as individuals, and as a nation. 

watch how singaporeans thrived, and learn about the support schemes for you at www.go.gov.sg/tott2 and www.singaporebudget.gov.sg #bestinus",2021-01-23 03:00:50+00:00,Different experience from some of us went through during SARS and H1N1,2021-01-23,11,Economic Measures,12,1,-11.69320733040252,1,1,1,236.57610590533488,4,0,0.0
"a year has passed since our first covid-19 case. it has been a tough year, but we have also grown better and stronger as individuals, and as a nation. 

watch how singaporeans thrived, and learn about the support schemes for you at www.go.gov.sg/tott2 and www.singaporebudget.gov.sg #bestinus",2021-01-23 03:00:50+00:00,"Yes, it brought out the best in us...👍👏",2021-01-23,8,Economic Measures,8,0,-8.969404832862669,1,0,0,1608.4274900940466,4,0,0.0
"times are tough, but we’re looking after our students’ education and training. discover all the support schemes available at https://go.gov.sg/tott-sg-student and www.singaporebudget.gov.sg (links in bio) #walkingwithyou",2021-01-17 10:00:56+00:00,Only 4700 trainees have gained experience? Thats not even 1% of population!,2021-01-17,10,Economic Measures,12,1,-12.262446341112367,2,0,0,156.1705669395269,4,0,0.0
our families are on our minds in the midst of this uncertainty. discover all the support schemes available at https://go.gov.sg/tott-sg-family and www.singaporebudget.gov.sg (links in bio) #walkingwithyou,2021-01-16 10:02:00+00:00,"Looking at other developed countries, I'm glad e have a government that looks at supporting every individual during this COVID period.  Imagine what if this is US? We will probably all be suffering and getting retrenched.  Count our blessings",2021-01-17,38,Economic Measures,39,2,-11.18201223280212,9,2,1,44.817647015051385,4,0,0.0
our families are on our minds in the midst of this uncertainty. discover all the support schemes available at https://go.gov.sg/tott-sg-family and www.singaporebudget.gov.sg (links in bio) #walkingwithyou,2021-01-16 10:02:00+00:00,I really wishI could to migrate to you country.,2021-01-17,9,Economic Measures,9,0,-10.707127630824473,2,0,1,438.2264737680187,4,0,0.0
"in his address yesterday at the parliament, dpm @hengsweekeat spoke on how the government will gradually reopen our economy and singapore’s plans for economic recovery. 

➡️ swipe to read the key points of dpm’s address

for more details: go.gov.sg/dpmaddress-5oct",2020-10-06 08:49:53+00:00,Is this given towards the community ?,2020-10-08,6,Economic Measures,6,0,-9.86832952202492,2,0,0,435.86796474976495,4,0,0.0
"as singapore tackles the economic challenges brought about by covid-19, let us be the generation that bounces back even stronger as one economy, one society and one nation. 
we can continue to create a brighter future for our children and their children to come.

#sgunited #sgtogether",2020-06-29 03:02:12+00:00,"Hey! I'm a NUS psychology graduate and I recently started this psychology page. I'm posting applied psychology tips, do check it out if you're keen. Thankyouu 😊",2020-06-29,23,Economic Measures,26,2,-12.01475414385384,4,2,1,52.6528245250365,4,0,0.0
"as singapore tackles the economic challenges brought about by covid-19, let us be the generation that bounces back even stronger as one economy, one society and one nation. 
we can continue to create a brighter future for our children and their children to come.

#sgunited #sgtogether",2020-06-29 03:02:12+00:00,"Agreed with the need to ""emerge stronger"". Wonder if the government plans to take this chance to restructure its economy towards cleaner industries that are less reliant on the volatile oil and gas markets?",2020-07-09,34,Economic Measures,34,2,-10.931566032869195,6,2,0,51.55101110155285,4,0,0.0
