Post Description,Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Bless you both for your kind deeds,2021-02-15,7,Foreign Worker,7,0,-11.340946098698053,0,0,2,12.548978754308102,2,0,0.0
"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Thought MOM was doing that ???,2021-02-15,5,Foreign Worker,5,0,-11.97725540604354,2,0,0,18.28123692095528,2,0,0.0
"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Says something about the government not allowing them to get food...,2021-02-15,11,Foreign Worker,11,1,-9.754429493045297,3,0,0,12.061739307791429,2,0,0.0
"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,GOD LOVE'S THE CHEERFUL GIVER GOD BLESS YOUR FAMILY WITH GOOD HEALTH,2021-02-15,11,Foreign Worker,12,1,-19.830919101579767,0,0,1,2.99499900754644,0,0,0.0
"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,👏👏👏👏👏 - if this drive is going would love to contribute our little drop too 🙌🙌,2021-02-15,13,Foreign Worker,14,1,-11.163458162096877,4,1,1,19.03066659340286,2,0,0.0
"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,😍😍😍❤️❤️❤️👏👏👏 Proud of me fellow kind hearted Singaporeans.,2021-02-15,7,Foreign Worker,7,0,-13.359280185416686,1,0,1,12.548978754308104,2,0,0.0
"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Sending all the love to this family!,2021-02-15,7,Foreign Worker,7,0,-9.425817833978693,1,0,0,19.030666593402863,2,0,0.0
"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Nice...good reason to be thick skin,2021-02-15,7,Foreign Worker,7,0,-11.057479035308942,1,0,0,12.548978754308102,2,0,0.0
"During the Covid-19 circuit breaker last year, migrant workers were not allowed to leave their dormitories, not even to get food.

After learning about their predicament, Mrs Cherie Tseng and her husband Tseng Wun Hsiung rang up friends and relatives for donations, looked for catering firms, as well as Grab drivers to deliver food.

In 2 weeks, they raised more than $100,000 to provide over 10,000 meals to about 670 workers. The funds also went towards topping up SIM cards for 1,500 workers.

Full story in bio @straits_times
📸: Yong Li Xuan
#StraitsTimes #Singapore #MigrantWorkers #Covid19 #Coronavirus",2021-02-15 04:16:24+00:00,Bless you both for your kind deeds,2021-02-15,7,Foreign Worker,7,0,-11.340946098698053,0,0,2,12.548978754308102,2,0,0.0
"If Westlite Toh Guan sounds familiar, that is likely because it was among the first dormitories to be gazetted as an isolation area during the Covid-19 pandemic.⁣
Today, it houses 195 workers who are healthy or have recovered from Covid-19, and they will be able to resume work soon.⁣
Full story bio @straits_times⁣
📸: Mark Cheong⁣
#StraitsTimes #Singapore #Covid19",2020-06-15 09:01:40+00:00,I hope we start treating them better from now on.,2020-06-15,10,Foreign Worker,10,0,-9.85616437527459,3,0,1,141.32338019055842,4,0,0.0
"If Westlite Toh Guan sounds familiar, that is likely because it was among the first dormitories to be gazetted as an isolation area during the Covid-19 pandemic.⁣
Today, it houses 195 workers who are healthy or have recovered from Covid-19, and they will be able to resume work soon.⁣
Full story bio @straits_times⁣
📸: Mark Cheong⁣
#StraitsTimes #Singapore #Covid19",2020-06-15 09:01:40+00:00,Hope that they can get needed nutrition for work and fighting diseases.,2020-06-15,12,Foreign Worker,12,1,-10.583794454475326,3,1,0,9.23374887005205,1,0,0.0
"If Westlite Toh Guan sounds familiar, that is likely because it was among the first dormitories to be gazetted as an isolation area during the Covid-19 pandemic.⁣
Today, it houses 195 workers who are healthy or have recovered from Covid-19, and they will be able to resume work soon.⁣
Full story bio @straits_times⁣
📸: Mark Cheong⁣
#StraitsTimes #Singapore #Covid19",2020-06-15 09:01:40+00:00,This is indeed wonderful news!,2020-06-15,5,Foreign Worker,5,0,-10.44826191638723,1,0,0,36.03068706439268,4,0,0.0
"If Westlite Toh Guan sounds familiar, that is likely because it was among the first dormitories to be gazetted as an isolation area during the Covid-19 pandemic.⁣
Today, it houses 195 workers who are healthy or have recovered from Covid-19, and they will be able to resume work soon.⁣
Full story bio @straits_times⁣
📸: Mark Cheong⁣
#StraitsTimes #Singapore #Covid19",2020-06-15 09:01:40+00:00,👏👏well done stay safe to all Allah is greater,2020-06-15,9,Foreign Worker,9,0,-10.453467682676703,2,0,0,19.03066659340286,2,0,0.0
