Post Description,Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
"your covid-19 questions answered:
 
do we still need to practise safe management measures after getting vaccinated?
 
#vaccineqnsanswered #vaccinationsg",2021-02-10 09:30:47+00:00,Then when can take out mask ah…,10/2/21,7,Mask,7,0,-11.81911173,1,1,0,35.24890747,4,0,0
"your covid-19 questions answered:

how can the vaccine be safe when it was developed so quickly?

#vaccineqnsanswered #vaccinationsg",2021-02-09 10:00:36+00:00,same same when we were told no need to wear masks one year ago,9/2/21,14,Mask,14,1,-10.17973202,3,1,1,12.06584383,2,0,0
"getting staff to be in the office when they could wfh puts us at risk of covid-19 community spread. we shouldn't let up on workplace safe management measures. 

as we approach cny, remember that lohei and cny meals are not allowed. 

let's stay vigilant to protect ourselves and re-open our economy safely. 

for more: go.gov.sg-safe-workplace-ig (link in bio)",2021-02-08 08:30:56+00:00,"I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing.",9/2/21,73,Mask,73,3,-11.03661031,14,4,1,1.144856574,0,0,1
"here's a tale of a man called nick, who went to work though he was sick 🤒

if you feel unwell with flu-like symptoms, go to a doctor and stay home afterwards. do not go to work, do not go to school. protect yourself and your loved ones ❤️

tips on keeping covid-19 safe: https://www.gov.sg/features/how-tos",2021-01-29 05:16:39+00:00,"NO to CB Season 2. Stay alert, vigilant. Wear your mask properly, which means cover both mouth and nose. Clean your hands. Practice social distancing. 🙌 JIA YOU EVERYONE 🙌🙌",29/1/21,27,Mask,28,2,-13.16258181,1,1,3,2.59397998,0,0,0
"do we need to wear masks when we exercise? 🏃‍♂️🏃‍♀️

why must i keep to a regular social circle? 👥

can’t we close our borders to stop imported cases? ⛔️

dr @kohpohkoon explains your concerns on covid-19 safe management measures.

find out more: go.gov.sg/explain-kpk-ig (link in bio)

#expertsexplain #whyah",2020-12-10 11:07:06+00:00,"Hi,It might be good, as covid is both aerosol AIRBORNE and direct transmission, to add another layer of protection.We can 1. Install Counter Shield plastic in all of OUR Cashier/Concierge/Customer Service countersREASON: STAFF & CUSTOMER are constally interact with one another hence speech droplets are produce although they wore facemask, (Counter Shield clear thick plastic or glass)2. All of our temperature Checker to wear both Facemask, FaceShield and install COUNTER SHIELD CLEAR PLASTIC OR GLASSREASON: same reason as the 1st. Staff and people see each other face to face. Atleast adding this will provide additional protection3. Install table shield arcylic in all of our dine in TablesREASON: PEOPLE in dine in will remove Facemask when eating, hence breath and speech droplets are release in the air.This will add additional protection specially to all service staff and make everyone feel even safer while shopping or dining in ALL PLACES IN SG.Thank you very much",10/12/20,150,Mask,159,4,-13.63737008,19,10,5,0.435717379,0,0,0
"do we need to wear masks when we exercise? 🏃‍♂️🏃‍♀️

why must i keep to a regular social circle? 👥

can’t we close our borders to stop imported cases? ⛔️

dr @kohpohkoon explains your concerns on covid-19 safe management measures.

find out more: go.gov.sg/explain-kpk-ig (link in bio)

#expertsexplain #whyah",2020-12-10 11:07:06+00:00,"bruh I just had the craziest idea.as you know(or as I think) heat kills off the virus and so you place your mask under the sun to bask- it is now masking. 🙌 @gov.sg if you ever use this idea I expect to be credited. Yours faithfully, goodbeaucafe.",11/12/20,46,Mask,48,2,-11.53487969,11,2,5,3.591663329,0,0,0
"why are stay-home notice (shn) durations different for some travellers? 🏠

watch as dr @janilputhucheary explains how we protect ourselves from imported cases.

for more: go.gov.sg/explain-jp-ig (link in bio)

#expertsexplain #whyah",2020-12-10 07:19:26+00:00,"Hi,It might be good, as covid is both aerosol AIRBORNE and direct transmission, to add another layer of protection.We can 1. Install Counter Shield plastic in all of OUR Cashier/Concierge/Customer Service countersREASON: STAFF & CUSTOMER are constally interact with one another hence speech droplets are produce although they wore facemask, (Counter Shield clear thick plastic or glass)2. All of our temperature Checker to wear both Facemask, FaceShield and install COUNTER SHIELD CLEAR PLASTIC OR GLASSREASON: same reason as the 1st. Staff and people see each other face to face. Atleast adding this will provide additional protection3. Install table shield arcylic in all of our dine in TablesREASON: PEOPLE in dine in will remove Facemask when eating, hence breath and speech droplets are release in the air.This will add additional protection specially to all service staff and make everyone feel even safer while shopping or dining in ALL PLACES IN SG.Thank you very much",10/12/20,150,Mask,159,4,-13.63737008,19,10,5,0.435717379,0,0,0
"the gov.sg whatsapp service now has an in-built infobot! available in 4 languages, you can use it to access information on the covid-19 situation in singapore, safe distancing measures, financial support and more. 

simply open your gov.sg whatsapp chat window and type ""hello"" to get started. 

📱if you haven't subscribed to the gov.sg whatsapp service, you can do so at go.gov.sg/whatsapp (link in bio)",2020-12-05 02:01:23+00:00,Hi.Mandate all people to wear both faceshield and facemaskMandate all customer service/congierge/cashier counters to put TABLE PLASTIC SHIELDS OR GLASS SURROUNDING THE COUNTERSMANDATE ALL FOODCOURT/EATERY/RESTAURANTS TABLE BOTH AIRCON AND NON AIRCON TO INSTALL Table Shields plastic to seperate each customer and for added layer of protectionMANDATE all BUS DRIVER CABIN AND TAXI/GRAB DRIVET CABIN to install CABIN PLASTIC SHIELDSTHANK YOU,9/12/20,64,Mask,66,3,-18.11304779,5,2,0,0.927520294,0,0,0
commute safely with your mask on at all times and sanitise your hands regularly. scroll for more.,2020-11-12 04:00:34+00:00,Hi Kindly required all of your*safe distance ambasador *temperature screener in all industryto wear both faceshield and facemask for additional protection as they interact with people face to face and Covid is both Aerosol and Contact transmission.Thank you,18/11/20,38,Mask,40,2,-13.34650246,4,1,1,1.978504111,0,0,0
"as we journey towards phase 3, here are some updates to help us resume more activities safely.

swipe to find out more 👉🏻

full article: go.gov.sg/reopening-10nov",2020-11-11 04:58:27+00:00,Hi Kindly required all of your*safe distance ambasador *temperature screener in all industryto wear both faceshield and facemask for additional protection as they interact with people face to face and Covid is both Aerosol and Contact transmission.Thank you,18/11/20,38,Mask,40,2,-13.34650246,4,1,1,1.978504111,0,0,0
"when heading out, wear 😷  even if there is no one around you!

covid is still a threat, let's do our part to beat it together! 

#phase2 #dontsabo #covid19",2020-08-06 03:49:42+00:00,"Seen lots of people when sneezing, instead of keep the mask, they open the mask and sneeze...",6/8/20,17,Mask,17,1,-11.3390695,3,3,0,7.466887164,1,0,0
"when heading out, wear 😷  even if there is no one around you!

covid is still a threat, let's do our part to beat it together! 

#phase2 #dontsabo #covid19",2020-08-06 03:49:42+00:00,"Singapore done a great job and hopefully we will have 0 confirmed case very soon... with this, we hope the authorities will ease the measure at least for small kids and will allow them not wearing masks at school.  My daughter is 3 years old and she is wearing masks the whole day in her preschool.  Masks are difficult to bear for adults, so for kids this sounds as a punishment! Hope the future will be bright and wishing a good health to everyone 🙌",10/8/20,82,Mask,84,3,-10.35907488,14,3,1,1.45249833,0,0,1
"a fast lane for essential travel between singapore and china will launch from 8 jun, in order to facilitate essential business or official trips between the two countries.",2020-06-05 14:07:15+00:00,"Irresponsible, makes no sense whatsoever than open up all please - in Europe most travel restrictions are lifted fron 15 June , no need for masks etc which i personally thought is mistake but so far seems to work ... but i thought the reason why we doing this all slow and patiently is to avoid a 2nd wave and not to stress the health care facility’s?? It will be impossible to track or trace infected persons all the sacrifice people, families, buisness, government did will be vanished. Better to have another tough months than open up and in 4 weeks CB2 ....",6/6/20,96,Mask,100,3,-11.47897757,23,4,2,1.152830404,0,0,1
do i need to wear a mask when i exercise outside? 🏃‍♀️ your questions answered here.,2020-04-17 05:06:56+00:00,Too many exceptional create confusion to public. Some people will use those as excuse not to wear mask.  Our police and ambassador will have hard time.,17/4/20,26,Mask,26,2,-10.44048073,4,1,0,4.429204099,0,0,0
do i need to wear a mask when i exercise outside? 🏃‍♀️ your questions answered here.,2020-04-17 05:06:56+00:00,"Cycling and need to stop at any traffic stops/junctions, mask on? Back to moving, mask off? 🤦🏽‍♂️",18/4/20,17,Mask,17,1,-11.52936221,4,1,0,5.661007974,1,0,0
remember to mask up when you're going out to get necessities or for work 😷,2020-04-16 02:57:15+00:00,Do one need to wear mask when working at his store room? It's NOT accessible to public and suppliers come once or every 2 weeks to deliver goods.  Can advice? Thanks.,18/4/20,29,Mask,31,2,-10.9026212,5,3,0,3.591663329,0,0,1
remember to mask up when you're going out to get necessities or for work 😷,2020-04-16 02:57:15+00:00,Can my chikdren take off their mask when scooting as their form of execercusing and put it back on after finishing the activity?,18/4/20,23,Mask,23,1,-11.7247008,5,2,1,8.878721995,1,0,0
"keep your workplace safe and limit the spread of covid-19 💪

here's what can be done.",2020-03-27 03:47:20+00:00,"Should consider getting staff providing service to the public, e.g. cleaners; staff handling food in food court, hawker centres, restaurants; staff at old age homes, child care centres; etc to wear masks and hand gloves",2/4/20,36,Mask,36,2,-12.75060506,8,1,0,1.659728085,0,0,0
keeping covid-19 at bay is sometimes as simple as keeping your d i s t a n c e !,2020-03-24 08:57:35+00:00,"Distancing is NOT required if everyone wears an effective mask, as the risk of transmission is very low. Even a doctor stated that on TV, and you're implementing this redundant law.",12/9/20,30,Mask,31,2,-11.24201803,7,2,0,4.100399647,0,0,0
We know CNY this year will be quieter and more subdued. But we are doing our part to keep spirits up with the distribution of festive packs to residents across five different locations in @our.limbang,2021-01-31 10:00:32+00:00,Every day there is lots of India 🇮🇳 arrivals coming in with various types of passes. We are having a pandemic 😷 are we bending our knees too much? Die die cannot reject while we are masking up daily 😢,3/2/21,37,Mask,37,2,-11.28098826,8,1,3,4.077891872,0,0,0
"We are seeing more new infected cases in the community in recent days. Our contact tracers are working hard to identify all possible contacts, ring-fence the potential cases and prevent them from spreading further.  We are monitoring the situation carefully and considering if additional measures are necessary to ensure the infection remains under control. Meanwhile please cooperate with all the safe management measures and do your part to reduce transmission risks. The virus is still circulating silently within our community and we cannot afford to let our guard down.",2021-01-18 14:02:19+00:00,"Time to enforce those exercise and cycling to wear masks. They are among crowds . Look at indoor gym and sports hall , all are maskless. Breathable sports masks are widely available. A person can pretend to brisk walk can go maskless all day",19/1/21,42,Mask,42,2,-12.01563913,7,2,0,2.333568002,0,0,0
"What are our P1 students most looking forward to in school? Making new friends, learning new things, and of course recess time! Glad to see them settling in well at Waterway Primary this morning. Despite COVID-19, we are determined to keep learning going for our students this school year.",2021-01-04 14:38:23+00:00,"I saw two teenagers talking and sucking lollipops 🍭 inside a shopping mall maskless for a long period of time . I mean a person can hold a water bottle and be without mask for whole day. Something is wrong, thank you sir",21/1/21,41,Mask,41,2,-11.10460603,8,2,1,2.225107961,0,0,1
"#HOWRU today? A simple gesture to reach out to someone may make all the difference. Glad to support @samaritansofsingapore’s inaugural virtual walkathon today - the staff and volunteers have worked incredibly hard to support our community in these trying times.

We can all do our part - to walk alongside someone and journey together.",2020-09-13 12:32:51+00:00,"Hi Mr Wong, May I check for students in school, is it ok for then to remove mask to take a photo together, for example a CCA photo of more than 5 people? Then they put the mask back on immediately after that.",14/9/20,42,Mask,43,2,-10.29527168,5,1,1,2.547071692,0,0,0
"The writ of election has been issued and Parliament dissolved. But the work of the Multi-Ministry Taskforce does not stop and remains a priority throughout this period. We continue to meet regularly, and to update our plans and strategies to control the infection and keep everyone safe. 
Yesterday, we announced our plans to further expand testing in the community. From 1 July, we will test all individuals aged 13 and above who are diagnosed with acute respiratory infection when they see a doctor. We will also test additional specific groups who may face greater exposure risks such as the frontline staff interacting with travellers at the airport; as well as vulnerable groups who need more protection, specifically the seniors living in communal facilities and shelters.
The expansion of systematic testing in the community will allow us to enhance and tighten disease surveillance, detect the virus early and reduce the risk of further transmission.",2020-06-26 06:41:51+00:00,Stay positive and wear mask and safe distancing 👌👌,26/6/20,8,Mask,8,0,-12.17093799,0,1,0,12.13298721,2,0,0
"It’s the second day of our Phase 2 re-opening, and the majority of businesses and individuals are cooperating with the measures to resume activities safely. But unfortunately a few have acted very irresponsibly. They will be taken to task. 
Last night, the authorities were alerted to large crowds gathering around the Outdoor Refreshment Areas (ORA) and on the road along Lor Mambong in Holland Village.  Based on their inspections, the crowds were largely gathering outside one restaurant, namely the British Indian Curry Hut. We will close the restaurant with immediate effect.
All ORAs along Lor Mambong will also be removed. So F&B outlets along this stretch will have to ensure that their customers dine only within their premises, and are not eating or drinking outside. 
Enforcement officers have also issued fines to several individuals in the vicinity last night for violating safe distancing rules. Investigations are ongoing for other possible breaches.
Our officers will continue their patrols islandwide, especially in popular nightspots, and will take immediate actions against any individuals or business flouting the safe distancing rules.",2020-06-20 10:35:36+00:00,Saw groups of foreigners spent hrs at coffee shops n hawker w/o masks drinking beer with food. I feel tt this is bending the rules. Not right!  Also in many occasions I saw older folks took their masks off n cough. I feel tt they don’t understand the purpose of wearing masks. Need gov’s attention pls. Thx for listening. 💕,20/6/20,62,Mask,60,3,-12.75755861,12,0,1,1.184613786,0,0,0
"It’s the second day of our Phase 2 re-opening, and the majority of businesses and individuals are cooperating with the measures to resume activities safely. But unfortunately a few have acted very irresponsibly. They will be taken to task. 
Last night, the authorities were alerted to large crowds gathering around the Outdoor Refreshment Areas (ORA) and on the road along Lor Mambong in Holland Village.  Based on their inspections, the crowds were largely gathering outside one restaurant, namely the British Indian Curry Hut. We will close the restaurant with immediate effect.
All ORAs along Lor Mambong will also be removed. So F&B outlets along this stretch will have to ensure that their customers dine only within their premises, and are not eating or drinking outside. 
Enforcement officers have also issued fines to several individuals in the vicinity last night for violating safe distancing rules. Investigations are ongoing for other possible breaches.
Our officers will continue their patrols islandwide, especially in popular nightspots, and will take immediate actions against any individuals or business flouting the safe distancing rules.",2020-06-20 10:35:36+00:00,All those people not wearing masks hopefully will be caught! It’s discouraging to see them flouting safety regulations when we’ve all sacrificed so much and worked so hard to bring the curve down,20/6/20,35,Mask,33,2,-11.11688192,10,2,0,5.421008741,1,0,1
