Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
2020-05-13 10:05:13+00:00,"Mr Heng, my dad who is an essential worker security officer and only has a Nokia phone with no data. Luckily i have a spare smartphone with me and he’s going to buy data for his prepaid number. BIG SIGH.",2020-05-13,41,Safe Entry,40,2,-11.327810551108135,6,2,3,2.214117669482705,0,0,1.0
2020-05-13 10:05:13+00:00,The SingPass login was working initially then stopped.,2020-05-14,8,Safe Entry,8,0,-12.745942257358914,3,1,0,17.93213213917937,2,0,0.0
2020-05-13 10:05:13+00:00,Check In and Check Out!,2020-05-14,5,Safe Entry,5,0,-11.233133003818065,1,1,0,34.168915631337235,3,0,0.0
2020-09-09 12:01:41+00:00,Have to link to phone n use my battery ah? Give handout$ 1st then say lo..,2020-09-10,15,Safe Entry,16,1,-12.991883566325441,3,1,1,4.600799974507786,0,0,0.0
2020-09-09 12:01:41+00:00,Gov got drone in e sky liao leh,2020-09-10,8,Safe Entry,8,0,-14.691660177920813,1,0,0,6.7119549222774735,1,0,0.0
2020-09-09 12:01:41+00:00,Just put a drone on each one of us la... Non citizens get 2 drones..😆,2020-09-10,14,Safe Entry,15,1,-11.032816281738935,3,0,1,8.595831892535434,1,0,1.0
2020-09-09 12:01:41+00:00,Soon it is going to be most places,2020-09-10,8,Safe Entry,8,0,-9.0773268832818,3,0,0,17.932132139179377,2,0,0.0
2020-09-09 12:01:41+00:00,so can we stop scanning safeentry with this?,2020-09-10,8,Safe Entry,8,0,-11.595414479235199,2,0,1,34.168915631337235,3,0,0.0
2020-09-09 12:01:41+00:00,Hope this one entirely made in Singapore.,2020-09-11,7,Safe Entry,7,0,-10.627443126309089,1,0,0,17.93213213917937,2,0,0.0
2020-09-09 12:01:41+00:00,All the CB-ian confirm like this. Dont say you dont like because you want this to happen.,2020-09-11,16,Safe Entry,17,1,-11.087764439004092,4,0,1,17.93213213917937,2,0,0.0
2020-09-09 12:01:41+00:00,"So essentially they’re slowly enforcing the app, right? Cause you know, some places require the app for entry.",2020-09-11,19,Safe Entry,18,1,-11.17952568340453,3,0,1,7.668256853636067,1,0,0.0
