Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
2021-01-21 12:57:17+00:00,Reason why staffs still choose to go to work despite being sick is bcoz company still counts their 3 Days SHN as MC.. which will effect their performance in the long run.,2021-02-01,31,Stay Home Notice,32,2,-11.94893133527816,6,1,0,5.384615414997815,1,0,0.0
2020-11-26 02:34:04+00:00,Perhaps review the imported cases. More stringent requirements before they are allowed to fly to Sg esp for non-Singaporeans. It’s a waste of resources to manage them when they land in Sg infected and SHN.,2020-11-26,35,Stay Home Notice,35,2,-11.939560406296158,7,2,0,6.511965541097246,1,0,0.0
2020-11-11 04:58:27+00:00,"Hi! I’m confused with your post on border measures. Are you saying that in Phase 3, anyone from any other country with high risk may finally be allowed in Singapore? They would just be subjected to the 14 day SHN?",2020-11-12,39,Stay Home Notice,40,2,-10.600155004645623,7,1,2,3.3630614086071287,0,0,1.0
2020-06-05 14:07:15+00:00,It's been 3 months my family has been separated. Me and my baby are in india. Applying for entry approval. It's getting rejected. We are DP Holders. I used to work there. Please help us to come back. Please help us to reunite our family. We will serve 1 month SHN .we are okay to bear all the cost if any thing wrong. Please allow us.,2020-06-09,62,Stay Home Notice,66,3,-10.728310928574103,18,2,6,3.1223435760614007,0,0,0.0
2021-01-18 14:02:19+00:00,"Let’s control border entry better. While we want to keep it open, we know that if a person we let in has a new variant of the virus, as long as the person continues to breathe, it will get into the community, no matter what kind of SHN, etc that we do. Only 10m doses needed to vaccinate the population, let’s speed it up for those who want it and accelerate the herd immunity.",2021-01-19,75,Stay Home Notice,74,3,-10.403839785459851,14,2,1,2.9671688188000482,0,0,1.0
2020-05-17 09:51:42+00:00,"Dear Lawrence Wong, don’t say patience when you do not know what livelihood you are destroying. You are simply extending the CB for many of our businesses while you allow others to open based on some contact logic. In the first place if the government had given quarantine for those coming back instead of just SHN or deal with overcrowding dorms and not let those people running dorms get away with it! Now you make us pay the price and announce like the 75% help us a lot!? I don’t mind eating basic meals and not even spending any money but if you destroy my kids future and my hard work for them, I get very angry. What right do you have destroying people’s livelihoods? It’s not just me that is angry but virtually all my close to 100 workers and many many of my colleagues and friends affected. You want to put spa in phase 2 or 3 and let us bleed indefinitely when the local numbers is down to 1-2 a day but allow pet grooming and hair salon to open??? What’s the logic in there? What rights do you have to destroy people’s livelihoods?",2020-05-19,198,Stay Home Notice,197,4,-10.678697375506683,41,16,13,0.8003244105737107,0,0,1.0
2020-03-20 05:47:22+00:00,"Dear minister Wong thanks for your hard work. But I must say it isn’t a good idea to have the Singaporean/resident returnees serve their SHN at home. I just saw a CNA clip - reporter was doing interview with a pair of sisters who HAD just returned from the UK at their home :(( This is a prime eg why a quarantine at home won’t work. Some people are just not going to abide by the rules to stay inside their rooms at all times (except to use shower/toilet) the moment they reach home from the airport. Members of the family are inevitably exposed who then go on to infect others in the public. We should follow HK , send returnees to govt facilities. We did that with our Wuhan returnees so why not for this group since Europe now is the new epicenter?",2020-03-20,145,Stay Home Notice,144,4,-10.851783466773117,27,1,3,1.0167066039363175,0,1,1.0
2020-03-20 05:47:22+00:00,"LOA is not = Stay Home Notice. For those travel returnees on LOA, if they are infected and they go out to the public community, e.g. packed supermakets , packed hawker centres, packed mcdonald's, packed malls, there is a likelihood of an ""Uncontrollable BreakOut"" caused by these travel returnees on LOA who may be infected. If a hawker doing say popiah is being infected by the infected, and if she continues to roll her popiahs with some mild symptoms, and unaware consumers eat them, the chance of infection is there. If that happens, all these contact tracing apps will not be that relevant anymore. If Singapore becomes the next Italy, it will be ""too late"". Singapore will then be in a very disastrous situation. Economy will be 10X maybe 100X worse than the current bad situation. Bear in mind this : Singapore society is closely compact and one of the world's highest density population. Can you afford to close down all mrts and bus servicces like what China did. We must take a pre-emptive approach in anticipation of ""the worst possible scenario"" and instead of ""let's see how then react"" . The latter was what Italy , many European countries did. They waited to see how to react. When the crisis exploded suddenly and situation out of control, then they react. But, it was ""too late"" That is  fire fighting approach, not fire prevention. I worry a lot. For families, friends, fellow Singaporeans. Reason : Indonesia. I guess Indonesia will be the next Italy due to their ""reported behaviour e.g. attend large groupings even when their Govt bans them"" as well as ""their Govt citing high costs this high costs that even for Covid-19 testing for many of their potential patients"". Once Indonesia explodes like Italy, I dont think they can do containment as well as ""exploded Korea"". Singapore being its closest neighbor will be in a very very serious, dangerous and risky situation. Will our Govt take our feedback seriously ? We feedback not to curry favors (unlike many instagrammers), get likes attention and so forth. We feedback our concerns because we genuinely care. @lawrencewongst @gankimyong @leehsienloong @hengsweekeat @teocheehean @khawboonwan @ongyekung @vivianbalakrishnan",2020-03-21,344,Stay Home Notice,350,4,-11.840987865189955,66,18,5,0.3422154882042771,0,0,1.0
2020-03-20 05:47:22+00:00,"Dear Minister Wong, I’m very glad to know that returnees from the UK and USA will have to serve SHN at designated hotels starting on Thursday (although it’d have been better to apply to everyone). Though it’s late, it’s the right move forward. Everyone should be treated as a suspect case and be tested upon arrival, and not just those who present symptoms at the border (which I believe is the protocol now). Mass testing has proven to be the tipping point for South Korea. We need to nip it in the bud - test, isolate, treat. Time is crucial, we can’t afford to wait for symptoms to show up then have patients present themselves at the hospital. If we can gift the Philippines with 3000 test kits surely we can do it for our fellow returnees? Also, at this point we should make it mandatory to wear mask. Wearing one is essential in the fight -  just look at China, Taiwan, SK, HK. “Wear one only when you’re sick” is not medically correct at this point in time. Experts in China have said people shed virus even before symptoms are present. Only by wearing a mask can we protect ourselves and people around us. I know there’s a shortage of masks in Singapore which makes it unfortunate but we can use cloth recyclable masks or any home made ones. When everyone wears one, it doesn’t matter if one’s quality is better than another. It really has helped those countries in containment. That’s certain. But to tell people that healthy people don’t need to wear one is just plain wrong, pardon me for saying. I’m writing as a concerned Singaporean - we must look at the above countries and learn from them. My next worry is when Malaysia ends her lockdown and thousands of people start to cross the causeway into Singapore... since it’s been proven with our recent imported cases that most don’t show symptoms at the border (meaning temperature can no longer be used as a gauge), how then? Thank you and the team once again for the hard work. We appreciate it and to the frontliners who are doing such a incredible job , it’s going to be a much tougher fight but together we shall overcome.",2020-03-24,390,Stay Home Notice,379,4,-10.806037428730324,74,16,13,0.3650236844005017,0,1,1.0
2020-03-20 05:47:22+00:00,"Hi sir, what about returning air stewards and stewardesses? Are they subject to the stay home notice too?",2020-03-26,18,Stay Home Notice,18,1,-11.835213738704836,3,1,0,5.7981390108963895,1,0,0.0
2020-12-25 08:02:37+00:00,12 of them were reindeer and 1 of them was an old fat man. They’re all serving a 14-day SHN at a dedicated Government facility.,2020-12-25,24,Stay Home Notice,25,1,-11.133970783104608,3,1,0,8.506376454672516,1,0,0.0
2020-12-17 09:08:49+00:00,"bcs if they go home 1 jan onwards, they have to pay their SHN that’s why they rush to go home before 1 jan",2020-12-17,23,Stay Home Notice,24,1,-12.537848048837885,5,1,0,9.164369369367776,1,0,0.0
2020-12-06 10:20:29+00:00,Maybe should do a covid 19 test again immediately for those who have came back from business travel pass recently... especially those without symptoms. Especially those not covered for SHN at designated locations...,2020-12-06,32,Stay Home Notice,33,2,-11.636344108119918,4,0,0,5.985514297392862,1,1,0.0
2020-10-03 09:04:31+00:00,"Sometimes i dont get it, how we get imported cases when those that are in stay home notice are able to spread",2020-10-03,22,Stay Home Notice,22,1,-10.839452284769818,7,1,2,17.831222802837626,2,0,0.0
2020-08-31 10:46:31+00:00,"I realised there have been some comments abt imported cases and community cases, and I wld like to clarify so doubts abt it. 1st, the dorm cases are workers dat are still serving their QO in their dorms or those under RRT. MOH have alr said dat numbers may continue to be high bef tapering down continuously, but dat doesn't mean dat the community is covid free, or yall start to get Complacent seeing low community numbers and go out more often as if covid is over. Cmon, the war is still very very far frm over. A vaccine may not conclude the end of covid, it may be here for up to 2 yrs, or maybe forever, just like seasonal flu, influenza and dengue. To those who are saying dat if u are vaccinated, u can start to be Complacent, by all means, do it urself. Don't drag ur friends or family to be Complacent with u, thinking dat u are totally immuned with covid. Wat if vaccine is not effective? And u start socialising with ppl dat may still be infected after being vaccinated? Cmon, its not the way to do things. WHO have said, dat covid may be here forever w/o a vaccine, and a vaccine is not a straight end to covid. Who knows swine flu is the nxt pandemic? If u think u can start going out more often like pre covid days and socialise as much as u want, then, the ICU ward for covid is reserved for u soon with a ventilator. Sep hols is cming, I wld not xpect crowds do be forming everywhere and ppl are starting to get Complacent. Just on 9 Aug, there was a hell lot of crowd queueing outside tamp mall to scan the safe entry and enter tamp mall. My question to them: has covid ended? Why is complacency stepping in so quick? Just because it national day, covid has hit taken a break yet. And yes true enuf, it was reported as a covid 19 place  due to major Complacency frm the public, thinking dat weekends and holidays its time to go crowded places. Ffs, u are still to stay home!  3rd, imported cases. Imported cases were given SHN, and were tested bef the end of their 14 day quarrantine to prevent spreading to the wider community. The war with covid is gnna last for very long, so do pls stay home more often, so dat u won't be in a ICU covid ward with a ventilator",2020-08-31,414,Stay Home Notice,423,4,-12.418274932130306,100,25,2,0.3750869487990997,0,0,1.0
2020-08-22 00:30:36+00:00,"Yall weird as fuk man, say no loud music in FnB cause Patrons will need to talk louder which increase the water droplets yet say no need SHN for travellers who came back from NZ and Brunei, just need go testing... Yall never once thought that what if the person is tested negative but positive few days later",2020-08-22,58,Stay Home Notice,58,3,-12.481491155495574,13,4,0,2.7352323780624954,0,0,0.0
2020-03-24 14:01:03+00:00,SHN to SJN ( Stay Jail Notice )🤣,2020-03-25,6,Stay Home Notice,6,0,-15.906030681626167,0,0,0,9.755891973287119,1,0,0.0
2020-03-22 03:38:03+00:00,"533 visitors on short term visit passes entered Singapore yesterday. This is despite them having to serve 14 day SHN. Nothing will deter the small group of people who come with an objective.  This new rule will only kick in tomorrow at 2355hr. Which means we will see people who are desperate enough to want to be here, scrambling to come in today and tomorrow - just like before the “travel permit” rule kicked in.",2020-03-22,71,Stay Home Notice,75,3,-11.0533954141611,15,1,1,2.4366017408036305,0,0,1.0
2020-03-21 12:51:01+00:00,Mom will compensate employer $100 per day during the SHN. So employee shld have some money,2020-03-22,15,Stay Home Notice,16,1,-12.303037619490762,2,0,0,6.9282701809944784,1,0,0.0
2020-03-21 12:51:01+00:00,"Theres two sides i see in the comments. 1st side -angry/relieved bc they break the SHN/LOA and might spread  Covid-19 to Singapore residents and get punished for that. 2nd side - Defensive, bc many workplaces in Singapore don't get money (no work = no money) or forcing them to work, therefore the punishment should be against their employers",2020-03-24,55,Stay Home Notice,59,3,-12.431878359491966,11,2,1,3.7920202585010703,0,1,0.0
2020-02-17 13:01:27+00:00,"The Golden question : How do they Enforce the SHN?, Do they have enough of the GPS ankle tags used for day release prisoners tracking?? Else if they can't enforce, it is only a political P. R. spin move.",2020-02-19,37,Stay Home Notice,38,2,-11.669167820251918,8,1,0,4.641190064120298,0,0,0.0
2020-02-17 09:52:32+00:00,"Can we have a comparison of LOA, SHN and Quarantine?",2020-02-17,10,Stay Home Notice,10,0,-12.714685621854384,1,1,1,13.3837406358395,2,0,0.0
2020-12-24 00:02:57+00:00,"@jersey.collections88 didn't you read the headline? The girl was already in SHN IN SINGAPORE since December 7th, tested positive on Dec 8th, and results came out that she kena the B117 strain",2020-12-24,27,Stay Home Notice,31,2,-12.861120696334071,5,1,1,5.384615414997811,1,0,0.0
2020-12-19 09:35:19+00:00,"Could the common touch point derived from the bus ( driver) transfer? Or the kitchen staffs who prepared the meals? Just felt so many rooms remained infectious seems to be highly unlikely ( given the benefit of doubt all rooms are disinfected after each SHN stay) . I was under SHN in July, thus I experienced the strict protocol the hotel had followed through",2020-12-19,61,Stay Home Notice,61,3,-11.54277087655745,13,0,1,2.573455992063984,0,0,0.0
2020-11-04 12:49:41+00:00,"Allowing stupid travellers in without SHN IS A KILLER. If one is infected, isn't all our efforts wasted? Won't we have to return to phase 1? Won't it be the next dumbest mistakes that the govt do?",2020-11-05,33,Stay Home Notice,37,2,-11.735273739946823,10,1,2,6.894215139410077,1,0,0.0
2020-11-04 12:49:41+00:00,"the thing i dont understand. The government allow travellers to come in WITHOUT serving SHN. That's a very very bad idea (Yes, i see it as a way to improve the economy, but now isn't the time). The world isn't safe, so neither are we. Im not asking for it to happen, but one person can result in a super-spreader. It isn't fair for the frontliners that have fought so hard to reach where we are now to only see sudden spikes again",2020-11-04,78,Stay Home Notice,83,3,-10.557339551949813,16,3,3,2.4981910576873547,0,0,1.0
2020-10-29 09:37:39+00:00,Then Singaporean have to fulfil the SHN??,2020-10-29,7,Stay Home Notice,7,0,-12.45000714520768,2,0,0,27.94122096817334,3,0,0.0
2020-10-29 09:37:39+00:00,Let pray that imported dont make wave..please have SHN.,2020-10-29,10,Stay Home Notice,10,0,-13.56607690786929,5,0,0,13.3837406358395,2,0,0.0
2020-10-29 09:37:39+00:00,OMG! Everyday we keep on having imported cases. Why still allow them to come in without shn? Should stay precaution first before vaccine 💉 is in place 🙄,2020-10-29,26,Stay Home Notice,26,2,-11.325091427677753,7,1,1,10.064760554231086,2,0,0.0
2020-07-18 01:38:01+00:00,"I mean that’s the problem, other countries still not taking it seriously like US, y’all might think like US got 77000 new cases daily, what does it have to do with SG, well...it means that if a singaporean comes back from US, he has a higher chance of getting COVID from his SHN and it also means unlikely we can travel to US. 2nd & 3rd wave happening in many countries rn so yeah in order for us to travel, other countries gotta stop the spread of the virus too",2020-07-18,89,Stay Home Notice,90,3,-10.970690439912572,20,4,3,2.7486034106670294,0,0,1.0
2020-07-17 13:14:48+00:00,Hi please correct the SHN cost information. $1500 is for FDW for Foreign worker the cost of SHN is $2000. You are right for swab test is a standard costs of $200.,2020-07-17,29,Stay Home Notice,32,2,-11.621204253027328,5,0,0,4.3129439556684215,0,0,0.0
2020-07-17 13:14:48+00:00,Then why still call it stay home notice when you cannot stay home,2020-07-18,13,Stay Home Notice,13,1,-10.964972736354929,4,2,1,27.19801934387291,3,0,0.0
2020-07-03 10:13:57+00:00,what about the SHN hotels?,2020-07-05,5,Stay Home Notice,5,0,-11.012516125967775,0,0,0,27.94122096817334,3,0,0.0
2020-06-03 11:43:55+00:00,But Singaporeans coming home from abroad requires a 14 days SHN....,2020-06-03,10,Stay Home Notice,11,1,-12.388856930348739,2,0,0,12.927179445882635,2,0,0.0
2020-06-03 11:43:55+00:00,????? Everyone from overseas should serve stay home notice for 14 days!,2020-06-03,10,Stay Home Notice,11,1,-11.357517154571399,2,0,0,13.036160473995054,2,1,0.0
2020-05-27 15:13:36+00:00,Who are these ppl? Why they’re not quarantined/ under SHN if they’re connected to dormitory cases? (Report said they are) Why they can still wandering around the community and spreading virus like tat?,2020-05-28,35,Stay Home Notice,33,2,-11.69115870362222,7,3,0,7.148973048554081,1,0,1.0
2020-04-11 09:03:40+00:00,"Guys please be reasonable. The government is quickly adapting approaches based on the situation! Things have changed alot in 6 weeks. They know masks helps, but 6 weeks ago, number of healthy people is higher, probability of spread is low, but irrational fear (selfishness, panic hoarding) was high so that was the recommended approach. But today, there's a higher spread in community over time, but higher trust in government to act (e.g. society observed how they quickly planning resources and manpower to create and give out hand sanitizers and now reusable masks), so the approach changed. It's about adapting quickly based on factors e.g. society, resources needed, time available, probability of virus spread. Not about staunchly sticking to 1 way just because you don't want people to criticise.",2020-04-11,124,Stay Home Notice,130,4,-11.365217545943036,27,3,1,1.4081408168439444,0,0,1.0
2020-03-19 02:59:34+00:00,"There are pple just dont bother to declare,  what is the measure for non declaration? How MOH n MOE going to handle this? Do we apply SHN only for 14-20 Mar for all travellers returned to SG? Noone konw of their travel history except themselves?",2020-03-21,44,Stay Home Notice,45,2,-12.919393403061585,7,0,1,3.766083374462424,0,0,0.0
2020-03-16 08:36:52+00:00,Some are very selfish. They didn’t cancel their trip and insist it. After trip they are supposed to do SHN which means they don’t want to work officially. Is this normal?,2020-03-16,33,Stay Home Notice,31,2,-10.51118277356881,12,1,0,13.654050707911608,2,0,1.0
