,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,2,"Parliament passed the COVID-19 (Temporary Measures) (Amendment) Bill today, after vigorous debate.
 
I support the Bill. Having served as a policeman for the first part of my public service career, I have seen my share of heart-wrenching crimes. In many cases, we are only able to deliver justice, by judiciously collecting and investigating the necessary evidence. This is our solemn duty to the victims and their families. We must enable our police officers to protect our people and keep Singapore safe. 
 
At the same time, we must respect personal privacy. The Bill today provides an important safeguard — that the data collected through contact tracing systems will be used only for that purpose except where there is a need for police investigations relating to seven categories of serious offences, including murder and rape. 
 
Minister @vivianbalakrishnan, who oversees our Smart Nation effort, gave a very clear account on how we balance the needs of fighting COVID-19 with the privacy of our people, while ensuring that justice is also achieved for serious crimes.
 
The trust of our people is critical to containing the virus. I’m glad that over 80% of our people are using TraceTogether. The Bill passed today is an additional step to safeguard this trust. 
 
COVID-19 remains a clear and present threat. We must continue to remain united behind a shared purpose to overcome this crisis, and emerge even stronger as a society.
 
(@thenewpaper © Singapore Press Holdings Limited. Reproduced with permission.)",2021-02-02 12:39:16+00:00,The contact tracking device can be used to track down the loan shark Raid drug trafficking raid and be able to track down gangster fight raids all at the same time which will be much faster for the police officer handle the job all at one go .than other times police officer can also focus on upgrading Skills that prepares than for a higher job scope of work which can be at the supreme court or work attachment at k9 dog unit,2021-02-02 12:54:21+00:00,81
1,6,"Parliament passed the COVID-19 (Temporary Measures) (Amendment) Bill today, after vigorous debate.
 
I support the Bill. Having served as a policeman for the first part of my public service career, I have seen my share of heart-wrenching crimes. In many cases, we are only able to deliver justice, by judiciously collecting and investigating the necessary evidence. This is our solemn duty to the victims and their families. We must enable our police officers to protect our people and keep Singapore safe. 
 
At the same time, we must respect personal privacy. The Bill today provides an important safeguard — that the data collected through contact tracing systems will be used only for that purpose except where there is a need for police investigations relating to seven categories of serious offences, including murder and rape. 
 
Minister @vivianbalakrishnan, who oversees our Smart Nation effort, gave a very clear account on how we balance the needs of fighting COVID-19 with the privacy of our people, while ensuring that justice is also achieved for serious crimes.
 
The trust of our people is critical to containing the virus. I’m glad that over 80% of our people are using TraceTogether. The Bill passed today is an additional step to safeguard this trust. 
 
COVID-19 remains a clear and present threat. We must continue to remain united behind a shared purpose to overcome this crisis, and emerge even stronger as a society.
 
(@thenewpaper © Singapore Press Holdings Limited. Reproduced with permission.)",2021-02-02 12:39:16+00:00,Your singapore + east coast plans is good. Continue protecting singapore 😁,2021-02-02 14:42:48+00:00,10
2,0,"We’re embarking on our journey to Phase Three. But to avoid a flare up of the virus, any further relaxation must come with additional controls and safeguards, specifically scaled-up contact tracing and testing (including the use of rapid antigen test kits), as well as continued adherence to safe management measures.

We therefore need everyone to do their part to participate in the Trace Together programme, and to cooperate with all the prevailing safe distancing requirements. If we do that well and keep community transmission low, then we will be able to enter Phase Three before the end of the year. That means group sizes can increase from the present 5 to 8, and we can have larger events with multiple zones of 50 people. On the other hand, if we let our guard down and new clusters emerge, then the timeline will have to be pushed back.

Remember the fight is not over and we still have a long road ahead of us. It will not be possible to go back to the pre-Covid world any time soon. But if we stay disciplined and vigilant, we can continue to progressively resume activities and reopen our economy safely.",2020-10-20 15:22:15+00:00,cOrOnA aT tHe bAcK fUnNy,2020-10-20 15:32:09+00:00,5
3,1,"We’re embarking on our journey to Phase Three. But to avoid a flare up of the virus, any further relaxation must come with additional controls and safeguards, specifically scaled-up contact tracing and testing (including the use of rapid antigen test kits), as well as continued adherence to safe management measures.

We therefore need everyone to do their part to participate in the Trace Together programme, and to cooperate with all the prevailing safe distancing requirements. If we do that well and keep community transmission low, then we will be able to enter Phase Three before the end of the year. That means group sizes can increase from the present 5 to 8, and we can have larger events with multiple zones of 50 people. On the other hand, if we let our guard down and new clusters emerge, then the timeline will have to be pushed back.

Remember the fight is not over and we still have a long road ahead of us. It will not be possible to go back to the pre-Covid world any time soon. But if we stay disciplined and vigilant, we can continue to progressively resume activities and reopen our economy safely.",2020-10-20 15:22:15+00:00,Faster please...I want to invite more people to my daughter's wedding 👏👏,2020-10-20 15:33:02+00:00,11
4,2,"We’re embarking on our journey to Phase Three. But to avoid a flare up of the virus, any further relaxation must come with additional controls and safeguards, specifically scaled-up contact tracing and testing (including the use of rapid antigen test kits), as well as continued adherence to safe management measures.

We therefore need everyone to do their part to participate in the Trace Together programme, and to cooperate with all the prevailing safe distancing requirements. If we do that well and keep community transmission low, then we will be able to enter Phase Three before the end of the year. That means group sizes can increase from the present 5 to 8, and we can have larger events with multiple zones of 50 people. On the other hand, if we let our guard down and new clusters emerge, then the timeline will have to be pushed back.

Remember the fight is not over and we still have a long road ahead of us. It will not be possible to go back to the pre-Covid world any time soon. But if we stay disciplined and vigilant, we can continue to progressively resume activities and reopen our economy safely.",2020-10-20 15:22:15+00:00,Was surprised to see crowds gathering in geylang area without social distance. Sad,2020-10-20 15:37:33+00:00,13
5,3,"We’re embarking on our journey to Phase Three. But to avoid a flare up of the virus, any further relaxation must come with additional controls and safeguards, specifically scaled-up contact tracing and testing (including the use of rapid antigen test kits), as well as continued adherence to safe management measures.

We therefore need everyone to do their part to participate in the Trace Together programme, and to cooperate with all the prevailing safe distancing requirements. If we do that well and keep community transmission low, then we will be able to enter Phase Three before the end of the year. That means group sizes can increase from the present 5 to 8, and we can have larger events with multiple zones of 50 people. On the other hand, if we let our guard down and new clusters emerge, then the timeline will have to be pushed back.

Remember the fight is not over and we still have a long road ahead of us. It will not be possible to go back to the pre-Covid world any time soon. But if we stay disciplined and vigilant, we can continue to progressively resume activities and reopen our economy safely.",2020-10-20 15:22:15+00:00,"A’Salam I’m an international old money collector I need to know do you have old money Tembaga, duit syiling lama, nota lama, setem, duit syiling, cincin dan batu antik available for sale TQ. ✅10k 🇲🇾✅10k 🇸🇬 ✅10k 🇧🇳✅10k 🇨🇳Make your money now !!!I'm from PCGS company💰💰💰💰💰💰",2020-10-20 15:51:24+00:00,42
6,6,"We’re embarking on our journey to Phase Three. But to avoid a flare up of the virus, any further relaxation must come with additional controls and safeguards, specifically scaled-up contact tracing and testing (including the use of rapid antigen test kits), as well as continued adherence to safe management measures.

We therefore need everyone to do their part to participate in the Trace Together programme, and to cooperate with all the prevailing safe distancing requirements. If we do that well and keep community transmission low, then we will be able to enter Phase Three before the end of the year. That means group sizes can increase from the present 5 to 8, and we can have larger events with multiple zones of 50 people. On the other hand, if we let our guard down and new clusters emerge, then the timeline will have to be pushed back.

Remember the fight is not over and we still have a long road ahead of us. It will not be possible to go back to the pre-Covid world any time soon. But if we stay disciplined and vigilant, we can continue to progressively resume activities and reopen our economy safely.",2020-10-20 15:22:15+00:00,"if phase 3, what will moe guidelines on CCA be? will it just be 5 to 8? or are other stuff more allowed? more info would facilitate our planning!!",2020-10-20 17:00:14+00:00,26
7,9,"We’re embarking on our journey to Phase Three. But to avoid a flare up of the virus, any further relaxation must come with additional controls and safeguards, specifically scaled-up contact tracing and testing (including the use of rapid antigen test kits), as well as continued adherence to safe management measures.

We therefore need everyone to do their part to participate in the Trace Together programme, and to cooperate with all the prevailing safe distancing requirements. If we do that well and keep community transmission low, then we will be able to enter Phase Three before the end of the year. That means group sizes can increase from the present 5 to 8, and we can have larger events with multiple zones of 50 people. On the other hand, if we let our guard down and new clusters emerge, then the timeline will have to be pushed back.

Remember the fight is not over and we still have a long road ahead of us. It will not be possible to go back to the pre-Covid world any time soon. But if we stay disciplined and vigilant, we can continue to progressively resume activities and reopen our economy safely.",2020-10-20 15:22:15+00:00,@lawrencewongst has the government decided when to stop wearing masks? Only after vaccine is ready? Can i stop wearing masks in Phrase 3?,2020-10-21 00:31:33+00:00,21
8,10,"We’re embarking on our journey to Phase Three. But to avoid a flare up of the virus, any further relaxation must come with additional controls and safeguards, specifically scaled-up contact tracing and testing (including the use of rapid antigen test kits), as well as continued adherence to safe management measures.

We therefore need everyone to do their part to participate in the Trace Together programme, and to cooperate with all the prevailing safe distancing requirements. If we do that well and keep community transmission low, then we will be able to enter Phase Three before the end of the year. That means group sizes can increase from the present 5 to 8, and we can have larger events with multiple zones of 50 people. On the other hand, if we let our guard down and new clusters emerge, then the timeline will have to be pushed back.

Remember the fight is not over and we still have a long road ahead of us. It will not be possible to go back to the pre-Covid world any time soon. But if we stay disciplined and vigilant, we can continue to progressively resume activities and reopen our economy safely.",2020-10-20 15:22:15+00:00,"reading this News with gratitude, warmth.... a very long tough journey, yet SG tough, mighty... 👍👏 truly appreciate the effort of those in charged, n everyone's cooperation 🙏👏",2020-10-21 03:35:58+00:00,25
9,11,"We’re embarking on our journey to Phase Three. But to avoid a flare up of the virus, any further relaxation must come with additional controls and safeguards, specifically scaled-up contact tracing and testing (including the use of rapid antigen test kits), as well as continued adherence to safe management measures.

We therefore need everyone to do their part to participate in the Trace Together programme, and to cooperate with all the prevailing safe distancing requirements. If we do that well and keep community transmission low, then we will be able to enter Phase Three before the end of the year. That means group sizes can increase from the present 5 to 8, and we can have larger events with multiple zones of 50 people. On the other hand, if we let our guard down and new clusters emerge, then the timeline will have to be pushed back.

Remember the fight is not over and we still have a long road ahead of us. It will not be possible to go back to the pre-Covid world any time soon. But if we stay disciplined and vigilant, we can continue to progressively resume activities and reopen our economy safely.",2020-10-20 15:22:15+00:00,"Hello Mr Lawrence Wong, when will polytechnics go back to school, besides for practicals? Most of us are getting restless at home already, especially since some courses are still 100% HBL...",2020-10-21 05:44:25+00:00,30
