,Post Description,Post Datetime,Comments,Comment Datetime,num_words
1,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶",2020-10-06 07:23:46+00:00,Part of the East Coast Plan,2020-10-06 07:30:59+00:00,6
2,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶",2020-10-06 07:23:46+00:00,sorry boss no one want make with me,2020-10-06 07:52:33+00:00,8
3,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶",2020-10-06 07:23:46+00:00,So no need for Safe Entry anymore? 😉,2020-10-06 07:58:43+00:00,7
6,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶",2020-10-06 07:23:46+00:00,@sheldor_th3_conqueror you know what you gotta do with Amanda for that cash bonus 😏,2020-10-06 13:29:29+00:00,12
8,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶",2020-10-06 07:23:46+00:00,"The voucher of $300 which receive in oct and dec $150 each, is for each person above 21 staying in a 1 room flat /2 room flat. Or per household",2020-10-07 04:02:26+00:00,25
13,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash.",2020-10-04 09:59:31+00:00,This is a great news,2020-10-04 15:31:47+00:00,5
14,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash.",2020-10-04 09:59:31+00:00,Everything increases. Thank you singaporeans for voting them,2020-10-04 17:06:59+00:00,8
15,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash.",2020-10-04 09:59:31+00:00,Yes  electricity tariffa increases 9% thk to all singaporeans for voting them👏,2020-10-04 23:37:33+00:00,11
16,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash.",2020-10-04 09:59:31+00:00,Time for payback.Give you one drumstick and take back whole spring chicken.,2020-10-05 00:17:34+00:00,11
17,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash.",2020-10-04 09:59:31+00:00,Don't blame the voters. Most of them don't know the impact behind. They only glad to receive the GST vouchers. 😢😢😢,2020-10-05 01:04:45+00:00,18
