,Post Description,Post Datetime,Comments,Comment Datetime,num_words
8,"Caught up with the different teams of the Inter-Agency Task Force in an e-meeting today. They have been very busy over the past several months, helping our migrant workers in the dorms during this COVID-19 pandemic.

We discussed their work so far, what comes next, and what we can tweak and improve. We have come a long way, and the migrant workers are now starting to go back to work.

Helping our migrant workers has demanded a multi-faceted approach, with teams from many agencies working together. They have deployed both high tech and the personal touch, and put in enormous efforts to tackle the problem.

It will take us a few more months to resolve the dorms issue. We have kept things under control, and will progressively bring things back up and running again. Thank you all, once again, and keep up the good work! – LHL (MCI Photos by Chwee [1] and Lee Jia Wen [2-4])
#SGUnited",2020-06-12 14:19:52+00:00,Well done sir . I m admire with precaution for pandemic situation for this nationwide,2020-06-15 20:31:17+00:00,14
13,"Paid an “e-visit” to the team at the Singapore Ministry of Manpower Services Center at Bendemeer Road and met the Interagency Task Force.

The task force brings together efforts across the Whole-of-Government to look after and treat migrant workers in this COVID-19 outbreak, especially those living in dormitories. Public officers from various agencies have been deployed to the dormitories to care for the workers. Not all speak the native languages of the foreign workers, so we are working with the ambassadors from the Migrant Workers’ Centre who are migrant workers themselves. I was encouraged to learn that the workers recognise our collective efforts and are working with us.

On another front, our Safe Distancing Ambassadors have also been hard at work in the community. Many of us are practising new habits and keeping a safe distance. But quite a few have still not got used to this. Many Ambassadors are volunteers who care, and want to do something. We are grateful for their efforts and service.

I am grateful to the public officers quietly carrying out essential tasks under great pressure, and I am sure you will be too. I am glad private individuals and community groups are also doing their part. They are raising funds for foreign workers, sewing masks, and rendering help to the homeless. May the Singapore spirit shine brightly as we go through this difficult period together. – LHL

#SGUnited
#SingaporeTogether ([1] MCI Photo by Zinkie Aw, [2] MCI Photo by Lee Jia Wen)",2020-04-16 10:56:09+00:00,Please check your DM is something urgent 🙏🏽🙏🏽🙏🏽,2020-04-18 22:24:52+00:00,7
15,"Paid an “e-visit” to the team at the Singapore Ministry of Manpower Services Center at Bendemeer Road and met the Interagency Task Force.

The task force brings together efforts across the Whole-of-Government to look after and treat migrant workers in this COVID-19 outbreak, especially those living in dormitories. Public officers from various agencies have been deployed to the dormitories to care for the workers. Not all speak the native languages of the foreign workers, so we are working with the ambassadors from the Migrant Workers’ Centre who are migrant workers themselves. I was encouraged to learn that the workers recognise our collective efforts and are working with us.

On another front, our Safe Distancing Ambassadors have also been hard at work in the community. Many of us are practising new habits and keeping a safe distance. But quite a few have still not got used to this. Many Ambassadors are volunteers who care, and want to do something. We are grateful for their efforts and service.

I am grateful to the public officers quietly carrying out essential tasks under great pressure, and I am sure you will be too. I am glad private individuals and community groups are also doing their part. They are raising funds for foreign workers, sewing masks, and rendering help to the homeless. May the Singapore spirit shine brightly as we go through this difficult period together. – LHL

#SGUnited
#SingaporeTogether ([1] MCI Photo by Zinkie Aw, [2] MCI Photo by Lee Jia Wen)",2020-04-16 10:56:09+00:00,@leehsienloong please stay healthy and safe for us!!,2020-04-19 07:54:08+00:00,7
19,"Paid an “e-visit” to the team at the Singapore Ministry of Manpower Services Center at Bendemeer Road and met the Interagency Task Force.

The task force brings together efforts across the Whole-of-Government to look after and treat migrant workers in this COVID-19 outbreak, especially those living in dormitories. Public officers from various agencies have been deployed to the dormitories to care for the workers. Not all speak the native languages of the foreign workers, so we are working with the ambassadors from the Migrant Workers’ Centre who are migrant workers themselves. I was encouraged to learn that the workers recognise our collective efforts and are working with us.

On another front, our Safe Distancing Ambassadors have also been hard at work in the community. Many of us are practising new habits and keeping a safe distance. But quite a few have still not got used to this. Many Ambassadors are volunteers who care, and want to do something. We are grateful for their efforts and service.

I am grateful to the public officers quietly carrying out essential tasks under great pressure, and I am sure you will be too. I am glad private individuals and community groups are also doing their part. They are raising funds for foreign workers, sewing masks, and rendering help to the homeless. May the Singapore spirit shine brightly as we go through this difficult period together. – LHL

#SGUnited
#SingaporeTogether ([1] MCI Photo by Zinkie Aw, [2] MCI Photo by Lee Jia Wen)",2020-04-16 10:56:09+00:00,"PM Lee , there’s a NEWS from director alternative medication of Thailand mention that there is a medicine that made from herbs can cure mild symptoms patients. May be it can be use for those infected worker. I’m sure you ask more information from Ministry of health in Thailand.The article is only available in Thai https://today.line.me/TH/article/XwJy2k?utm_source=lineshare",2020-04-19 14:33:46+00:00,55
20,"Paid an “e-visit” to the team at the Singapore Ministry of Manpower Services Center at Bendemeer Road and met the Interagency Task Force.

The task force brings together efforts across the Whole-of-Government to look after and treat migrant workers in this COVID-19 outbreak, especially those living in dormitories. Public officers from various agencies have been deployed to the dormitories to care for the workers. Not all speak the native languages of the foreign workers, so we are working with the ambassadors from the Migrant Workers’ Centre who are migrant workers themselves. I was encouraged to learn that the workers recognise our collective efforts and are working with us.

On another front, our Safe Distancing Ambassadors have also been hard at work in the community. Many of us are practising new habits and keeping a safe distance. But quite a few have still not got used to this. Many Ambassadors are volunteers who care, and want to do something. We are grateful for their efforts and service.

I am grateful to the public officers quietly carrying out essential tasks under great pressure, and I am sure you will be too. I am glad private individuals and community groups are also doing their part. They are raising funds for foreign workers, sewing masks, and rendering help to the homeless. May the Singapore spirit shine brightly as we go through this difficult period together. – LHL

#SGUnited
#SingaporeTogether ([1] MCI Photo by Zinkie Aw, [2] MCI Photo by Lee Jia Wen)",2020-04-16 10:56:09+00:00,There is always ungrateful idiots and whiny fools around. You did the best you could and continue on. For those who have a problem you're welcome to confront me :),2020-04-20 05:49:21+00:00,28
21,"Paid an “e-visit” to the team at the Singapore Ministry of Manpower Services Center at Bendemeer Road and met the Interagency Task Force.

The task force brings together efforts across the Whole-of-Government to look after and treat migrant workers in this COVID-19 outbreak, especially those living in dormitories. Public officers from various agencies have been deployed to the dormitories to care for the workers. Not all speak the native languages of the foreign workers, so we are working with the ambassadors from the Migrant Workers’ Centre who are migrant workers themselves. I was encouraged to learn that the workers recognise our collective efforts and are working with us.

On another front, our Safe Distancing Ambassadors have also been hard at work in the community. Many of us are practising new habits and keeping a safe distance. But quite a few have still not got used to this. Many Ambassadors are volunteers who care, and want to do something. We are grateful for their efforts and service.

I am grateful to the public officers quietly carrying out essential tasks under great pressure, and I am sure you will be too. I am glad private individuals and community groups are also doing their part. They are raising funds for foreign workers, sewing masks, and rendering help to the homeless. May the Singapore spirit shine brightly as we go through this difficult period together. – LHL

#SGUnited
#SingaporeTogether ([1] MCI Photo by Zinkie Aw, [2] MCI Photo by Lee Jia Wen)",2020-04-16 10:56:09+00:00,"Thank you PM for doing such a great job, balanced, wise, thoughtful.",2020-04-20 12:32:44+00:00,12
22,"Paid an “e-visit” to the team at the Singapore Ministry of Manpower Services Center at Bendemeer Road and met the Interagency Task Force.

The task force brings together efforts across the Whole-of-Government to look after and treat migrant workers in this COVID-19 outbreak, especially those living in dormitories. Public officers from various agencies have been deployed to the dormitories to care for the workers. Not all speak the native languages of the foreign workers, so we are working with the ambassadors from the Migrant Workers’ Centre who are migrant workers themselves. I was encouraged to learn that the workers recognise our collective efforts and are working with us.

On another front, our Safe Distancing Ambassadors have also been hard at work in the community. Many of us are practising new habits and keeping a safe distance. But quite a few have still not got used to this. Many Ambassadors are volunteers who care, and want to do something. We are grateful for their efforts and service.

I am grateful to the public officers quietly carrying out essential tasks under great pressure, and I am sure you will be too. I am glad private individuals and community groups are also doing their part. They are raising funds for foreign workers, sewing masks, and rendering help to the homeless. May the Singapore spirit shine brightly as we go through this difficult period together. – LHL

#SGUnited
#SingaporeTogether ([1] MCI Photo by Zinkie Aw, [2] MCI Photo by Lee Jia Wen)",2020-04-16 10:56:09+00:00,"With international focus on Singapore, I proud that our govt didn't take it as a competition, making alot of decision of cos hindsight is always 20/20. And I'm proud as a Singaporean that our govt change adjust and make better. Walk the talk, this is our govt!",2020-04-21 06:06:51+00:00,44
23,"Paid an “e-visit” to the team at the Singapore Ministry of Manpower Services Center at Bendemeer Road and met the Interagency Task Force.

The task force brings together efforts across the Whole-of-Government to look after and treat migrant workers in this COVID-19 outbreak, especially those living in dormitories. Public officers from various agencies have been deployed to the dormitories to care for the workers. Not all speak the native languages of the foreign workers, so we are working with the ambassadors from the Migrant Workers’ Centre who are migrant workers themselves. I was encouraged to learn that the workers recognise our collective efforts and are working with us.

On another front, our Safe Distancing Ambassadors have also been hard at work in the community. Many of us are practising new habits and keeping a safe distance. But quite a few have still not got used to this. Many Ambassadors are volunteers who care, and want to do something. We are grateful for their efforts and service.

I am grateful to the public officers quietly carrying out essential tasks under great pressure, and I am sure you will be too. I am glad private individuals and community groups are also doing their part. They are raising funds for foreign workers, sewing masks, and rendering help to the homeless. May the Singapore spirit shine brightly as we go through this difficult period together. – LHL

#SGUnited
#SingaporeTogether ([1] MCI Photo by Zinkie Aw, [2] MCI Photo by Lee Jia Wen)",2020-04-16 10:56:09+00:00,Om tsan tsa maha rokana hum phet🙏🙏🙏,2020-04-21 06:12:56+00:00,7
25,"Posted a message on our current COVID-19 situation in English, Chinese and Malay on my Facebook Page, Telegram channel, and the PMO YouTube channel. Please share with your families and friends, especially older Singaporeans.

We saw our largest daily number of COVID-19 cases so far yesterday. Many were from foreign worker dormitories. My message explains what we are doing to contain the spread in the dorms, and protect the health and welfare of the foreign workers. We will do our utmost to take care of them.

The number of cases outside the dorms also continues to rise. This is precisely why we needed the circuit breaker. We need everyone to take it very seriously — stay home and stop socialising with others. If we do not observe this strictly, all our inconvenience, pain and sacrifice will all be in vain.

In the video I also appeal to older Singaporeans to stay at home, for your own safety.

The next few weeks will be tough. We have to get through them before the sun will shine over us again. Till that day comes, please stay home. – LHL

#StayhomeforSG
#SingaporeTogether
#SGUnited (MCI Photo by Lee Jia Wen)",2020-04-10 09:20:17+00:00,"Hi PM Lee, Me and my hubby and two kids (11 years and 3 years) are all SG PR. We are not getting any of the solidarity payment and even my younger one's kindergarten fee is not getting refunded just because none of us are citizen yet. We are equally paying taxes but we are not included or the government hardly think of PRs when they roll out any of the payout or benefit even during such a difficult time to everyone, which is so unique in the world to differentiate the treatment btw PR and citizens. Really disappointed!",2020-04-13 09:01:15+00:00,96
27,"Posted a message on our current COVID-19 situation in English, Chinese and Malay on my Facebook Page, Telegram channel, and the PMO YouTube channel. Please share with your families and friends, especially older Singaporeans.

We saw our largest daily number of COVID-19 cases so far yesterday. Many were from foreign worker dormitories. My message explains what we are doing to contain the spread in the dorms, and protect the health and welfare of the foreign workers. We will do our utmost to take care of them.

The number of cases outside the dorms also continues to rise. This is precisely why we needed the circuit breaker. We need everyone to take it very seriously — stay home and stop socialising with others. If we do not observe this strictly, all our inconvenience, pain and sacrifice will all be in vain.

In the video I also appeal to older Singaporeans to stay at home, for your own safety.

The next few weeks will be tough. We have to get through them before the sun will shine over us again. Till that day comes, please stay home. – LHL

#StayhomeforSG
#SingaporeTogether
#SGUnited (MCI Photo by Lee Jia Wen)",2020-04-10 09:20:17+00:00,"Yes,i will support,even m not Singaporean,m just Long Term Pass,since 2008,🙏🙏🙏",2020-04-13 14:21:09+00:00,14
