,Post Description,Post Datetime,Comments,Comment Datetime,num_words
1,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",2021-01-23 06:02:02+00:00,Okay so healthcare workers and frontliners out there risking their lives every day but people just want to nitpick at our country’s effort to minimize virus transmissions. Come I clap for you.,2021-01-23 14:54:43+00:00,33
2,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",2021-01-23 06:02:02+00:00,"Y’all should take this time to appreciate the measures that the govt has gone to to balance the preservation of CNY festivities against the threat of another outbreak. Countries like the UK are seeing the spike in cases from Christmas gatherings now, and the grief and suffering is not worth it. Putting your frustrations aside, it’s better to be safe than sorry and our country has fought hard for us to have this level of freedom where we can still go out and see loved ones instead of being locked down a second time for the foreseeable future. 🙌",2021-01-23 20:28:30+00:00,100
4,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",2021-01-23 06:02:02+00:00,Don't forget you trace tracking thingy 😅,2021-01-23 06:18:58+00:00,5
5,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",2021-01-23 06:02:02+00:00,Maybe mr wong hates cny.. 😂😂😂,2021-01-23 07:46:17+00:00,5
6,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",2021-01-23 06:02:02+00:00,Heng play majong only need 4 ppl 😂,2021-01-23 07:10:48+00:00,6
7,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",2021-01-23 06:02:02+00:00,"In summary. ‘ Trace Together allows us to enforce this. But if caught, we will say that it’s a complaint from your neighbours’",2021-01-23 09:07:22+00:00,23
8,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",2021-01-23 06:02:02+00:00,When ah ma need to choose which 8 of her kids and grandchild can visit on 1st day of cny 😔,2021-01-23 13:15:40+00:00,18
9,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",2021-01-23 06:02:02+00:00,Summary: WE DEPEND ON BAOTOH KIAS,2021-01-23 13:30:51+00:00,6
10,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",2021-01-23 06:02:02+00:00,Max 8 visitor a day.. can't finish all the visiting in two days... So we should have a few more days as public holiday... 🤣,2021-01-23 10:17:08+00:00,22
11,"At a press conference on Jan. 22, Minister Lawrence Wong provided clarifications on the ""maximum of 8 visitors per household per day"" rule, and addressed the media's questions on how it will be enforced.",2021-01-23 06:02:02+00:00,Stop. Encouraging. Snitching. What kinda society do u wanna live in jeez,2021-01-23 09:31:55+00:00,12
14,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash",2021-01-22 10:37:39+00:00,It may be trash but that consider not bad tho. At least yall can still visit. Its much better than hari raya one lol,2021-01-22 10:40:56+00:00,24
15,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash",2021-01-22 10:37:39+00:00,gonna be broke this year,2021-01-22 10:39:38+00:00,5
16,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash",2021-01-22 10:37:39+00:00,I just know a bunch of aunties will ignore this,2021-01-22 10:51:29+00:00,10
18,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash",2021-01-22 10:37:39+00:00,Yay now less people can ask why i'm not married and single during CNY,2021-01-22 10:43:22+00:00,13
19,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash",2021-01-22 10:37:39+00:00,There goes my angpao money,2021-01-22 10:40:27+00:00,5
22,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash",2021-01-22 10:37:39+00:00,stop the cap right now 🧢,2021-01-22 10:39:38+00:00,5
23,"The restrictions — announced on Jan. 22 in the lead up to Chinese New Year — comes as new clusters have emerged in the community.

Individuals have also been advised to limit themselves to visiting two other households a day at most.

No changes have been made to social gatherings outside the home; they remain at a maximum group size of eight. #linkinbio

Photo from John T via Unsplash",2021-01-22 10:37:39+00:00,"fair enough, not like they dont allow, they did allow but with rules 🤷‍♂️",2021-01-22 10:43:30+00:00,13
25,"The period would definitely see an increased amount of intermingling between groups of people while visiting houses.

In the meantime, the government is still in the midst of considering whether additional safeguards and restrictions are required.

However, much of it is still up in the air, and the specific measures are currently still uncertain. #linkinbio

Photo from Romeo Tan / FB",2021-01-21 15:46:31+00:00,Hello pls paynow my angpao ty,2021-01-21 15:54:21+00:00,6
26,"The period would definitely see an increased amount of intermingling between groups of people while visiting houses.

In the meantime, the government is still in the midst of considering whether additional safeguards and restrictions are required.

However, much of it is still up in the air, and the specific measures are currently still uncertain. #linkinbio

Photo from Romeo Tan / FB",2021-01-21 15:46:31+00:00,yay one more excuse to not see my extended family 😄,2021-01-21 15:49:41+00:00,10
