,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",2021-02-02 12:01:47+00:00,"Singapore’s governing system is much to be commended. Some Singaporeans don’t know how lucky they are... I moved back to Singapore from Europe and I can safely say Europe’s way of handling the Covid-19 pandemic is pre-historic compared to Singapore’s. Another factor is that Singaporeans are compliant and adhere to the law passed down by the govt, while Europe’s people are in a mess, and their left and right wings are tearing apart further amidst the pandemic. After being back here, I never felt more lucky and grateful to be Singaporean.",2021-02-02 18:02:58+00:00,95
1,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",2021-02-02 12:01:47+00:00,"Please be grateful how our government trying their best to come out with tokens for contract tracing . Look at Perth Australia , they only have 1 community case and they had to go on lockdown . Please read up news around the world and you know will how bless you are in Singapore .",2021-02-02 13:21:51+00:00,50
2,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",2021-02-02 12:01:47+00:00,“I take full responsibility for this mistake.” Video TLDW but it’s heartening to hear the govt acknowledging and claiming their mistakes. That’s more like it. Now MOE do the same.,2021-02-02 12:13:45+00:00,32
4,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",2021-02-02 12:01:47+00:00,"If ones did nothing wrong why need to worry about privacy involving in criminal procedure code?! Those people kpkb about privacy matter because they like to do illegal things, scare kena easily get caught is it?! 😂",2021-02-02 13:36:13+00:00,36
6,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",2021-02-02 12:01:47+00:00,The pandemic going to last a bloody decade then.,2021-02-02 12:24:52+00:00,9
7,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",2021-02-02 12:01:47+00:00,"Questions ; when will ""Covid-19 over?""",2021-02-02 12:13:06+00:00,5
8,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",2021-02-02 12:01:47+00:00,"Singaporeans and all living here please be thankful that our government is doing their utmost best to protect everyone here, seeing to all our daily supplies as we have no natural resources, we have fantastic health care facilities here, making sure there are sufficient vaccinations for everyone, setting laws, rules and regulations so that we don’t loose our love ones here!  You people do not know you’re living in heaven and are complaining like hell.  Go talk to people who lived overseas and those here who had lost their love ones over their.  Otherwise fly anywhere out of Singapore to see for yourself.  Please be appreciative that we can still live quite normally here and building our economy to our best so that everyone can still have a job!  Wake up Singaporeans!",2021-02-03 01:23:35+00:00,134
10,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",2021-02-02 12:01:47+00:00,"""Take full responsibility"" but the law has already been passed on using the data for criminal tracking and will do so in the future till this pandemic is over. Easy said.. he admitted the mistake but we got to live with it. We got no say in this.",2021-02-02 15:11:36+00:00,48
11,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over.",2021-02-02 12:01:47+00:00,Love our Govt leaders! God has blessed us with good leaders!,2021-02-02 14:53:12+00:00,11
12,We hit the streets to find out what people think about the use of TraceTogether data for criminal investigations.,2021-01-23 05:01:38+00:00,That old uncle have a lot of shits to say 😂😂😂,2021-01-23 05:19:04+00:00,10
