,Post Description,Post Datetime,Comments,Comment Datetime,num_words
1,"the government did not take the initiative to disclose that data from the tracetogether application and token may be used for criminal investigations, revealing it after it was already used for a murder case, today reader pierce yip said.

he writes: ""whatever the merits of the police using the data, the way the matter has been handled and presented to the public as a fait accompli leaves a bad taste in many mouths.""

""leaving aside the government’s track record of adopting a relatively expansive view of what constitutes a “serious offence”, how reassuring can the guarantee by home affairs minister k shanmugam be when previous ministerial assurances on the matter made just six months ago have now been so easily set aside?""

""dr balakrishnan rightly stressed the importance of trust and transparency in parliament. this is why the government’s decision not to make good on its word is most baffling for the non-cynical observer.""

read on, when you click on the link in bio @todayonline 

#tracetogethertoken #tracetogether #tracetogethertokenssg #singapore",2021-01-08 12:33:50+00:00,so many languages and he chose to speak facts,2021-01-08 12:37:40+00:00,9
2,"the government did not take the initiative to disclose that data from the tracetogether application and token may be used for criminal investigations, revealing it after it was already used for a murder case, today reader pierce yip said.

he writes: ""whatever the merits of the police using the data, the way the matter has been handled and presented to the public as a fait accompli leaves a bad taste in many mouths.""

""leaving aside the government’s track record of adopting a relatively expansive view of what constitutes a “serious offence”, how reassuring can the guarantee by home affairs minister k shanmugam be when previous ministerial assurances on the matter made just six months ago have now been so easily set aside?""

""dr balakrishnan rightly stressed the importance of trust and transparency in parliament. this is why the government’s decision not to make good on its word is most baffling for the non-cynical observer.""

read on, when you click on the link in bio @todayonline 

#tracetogethertoken #tracetogether #tracetogethertokenssg #singapore",2021-01-08 12:33:50+00:00,inb4 this post/this contributor kenna 'fixed' 🤔,2021-01-08 12:47:15+00:00,7
4,"the government did not take the initiative to disclose that data from the tracetogether application and token may be used for criminal investigations, revealing it after it was already used for a murder case, today reader pierce yip said.

he writes: ""whatever the merits of the police using the data, the way the matter has been handled and presented to the public as a fait accompli leaves a bad taste in many mouths.""

""leaving aside the government’s track record of adopting a relatively expansive view of what constitutes a “serious offence”, how reassuring can the guarantee by home affairs minister k shanmugam be when previous ministerial assurances on the matter made just six months ago have now been so easily set aside?""

""dr balakrishnan rightly stressed the importance of trust and transparency in parliament. this is why the government’s decision not to make good on its word is most baffling for the non-cynical observer.""

read on, when you click on the link in bio @todayonline 

#tracetogethertoken #tracetogether #tracetogethertokenssg #singapore",2021-01-08 12:33:50+00:00,"Live a honest life n do good...what is there to fear..have or dont have this thing call ""TraceTogether""...life still goes on...no problem and no worries.",2021-01-09 05:38:41+00:00,29
5,"the government did not take the initiative to disclose that data from the tracetogether application and token may be used for criminal investigations, revealing it after it was already used for a murder case, today reader pierce yip said.

he writes: ""whatever the merits of the police using the data, the way the matter has been handled and presented to the public as a fait accompli leaves a bad taste in many mouths.""

""leaving aside the government’s track record of adopting a relatively expansive view of what constitutes a “serious offence”, how reassuring can the guarantee by home affairs minister k shanmugam be when previous ministerial assurances on the matter made just six months ago have now been so easily set aside?""

""dr balakrishnan rightly stressed the importance of trust and transparency in parliament. this is why the government’s decision not to make good on its word is most baffling for the non-cynical observer.""

read on, when you click on the link in bio @todayonline 

#tracetogethertoken #tracetogether #tracetogethertokenssg #singapore",2021-01-08 12:33:50+00:00,That's why don't trust any government. Remain anon.,2021-01-09 06:29:43+00:00,6
6,"the government did not take the initiative to disclose that data from the tracetogether application and token may be used for criminal investigations, revealing it after it was already used for a murder case, today reader pierce yip said.

he writes: ""whatever the merits of the police using the data, the way the matter has been handled and presented to the public as a fait accompli leaves a bad taste in many mouths.""

""leaving aside the government’s track record of adopting a relatively expansive view of what constitutes a “serious offence”, how reassuring can the guarantee by home affairs minister k shanmugam be when previous ministerial assurances on the matter made just six months ago have now been so easily set aside?""

""dr balakrishnan rightly stressed the importance of trust and transparency in parliament. this is why the government’s decision not to make good on its word is most baffling for the non-cynical observer.""

read on, when you click on the link in bio @todayonline 

#tracetogethertoken #tracetogether #tracetogethertokenssg #singapore",2021-01-08 12:33:50+00:00,"Simply put, it boils down to accuracy and trust at the highest levels about initiatives implemented, and whether citizens have any intrinsic rights which have to be upheld, because the government is accountable to the people not just through parliamentary process.",2021-01-09 15:29:41+00:00,41
7,"singapore writer ng yi-sheng had been using the tracetogether mobile application for months during the covid-19 pandemic. he even carried the token out with him when it is not necessary to use both together, because just holding the token made him feel safe.

this week, the 40-year-old deleted the app and has started leaving his token at home, after learning that tracetogether data could be used for criminal investigations.

not that he had anything to hide, but because he felt betrayed, as he put it, by the trust he had placed in the government’s earlier assurances that the data was used solely for contact-tracing purposes to combat coronavirus transmission.

when it was revealed in parliament this week that the police can obtain tracetogether data for criminal investigations under the criminal procedure code (cpc), it set online conversations abuzz...

read on, when you click on the link in bio @todayonline 

#tracetogethertoken #tracetogether #tracetogethertokenssg #personaldata #dataprivacy #contacttracing #contacttracers #singapore #covid_19",2021-01-07 10:16:56+00:00,I even let police know my whereabouts through my Singapore Police App! I feel so much safer as I love to go on walks. I still look after my safety - you know what I mean.,2021-01-07 16:09:39+00:00,35
8,"singapore writer ng yi-sheng had been using the tracetogether mobile application for months during the covid-19 pandemic. he even carried the token out with him when it is not necessary to use both together, because just holding the token made him feel safe.

this week, the 40-year-old deleted the app and has started leaving his token at home, after learning that tracetogether data could be used for criminal investigations.

not that he had anything to hide, but because he felt betrayed, as he put it, by the trust he had placed in the government’s earlier assurances that the data was used solely for contact-tracing purposes to combat coronavirus transmission.

when it was revealed in parliament this week that the police can obtain tracetogether data for criminal investigations under the criminal procedure code (cpc), it set online conversations abuzz...

read on, when you click on the link in bio @todayonline 

#tracetogethertoken #tracetogether #tracetogethertokenssg #personaldata #dataprivacy #contacttracing #contacttracers #singapore #covid_19",2021-01-07 10:16:56+00:00,I’ve nothing to hide!!!,2021-01-07 16:24:59+00:00,5
9,"singapore writer ng yi-sheng had been using the tracetogether mobile application for months during the covid-19 pandemic. he even carried the token out with him when it is not necessary to use both together, because just holding the token made him feel safe.

this week, the 40-year-old deleted the app and has started leaving his token at home, after learning that tracetogether data could be used for criminal investigations.

not that he had anything to hide, but because he felt betrayed, as he put it, by the trust he had placed in the government’s earlier assurances that the data was used solely for contact-tracing purposes to combat coronavirus transmission.

when it was revealed in parliament this week that the police can obtain tracetogether data for criminal investigations under the criminal procedure code (cpc), it set online conversations abuzz...

read on, when you click on the link in bio @todayonline 

#tracetogethertoken #tracetogether #tracetogethertokenssg #personaldata #dataprivacy #contacttracing #contacttracers #singapore #covid_19",2021-01-07 10:16:56+00:00,Who cares. I am a Muslim and we believe God sees everything yet I still sin despite knowing He is All-Seeing. So I do not mind if gov can see what I am doing except when I am in e loo. Hahahah,2021-01-07 17:27:17+00:00,41
10,"singapore writer ng yi-sheng had been using the tracetogether mobile application for months during the covid-19 pandemic. he even carried the token out with him when it is not necessary to use both together, because just holding the token made him feel safe.

this week, the 40-year-old deleted the app and has started leaving his token at home, after learning that tracetogether data could be used for criminal investigations.

not that he had anything to hide, but because he felt betrayed, as he put it, by the trust he had placed in the government’s earlier assurances that the data was used solely for contact-tracing purposes to combat coronavirus transmission.

when it was revealed in parliament this week that the police can obtain tracetogether data for criminal investigations under the criminal procedure code (cpc), it set online conversations abuzz...

read on, when you click on the link in bio @todayonline 

#tracetogethertoken #tracetogether #tracetogethertokenssg #personaldata #dataprivacy #contacttracing #contacttracers #singapore #covid_19",2021-01-07 10:16:56+00:00,Will criminals use this app to their advantage now that they know? Eg. Leave the token at Toa Payoh while they commit crime eslewhere. This may cause the police more work instead,2021-01-07 19:32:10+00:00,32
12,"singapore writer ng yi-sheng had been using the tracetogether mobile application for months during the covid-19 pandemic. he even carried the token out with him when it is not necessary to use both together, because just holding the token made him feel safe.

this week, the 40-year-old deleted the app and has started leaving his token at home, after learning that tracetogether data could be used for criminal investigations.

not that he had anything to hide, but because he felt betrayed, as he put it, by the trust he had placed in the government’s earlier assurances that the data was used solely for contact-tracing purposes to combat coronavirus transmission.

when it was revealed in parliament this week that the police can obtain tracetogether data for criminal investigations under the criminal procedure code (cpc), it set online conversations abuzz...

read on, when you click on the link in bio @todayonline 

#tracetogethertoken #tracetogether #tracetogethertokenssg #personaldata #dataprivacy #contacttracing #contacttracers #singapore #covid_19",2021-01-07 10:16:56+00:00,"Nothing is free when there tell you this. And another point, will you get the token if they tell you from the start? Singaporean need at least 75% of the people to get the token to move to phrase 3. There are smart in manipulating. Thats their plan all along. We just dont see it.",2021-01-08 01:36:03+00:00,53
