,Post Description,Post Datetime,Comments,Comment Datetime,num_words
11,"I could not hold my annual Chap Goh Mei dinner with community leaders and other guests this year because of COVID-19. Instead, I spoke to a small audience at NTUC Auditorium, while groups joined us from 126 other locations virtually.

I took stock of our COVID-19 situation. We want to maintain our current stable position and get Singaporeans vaccinated quickly. The vaccines will take us one big step forward, but not back to business as usual, as many countries will not complete their vaccinations within this year. We have to live with the virus for many more years to come, maybe even permanently.

I also shared my thoughts on our external situation, and the outlook for the future. The next few years will not be easy. We can’t tell exactly how the world will change after the pandemic, but as long as we work together, hold fast to our principles, and keep faith both with our pioneers as well as generations yet unborn, we will emerge stronger and thrive for many years to come. – LHL
 
(MCI Photo by Chwee)",2021-02-23 14:45:16+00:00,Very nice daddy lee hsien loong,2021-02-23 23:30:25+00:00,6
12,"Pleased to see the safe arrival of the first batch of Moderna’s COVID-19 vaccine this afternoon, earlier than expected. The Health Sciences Authority has given interim authorisation to use this vaccine in Singapore.

Our vaccination programme is proceeding smoothly. The latest delivery will allow us to continue as planned. More vaccination centres will open soon across Singapore. I hope seniors will book their appointments when their turn comes, so that we can all stay protected together. 

Until then, do continue to follow safety regulations, wear masks, and remember safe distancing! – LHL

(MCI Photo by Zinkie Aw)",2021-02-17 14:26:48+00:00,Very nice daddy lee hsien loong,2021-02-17 14:37:28+00:00,6
21,"Pleased to see the safe arrival of the first batch of Moderna’s COVID-19 vaccine this afternoon, earlier than expected. The Health Sciences Authority has given interim authorisation to use this vaccine in Singapore.

Our vaccination programme is proceeding smoothly. The latest delivery will allow us to continue as planned. More vaccination centres will open soon across Singapore. I hope seniors will book their appointments when their turn comes, so that we can all stay protected together. 

Until then, do continue to follow safety regulations, wear masks, and remember safe distancing! – LHL

(MCI Photo by Zinkie Aw)",2021-02-17 14:26:48+00:00,Thank you so much. God bless,2021-02-18 09:22:33+00:00,6
24,"Our pilot COVID-19 vaccination exercise for seniors aged 70 and above is underway. Following my visit to Ang Mo Kio Polyclinic two weeks ago, I dropped by Teck Ghee CC this morning to meet the seniors getting their jabs and observe the vaccination process.

Teck Ghee CC is one of two CCs being used for vaccinations, along with Tanjong Pagar CC. More centres will be set up in the coming weeks, so that everyone can conveniently receive their vaccinations.
 
Glad the take-up rate from our seniors has been very encouraging. Many thanks to all involved – the vaccination team, the community partners, and volunteers – for your hard work in reaching out to seniors, guiding them along each step, and ensuring a smooth process. – LHL

@moh_singapore
@pafrenz
@rafflesmedgrp

(MCI Photos by Betty Chua)",2021-02-06 09:53:19+00:00,Yes PM Lee! At the same time we can greet each other Happy New Year!! 🍊🍊,2021-02-06 10:29:20+00:00,15
25,"Our pilot COVID-19 vaccination exercise for seniors aged 70 and above is underway. Following my visit to Ang Mo Kio Polyclinic two weeks ago, I dropped by Teck Ghee CC this morning to meet the seniors getting their jabs and observe the vaccination process.

Teck Ghee CC is one of two CCs being used for vaccinations, along with Tanjong Pagar CC. More centres will be set up in the coming weeks, so that everyone can conveniently receive their vaccinations.
 
Glad the take-up rate from our seniors has been very encouraging. Many thanks to all involved – the vaccination team, the community partners, and volunteers – for your hard work in reaching out to seniors, guiding them along each step, and ensuring a smooth process. – LHL

@moh_singapore
@pafrenz
@rafflesmedgrp

(MCI Photos by Betty Chua)",2021-02-06 09:53:19+00:00,Jia You Singapore Our Home Our Country ! 🙏,2021-02-06 13:45:11+00:00,7
27,"Our pilot COVID-19 vaccination exercise for seniors aged 70 and above is underway. Following my visit to Ang Mo Kio Polyclinic two weeks ago, I dropped by Teck Ghee CC this morning to meet the seniors getting their jabs and observe the vaccination process.

Teck Ghee CC is one of two CCs being used for vaccinations, along with Tanjong Pagar CC. More centres will be set up in the coming weeks, so that everyone can conveniently receive their vaccinations.
 
Glad the take-up rate from our seniors has been very encouraging. Many thanks to all involved – the vaccination team, the community partners, and volunteers – for your hard work in reaching out to seniors, guiding them along each step, and ensuring a smooth process. – LHL

@moh_singapore
@pafrenz
@rafflesmedgrp

(MCI Photos by Betty Chua)",2021-02-06 09:53:19+00:00,🙌🙌🙌🇸🇬🇸🇬🇸🇬❤️❤️❤️ Thank you PM for all the caring 👍👍,2021-02-06 10:15:08+00:00,7
30,"Our pilot COVID-19 vaccination exercise for seniors aged 70 and above is underway. Following my visit to Ang Mo Kio Polyclinic two weeks ago, I dropped by Teck Ghee CC this morning to meet the seniors getting their jabs and observe the vaccination process.

Teck Ghee CC is one of two CCs being used for vaccinations, along with Tanjong Pagar CC. More centres will be set up in the coming weeks, so that everyone can conveniently receive their vaccinations.
 
Glad the take-up rate from our seniors has been very encouraging. Many thanks to all involved – the vaccination team, the community partners, and volunteers – for your hard work in reaching out to seniors, guiding them along each step, and ensuring a smooth process. – LHL

@moh_singapore
@pafrenz
@rafflesmedgrp

(MCI Photos by Betty Chua)",2021-02-06 09:53:19+00:00,Chinese New Year  all are healthy fir better tmr.  Visiting not necessarily where visitors are strangers to my cleaned home,2021-02-06 17:41:49+00:00,20
36,"Got my second dose of the COVID-19 vaccine at Singapore General Hospital (@sghseen) this morning. With that I have completed the full vaccination regimen.
⠀⠀⠀⠀⠀⠀⠀
Just like my first jab, it was quick and painless. The doctors watched me for 30 minutes afterwards, just in case. Happy to share that I feel fine.
⠀⠀⠀⠀⠀⠀⠀
We are ramping up the vaccine programme and opening more vaccination centres. Do go for your vaccination when your turn comes. It will protect not only yourself, but also your family, friends and everyone you come in contact with. – LHL
⠀⠀⠀⠀⠀⠀⠀
(PMO Video by Alex Qiu)⠀⠀⠀⠀⠀⠀⠀",2021-01-29 01:38:47+00:00,Nurse had the world weighing on her shoulders 😱,2021-01-29 02:01:29+00:00,8
37,"Got my second dose of the COVID-19 vaccine at Singapore General Hospital (@sghseen) this morning. With that I have completed the full vaccination regimen.
⠀⠀⠀⠀⠀⠀⠀
Just like my first jab, it was quick and painless. The doctors watched me for 30 minutes afterwards, just in case. Happy to share that I feel fine.
⠀⠀⠀⠀⠀⠀⠀
We are ramping up the vaccine programme and opening more vaccination centres. Do go for your vaccination when your turn comes. It will protect not only yourself, but also your family, friends and everyone you come in contact with. – LHL
⠀⠀⠀⠀⠀⠀⠀
(PMO Video by Alex Qiu)⠀⠀⠀⠀⠀⠀⠀",2021-01-29 01:38:47+00:00,Thank you PM for taking the lead to give the public confidence to take the vaccine,2021-01-29 02:15:28+00:00,16
38,"Got my second dose of the COVID-19 vaccine at Singapore General Hospital (@sghseen) this morning. With that I have completed the full vaccination regimen.
⠀⠀⠀⠀⠀⠀⠀
Just like my first jab, it was quick and painless. The doctors watched me for 30 minutes afterwards, just in case. Happy to share that I feel fine.
⠀⠀⠀⠀⠀⠀⠀
We are ramping up the vaccine programme and opening more vaccination centres. Do go for your vaccination when your turn comes. It will protect not only yourself, but also your family, friends and everyone you come in contact with. – LHL
⠀⠀⠀⠀⠀⠀⠀
(PMO Video by Alex Qiu)⠀⠀⠀⠀⠀⠀⠀",2021-01-29 01:38:47+00:00,"WOW, so brave Mr Lee SIR! WITH MY LIFE! 🙌🙌🙌",2021-01-29 01:57:01+00:00,9
