,name,comment,processed_text,demojize_text
0,jjasmineloh,"Let's welcome this Phase 3, and always remember mask up and good hand hygiene 🙌🏻🙌🏻🙌🏻 We will get through this 👍🏻🙆🏻‍♀️💪🏻💪🏻 @webcorn9","['let', 'welcom', 'phase', 'alway', 'rememb', 'mask', 'good', 'hand', 'hygien', 'get']","Let's welcome this Phase 3, and always remember mask up and good hand hygiene :raising_hands_light_skin_tone::raising_hands_light_skin_tone::raising_hands_light_skin_tone: We will get through this :thumbs_up_light_skin_tone::woman_gesturing_OK_light_skin_tone::flexed_biceps_light_skin_tone::flexed_biceps_light_skin_tone: @webcorn9"
1,itznat.yc,yes b!tches @siya_l8r_losers @_.tan.ya.__ @paultin.seppa @disowned_rug @fishie533 we can finally go out in a group :D,"['ye', 'b', 'tche', 'final', 'go', 'group']",yes b!tches @siya_l8r_losers @_.tan.ya.__ @paultin.seppa @disowned_rug @fishie533 we can finally go out in a group :D
2,fuckyoupine,9 can?,[],9 can?
3,mhdnurirwan,Wait for that one guy who complains 8 pax still not enough in the comments,"['wait', 'one', 'guy', 'complain', 'pax', 'still', 'enough', 'comment']",Wait for that one guy who complains 8 pax still not enough in the comments
4,j.heemangi,"I don't need much, just more entrances/ exits for malls omg pls","['need', 'much', 'exit', 'mall', 'omg', 'pl']","I don't need much, just more entrances/ exits for malls omg pls"
5,lilyman2030,"NYC no indoor dinning again starting today 14th Dec, 2020. Only outdoor dinning","['nyc', 'indoor', 'din', 'start', 'today', 'dec', 'outdoor', 'din']","NYC no indoor dinning again starting today 14th Dec, 2020. Only outdoor dinning"
6,aljy.8138,Yay,['yay'],Yay
7,fusher17,#peterLIMGOHOME😠😠😠 and go out of Valencia 😠😠😠👉,"['go', 'valencia']",#peterLIMGOHOME:angry_face::angry_face::angry_face: and go out of Valencia :angry_face::angry_face::angry_face::backhand_index_pointing_right:
8,fusher17,#peterLIMGOHOME😠😠😠 and go out of Valencia 😠😠😠👉,"['go', 'valencia']",#peterLIMGOHOME:angry_face::angry_face::angry_face: and go out of Valencia :angry_face::angry_face::angry_face::backhand_index_pointing_right:
9,ngohhengjong,👍👏💕,[],:thumbs_up::clapping_hands::two_hearts:
10,kim_ashlynn,I have 3 friends.,['friend'],I have 3 friends.
11,jojoo9657,No need opeennn,"['need', 'opeennn']",No need opeennn
12,newsoul162,I need karaoke!!!!,"['need', 'karaok']",I need karaoke!!!!
13,rexara7077,👏👏👏,[],:clapping_hands::clapping_hands::clapping_hands:
14,brendaongmeiling,"Much prefer the current 5 pax limit. Smaller groups are less rowdy & noisy. Also when I dun wish to join some group outings, can use the 5-pax rule as an excuse.","['much', 'prefer', 'current', 'pax', 'limit', 'smaller', 'group', 'less', 'rowdi', 'noisi', 'also', 'dun', 'wish', 'join', 'group', 'outing', 'use', 'rule', 'excus']","Much prefer the current 5 pax limit. Smaller groups are less rowdy & noisy. Also when I dun wish to join some group outings, can use the 5-pax rule as an excuse."
15,btantshin,@joey_foo @aubreyblackshaw just in time,['time'],@joey_foo @aubreyblackshaw just in time
16,mytaxol,8 people??? You mean 3-4 groups of people having lunch on the same table? 🤣,"['peopl', 'mean', 'group', 'peopl', 'lunch', 'tabl']",8 people??? You mean 3-4 groups of people having lunch on the same table? :rolling_on_the_floor_laughing:
17,char_kiwi33,@borbitronic @elias_eatsncooks,[],@borbitronic @elias_eatsncooks
18,char_kiwi33,@borbitronic @elias_eatsncooks,[],@borbitronic @elias_eatsncooks
19,siteoh,🙌🙌,[],:raising_hands::raising_hands:
20,wilsonteo34,🔥🔥,[],:fire::fire:
