,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"Kindergarten graduation ceremonies are a joy to look forward to at this time of the year — seeing the enthusiasm of the graduating children and sharing in the excitement of their parents and teachers.

This year, with the pandemic, the year-end concerts and graduation ceremonies turned into hybrid events, with the children at school and attendees watching online. I joined two virtual kindergarten graduation ceremonies in my constituency this month — My First Skool at Bedok South Blk 1 and @pcf.sg Sparkletots at Bedok Blk 30.

Despite the challenging school year, our children have adjusted well, thanks to the dedication of teachers and parents. Our little ones have been resilient and adapted to new norms, not only in their own lives but accepting changes in their parents’ routines as well.

To our graduating K2 students — congratulations! I hope you continue to enjoy your learning journey as you embark on a new adventure in primary school. Keep learning and keep growing. 🎓

([1] Photo from My First Skool; [2] Photo from @pcf.sg)",2020-11-22 01:01:55+00:00,"Congratulations! I’m going to be a parent in December. So 4,5  years later she would do the same thing 😁",2020-11-23 06:29:27+00:00,19
5,"Like many of our events this year, the annual PCF Teachers’ Day get together went online this year. @maliki_osman, @kiathowsg (and special guest 👶), @chuanjin1 and I joined around 230 PCF teachers and staff from 14 centres across Bedok, Kampong Chai Chee, Siglap and Kembangan-Chai Chee for their virtual Teachers’ Day Celebration on Thursday.

When schools went on full home-based learning during the circuit breaker, our teachers were resilient in the face of the disruptions and uncertainties. They continued on resolutely — coming up with new ways to impart knowledge and adjusting and adapting as the weeks went by. My thanks to parents and family members for your support as we all jointly rediscovered the teaching and learning journey in this new context. And well done to our students for being adaptable. Perhaps the most important lesson our teachers will impart to their students this year will be the one demonstrated by their actions — of not giving up during tough times and finding new ways to overcome challenges together.

The theme of the celebration was “Hats off” so teachers and staff gamely showed up in their most colourful and creative headgear! Indeed, hats off to all our teachers for your dedication, for doing your best to protect and nurture our children. This Teachers’ Day, let us remember to keep learning, innovating and adapting. 

Happy Teachers’ Day to all our wonderful teachers and educators!",2020-09-04 02:00:55+00:00,Very Good! The Teachers are important in shaping our young! A lot of Hardwork to mould a student and bring out the best in the student.,2020-09-04 17:24:00+00:00,26
6,"Like many of our events this year, the annual PCF Teachers’ Day get together went online this year. @maliki_osman, @kiathowsg (and special guest 👶), @chuanjin1 and I joined around 230 PCF teachers and staff from 14 centres across Bedok, Kampong Chai Chee, Siglap and Kembangan-Chai Chee for their virtual Teachers’ Day Celebration on Thursday.

When schools went on full home-based learning during the circuit breaker, our teachers were resilient in the face of the disruptions and uncertainties. They continued on resolutely — coming up with new ways to impart knowledge and adjusting and adapting as the weeks went by. My thanks to parents and family members for your support as we all jointly rediscovered the teaching and learning journey in this new context. And well done to our students for being adaptable. Perhaps the most important lesson our teachers will impart to their students this year will be the one demonstrated by their actions — of not giving up during tough times and finding new ways to overcome challenges together.

The theme of the celebration was “Hats off” so teachers and staff gamely showed up in their most colourful and creative headgear! Indeed, hats off to all our teachers for your dedication, for doing your best to protect and nurture our children. This Teachers’ Day, let us remember to keep learning, innovating and adapting. 

Happy Teachers’ Day to all our wonderful teachers and educators!",2020-09-04 02:00:55+00:00,Deeply grateful to our teachers! They deserve every praise and appreciation 👏👏👏,2020-09-05 01:12:23+00:00,11
9,"Happy Youth Day!⁣
⁣
I know this is a difficult time to come of age. But I am glad you are taking this in your stride.⁣
⁣
For those of you who are studying, I am glad you adjusted well to home-based learning and not seeing your friends during the circuit breaker.⁣
⁣
I have heard and read many stories of how our youth are volunteering their time to help the vulnerable among us during this period, like the four individuals featured in this @gov.sg video.⁣
⁣
Do not let the challenges you are facing deter you. You can turn anxiety into action. And you have my assurance that we will not allow a lost generation in Singapore.⁣
⁣
Stay safe and enjoy the school holiday tomorrow (for those of you who are studying)!⁣
⁣
#SingaporeTogether",2020-07-05 06:57:52+00:00,"Semoga Berjaya, vote for Mr Heng and vote for PAP",2020-07-05 07:31:27+00:00,10
11,"Happy Youth Day!⁣
⁣
I know this is a difficult time to come of age. But I am glad you are taking this in your stride.⁣
⁣
For those of you who are studying, I am glad you adjusted well to home-based learning and not seeing your friends during the circuit breaker.⁣
⁣
I have heard and read many stories of how our youth are volunteering their time to help the vulnerable among us during this period, like the four individuals featured in this @gov.sg video.⁣
⁣
Do not let the challenges you are facing deter you. You can turn anxiety into action. And you have my assurance that we will not allow a lost generation in Singapore.⁣
⁣
Stay safe and enjoy the school holiday tomorrow (for those of you who are studying)!⁣
⁣
#SingaporeTogether",2020-07-05 06:57:52+00:00,Such a nice rendition and even more moving stories of SG unsung heroes,2020-07-05 07:48:18+00:00,13
15,"Happy Youth Day!⁣
⁣
I know this is a difficult time to come of age. But I am glad you are taking this in your stride.⁣
⁣
For those of you who are studying, I am glad you adjusted well to home-based learning and not seeing your friends during the circuit breaker.⁣
⁣
I have heard and read many stories of how our youth are volunteering their time to help the vulnerable among us during this period, like the four individuals featured in this @gov.sg video.⁣
⁣
Do not let the challenges you are facing deter you. You can turn anxiety into action. And you have my assurance that we will not allow a lost generation in Singapore.⁣
⁣
Stay safe and enjoy the school holiday tomorrow (for those of you who are studying)!⁣
⁣
#SingaporeTogether",2020-07-05 06:57:52+00:00,Thank you DPM @hengsweekeat 🙏🏾 stay strong everyone,2020-07-15 04:03:53+00:00,6
28,"Like many of you, I have been concerned about how vulnerable segments of our society have coped during the circuit breaker. While the measures are necessary to keep everyone safe, it has posed additional challenges for the more vulnerable, including those with special needs.⁣
⁣
I remember a young person I met at @theartfacultysg when I visited the @enablingvillage in August last year. Catherine Tang is a salesperson at this store, which serves as a platform to promote and showcase the talent of people with autism and related challenges. She was a very persuasive salesperson, and I left the store happy with a bagful of purchases. The Autism Resource Centre had trained her well for her job.⁣
⁣
Like many of us, Catherine has been working from home during this time. She has been attending online courses to improve her customer service skills and working on The Art Faculty’s online store (www.theartfaculty.sg).&nbsp;⁣
⁣
As we come to the end of the circuit breaker, I would like to thank SG Enable and our Social Service Agency partners for taking care of those with special needs and the vulnerable in our community. By providing cooked meals, essentials and respite care, they are committed to ensuring no one falls through the cracks. Thank you very much!⁣
⁣
Even as we look forward to the end of our circuit breaker, let us continue to look out for one another and strengthen our collective actions to build a caring and inclusive society for all.⁣
⁣
#SingaporeTogether⁣
#SGUnited⁣
⁣
(With Catherine Tang and my newly-purchased XL fans by designers Muhammad Khairul Bin Asmi and Glenn Phua during my visit in August 2019.)",2020-05-31 00:47:29+00:00,Shoutout to the wonderful people and artists featured at the @enablingvillage ! Simply love the merchandise there and yes customer service by Catherine is always top notch!♥️,2020-05-31 23:25:03+00:00,25
29,"Like many of you, I have been concerned about how vulnerable segments of our society have coped during the circuit breaker. While the measures are necessary to keep everyone safe, it has posed additional challenges for the more vulnerable, including those with special needs.⁣
⁣
I remember a young person I met at @theartfacultysg when I visited the @enablingvillage in August last year. Catherine Tang is a salesperson at this store, which serves as a platform to promote and showcase the talent of people with autism and related challenges. She was a very persuasive salesperson, and I left the store happy with a bagful of purchases. The Autism Resource Centre had trained her well for her job.⁣
⁣
Like many of us, Catherine has been working from home during this time. She has been attending online courses to improve her customer service skills and working on The Art Faculty’s online store (www.theartfaculty.sg).&nbsp;⁣
⁣
As we come to the end of the circuit breaker, I would like to thank SG Enable and our Social Service Agency partners for taking care of those with special needs and the vulnerable in our community. By providing cooked meals, essentials and respite care, they are committed to ensuring no one falls through the cracks. Thank you very much!⁣
⁣
Even as we look forward to the end of our circuit breaker, let us continue to look out for one another and strengthen our collective actions to build a caring and inclusive society for all.⁣
⁣
#SingaporeTogether⁣
#SGUnited⁣
⁣
(With Catherine Tang and my newly-purchased XL fans by designers Muhammad Khairul Bin Asmi and Glenn Phua during my visit in August 2019.)",2020-05-31 00:47:29+00:00,Sir. I have a question. Can we get cotton from sheep. I h,2020-06-01 11:37:21+00:00,13
30,"Like many of you, I have been concerned about how vulnerable segments of our society have coped during the circuit breaker. While the measures are necessary to keep everyone safe, it has posed additional challenges for the more vulnerable, including those with special needs.⁣
⁣
I remember a young person I met at @theartfacultysg when I visited the @enablingvillage in August last year. Catherine Tang is a salesperson at this store, which serves as a platform to promote and showcase the talent of people with autism and related challenges. She was a very persuasive salesperson, and I left the store happy with a bagful of purchases. The Autism Resource Centre had trained her well for her job.⁣
⁣
Like many of us, Catherine has been working from home during this time. She has been attending online courses to improve her customer service skills and working on The Art Faculty’s online store (www.theartfaculty.sg).&nbsp;⁣
⁣
As we come to the end of the circuit breaker, I would like to thank SG Enable and our Social Service Agency partners for taking care of those with special needs and the vulnerable in our community. By providing cooked meals, essentials and respite care, they are committed to ensuring no one falls through the cracks. Thank you very much!⁣
⁣
Even as we look forward to the end of our circuit breaker, let us continue to look out for one another and strengthen our collective actions to build a caring and inclusive society for all.⁣
⁣
#SingaporeTogether⁣
#SGUnited⁣
⁣
(With Catherine Tang and my newly-purchased XL fans by designers Muhammad Khairul Bin Asmi and Glenn Phua during my visit in August 2019.)",2020-05-31 00:47:29+00:00,"I heard from one n of your senior minster saying that to the public and am curious  about his remarks. If that is not true as you have always been speaking n defending the party to speak the truth. If he had lied to all of us, will you be able to fire him or remove him from holding such high position cause soon he will make a laughing stock of Singapore and Singaporean to the world. If you do not have such power can you please recommend what we say to your superior. I know you have advocated all along that you will have a listening ear for the public n do what needs to be done as a join government and public we yours faithfully Singaporeans",2020-06-01 11:47:27+00:00,128
33,"I was very happy to e-meet many familiar faces from the social service sector on Saturday, together with @desmond.lee, @gracefu.hy and @indraneerajah, ahead of my Ministerial Statement next Tuesday.

We heard from 30 social service sector partners, on the challenges they and their clients are facing. We discussed how our social service agencies can strengthen collaboration and capability building. Their passion to serve came through during the dialogue, as they are doing all they can to strengthen support for vulnerable members of our community during the circuit breaker. The circuit breaker has accelerated the shift to digital, as more services are provided online. This highlighted both the potential and also the current constraints of going digital. Many also shared their concerns about the difficulties with fundraising during this period.

Many good ideas were raised. I will look at how we can better support the social service sector as part of the upcoming Budget. We will also work with the sector to embrace digitalisation, accelerate transformation and scale up new capabilities.

What is even more heartening is how the sector is working together. Some participants were already working closely together, and new areas of collaboration were identified during our discussions. The sector faces many common challenges, but we can overcome them if we work in partnership, and put our collective effort into tackling them. This is the spirit of our #SingaporeTogether movement.

We are making good progress towards building a more caring and inclusive society. We will build an even better tomorrow, with the strong support of social service agencies.

#SGBudget2020 ⠀
⠀
(MCI Photos by Betty Chua)",2020-05-24 04:41:25+00:00,Thanks for the wish for Singapore Muslim Commander Boss👍👍👍👍👍,2020-05-24 07:11:41+00:00,9
