,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"Our Bedok Community Centre COVID-19 vaccination centre will be starting operations from Monday, 8 March. 

Seniors aged 70 and above will be progressively receiving personalised letters inviting them to make an appointment for their vaccinations. Those who have received their invitations letters can register for vaccination at www.vaccine.gov.sg. For those who have yet to receive your invitations, I seek your patience to wait for your turn.

Community volunteers and care ambassadors and resident volunteers have been going door-to-door to help our seniors make their vaccinations appointments and answer their queries. A big thank you to all our volunteers and @pafrenz for organising this outreach effort. I also thank the healthcare professionals, who will be carrying out the vaccinations. 

Do help our seniors get vaccinated, and I encourage you to do so when you are offered. By getting vaccinated, you are protecting not only yourself, but also your loved ones.

#EastCoastCares",2021-03-06 00:59:33+00:00,Very Good! The vaccination is starting at Bedok.,2021-03-06 04:21:38+00:00,8
1,"Our Bedok Community Centre COVID-19 vaccination centre will be starting operations from Monday, 8 March. 

Seniors aged 70 and above will be progressively receiving personalised letters inviting them to make an appointment for their vaccinations. Those who have received their invitations letters can register for vaccination at www.vaccine.gov.sg. For those who have yet to receive your invitations, I seek your patience to wait for your turn.

Community volunteers and care ambassadors and resident volunteers have been going door-to-door to help our seniors make their vaccinations appointments and answer their queries. A big thank you to all our volunteers and @pafrenz for organising this outreach effort. I also thank the healthcare professionals, who will be carrying out the vaccinations. 

Do help our seniors get vaccinated, and I encourage you to do so when you are offered. By getting vaccinated, you are protecting not only yourself, but also your loved ones.

#EastCoastCares",2021-03-06 00:59:33+00:00,What about 50 years old and 60 years old??,2021-03-06 04:38:19+00:00,7
8,"Our Bedok Community Centre COVID-19 vaccination centre will be starting operations from Monday, 8 March. 

Seniors aged 70 and above will be progressively receiving personalised letters inviting them to make an appointment for their vaccinations. Those who have received their invitations letters can register for vaccination at www.vaccine.gov.sg. For those who have yet to receive your invitations, I seek your patience to wait for your turn.

Community volunteers and care ambassadors and resident volunteers have been going door-to-door to help our seniors make their vaccinations appointments and answer their queries. A big thank you to all our volunteers and @pafrenz for organising this outreach effort. I also thank the healthcare professionals, who will be carrying out the vaccinations. 

Do help our seniors get vaccinated, and I encourage you to do so when you are offered. By getting vaccinated, you are protecting not only yourself, but also your loved ones.

#EastCoastCares",2021-03-06 00:59:33+00:00,That is so nice! How come my mum who lives in Whampoa didn’t get door to door invite? Is this suppose to be a consistent practice for all seniors or only for the East?,2021-03-06 06:01:18+00:00,35
11,"Our Bedok Community Centre COVID-19 vaccination centre will be starting operations from Monday, 8 March. 

Seniors aged 70 and above will be progressively receiving personalised letters inviting them to make an appointment for their vaccinations. Those who have received their invitations letters can register for vaccination at www.vaccine.gov.sg. For those who have yet to receive your invitations, I seek your patience to wait for your turn.

Community volunteers and care ambassadors and resident volunteers have been going door-to-door to help our seniors make their vaccinations appointments and answer their queries. A big thank you to all our volunteers and @pafrenz for organising this outreach effort. I also thank the healthcare professionals, who will be carrying out the vaccinations. 

Do help our seniors get vaccinated, and I encourage you to do so when you are offered. By getting vaccinated, you are protecting not only yourself, but also your loved ones.

#EastCoastCares",2021-03-06 00:59:33+00:00,So #grateful that we have a chance to be immunised. Thanks to all for making it happen. 💐,2021-03-06 07:48:39+00:00,16
14,"Our Bedok Community Centre COVID-19 vaccination centre will be starting operations from Monday, 8 March. 

Seniors aged 70 and above will be progressively receiving personalised letters inviting them to make an appointment for their vaccinations. Those who have received their invitations letters can register for vaccination at www.vaccine.gov.sg. For those who have yet to receive your invitations, I seek your patience to wait for your turn.

Community volunteers and care ambassadors and resident volunteers have been going door-to-door to help our seniors make their vaccinations appointments and answer their queries. A big thank you to all our volunteers and @pafrenz for organising this outreach effort. I also thank the healthcare professionals, who will be carrying out the vaccinations. 

Do help our seniors get vaccinated, and I encourage you to do so when you are offered. By getting vaccinated, you are protecting not only yourself, but also your loved ones.

#EastCoastCares",2021-03-06 00:59:33+00:00,Malaysia already vaccined 150k residents in Malaysia. Singapore? Why so slow?,2021-03-06 05:36:46+00:00,10
15,"Our Bedok Community Centre COVID-19 vaccination centre will be starting operations from Monday, 8 March. 

Seniors aged 70 and above will be progressively receiving personalised letters inviting them to make an appointment for their vaccinations. Those who have received their invitations letters can register for vaccination at www.vaccine.gov.sg. For those who have yet to receive your invitations, I seek your patience to wait for your turn.

Community volunteers and care ambassadors and resident volunteers have been going door-to-door to help our seniors make their vaccinations appointments and answer their queries. A big thank you to all our volunteers and @pafrenz for organising this outreach effort. I also thank the healthcare professionals, who will be carrying out the vaccinations. 

Do help our seniors get vaccinated, and I encourage you to do so when you are offered. By getting vaccinated, you are protecting not only yourself, but also your loved ones.

#EastCoastCares",2021-03-06 00:59:33+00:00,Thank you 🙏 Sir. I’m so proud of SG response to COVID-19. Singapore 🇸🇬 is so dense but SG fair much better...! Our little RED DOT 🔴 is now shining...!!!,2021-03-06 02:23:59+00:00,28
17,"Got the second dose of my COVID-19 vaccination at the National Centre for Infectious Diseases this morning. Much like the first time, it was fast and painless, and I was monitored for 30 minutes afterwards. Other than a slight soreness in my arm, I feel perfectly fine!

During my walkabouts, many residents asked about our national vaccination programme. Some also wanted to hear about my personal experience. I assured them that vaccination is safe and effective. We will be progressively setting up more community vaccination centres in the heartlands, including in Bedok, prioritising seniors and those at greater risk of infection. I hope that you will take the vaccine when it is offered to you — to protect not just yourself, but your loved ones as well.

(PMO Video by Arina Ong)",2021-02-10 10:31:09+00:00,Why is she not wearing any gloves when doing the injection?,2021-02-10 13:02:19+00:00,11
19,"Got the second dose of my COVID-19 vaccination at the National Centre for Infectious Diseases this morning. Much like the first time, it was fast and painless, and I was monitored for 30 minutes afterwards. Other than a slight soreness in my arm, I feel perfectly fine!

During my walkabouts, many residents asked about our national vaccination programme. Some also wanted to hear about my personal experience. I assured them that vaccination is safe and effective. We will be progressively setting up more community vaccination centres in the heartlands, including in Bedok, prioritising seniors and those at greater risk of infection. I hope that you will take the vaccine when it is offered to you — to protect not just yourself, but your loved ones as well.

(PMO Video by Arina Ong)",2021-02-10 10:31:09+00:00,Yellow is Tampines Central colour.❤️,2021-02-10 10:53:18+00:00,5
28,"Took my first dose of the Pfizer-BioNTech COVID-19 vaccination this morning at the National Centre of Infectious Diseases, @tantocksenghospital. Prior to getting the vaccination, I sat down with Dr Shawn Vasoo to run through the medical questionnaire. The vaccine is safe and effective, even for former stroke patients like myself.
 
During my East Coast Conversation with residents about Phase 3 on Sunday, vaccination was understandably the top discussion topic. We are progressively rolling out our national vaccination strategy in the coming weeks and months. I strongly encourage you to take it up when it becomes available to you. This will not only protect you, but also your loved ones and our community.",2021-01-20 11:16:45+00:00,Why the staff not wearing gloves when administering the jab? Is it because there was nothing in the jab,2021-01-20 23:45:47+00:00,19
29,"Took my first dose of the Pfizer-BioNTech COVID-19 vaccination this morning at the National Centre of Infectious Diseases, @tantocksenghospital. Prior to getting the vaccination, I sat down with Dr Shawn Vasoo to run through the medical questionnaire. The vaccine is safe and effective, even for former stroke patients like myself.
 
During my East Coast Conversation with residents about Phase 3 on Sunday, vaccination was understandably the top discussion topic. We are progressively rolling out our national vaccination strategy in the coming weeks and months. I strongly encourage you to take it up when it becomes available to you. This will not only protect you, but also your loved ones and our community.",2021-01-20 11:16:45+00:00,Are you ok? You seem to be clenching your fist real hard. Blink twice if you’re ok.,2021-01-20 11:27:51+00:00,18
