,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,We recorded zero cases in the community and migrant worker dormitories yesterday - the first time this has happened in more than 6 months. A big shout out and “Thank You” to our frontliners and to all who have been working so hard to control the infection over the past few months. But please remember: the virus has not been eradicated. It’s still circulating in our community. So we still need to keep our guard up and stay very disciplined in complying with all the necessary safeguards. That’s the mindset that will enable us to continue on this path of progressive re-opening in a safe and sustainable manner.,2020-10-14 13:26:24+00:00,Thank you💗💐Singapore united. Stay healthy and safe,2020-10-14 15:01:51+00:00,8
20,We recorded zero cases in the community and migrant worker dormitories yesterday - the first time this has happened in more than 6 months. A big shout out and “Thank You” to our frontliners and to all who have been working so hard to control the infection over the past few months. But please remember: the virus has not been eradicated. It’s still circulating in our community. So we still need to keep our guard up and stay very disciplined in complying with all the necessary safeguards. That’s the mindset that will enable us to continue on this path of progressive re-opening in a safe and sustainable manner.,2020-10-14 13:26:24+00:00,"Min, Thanks for the great work done ✅. I hope that we will not fall into complacency. Well done Singapore 🇸🇬",2020-10-15 09:48:18+00:00,19
22,We recorded zero cases in the community and migrant worker dormitories yesterday - the first time this has happened in more than 6 months. A big shout out and “Thank You” to our frontliners and to all who have been working so hard to control the infection over the past few months. But please remember: the virus has not been eradicated. It’s still circulating in our community. So we still need to keep our guard up and stay very disciplined in complying with all the necessary safeguards. That’s the mindset that will enable us to continue on this path of progressive re-opening in a safe and sustainable manner.,2020-10-14 13:26:24+00:00,Thank you to all under appreciated safe distancing ambassadors,2020-10-16 09:12:21+00:00,9
24,We recorded zero cases in the community and migrant worker dormitories yesterday - the first time this has happened in more than 6 months. A big shout out and “Thank You” to our frontliners and to all who have been working so hard to control the infection over the past few months. But please remember: the virus has not been eradicated. It’s still circulating in our community. So we still need to keep our guard up and stay very disciplined in complying with all the necessary safeguards. That’s the mindset that will enable us to continue on this path of progressive re-opening in a safe and sustainable manner.,2020-10-14 13:26:24+00:00,I am so proud of my government👍🤗,2020-10-14 13:40:46+00:00,7
26,We recorded zero cases in the community and migrant worker dormitories yesterday - the first time this has happened in more than 6 months. A big shout out and “Thank You” to our frontliners and to all who have been working so hard to control the infection over the past few months. But please remember: the virus has not been eradicated. It’s still circulating in our community. So we still need to keep our guard up and stay very disciplined in complying with all the necessary safeguards. That’s the mindset that will enable us to continue on this path of progressive re-opening in a safe and sustainable manner.,2020-10-14 13:26:24+00:00,Our government is the best of the best in the world and  Salute to all our frontliners and medical workers who had been working around the clock and so hard for since the start of the pandemic,2020-10-14 13:50:58+00:00,37
27,We recorded zero cases in the community and migrant worker dormitories yesterday - the first time this has happened in more than 6 months. A big shout out and “Thank You” to our frontliners and to all who have been working so hard to control the infection over the past few months. But please remember: the virus has not been eradicated. It’s still circulating in our community. So we still need to keep our guard up and stay very disciplined in complying with all the necessary safeguards. That’s the mindset that will enable us to continue on this path of progressive re-opening in a safe and sustainable manner.,2020-10-14 13:26:24+00:00,We can emerge stronger together hand in hand and move forward to be even stronger,2020-10-14 13:51:37+00:00,15
29,We recorded zero cases in the community and migrant worker dormitories yesterday - the first time this has happened in more than 6 months. A big shout out and “Thank You” to our frontliners and to all who have been working so hard to control the infection over the past few months. But please remember: the virus has not been eradicated. It’s still circulating in our community. So we still need to keep our guard up and stay very disciplined in complying with all the necessary safeguards. That’s the mindset that will enable us to continue on this path of progressive re-opening in a safe and sustainable manner.,2020-10-14 13:26:24+00:00,I wish we can relax a bit but i suppose it remains an elusive dream for now. Even 100% pure NZ wasn’t spared. But we have to learn to live with this darn virus (bopian). But thank you for this best news in 6 months.,2020-10-14 13:59:12+00:00,44
30,We recorded zero cases in the community and migrant worker dormitories yesterday - the first time this has happened in more than 6 months. A big shout out and “Thank You” to our frontliners and to all who have been working so hard to control the infection over the past few months. But please remember: the virus has not been eradicated. It’s still circulating in our community. So we still need to keep our guard up and stay very disciplined in complying with all the necessary safeguards. That’s the mindset that will enable us to continue on this path of progressive re-opening in a safe and sustainable manner.,2020-10-14 13:26:24+00:00,Take care mr wong... you and your family health is equally important ❤️,2020-10-14 14:00:27+00:00,12
32,We recorded zero cases in the community and migrant worker dormitories yesterday - the first time this has happened in more than 6 months. A big shout out and “Thank You” to our frontliners and to all who have been working so hard to control the infection over the past few months. But please remember: the virus has not been eradicated. It’s still circulating in our community. So we still need to keep our guard up and stay very disciplined in complying with all the necessary safeguards. That’s the mindset that will enable us to continue on this path of progressive re-opening in a safe and sustainable manner.,2020-10-14 13:26:24+00:00,👍🏼continue to mask up n not forgetting social distancing. 继续加油💪🏻,2020-10-14 14:18:43+00:00,9
33,We recorded zero cases in the community and migrant worker dormitories yesterday - the first time this has happened in more than 6 months. A big shout out and “Thank You” to our frontliners and to all who have been working so hard to control the infection over the past few months. But please remember: the virus has not been eradicated. It’s still circulating in our community. So we still need to keep our guard up and stay very disciplined in complying with all the necessary safeguards. That’s the mindset that will enable us to continue on this path of progressive re-opening in a safe and sustainable manner.,2020-10-14 13:26:24+00:00,Stay safe and stay vigilant 😊,2020-10-14 14:30:05+00:00,5
