,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income.",2020-12-04 11:25:28+00:00,Wishing you excellent health PM Lee 💝💐🍊🍊🇸🇬,2020-12-07 10:24:27+00:00,6
7,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income.",2020-12-04 11:25:28+00:00,Stand User: Lee Hsien Loong,2020-12-17 10:47:48+00:00,5
10,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income.",2020-12-04 11:25:28+00:00,Well done our beloved PM,2021-01-06 16:12:54+00:00,5
11,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income.",2020-12-04 11:25:28+00:00,汝讲话前食耶唛欸？Are you drinking water in this video ?,2021-01-31 10:36:08+00:00,7
13,"One of the hardest-hit industries is tourism. We introduced the #SingapoRediscovers vouchers to give tourist businesses a hand. This December when more of us are taking leave, do visit our local attractions and help them tide through this difficult period. Hopefully, after the pandemic passes, we can all enjoy them to the fullest again.

Starting today, all Singaporeans aged 18 and above will receive $100 worth of SingapoRediscovers Vouchers, that they can spend at local hotels, attractions and tours. Find out more here: https://go.gov.sg/srvouchers

– LHL

(Photo by me)",2020-12-01 09:09:12+00:00,Wish everyone resident could get it,2020-12-02 04:10:15+00:00,6
14,"One of the hardest-hit industries is tourism. We introduced the #SingapoRediscovers vouchers to give tourist businesses a hand. This December when more of us are taking leave, do visit our local attractions and help them tide through this difficult period. Hopefully, after the pandemic passes, we can all enjoy them to the fullest again.

Starting today, all Singaporeans aged 18 and above will receive $100 worth of SingapoRediscovers Vouchers, that they can spend at local hotels, attractions and tours. Find out more here: https://go.gov.sg/srvouchers

– LHL

(Photo by me)",2020-12-01 09:09:12+00:00,Thank you for the Vouchers PM Lee!,2020-12-02 04:29:38+00:00,7
16,"One of the hardest-hit industries is tourism. We introduced the #SingapoRediscovers vouchers to give tourist businesses a hand. This December when more of us are taking leave, do visit our local attractions and help them tide through this difficult period. Hopefully, after the pandemic passes, we can all enjoy them to the fullest again.

Starting today, all Singaporeans aged 18 and above will receive $100 worth of SingapoRediscovers Vouchers, that they can spend at local hotels, attractions and tours. Find out more here: https://go.gov.sg/srvouchers

– LHL

(Photo by me)",2020-12-01 09:09:12+00:00,"You are responsible for bringing down businesses, not covid",2020-12-04 07:57:15+00:00,9
17,"One of the hardest-hit industries is tourism. We introduced the #SingapoRediscovers vouchers to give tourist businesses a hand. This December when more of us are taking leave, do visit our local attractions and help them tide through this difficult period. Hopefully, after the pandemic passes, we can all enjoy them to the fullest again.

Starting today, all Singaporeans aged 18 and above will receive $100 worth of SingapoRediscovers Vouchers, that they can spend at local hotels, attractions and tours. Find out more here: https://go.gov.sg/srvouchers

– LHL

(Photo by me)",2020-12-01 09:09:12+00:00,"You have been the best, i always thank my friend so much for introducing me to you.Now I'm dept free @erin_arisonfx",2020-12-04 08:17:36+00:00,18
18,"One of the hardest-hit industries is tourism. We introduced the #SingapoRediscovers vouchers to give tourist businesses a hand. This December when more of us are taking leave, do visit our local attractions and help them tide through this difficult period. Hopefully, after the pandemic passes, we can all enjoy them to the fullest again.

Starting today, all Singaporeans aged 18 and above will receive $100 worth of SingapoRediscovers Vouchers, that they can spend at local hotels, attractions and tours. Find out more here: https://go.gov.sg/srvouchers

– LHL

(Photo by me)",2020-12-01 09:09:12+00:00,"good deeds deserve appreciations, i can't believe my self after much doubt i stil hit the target, all i can say is thank you @erin_arisonfx",2020-12-04 08:23:55+00:00,23
19,"One of the hardest-hit industries is tourism. We introduced the #SingapoRediscovers vouchers to give tourist businesses a hand. This December when more of us are taking leave, do visit our local attractions and help them tide through this difficult period. Hopefully, after the pandemic passes, we can all enjoy them to the fullest again.

Starting today, all Singaporeans aged 18 and above will receive $100 worth of SingapoRediscovers Vouchers, that they can spend at local hotels, attractions and tours. Find out more here: https://go.gov.sg/srvouchers

– LHL

(Photo by me)",2020-12-01 09:09:12+00:00,Don't let anyone make you feel bad about your side hustle or discourage you about it. Their criticisms won't pay your bills. Invest with the best. @erin_arisonfx,2020-12-04 08:29:57+00:00,24
