,Post Description,Post Datetime,Comments,Comment Datetime,num_words
1,"It’s been some time since my last address on COVID-19. I will be doing it again tomorrow, to update everyone on the current situation and the outlook for next year. The Co-Chairs of the Ministerial Task Force will hold a press conference immediately after.⠀
⠀
My speech will be livestreamed on my Facebook Page (www.facebook.com/leehsienloong) at 5pm on Monday, 14 December. You can also catch it live on @mediacorp TV channels and radio. Do tune in! ⠀
⠀
But please stay calm – no need to stock up on anything! – LHL⠀
⠀
(MCI Photo by Lee Jia Wen)",2020-12-13 08:04:08+00:00,He gonna day phase 3 cancel 😉 and just re open all since covid isn't like vivid with crowded mall with the pax 📈📈📈📈📈,2020-12-14 02:21:15+00:00,20
5,"It’s been some time since my last address on COVID-19. I will be doing it again tomorrow, to update everyone on the current situation and the outlook for next year. The Co-Chairs of the Ministerial Task Force will hold a press conference immediately after.⠀
⠀
My speech will be livestreamed on my Facebook Page (www.facebook.com/leehsienloong) at 5pm on Monday, 14 December. You can also catch it live on @mediacorp TV channels and radio. Do tune in! ⠀
⠀
But please stay calm – no need to stock up on anything! – LHL⠀
⠀
(MCI Photo by Lee Jia Wen)",2020-12-13 08:04:08+00:00,Our dear Mr PM has a great sense of humor.... Looking forward to your speech! Jiayou Singapore 🇸🇬 ❤️👍👍👍,2020-12-14 07:42:42+00:00,17
6,"It’s been some time since my last address on COVID-19. I will be doing it again tomorrow, to update everyone on the current situation and the outlook for next year. The Co-Chairs of the Ministerial Task Force will hold a press conference immediately after.⠀
⠀
My speech will be livestreamed on my Facebook Page (www.facebook.com/leehsienloong) at 5pm on Monday, 14 December. You can also catch it live on @mediacorp TV channels and radio. Do tune in! ⠀
⠀
But please stay calm – no need to stock up on anything! – LHL⠀
⠀
(MCI Photo by Lee Jia Wen)",2020-12-13 08:04:08+00:00,the water cup how much?,2020-12-14 07:44:11+00:00,5
7,"It’s been some time since my last address on COVID-19. I will be doing it again tomorrow, to update everyone on the current situation and the outlook for next year. The Co-Chairs of the Ministerial Task Force will hold a press conference immediately after.⠀
⠀
My speech will be livestreamed on my Facebook Page (www.facebook.com/leehsienloong) at 5pm on Monday, 14 December. You can also catch it live on @mediacorp TV channels and radio. Do tune in! ⠀
⠀
But please stay calm – no need to stock up on anything! – LHL⠀
⠀
(MCI Photo by Lee Jia Wen)",2020-12-13 08:04:08+00:00,This COVID-19 virus is very insidious. Even S. Korea and Japan cannot prevent the deadly second wave. We must be on our guard!,2020-12-14 08:05:39+00:00,23
8,"It’s been some time since my last address on COVID-19. I will be doing it again tomorrow, to update everyone on the current situation and the outlook for next year. The Co-Chairs of the Ministerial Task Force will hold a press conference immediately after.⠀
⠀
My speech will be livestreamed on my Facebook Page (www.facebook.com/leehsienloong) at 5pm on Monday, 14 December. You can also catch it live on @mediacorp TV channels and radio. Do tune in! ⠀
⠀
But please stay calm – no need to stock up on anything! – LHL⠀
⠀
(MCI Photo by Lee Jia Wen)",2020-12-13 08:04:08+00:00,thank you PM lee for your hard work!!,2020-12-14 09:32:06+00:00,8
13,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL",2020-11-30 08:55:56+00:00,Thank you for being so thoughtful and care for all.😍😍😍 👍👍👍😘😘😘👏👏👏,2020-12-01 01:55:53+00:00,10
15,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL",2020-11-30 08:55:56+00:00,"Temasek Foundation given masks the 3rd time! Singaporeans are truly blessed, even masks also being taken care of. At a point I was telling myself what good have I done in my previous life to be able to be borned here! Thank you Temasek Foundation and my Govt!",2020-12-01 04:10:53+00:00,47
16,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL",2020-11-30 08:55:56+00:00,Thank you Temasek Foundation for the mask ❤️,2020-12-01 07:16:40+00:00,7
21,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL",2020-11-30 08:55:56+00:00,Have you considered the alternative scientific view that masks don’t work and are bad for you?,2020-12-04 07:58:17+00:00,17
22,"The 3rd round of reusable mask distribution by @temasekfoundation started today. The new masks can be rewashed up to 50 times while retaining the antimicrobial performance. Many of you should be familiar with the collection process by now – just bring your NRIC or government-issued ID with a barcode to the vending machines at your RCs, CCs or bus interchanges. There are four sizes of masks available, so do make sure you pick the right one. Do note that the size S masks can only be collected at CCs, Plaza Singapura, and Temasek Shophouse.

A gentle reminder that there is no need to rush! There is enough stock for everyone and you have up till 13 Dec to pick up your masks. 😷 – LHL",2020-11-30 08:55:56+00:00,Thanks for the 3rd round reusable masks😍,2020-12-04 11:42:02+00:00,6
