,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Have to link to phone n use my battery ah? Give handout$ 1st then say lo..,2020-09-10 05:36:15+00:00,15
1,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Gov got drone in e sky liao leh,2020-09-10 05:37:26+00:00,8
3,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Just put a drone on each one of us la... Non citizens get 2 drones..😆,2020-09-10 05:38:35+00:00,14
5,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Soon it is going to be most places,2020-09-10 07:01:34+00:00,8
7,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,so can we stop scanning safeentry with this?,2020-09-10 14:33:45+00:00,8
8,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Hope this one entirely made in Singapore.,2020-09-11 04:11:59+00:00,7
9,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,All the CB-ian confirm like this. Dont say you dont like because you want this to happen.,2020-09-11 06:26:42+00:00,16
10,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,"So essentially they’re slowly enforcing the app, right? Cause you know, some places require the app for entry.",2020-09-11 07:17:37+00:00,19
11,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",2020-09-09 12:01:41+00:00,Me when I recive TT tokens: 50 WAYS TO BREAK A TRACETOGETHER TOKEN,2020-09-14 10:38:59+00:00,12
13,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Imaging working at a job that forces u to work on a public holiday and doesn’t pay you extra for that,2020-08-10 05:35:14+00:00,22
17,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Petition to make a safe entry app,2020-08-10 05:53:21+00:00,7
18,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Petition to make a safe entry app,2020-08-10 05:53:22+00:00,7
19,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Please be reminded that we are still in DOSCON Orange.,2020-08-10 06:05:50+00:00,10
20,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,isit just me or does any1 doesnt check out often bcuz their lazy?,2020-08-10 06:22:10+00:00,13
21,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,CHECK OUT MY IG FOR SINGAPORE’s TOP STUDENT JOB SCAM!!!!!! 🤯 (all i want is for you to warn your friends),2020-08-10 06:52:51+00:00,21
22,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,"Haha, go to Vivo City and you know where social distancing doesn’t exist.",2020-08-10 06:58:43+00:00,14
25,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,yes the check ins check outs,2020-08-10 07:10:38+00:00,6
26,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Qr code : I'm I a joke to you?,2020-08-10 07:14:11+00:00,7
27,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,"Good day everyone don’t throw away your old money (coin or note) bring all to me and make a huge amount of money from your old items Malaysia 🇲🇾,Brunei , Singapore 🇸🇬 Jordan 🇯🇴 China 🇨🇳 with ALMIGHTY ALLAH everything is possible 💯💯💯",2020-08-10 07:24:25+00:00,39
28,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,I buy old  money collector I buy old UAE 🇦🇪 🇲🇾MYR <10k> per one ☝ 🇸🇬SGD <10k> per one ☝ 🇧🇳BRU <10k> per one ☝ 🇨🇳CH or any country coin and note.Pm me!!!!!I buy old MAL 🇲🇾(coins$ notes)10kkmyr per☝️old Sin🇸🇬(coins$note)10ksgd per☝️OLD BRU🇧🇳(coins$notes)10ksgd per☝️ YA ALLAH 🙏🙏🙏✅🇲🇾🇲🇾🇲🇾🇲🇾🇲🇾STAY SAFE 🤙🤙🤙🤙,2020-08-10 08:07:00+00:00,44
31,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,yes omg the number of tabs i have for safe entry,2020-08-10 13:21:39+00:00,11
32,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Me need type why I phone why I phone y???,2020-08-11 19:15:06+00:00,10
33,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,Use wat app for iphone,2020-08-11 19:15:22+00:00,5
34,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,"My god, if is wasn’t for me to take opportunity to ride on",2020-08-12 06:42:04+00:00,14
