,Post Description,Post Datetime,Comments,Comment Datetime,num_words
3,"Wishing all our Muslim friends Selamat Hari Raya Aidilfitri! 
It is a different celebration this year, as we are still in circuit breaker period. 
During the e-buka puasa events I attended, residents told me that they would still celebrate by attending online prayers and visiting family members online. Some even planned to dressed up as a family. But come 2 Jun, they will pay visits, in pairs, to their parents and grandparents. 
Everyone is making sacrifices and adjusting to the situation. Most important is to know that we are all in this together.",2020-05-23 23:11:07+00:00,"Selamat hari raya, maaf zahir dan batin to all Singaporean with love ❤️❤️❤️",2020-05-24 23:35:27+00:00,12
4,"Wishing all our Muslim friends Selamat Hari Raya Aidilfitri! 
It is a different celebration this year, as we are still in circuit breaker period. 
During the e-buka puasa events I attended, residents told me that they would still celebrate by attending online prayers and visiting family members online. Some even planned to dressed up as a family. But come 2 Jun, they will pay visits, in pairs, to their parents and grandparents. 
Everyone is making sacrifices and adjusting to the situation. Most important is to know that we are all in this together.",2020-05-23 23:11:07+00:00,Selamat Hari Raya from Singapore 😋🏨.. education,2020-05-26 10:34:48+00:00,6
6,"The Government has just announced some initial steps to allow activities such as barbers, home-based business and laundromats to resume during the circuit breaker period in May. 
For MOE, we will enter the four-week mid-year school holidays in May. The first two weeks will be protected time for teachers. This is something we always do, to allow teachers some time to rest and recharge, although we know many of them use the time to plan lessons and stay in touch with students. 
As for the following two weeks, â€ªstarting 19 Mayâ€¬, schools will bring back students from graduating cohorts, i.e. Pri 6, Sec 4 and 5, JC2 and Pre-U 3.  We know that these students have been anxious about the preparation for their national exams, and that home-based learning cannot fully substitute face to face coaching and lessons. 
Their return to school will be done in a careful and calibrated manner, with ample safe distancing. They will come back in small groups, on selected days in a week, throughout the day, and will be spaced out within the school compound. They will meet teachers one-to-one, or in small groups.  Masks are compulsory. 
We will give priority to students requiring school facilities for coursework and practical sessions, as well as those who need additional support and remediation. 
Throughout the holidays, schools will also continue to engage students with greater needs and provide care for those whose parents work in essential services and are unable to secure alternative care arrangements.  For teachers rostered during this period, they will be given protected rest time in the later half of May. 
#StayHomeStaySafeStayCurious",2020-05-02 04:12:26+00:00,"The right move with careful thinking, planing and execution.👍",2020-05-02 04:33:37+00:00,9
8,"The Government has just announced some initial steps to allow activities such as barbers, home-based business and laundromats to resume during the circuit breaker period in May. 
For MOE, we will enter the four-week mid-year school holidays in May. The first two weeks will be protected time for teachers. This is something we always do, to allow teachers some time to rest and recharge, although we know many of them use the time to plan lessons and stay in touch with students. 
As for the following two weeks, â€ªstarting 19 Mayâ€¬, schools will bring back students from graduating cohorts, i.e. Pri 6, Sec 4 and 5, JC2 and Pre-U 3.  We know that these students have been anxious about the preparation for their national exams, and that home-based learning cannot fully substitute face to face coaching and lessons. 
Their return to school will be done in a careful and calibrated manner, with ample safe distancing. They will come back in small groups, on selected days in a week, throughout the day, and will be spaced out within the school compound. They will meet teachers one-to-one, or in small groups.  Masks are compulsory. 
We will give priority to students requiring school facilities for coursework and practical sessions, as well as those who need additional support and remediation. 
Throughout the holidays, schools will also continue to engage students with greater needs and provide care for those whose parents work in essential services and are unable to secure alternative care arrangements.  For teachers rostered during this period, they will be given protected rest time in the later half of May. 
#StayHomeStaySafeStayCurious",2020-05-02 04:12:26+00:00,"Thank you sir for being so deliberate and cautious about this. And thank you for such care towards the teachers! We cannot indeed ignore the needs of the graduating cohorts, and I hope their learning needs will be matched with these measures. To teacher friends out there, stay strong and thank you for caring for the next generation! 💪",2020-05-02 04:45:15+00:00,58
9,"The Government has just announced some initial steps to allow activities such as barbers, home-based business and laundromats to resume during the circuit breaker period in May. 
For MOE, we will enter the four-week mid-year school holidays in May. The first two weeks will be protected time for teachers. This is something we always do, to allow teachers some time to rest and recharge, although we know many of them use the time to plan lessons and stay in touch with students. 
As for the following two weeks, â€ªstarting 19 Mayâ€¬, schools will bring back students from graduating cohorts, i.e. Pri 6, Sec 4 and 5, JC2 and Pre-U 3.  We know that these students have been anxious about the preparation for their national exams, and that home-based learning cannot fully substitute face to face coaching and lessons. 
Their return to school will be done in a careful and calibrated manner, with ample safe distancing. They will come back in small groups, on selected days in a week, throughout the day, and will be spaced out within the school compound. They will meet teachers one-to-one, or in small groups.  Masks are compulsory. 
We will give priority to students requiring school facilities for coursework and practical sessions, as well as those who need additional support and remediation. 
Throughout the holidays, schools will also continue to engage students with greater needs and provide care for those whose parents work in essential services and are unable to secure alternative care arrangements.  For teachers rostered during this period, they will be given protected rest time in the later half of May. 
#StayHomeStaySafeStayCurious",2020-05-02 04:12:26+00:00,Thank you and your team for being close to grounds and trying your best to get things going despite the tough times....👍👍👏👏,2020-05-02 06:14:32+00:00,22
10,"The Government has just announced some initial steps to allow activities such as barbers, home-based business and laundromats to resume during the circuit breaker period in May. 
For MOE, we will enter the four-week mid-year school holidays in May. The first two weeks will be protected time for teachers. This is something we always do, to allow teachers some time to rest and recharge, although we know many of them use the time to plan lessons and stay in touch with students. 
As for the following two weeks, â€ªstarting 19 Mayâ€¬, schools will bring back students from graduating cohorts, i.e. Pri 6, Sec 4 and 5, JC2 and Pre-U 3.  We know that these students have been anxious about the preparation for their national exams, and that home-based learning cannot fully substitute face to face coaching and lessons. 
Their return to school will be done in a careful and calibrated manner, with ample safe distancing. They will come back in small groups, on selected days in a week, throughout the day, and will be spaced out within the school compound. They will meet teachers one-to-one, or in small groups.  Masks are compulsory. 
We will give priority to students requiring school facilities for coursework and practical sessions, as well as those who need additional support and remediation. 
Throughout the holidays, schools will also continue to engage students with greater needs and provide care for those whose parents work in essential services and are unable to secure alternative care arrangements.  For teachers rostered during this period, they will be given protected rest time in the later half of May. 
#StayHomeStaySafeStayCurious",2020-05-02 04:12:26+00:00,thank u for keeping the kids safe and the teachers sane! your empathy while balancing the expectations of Spore is much appreciated. many are struggling managing hbl together with their own toddler at home. you rock minister. keep that sense of humor gg especially this covid season. stay safe stay sane!,2020-05-02 06:22:33+00:00,51
11,"The Government has just announced some initial steps to allow activities such as barbers, home-based business and laundromats to resume during the circuit breaker period in May. 
For MOE, we will enter the four-week mid-year school holidays in May. The first two weeks will be protected time for teachers. This is something we always do, to allow teachers some time to rest and recharge, although we know many of them use the time to plan lessons and stay in touch with students. 
As for the following two weeks, â€ªstarting 19 Mayâ€¬, schools will bring back students from graduating cohorts, i.e. Pri 6, Sec 4 and 5, JC2 and Pre-U 3.  We know that these students have been anxious about the preparation for their national exams, and that home-based learning cannot fully substitute face to face coaching and lessons. 
Their return to school will be done in a careful and calibrated manner, with ample safe distancing. They will come back in small groups, on selected days in a week, throughout the day, and will be spaced out within the school compound. They will meet teachers one-to-one, or in small groups.  Masks are compulsory. 
We will give priority to students requiring school facilities for coursework and practical sessions, as well as those who need additional support and remediation. 
Throughout the holidays, schools will also continue to engage students with greater needs and provide care for those whose parents work in essential services and are unable to secure alternative care arrangements.  For teachers rostered during this period, they will be given protected rest time in the later half of May. 
#StayHomeStaySafeStayCurious",2020-05-02 04:12:26+00:00,and i love the hashtag!!! #stayhomestaysafestaycurious 👏🏼,2020-05-02 06:23:26+00:00,5
14,"The Government has just announced some initial steps to allow activities such as barbers, home-based business and laundromats to resume during the circuit breaker period in May. 
For MOE, we will enter the four-week mid-year school holidays in May. The first two weeks will be protected time for teachers. This is something we always do, to allow teachers some time to rest and recharge, although we know many of them use the time to plan lessons and stay in touch with students. 
As for the following two weeks, â€ªstarting 19 Mayâ€¬, schools will bring back students from graduating cohorts, i.e. Pri 6, Sec 4 and 5, JC2 and Pre-U 3.  We know that these students have been anxious about the preparation for their national exams, and that home-based learning cannot fully substitute face to face coaching and lessons. 
Their return to school will be done in a careful and calibrated manner, with ample safe distancing. They will come back in small groups, on selected days in a week, throughout the day, and will be spaced out within the school compound. They will meet teachers one-to-one, or in small groups.  Masks are compulsory. 
We will give priority to students requiring school facilities for coursework and practical sessions, as well as those who need additional support and remediation. 
Throughout the holidays, schools will also continue to engage students with greater needs and provide care for those whose parents work in essential services and are unable to secure alternative care arrangements.  For teachers rostered during this period, they will be given protected rest time in the later half of May. 
#StayHomeStaySafeStayCurious",2020-05-02 04:12:26+00:00,"Hi Sir, what if those Teachers who are asked to go back during this CB period have kids at home to take care too? Who will take care of them?",2020-05-02 08:15:07+00:00,30
16,"The Government has just announced some initial steps to allow activities such as barbers, home-based business and laundromats to resume during the circuit breaker period in May. 
For MOE, we will enter the four-week mid-year school holidays in May. The first two weeks will be protected time for teachers. This is something we always do, to allow teachers some time to rest and recharge, although we know many of them use the time to plan lessons and stay in touch with students. 
As for the following two weeks, â€ªstarting 19 Mayâ€¬, schools will bring back students from graduating cohorts, i.e. Pri 6, Sec 4 and 5, JC2 and Pre-U 3.  We know that these students have been anxious about the preparation for their national exams, and that home-based learning cannot fully substitute face to face coaching and lessons. 
Their return to school will be done in a careful and calibrated manner, with ample safe distancing. They will come back in small groups, on selected days in a week, throughout the day, and will be spaced out within the school compound. They will meet teachers one-to-one, or in small groups.  Masks are compulsory. 
We will give priority to students requiring school facilities for coursework and practical sessions, as well as those who need additional support and remediation. 
Throughout the holidays, schools will also continue to engage students with greater needs and provide care for those whose parents work in essential services and are unable to secure alternative care arrangements.  For teachers rostered during this period, they will be given protected rest time in the later half of May. 
#StayHomeStaySafeStayCurious",2020-05-02 04:12:26+00:00,Good hope it be over soon,2020-05-02 10:33:24+00:00,6
17,"The Government has just announced some initial steps to allow activities such as barbers, home-based business and laundromats to resume during the circuit breaker period in May. 
For MOE, we will enter the four-week mid-year school holidays in May. The first two weeks will be protected time for teachers. This is something we always do, to allow teachers some time to rest and recharge, although we know many of them use the time to plan lessons and stay in touch with students. 
As for the following two weeks, â€ªstarting 19 Mayâ€¬, schools will bring back students from graduating cohorts, i.e. Pri 6, Sec 4 and 5, JC2 and Pre-U 3.  We know that these students have been anxious about the preparation for their national exams, and that home-based learning cannot fully substitute face to face coaching and lessons. 
Their return to school will be done in a careful and calibrated manner, with ample safe distancing. They will come back in small groups, on selected days in a week, throughout the day, and will be spaced out within the school compound. They will meet teachers one-to-one, or in small groups.  Masks are compulsory. 
We will give priority to students requiring school facilities for coursework and practical sessions, as well as those who need additional support and remediation. 
Throughout the holidays, schools will also continue to engage students with greater needs and provide care for those whose parents work in essential services and are unable to secure alternative care arrangements.  For teachers rostered during this period, they will be given protected rest time in the later half of May. 
#StayHomeStaySafeStayCurious",2020-05-02 04:12:26+00:00,O levels are still based on a bell curve? You guys just need to score better than the rest. Almost everyone has the same handicap.,2020-05-05 04:22:05+00:00,25
