,Post Description,Post Datetime,Comments,Comment Datetime,num_words
1,"What we have dreaded all these months has happened. 

SIA will be reducing its global workforce. Some 2,400 staff based in Singapore and overseas will be affected, the vast majority being foreigners. Factoring in hiring freezes and early retirements, SIA will be reducing total workforce by 4,300.

We know how badly SIA is hit by COVID-19. Over the past few months, Government has rolled out support measures, including the Jobs Support Scheme, to defray business costs and protect jobs. The aviation sector received the strongest support. SIA has also raised significant capital with the support of its majority shareholder. They have delayed this workforce reduction as long as they can, but with air travel decimated by COVID-19, this has unfortunately become inevitable.

The workers affected, are the same people we see at the airport, ensuring we board our planes efficiently and on time; the cabin crew in their suits and kebaya that have become a symbol of pride for Singapore; and those whose assuring voices we hear over the aircraft public announcement system, often telling us to belt up, for there would be turbulence.

Government will do all we can to support the affected workers. We will work with @ntucsingapore and industry partners to place the workers in jobs, help them transit to other industries, or enrol them in suitable industry attachment and traineeship programmes. I am sure their skills are much needed elsewhere too. More importantly, we will continue to press on, to restore air travel in a safe manner, to get SIA planes back up in the sky, and revive our air hub.

Credit: @singaporeair",2020-09-10 13:51:06+00:00,Wtf no wonder stock prices go down for Temasek holdings,2020-09-10 15:10:33+00:00,10
3,"What we have dreaded all these months has happened. 

SIA will be reducing its global workforce. Some 2,400 staff based in Singapore and overseas will be affected, the vast majority being foreigners. Factoring in hiring freezes and early retirements, SIA will be reducing total workforce by 4,300.

We know how badly SIA is hit by COVID-19. Over the past few months, Government has rolled out support measures, including the Jobs Support Scheme, to defray business costs and protect jobs. The aviation sector received the strongest support. SIA has also raised significant capital with the support of its majority shareholder. They have delayed this workforce reduction as long as they can, but with air travel decimated by COVID-19, this has unfortunately become inevitable.

The workers affected, are the same people we see at the airport, ensuring we board our planes efficiently and on time; the cabin crew in their suits and kebaya that have become a symbol of pride for Singapore; and those whose assuring voices we hear over the aircraft public announcement system, often telling us to belt up, for there would be turbulence.

Government will do all we can to support the affected workers. We will work with @ntucsingapore and industry partners to place the workers in jobs, help them transit to other industries, or enrol them in suitable industry attachment and traineeship programmes. I am sure their skills are much needed elsewhere too. More importantly, we will continue to press on, to restore air travel in a safe manner, to get SIA planes back up in the sky, and revive our air hub.

Credit: @singaporeair",2020-09-10 13:51:06+00:00,"Press on SIA, we would emerge stronger from this pandemic ❤️",2020-09-10 15:51:09+00:00,10
8,"What we have dreaded all these months has happened. 

SIA will be reducing its global workforce. Some 2,400 staff based in Singapore and overseas will be affected, the vast majority being foreigners. Factoring in hiring freezes and early retirements, SIA will be reducing total workforce by 4,300.

We know how badly SIA is hit by COVID-19. Over the past few months, Government has rolled out support measures, including the Jobs Support Scheme, to defray business costs and protect jobs. The aviation sector received the strongest support. SIA has also raised significant capital with the support of its majority shareholder. They have delayed this workforce reduction as long as they can, but with air travel decimated by COVID-19, this has unfortunately become inevitable.

The workers affected, are the same people we see at the airport, ensuring we board our planes efficiently and on time; the cabin crew in their suits and kebaya that have become a symbol of pride for Singapore; and those whose assuring voices we hear over the aircraft public announcement system, often telling us to belt up, for there would be turbulence.

Government will do all we can to support the affected workers. We will work with @ntucsingapore and industry partners to place the workers in jobs, help them transit to other industries, or enrol them in suitable industry attachment and traineeship programmes. I am sure their skills are much needed elsewhere too. More importantly, we will continue to press on, to restore air travel in a safe manner, to get SIA planes back up in the sky, and revive our air hub.

Credit: @singaporeair",2020-09-10 13:51:06+00:00,I'm sure @singaporeair will be a great way to fly once again. Looking forward to it when COVID ends.,2020-09-10 16:46:19+00:00,17
9,"What we have dreaded all these months has happened. 

SIA will be reducing its global workforce. Some 2,400 staff based in Singapore and overseas will be affected, the vast majority being foreigners. Factoring in hiring freezes and early retirements, SIA will be reducing total workforce by 4,300.

We know how badly SIA is hit by COVID-19. Over the past few months, Government has rolled out support measures, including the Jobs Support Scheme, to defray business costs and protect jobs. The aviation sector received the strongest support. SIA has also raised significant capital with the support of its majority shareholder. They have delayed this workforce reduction as long as they can, but with air travel decimated by COVID-19, this has unfortunately become inevitable.

The workers affected, are the same people we see at the airport, ensuring we board our planes efficiently and on time; the cabin crew in their suits and kebaya that have become a symbol of pride for Singapore; and those whose assuring voices we hear over the aircraft public announcement system, often telling us to belt up, for there would be turbulence.

Government will do all we can to support the affected workers. We will work with @ntucsingapore and industry partners to place the workers in jobs, help them transit to other industries, or enrol them in suitable industry attachment and traineeship programmes. I am sure their skills are much needed elsewhere too. More importantly, we will continue to press on, to restore air travel in a safe manner, to get SIA planes back up in the sky, and revive our air hub.

Credit: @singaporeair",2020-09-10 13:51:06+00:00,The Singapore Girl will fly again! 💪🏻,2020-09-10 16:55:26+00:00,6
11,"What we have dreaded all these months has happened. 

SIA will be reducing its global workforce. Some 2,400 staff based in Singapore and overseas will be affected, the vast majority being foreigners. Factoring in hiring freezes and early retirements, SIA will be reducing total workforce by 4,300.

We know how badly SIA is hit by COVID-19. Over the past few months, Government has rolled out support measures, including the Jobs Support Scheme, to defray business costs and protect jobs. The aviation sector received the strongest support. SIA has also raised significant capital with the support of its majority shareholder. They have delayed this workforce reduction as long as they can, but with air travel decimated by COVID-19, this has unfortunately become inevitable.

The workers affected, are the same people we see at the airport, ensuring we board our planes efficiently and on time; the cabin crew in their suits and kebaya that have become a symbol of pride for Singapore; and those whose assuring voices we hear over the aircraft public announcement system, often telling us to belt up, for there would be turbulence.

Government will do all we can to support the affected workers. We will work with @ntucsingapore and industry partners to place the workers in jobs, help them transit to other industries, or enrol them in suitable industry attachment and traineeship programmes. I am sure their skills are much needed elsewhere too. More importantly, we will continue to press on, to restore air travel in a safe manner, to get SIA planes back up in the sky, and revive our air hub.

Credit: @singaporeair",2020-09-10 13:51:06+00:00,SIA hope Covid end soon so It’s plane will fly once,2020-09-10 17:06:21+00:00,12
12,"What we have dreaded all these months has happened. 

SIA will be reducing its global workforce. Some 2,400 staff based in Singapore and overseas will be affected, the vast majority being foreigners. Factoring in hiring freezes and early retirements, SIA will be reducing total workforce by 4,300.

We know how badly SIA is hit by COVID-19. Over the past few months, Government has rolled out support measures, including the Jobs Support Scheme, to defray business costs and protect jobs. The aviation sector received the strongest support. SIA has also raised significant capital with the support of its majority shareholder. They have delayed this workforce reduction as long as they can, but with air travel decimated by COVID-19, this has unfortunately become inevitable.

The workers affected, are the same people we see at the airport, ensuring we board our planes efficiently and on time; the cabin crew in their suits and kebaya that have become a symbol of pride for Singapore; and those whose assuring voices we hear over the aircraft public announcement system, often telling us to belt up, for there would be turbulence.

Government will do all we can to support the affected workers. We will work with @ntucsingapore and industry partners to place the workers in jobs, help them transit to other industries, or enrol them in suitable industry attachment and traineeship programmes. I am sure their skills are much needed elsewhere too. More importantly, we will continue to press on, to restore air travel in a safe manner, to get SIA planes back up in the sky, and revive our air hub.

Credit: @singaporeair",2020-09-10 13:51:06+00:00,Hedge on fuel. This is the result.  SIA losses and more than Pan Pacific by significant amount. Why? Time to change CEO.,2020-09-10 17:57:08+00:00,22
16,"What we have dreaded all these months has happened. 

SIA will be reducing its global workforce. Some 2,400 staff based in Singapore and overseas will be affected, the vast majority being foreigners. Factoring in hiring freezes and early retirements, SIA will be reducing total workforce by 4,300.

We know how badly SIA is hit by COVID-19. Over the past few months, Government has rolled out support measures, including the Jobs Support Scheme, to defray business costs and protect jobs. The aviation sector received the strongest support. SIA has also raised significant capital with the support of its majority shareholder. They have delayed this workforce reduction as long as they can, but with air travel decimated by COVID-19, this has unfortunately become inevitable.

The workers affected, are the same people we see at the airport, ensuring we board our planes efficiently and on time; the cabin crew in their suits and kebaya that have become a symbol of pride for Singapore; and those whose assuring voices we hear over the aircraft public announcement system, often telling us to belt up, for there would be turbulence.

Government will do all we can to support the affected workers. We will work with @ntucsingapore and industry partners to place the workers in jobs, help them transit to other industries, or enrol them in suitable industry attachment and traineeship programmes. I am sure their skills are much needed elsewhere too. More importantly, we will continue to press on, to restore air travel in a safe manner, to get SIA planes back up in the sky, and revive our air hub.

Credit: @singaporeair",2020-09-10 13:51:06+00:00,Bird in hand.holď to tight it die set free it  die decision is in thy hand the principle,2020-09-11 02:42:39+00:00,18
18,"What we have dreaded all these months has happened. 

SIA will be reducing its global workforce. Some 2,400 staff based in Singapore and overseas will be affected, the vast majority being foreigners. Factoring in hiring freezes and early retirements, SIA will be reducing total workforce by 4,300.

We know how badly SIA is hit by COVID-19. Over the past few months, Government has rolled out support measures, including the Jobs Support Scheme, to defray business costs and protect jobs. The aviation sector received the strongest support. SIA has also raised significant capital with the support of its majority shareholder. They have delayed this workforce reduction as long as they can, but with air travel decimated by COVID-19, this has unfortunately become inevitable.

The workers affected, are the same people we see at the airport, ensuring we board our planes efficiently and on time; the cabin crew in their suits and kebaya that have become a symbol of pride for Singapore; and those whose assuring voices we hear over the aircraft public announcement system, often telling us to belt up, for there would be turbulence.

Government will do all we can to support the affected workers. We will work with @ntucsingapore and industry partners to place the workers in jobs, help them transit to other industries, or enrol them in suitable industry attachment and traineeship programmes. I am sure their skills are much needed elsewhere too. More importantly, we will continue to press on, to restore air travel in a safe manner, to get SIA planes back up in the sky, and revive our air hub.

Credit: @singaporeair",2020-09-10 13:51:06+00:00,Set free it  fly not die,2020-09-11 02:46:50+00:00,6
20,"What we have dreaded all these months has happened. 

SIA will be reducing its global workforce. Some 2,400 staff based in Singapore and overseas will be affected, the vast majority being foreigners. Factoring in hiring freezes and early retirements, SIA will be reducing total workforce by 4,300.

We know how badly SIA is hit by COVID-19. Over the past few months, Government has rolled out support measures, including the Jobs Support Scheme, to defray business costs and protect jobs. The aviation sector received the strongest support. SIA has also raised significant capital with the support of its majority shareholder. They have delayed this workforce reduction as long as they can, but with air travel decimated by COVID-19, this has unfortunately become inevitable.

The workers affected, are the same people we see at the airport, ensuring we board our planes efficiently and on time; the cabin crew in their suits and kebaya that have become a symbol of pride for Singapore; and those whose assuring voices we hear over the aircraft public announcement system, often telling us to belt up, for there would be turbulence.

Government will do all we can to support the affected workers. We will work with @ntucsingapore and industry partners to place the workers in jobs, help them transit to other industries, or enrol them in suitable industry attachment and traineeship programmes. I am sure their skills are much needed elsewhere too. More importantly, we will continue to press on, to restore air travel in a safe manner, to get SIA planes back up in the sky, and revive our air hub.

Credit: @singaporeair",2020-09-10 13:51:06+00:00,Pilots (angmo) Stewardess (mainly Malaysians),2020-09-11 07:38:48+00:00,5
21,"What we have dreaded all these months has happened. 

SIA will be reducing its global workforce. Some 2,400 staff based in Singapore and overseas will be affected, the vast majority being foreigners. Factoring in hiring freezes and early retirements, SIA will be reducing total workforce by 4,300.

We know how badly SIA is hit by COVID-19. Over the past few months, Government has rolled out support measures, including the Jobs Support Scheme, to defray business costs and protect jobs. The aviation sector received the strongest support. SIA has also raised significant capital with the support of its majority shareholder. They have delayed this workforce reduction as long as they can, but with air travel decimated by COVID-19, this has unfortunately become inevitable.

The workers affected, are the same people we see at the airport, ensuring we board our planes efficiently and on time; the cabin crew in their suits and kebaya that have become a symbol of pride for Singapore; and those whose assuring voices we hear over the aircraft public announcement system, often telling us to belt up, for there would be turbulence.

Government will do all we can to support the affected workers. We will work with @ntucsingapore and industry partners to place the workers in jobs, help them transit to other industries, or enrol them in suitable industry attachment and traineeship programmes. I am sure their skills are much needed elsewhere too. More importantly, we will continue to press on, to restore air travel in a safe manner, to get SIA planes back up in the sky, and revive our air hub.

Credit: @singaporeair",2020-09-10 13:51:06+00:00,It's so sad but it's an inevitable move. Let's quickly figure any possible solutions to make SIA planes back to the sky,2020-09-11 07:46:44+00:00,19
