,Post Description,Post Datetime,Comments,Comment Datetime,num_words
3,"for seven months this year, mr zhang jinlei stayed inside his dormitory room. he could not freely leave its compounds except when work resumed, as part of the authorities’ measures to curb the spread of the coronavirus in singapore. 

last month, the ministry of manpower (mom) eased movement restrictions for migrant workers living in dormitories and the 36-year-old has been running within the dormitory compounds for half an hour daily. 

before covid-19 struck, the construction worker regularly ran outside his dormitory along tanah merah coast road. 

when asked by reporters how he felt about getting back to his favourite activity, mr zhang beamed and said: “happy!” clutching his abdomen with both hands, he remarked: “i gained more than 10kg over the few months of the lockdown.”

mr annamalai lokesh, a 26-year-old construction worker from india, said that one of his favourite facilities was the communal kitchen. “(now it opens) six months after cooking stopped, everyone feels good,” mr annamalai said. 

read on, when you click on the link in bio @todayonline 

#migrantworkerssg #migrantworkerssingapore",2020-12-25 02:00:46+00:00,Happy for them... 👍👏... N thanks to them for their patience n cooperation with the authorities.. 😊👏👍,2020-12-25 04:42:46+00:00,15
4,"for seven months this year, mr zhang jinlei stayed inside his dormitory room. he could not freely leave its compounds except when work resumed, as part of the authorities’ measures to curb the spread of the coronavirus in singapore. 

last month, the ministry of manpower (mom) eased movement restrictions for migrant workers living in dormitories and the 36-year-old has been running within the dormitory compounds for half an hour daily. 

before covid-19 struck, the construction worker regularly ran outside his dormitory along tanah merah coast road. 

when asked by reporters how he felt about getting back to his favourite activity, mr zhang beamed and said: “happy!” clutching his abdomen with both hands, he remarked: “i gained more than 10kg over the few months of the lockdown.”

mr annamalai lokesh, a 26-year-old construction worker from india, said that one of his favourite facilities was the communal kitchen. “(now it opens) six months after cooking stopped, everyone feels good,” mr annamalai said. 

read on, when you click on the link in bio @todayonline 

#migrantworkerssg #migrantworkerssingapore",2020-12-25 02:00:46+00:00,@jayson_gcs imagine construction workers still go for daily jog...meanwhile us ff,2020-12-25 18:50:53+00:00,11
6,"singapore has confirmed 354 new cases of covid-19, said the ministry of health (moh) in a press release on thursday (july 23).⁣⁣⁣
⁣⁣⁣
there are eight new community cases based on the ministry's investigations so far. four are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are five imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 49,098.",2020-07-23 10:00:12+00:00,"Ah shit, here we go again",2020-07-23 10:05:22+00:00,6
9,"singapore has confirmed 354 new cases of covid-19, said the ministry of health (moh) in a press release on thursday (july 23).⁣⁣⁣
⁣⁣⁣
there are eight new community cases based on the ministry's investigations so far. four are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are five imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 49,098.",2020-07-23 10:00:12+00:00,Josephine teo never explains to public what is happening to the dorm!,2020-07-23 12:04:08+00:00,12
11,"singapore has confirmed 354 new cases of covid-19, said the ministry of health (moh) in a press release on thursday (july 23).⁣⁣⁣
⁣⁣⁣
there are eight new community cases based on the ministry's investigations so far. four are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are five imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 49,098.",2020-07-23 10:00:12+00:00,Everyday imported cases why not doing anything to control????,2020-07-23 23:34:43+00:00,9
12,"the ministry of health has confirmed 310 new cases of covid-19 on wednesday (july 22).⁣⁣⁣
⁣⁣⁣
there are seven new community cases based on the ministry's investigations so far. three are singaporeans or permanent residents and four are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are 6 imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,744.⁣⁣⁣
⁣⁣⁣
#linkinbio",2020-07-22 09:05:54+00:00,Why is it not ending so sad 😢😢😢our chidren  want to go to sch,2020-07-22 11:56:55+00:00,14
13,"the ministry of health (moh) has confirmed 399 new cases of covid-19 on tuesday (july 21).⁣⁣⁣
⁣⁣⁣
there are nine new community cases based on the ministry's investigations so far. one is a singaporean and eight are work pass holders. in addition, there are three imported cases who had been isolated or placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
""the higher number of cases today is mainly due to a batch of test results from the previous day reported to moh after the 12pm cut-off for yesterday’s reporting,"" the ministry said.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,434.",2020-07-21 08:30:52+00:00,Visit page for dress self design 👗,2020-07-21 08:50:13+00:00,6
14,"the ministry of health (moh) has confirmed 399 new cases of covid-19 on tuesday (july 21).⁣⁣⁣
⁣⁣⁣
there are nine new community cases based on the ministry's investigations so far. one is a singaporean and eight are work pass holders. in addition, there are three imported cases who had been isolated or placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
""the higher number of cases today is mainly due to a batch of test results from the previous day reported to moh after the 12pm cut-off for yesterday’s reporting,"" the ministry said.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,434.",2020-07-21 08:30:52+00:00,"People blatantly not donning masks in the workplace and public, people pretending to be wearing masks with noses and mouths exposed, no spot checks, no safe distancing officers in sight😤😡",2020-07-21 10:08:41+00:00,30
16,"the ministry of health (moh) has confirmed 399 new cases of covid-19 on tuesday (july 21).⁣⁣⁣
⁣⁣⁣
there are nine new community cases based on the ministry's investigations so far. one is a singaporean and eight are work pass holders. in addition, there are three imported cases who had been isolated or placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
""the higher number of cases today is mainly due to a batch of test results from the previous day reported to moh after the 12pm cut-off for yesterday’s reporting,"" the ministry said.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,434.",2020-07-21 08:30:52+00:00,“Majority of the new cases are WP holders residing in foreign workers dormitories!” Hope MOH will resolve it asap!,2020-07-21 11:56:10+00:00,19
19,"the ministry of health has confirmed 123 new cases of covid-19 on monday (july 20).⁣⁣⁣
⁣⁣⁣
there are 11 new community cases based on the ministry's investigations so far.⁣⁣⁣
⁣⁣⁣
five are singaporeans or permanent residents and six are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are two imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,035.",2020-07-20 07:48:00+00:00,When will singapore open their border again?,2020-07-20 17:27:14+00:00,7
20,"the ministry of health has confirmed 123 new cases of covid-19 on monday (july 20).⁣⁣⁣
⁣⁣⁣
there are 11 new community cases based on the ministry's investigations so far.⁣⁣⁣
⁣⁣⁣
five are singaporeans or permanent residents and six are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are two imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,035.",2020-07-20 07:48:00+00:00,Isa pretending to be wearing masks when you are not😤,2020-07-20 23:25:07+00:00,10
