,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre",2021-02-08 06:00:36+00:00,Immune for next 8-10 years xD,2021-02-08 06:31:21+00:00,5
1,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre",2021-02-08 06:00:36+00:00,Some say that he had ascended into the embodiment of the covid-19 and now watches over the planet together with Jesus,2021-02-08 06:23:44+00:00,21
3,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre",2021-02-08 06:00:36+00:00,can sneeze on other ppl to vaccinate them ady,2021-02-08 07:40:18+00:00,9
4,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre",2021-02-08 06:00:36+00:00,Covid can't mess with this fellow,2021-02-08 06:21:54+00:00,5
5,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre",2021-02-08 06:00:36+00:00,Oh dear I hope he will be alright.  5 doses is not a joke.  I really hope he will be ok.  He must be having hugh side effects! 🙏,2021-02-08 08:40:07+00:00,27
7,"“the staff in charge of diluting the vaccine had been called away to attend to other matters during the preparation of the vaccine, and a second staff member had mistaken the undiluted dose in the vial to be ready for administering,” the singapore national eye centre (snec) said. 

how is the affected staff member now?
read on, when you click on the link in bio @todayonline 

#covid_19 #vaccine #covid19vacccine #singapore #singaporenationaleyecentre",2021-02-08 06:00:36+00:00,The thing is... Why the person go take 5 shots when he know only need 2?,2021-02-08 07:20:52+00:00,14
15,"giving this update in parliament, senior minister of state for health janil puthucheary said on monday that the four who suffered from anaphylaxis - the rapid onset of severe allergic reactions - are in their 20s and 30s, and have recovered from the episode. 

they developed multiple symptoms, such as rash, breathlessness, lip swelling, throat tightness and giddiness.

read on, when u click on the link in bio @todayonline 

#covid_19 #vaccine #singapore #sghealth #allergy #anaphylaxis",2021-02-03 07:14:08+00:00,can't stop my family from being suddenly anti-covid-vaxx smfh,2021-02-03 07:19:13+00:00,7
16,"giving this update in parliament, senior minister of state for health janil puthucheary said on monday that the four who suffered from anaphylaxis - the rapid onset of severe allergic reactions - are in their 20s and 30s, and have recovered from the episode. 

they developed multiple symptoms, such as rash, breathlessness, lip swelling, throat tightness and giddiness.

read on, when u click on the link in bio @todayonline 

#covid_19 #vaccine #singapore #sghealth #allergy #anaphylaxis",2021-02-03 07:14:08+00:00,Can't wait for your turn to get the vaccine than we will be protected from getting the virus,2021-02-03 07:19:53+00:00,17
20,"💉🦠about three weeks after singapore received its first shipment of covid-19 vaccines, prime minister lee hsien loong received his jab at the singapore general hospital today (jan 8). 

he was joined by associate professor kenneth mak, 53, director of medical services at the ministry of health, who also received a shot.

mr lee, 68, who rested for half an hour after the jab, said: “it’s painless, it’s effective and it’s important. i hope singaporeans will take it up as we roll it out.” he will get the second dose of the vaccine in three weeks.

read on, when you click on the link in bio @todayonline 

 #pmlee #primeminister #leehsienloong #covid_19 #vaccine #coronavirus #singapore #singaporegeneralhospital #pfizer @moh_singapore",2021-01-08 07:40:51+00:00,This is first time seeing nurse not wearing glove while giving shot 🤬🤬🤬,2021-01-08 13:25:50+00:00,12
21,"💉🦠about three weeks after singapore received its first shipment of covid-19 vaccines, prime minister lee hsien loong received his jab at the singapore general hospital today (jan 8). 

he was joined by associate professor kenneth mak, 53, director of medical services at the ministry of health, who also received a shot.

mr lee, 68, who rested for half an hour after the jab, said: “it’s painless, it’s effective and it’s important. i hope singaporeans will take it up as we roll it out.” he will get the second dose of the vaccine in three weeks.

read on, when you click on the link in bio @todayonline 

 #pmlee #primeminister #leehsienloong #covid_19 #vaccine #coronavirus #singapore #singaporegeneralhospital #pfizer @moh_singapore",2021-01-08 07:40:51+00:00,BYE THAT LOOKS SO PAIN,2021-01-08 15:16:05+00:00,5
22,"💉🦠about three weeks after singapore received its first shipment of covid-19 vaccines, prime minister lee hsien loong received his jab at the singapore general hospital today (jan 8). 

he was joined by associate professor kenneth mak, 53, director of medical services at the ministry of health, who also received a shot.

mr lee, 68, who rested for half an hour after the jab, said: “it’s painless, it’s effective and it’s important. i hope singaporeans will take it up as we roll it out.” he will get the second dose of the vaccine in three weeks.

read on, when you click on the link in bio @todayonline 

 #pmlee #primeminister #leehsienloong #covid_19 #vaccine #coronavirus #singapore #singaporegeneralhospital #pfizer @moh_singapore",2021-01-08 07:40:51+00:00,"It's so risky to have our leader take this jab. Our nation needs PM Lee, and I have so much anxiety watching this",2021-01-08 15:39:20+00:00,22
23,"💉🦠about three weeks after singapore received its first shipment of covid-19 vaccines, prime minister lee hsien loong received his jab at the singapore general hospital today (jan 8). 

he was joined by associate professor kenneth mak, 53, director of medical services at the ministry of health, who also received a shot.

mr lee, 68, who rested for half an hour after the jab, said: “it’s painless, it’s effective and it’s important. i hope singaporeans will take it up as we roll it out.” he will get the second dose of the vaccine in three weeks.

read on, when you click on the link in bio @todayonline 

 #pmlee #primeminister #leehsienloong #covid_19 #vaccine #coronavirus #singapore #singaporegeneralhospital #pfizer @moh_singapore",2021-01-08 07:40:51+00:00,Why she never wear gloves?,2021-01-09 00:14:06+00:00,5
24,"💉🦠about three weeks after singapore received its first shipment of covid-19 vaccines, prime minister lee hsien loong received his jab at the singapore general hospital today (jan 8). 

he was joined by associate professor kenneth mak, 53, director of medical services at the ministry of health, who also received a shot.

mr lee, 68, who rested for half an hour after the jab, said: “it’s painless, it’s effective and it’s important. i hope singaporeans will take it up as we roll it out.” he will get the second dose of the vaccine in three weeks.

read on, when you click on the link in bio @todayonline 

 #pmlee #primeminister #leehsienloong #covid_19 #vaccine #coronavirus #singapore #singaporegeneralhospital #pfizer @moh_singapore",2021-01-08 07:40:51+00:00,They should include those with chronic illness/disease who are most vulnerable to Covid-19 as a potentially fatal complication among the first wave.,2021-01-09 03:24:18+00:00,23
25,"💉🦠about three weeks after singapore received its first shipment of covid-19 vaccines, prime minister lee hsien loong received his jab at the singapore general hospital today (jan 8). 

he was joined by associate professor kenneth mak, 53, director of medical services at the ministry of health, who also received a shot.

mr lee, 68, who rested for half an hour after the jab, said: “it’s painless, it’s effective and it’s important. i hope singaporeans will take it up as we roll it out.” he will get the second dose of the vaccine in three weeks.

read on, when you click on the link in bio @todayonline 

 #pmlee #primeminister #leehsienloong #covid_19 #vaccine #coronavirus #singapore #singaporegeneralhospital #pfizer @moh_singapore",2021-01-08 07:40:51+00:00,Look like glucose to me,2021-01-09 10:07:39+00:00,5
26,"💉🦠about three weeks after singapore received its first shipment of covid-19 vaccines, prime minister lee hsien loong received his jab at the singapore general hospital today (jan 8). 

he was joined by associate professor kenneth mak, 53, director of medical services at the ministry of health, who also received a shot.

mr lee, 68, who rested for half an hour after the jab, said: “it’s painless, it’s effective and it’s important. i hope singaporeans will take it up as we roll it out.” he will get the second dose of the vaccine in three weeks.

read on, when you click on the link in bio @todayonline 

 #pmlee #primeminister #leehsienloong #covid_19 #vaccine #coronavirus #singapore #singaporegeneralhospital #pfizer @moh_singapore",2021-01-08 07:40:51+00:00,"Life very difficult hor , now PM Lee took jab worry risky , if PM Lee wait till many have the jab , people will said why don’t PM Lee jab first",2021-01-09 10:51:21+00:00,30
27,"💉🦠about three weeks after singapore received its first shipment of covid-19 vaccines, prime minister lee hsien loong received his jab at the singapore general hospital today (jan 8). 

he was joined by associate professor kenneth mak, 53, director of medical services at the ministry of health, who also received a shot.

mr lee, 68, who rested for half an hour after the jab, said: “it’s painless, it’s effective and it’s important. i hope singaporeans will take it up as we roll it out.” he will get the second dose of the vaccine in three weeks.

read on, when you click on the link in bio @todayonline 

 #pmlee #primeminister #leehsienloong #covid_19 #vaccine #coronavirus #singapore #singaporegeneralhospital #pfizer @moh_singapore",2021-01-08 07:40:51+00:00,"When she is piercing it in,it looks like the need le is either not that sharp or PM Lee skin is thick",2021-01-09 16:28:35+00:00,23
