,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
0,0,0,adysetan69,Circuit breaker better lah..,"['circuit', 'breaker', 'better', 'lah']",Circuit breaker better lah..
1,1,1,adysetan69,Circuit breaker better lah..,"['circuit', 'breaker', 'better', 'lah']",Circuit breaker better lah..
2,2,2,jjarryll._,"8 people inside the house, another 8 at corridor.🤯","['peopl', 'insid', 'hous', 'anoth']","8 people inside the house, another 8 at corridor.:exploding_head:"
3,3,3,z.ariffriff,Every house would have safety check in ah?,"['everi', 'hous', 'would', 'safeti', 'check', 'ah']",Every house would have safety check in ah?
4,4,4,jong_tp,Pls fine more!,"['pl', 'fine']",Pls fine more!
5,5,5,diyaanaaaaah,Bagus.,['bagu'],Bagus.
6,6,6,tunasing_j_lau,Imported cases 2 digits. Local cases 1 digit. Priority on the imported cases first. Locals got it from them.,"['import', 'case', 'digit', 'local', 'case', 'digit', 'prioriti', 'import', 'case', 'first', 'local', 'got']",Imported cases 2 digits. Local cases 1 digit. Priority on the imported cases first. Locals got it from them.
7,7,7,theclimbingpuff,Ahh shit here we go again,"['ahh', 'shit', 'go']",Ahh shit here we go again
8,8,8,rahila9532,❤️,[],:red_heart:
9,9,9,limcheng1819,I think it is necessary and the right thing to do as we are the majority race. We should be responsible for the safety of the community.,"['think', 'necessari', 'right', 'thing', 'major', 'race', 'respons', 'safeti', 'commun']",I think it is necessary and the right thing to do as we are the majority race. We should be responsible for the safety of the community.
10,10,10,coachryanchua,😞,[],:disappointed_face:
11,11,11,n3ectar,Gong hei lei... gong hei lei...🧧,"['gong', 'hei', 'lei', 'gong', 'hei', 'lei']",Gong hei lei... gong hei lei...:red_envelope:
12,12,12,we_the_ding_dong,"Soon, hari raya via Google Meet","['soon', 'hari', 'raya', 'via', 'googl', 'meet']","Soon, hari raya via Google Meet"
13,13,13,tiantiannie,This is for the best la honestly. Don't want to be one of those countries with a surge,"['best', 'la', 'honestli', 'want', 'one', 'countri', 'surg']",This is for the best la honestly. Don't want to be one of those countries with a surge
14,14,14,baby._elaine,my angbao tho. they best just paynow me HAHAHAH,"['angbao', 'tho', 'best', 'paynow', 'hahahah']",my angbao tho. they best just paynow me HAHAHAH
15,15,15,robin_banks_111,"For safety of ppl, I say yes","['safeti', 'ppl', 'say', 'ye']","For safety of ppl, I say yes"
16,16,16,octifi_lifestyle,Phase 2?,['phase'],Phase 2?
17,17,17,petertlk63,maybe should limit to 8 imports per day 🤦‍♂️🤦‍♂️💪🤦‍♂️,"['mayb', 'limit', 'import', 'per', 'day']",maybe should limit to 8 imports per day :man_facepalming::man_facepalming::flexed_biceps::man_facepalming:
18,18,18,clifford.ng.338,👏,[],:clapping_hands:
19,19,19,foodbenda,Problem is how to catch if everyone is doing it? 🤔,"['problem', 'catch', 'everyon']",Problem is how to catch if everyone is doing it? :thinking_face:
20,20,20,jerald.chin,My primary source of income .........,"['primari', 'sourc', 'incom']",My primary source of income .........
21,21,21,lavendercloudx,Just cancel chinese new year please 😒,"['cancel', 'chines', 'new', 'year', 'pleas']",Just cancel chinese new year please :unamused_face:
22,22,22,ryancryy,@joannaohw 🎉🎉🎉🎉🎉🎉less relatives HAHAHAHAH,"['less', 'rel', 'hahahahah']",@joannaohw :party_popper::party_popper::party_popper::party_popper::party_popper::party_popper:less relatives HAHAHAHAH
23,23,23,ryotanada,I remember the anxiety of the world in the early days of the pandemic during CNY times,"['rememb', 'anxieti', 'world', 'earli', 'day', 'pandem', 'cni', 'time']",I remember the anxiety of the world in the early days of the pandemic during CNY times
24,24,0,that_guy_kelvin,ORD lo,"['ord', 'lo']",ORD lo
25,25,1,graceravii,Indians are very immune to such absurd “rules”. All the restrictions we face during Thaipusam.,"['indian', 'immun', 'absurd', 'rule', 'restrict', 'face', 'thaipusam']",Indians are very immune to such absurd “rules”. All the restrictions we face during Thaipusam.
26,26,2,vantanjy,LELONG LELONG SELLING HOMEMADE PRE RECORDED AUSPICIOUS PHRASES MP3 AT UNBEATABLE PRICE. PM PLS. 🔊🔊🔊,"['lelong', 'lelong', 'sell', 'homemad', 'pre', 'record', 'auspici', 'phrase', 'unbeat', 'price', 'pm', 'pl']",LELONG LELONG SELLING HOMEMADE PRE RECORDED AUSPICIOUS PHRASES MP3 AT UNBEATABLE PRICE. PM PLS. :speaker_high_volume::speaker_high_volume::speaker_high_volume:
27,27,3,andrrssn,*shouts in lowercase*,"['shout', 'lowercas']",*shouts in lowercase*
28,28,4,dinokang,"𝗡𝗼𝘄 𝗴𝗼𝘁 𝗲-𝗮𝗻𝗴𝗯𝗮𝗼, 𝗻𝗲𝘅𝘁 𝘁𝗶𝗺𝗲 𝘀𝘂𝗿𝗲 𝗴𝗼𝘁 𝗲-𝘆𝘂𝘀𝗵𝗲𝗻𝗴. 𝗲-𝗮𝗻𝗴𝗯𝗮𝗼 𝗶𝘀 𝘀𝘁𝗶𝗹𝗹 𝗺𝗼𝗻𝗲𝘆; 𝗲-𝘆𝘂𝘀𝗵𝗲𝗻𝗴 𝘄𝗼𝗻’𝘁 𝗵𝗮𝘃𝗲 𝗰𝗮𝗹𝗼𝗿𝗶𝗲𝘀 🙆",[],"𝗡𝗼𝘄 𝗴𝗼𝘁 𝗲-𝗮𝗻𝗴𝗯𝗮𝗼, 𝗻𝗲𝘅𝘁 𝘁𝗶𝗺𝗲 𝘀𝘂𝗿𝗲 𝗴𝗼𝘁 𝗲-𝘆𝘂𝘀𝗵𝗲𝗻𝗴. 𝗲-𝗮𝗻𝗴𝗯𝗮𝗼 𝗶𝘀 𝘀𝘁𝗶𝗹𝗹 𝗺𝗼𝗻𝗲𝘆; 𝗲-𝘆𝘂𝘀𝗵𝗲𝗻𝗴 𝘄𝗼𝗻’𝘁 𝗵𝗮𝘃𝗲 𝗰𝗮𝗹𝗼𝗿𝗶𝗲𝘀 :person_gesturing_OK:"
29,29,5,muzhafarkamsani,no need 1 meter ? 🤔,"['need', 'meter']",no need 1 meter ? :thinking_face:
30,30,6,ianteozr,So can shout inauspicious phrase?,"['shout', 'inauspici', 'phrase']",So can shout inauspicious phrase?
31,31,7,kkaiqin,Abit lame ah we still take off our masks to eat the yusheng smh,"['abit', 'lame', 'ah', 'still', 'take', 'mask', 'eat', 'yusheng', 'smh']",Abit lame ah we still take off our masks to eat the yusheng smh
32,32,8,psycicurry,@ianpayamel @vivroooom @et8hn,[],@ianpayamel @vivroooom @et8hn
33,33,9,_y.wnqng_,"Just print out signs la, y’all got one hand to toss another just raise a sign lor with all the auspicious words","['print', 'sign', 'la', 'got', 'one', 'hand', 'toss', 'anoth', 'rais', 'sign', 'lor', 'auspici', 'word']","Just print out signs la, y’all got one hand to toss another just raise a sign lor with all the auspicious words"
34,34,10,sabbwie,HAHAHAHAHAHA @ven.etiaa,['hahahahahaha'],HAHAHAHAHAHA @ven.etiaa
