,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
0,The Safe Haven Network,2254109511001278861,2020-02-28 23:00:17,thesafehavennetwork,"Photo by The Safe Haven Network on February 28, 2020. May be an image of text that says 'THE SAFE HAVEN NETWORK PRESENTS black history month facts Domestic violence is the number one cause of death for Black women between the ages of 15 and 35. Denton County Friends of the Family'.","In honor of Black History Month and Teen Dating Violence Awareness month, we believe it is necessary to share this astounding statistic. It’s up to each one of us to not only bring awarness of the injustices facing the Black community but also to promote change. #thesafehavennetwork #blackhistorymonth #teendatingviolenceawarenessmonth #dvawareness #nonprofit #chicago #shn",,16,0
1,Jeri Chua,2418041312816106758,2020-10-12 03:23:28,jerifatburd,Photo by Jeri Chua in Shangri-La's Rasa Sentosa Resort & Spa. May be an image of text that says 'COVID-19 Test Results 11 OCT 2020 SARs-CoV-2 RNA Performing Facility Innovative Accession Number 20-10181015 Report Not Detected'.,"Stir Crazy Journals: Day 12
Of course I expected a negative test result (one test we’d all be happy to fail!) and impressed with the speed and efficiency of the results in the @moh_singapore HealthHub app. Unfortunately this doesn’t mean I get an early release .. 2.5 days to go! #SHN",Shangri-La's Rasa Sentosa Resort & Spa,110,2
2,Valerie Ruth,2475906327455805401,2020-12-30 23:30:56,baleleng83,"Photo by Valerie Ruth on December 30, 2020. May be an image of night, buildings and skyscraper.","Day 2 - Is this Gotham City? 
#quarantine #quarantinechronicles #pandemicfeels #shn 
#citylights #skyline  #turnupthelights #singapore #throughthewindow
#samsungphotography",,14,0
3,Valerie Ruth,2475221077394353414,2020-12-30 00:49:27,baleleng83,"Photo by Valerie Ruth on December 29, 2020. May be an image of 3 people.","Day 1 - Make it your personal space.
#quarantine #quarantinechronicles #pandemicfeels #shn 
#family
#divoom #gizmos #pink",,24,5
4,Second Hand News Radio,2475826826310443768,2020-12-30 20:52:58,shnradio,"Photo shared by Second Hand News Radio on December 30, 2020 tagging @ellie1williams, @claire.silverman, @wdce901, and @quadiomedia.","SHN INTERVIEW: ELLIE WILLIAMS

For the last SHN interview in 2020, our host Claire (@claire.silverman) sat down with singer/songwriter Ellie Williams (@ellie1williams) to talk about her music and how she balances college and her career. Ellie was the first artist featured on SHN for a Quadio Spotlight, so this is a special one to close out the year with.",,29,1
5,my,2475743268333976751,2020-12-30 18:06:57,mingyong10,"Photo shared by my on December 30, 2020 tagging @joasarah. May be an image of buildings, skyscraper and sky.",Home! #SHN #workfromhotel #eatlocal,Singapore,27,17
6,Hossan Leong,2475640831770253576,2020-12-30 14:50:23,hossanleong,,"Yay. Received some Shure products to use for my Vlogs and zoom sessions and SHN songs so thank you @seehearlive for these items! 

Had a great zoom trivia session with the SHN peeps at the Shangri-La and Hotel Jens 

I’m tired. Must be the uncertainty of 2021. 

But what to do? It’s gonna come anyway. Haha 

#DoubleConfirm #SHN #SeeHossanNow",,54,0
7,Ei 💃,2475627152692208205,2020-12-30 14:16:15,ei_h_p_min,"Photo by Ei 💃 in PARKROYAL on Kitchener Road, Singapore. May be an image of buildings, sky, night and skyscraper.",မြို့ပြညရဲ့လရောင် #SHN,"PARKROYAL on Kitchener Road, Singapore",22,2
8,assisinjet,2475589228441303532,2020-12-30 13:00:54,assisinjet,"Photo by assisinjet on December 30, 2020. May be an image of text that says 'Desejo a você um ano repleto de paz, saúde, amor e prosperidade. Feliz Ano Novo! ASSISINJET PECASESERVICOS AUTO CENTER'.","Feliz Ano Novo! Que o próximo ano distribua muita paz, amor e felicidade a todos nós!
⠀
#assisinjet #boschservice #trocadeoleo #alinhameto #balanceamento #suspencao #freio #injecaoeletronica #taguatinga #centroautomotivo #autocenter #oficinamecanica #carro #mecanica #revisaoautomotiva #boschCarService #Brasilia #asasul #asanorte #df #lagosul #lagonorte #sudoeste #noroeste #cruzeiro #octogonal #aguasclaras #shn
📍 SHN AE. 189 LOJA 01 - SETOR DE OFICINAS NORTE TAGUATINGA-DF
☎ 61 3354-5151 - WhatsApp: 98549-0098",,14,0
9,Tomas Fransson,2475599877770744790,2020-12-30 13:22:04,electricfake,Photo by Tomas Fransson in InterContinental Singapore Robertson Quay. May be an image of bedroom.,New life starts here #Singapore #quarantine #shn #newlife #tropicallife #newadventures,InterContinental Singapore Robertson Quay,133,32
10,Jay ✨,2475564742430157655,2020-12-30 12:12:15,jay.mezigue.performance,"Photo by Jay ✨ on December 30, 2020. May be an image of outerwear and text that says 'MEZIGUE PERFORMANCE RESPIRATION Www.mezigueperformance.com'.","Apprendre à gérer sa respiration pour se calmer, s'activer, se détendre etc....
Ces techniques sont vue ensemble ✨
Www.mezigueperformance.com
...
.. 
#preparationmentale
..preparationmentale #preparationphysique #coachingmental #coaching #coachdevie #positive #sport #athlètes #ZEN #preparation #coachdeviepositive #mezigueperformance #performance #sportifsdehautniveau #shn #clubdesport #club #hautniveau #federation #comité#meditation #dialogue #respiration #connaissance #bonheur #sois #auto-hypnose #autoconditionnement #visualisationmentale",,4,0
