,username,comments,timestamp,postUrl,pubDate,description
0,terence.sim.kj,😄👍,2020-12-01T03:56:40.000Z,https://www.instagram.com/p/CIPUZCdp2Hk/,2020-12-01T03:03:25.000Z,"You can sit back and relax. It’s not like being trapped on long-haul flights because you’re still moving around.

But you might want to watch what you’re eating and be mindful of growing old – obesity and ageing are going to put you at risk of DVT.

Link in bio for the details. #WFH #workfromhome #DVT #deepveinthrombosis #obesity #ageing #health (Photo: Freepik)"
1,heizenberg_el_chino,👍👍,2020-12-01T04:52:41.000Z,https://www.instagram.com/p/CIPUZCdp2Hk/,2020-12-01T03:03:25.000Z,"You can sit back and relax. It’s not like being trapped on long-haul flights because you’re still moving around.

But you might want to watch what you’re eating and be mindful of growing old – obesity and ageing are going to put you at risk of DVT.

Link in bio for the details. #WFH #workfromhome #DVT #deepveinthrombosis #obesity #ageing #health (Photo: Freepik)"
2,jacktango3,Plan yr new routines including exercises. 🥂,2020-12-01T06:58:22.000Z,https://www.instagram.com/p/CIPUZCdp2Hk/,2020-12-01T03:03:25.000Z,"You can sit back and relax. It’s not like being trapped on long-haul flights because you’re still moving around.

But you might want to watch what you’re eating and be mindful of growing old – obesity and ageing are going to put you at risk of DVT.

Link in bio for the details. #WFH #workfromhome #DVT #deepveinthrombosis #obesity #ageing #health (Photo: Freepik)"
3,esthertbl,What you eat and exercise work together...,2020-12-01T07:46:26.000Z,https://www.instagram.com/p/CIPUZCdp2Hk/,2020-12-01T03:03:25.000Z,"You can sit back and relax. It’s not like being trapped on long-haul flights because you’re still moving around.

But you might want to watch what you’re eating and be mindful of growing old – obesity and ageing are going to put you at risk of DVT.

Link in bio for the details. #WFH #workfromhome #DVT #deepveinthrombosis #obesity #ageing #health (Photo: Freepik)"
4,conexus_studio,"As the article shares, risk of developing DVT from sitting at your desk 9-5 is likely to be very small, but it’s linked to poor productivity and health issues. Wherever you’re working, make it a space that promotes movement and you’ll benefit from improved concentration and productivity! 👩‍💻 👨‍💻",2020-12-01T09:47:59.000Z,https://www.instagram.com/p/CIPUZCdp2Hk/,2020-12-01T03:03:25.000Z,"You can sit back and relax. It’s not like being trapped on long-haul flights because you’re still moving around.

But you might want to watch what you’re eating and be mindful of growing old – obesity and ageing are going to put you at risk of DVT.

Link in bio for the details. #WFH #workfromhome #DVT #deepveinthrombosis #obesity #ageing #health (Photo: Freepik)"
0,dieter.id,"My school ah, lasts from 6 am to 4:30pm ad then I have the lesson for 3 hours. Not tired........ok why am I telling my schedule?",2020-11-04T01:19:32.000Z,https://www.instagram.com/p/CHJmWT8pk8M/,2020-11-04T01:13:29.000Z,"It’s not just back pain or eye strain many of us have to deal with after back-to-back online meetings. You also become stressed out and anxious – and that lousy WiFi connection isn’t helping. 

Find out more – and the little things you can do to help yourself – by clicking on the link in bio. #Zoom #onlinemeeting #videocall #videoconference #webinar #online #health #fatigue #work #workfromhome (Photo: Freepik/tirachardz)"
1,jon.keat,Totally spot on!!!,2020-11-04T01:20:48.000Z,https://www.instagram.com/p/CHJmWT8pk8M/,2020-11-04T01:13:29.000Z,"It’s not just back pain or eye strain many of us have to deal with after back-to-back online meetings. You also become stressed out and anxious – and that lousy WiFi connection isn’t helping. 

Find out more – and the little things you can do to help yourself – by clicking on the link in bio. #Zoom #onlinemeeting #videocall #videoconference #webinar #online #health #fatigue #work #workfromhome (Photo: Freepik/tirachardz)"
2,diyuanali,@ixxatii_ exactly like me 🤣🤣,2020-11-04T02:31:18.000Z,https://www.instagram.com/p/CHJmWT8pk8M/,2020-11-04T01:13:29.000Z,"It’s not just back pain or eye strain many of us have to deal with after back-to-back online meetings. You also become stressed out and anxious – and that lousy WiFi connection isn’t helping. 

Find out more – and the little things you can do to help yourself – by clicking on the link in bio. #Zoom #onlinemeeting #videocall #videoconference #webinar #online #health #fatigue #work #workfromhome (Photo: Freepik/tirachardz)"
3,loonchia,Is “zoom meeting” becoming a representative term to use? Zoom has been so successful then,2020-11-04T02:44:09.000Z,https://www.instagram.com/p/CHJmWT8pk8M/,2020-11-04T01:13:29.000Z,"It’s not just back pain or eye strain many of us have to deal with after back-to-back online meetings. You also become stressed out and anxious – and that lousy WiFi connection isn’t helping. 

Find out more – and the little things you can do to help yourself – by clicking on the link in bio. #Zoom #onlinemeeting #videocall #videoconference #webinar #online #health #fatigue #work #workfromhome (Photo: Freepik/tirachardz)"
4,skyhighrocket123,yes,2020-11-04T05:10:31.000Z,https://www.instagram.com/p/CHJmWT8pk8M/,2020-11-04T01:13:29.000Z,"It’s not just back pain or eye strain many of us have to deal with after back-to-back online meetings. You also become stressed out and anxious – and that lousy WiFi connection isn’t helping. 

Find out more – and the little things you can do to help yourself – by clicking on the link in bio. #Zoom #onlinemeeting #videocall #videoconference #webinar #online #health #fatigue #work #workfromhome (Photo: Freepik/tirachardz)"
5,ariffzkfly,Plus you pay the extra electricity bills,2020-11-04T09:44:30.000Z,https://www.instagram.com/p/CHJmWT8pk8M/,2020-11-04T01:13:29.000Z,"It’s not just back pain or eye strain many of us have to deal with after back-to-back online meetings. You also become stressed out and anxious – and that lousy WiFi connection isn’t helping. 

Find out more – and the little things you can do to help yourself – by clicking on the link in bio. #Zoom #onlinemeeting #videocall #videoconference #webinar #online #health #fatigue #work #workfromhome (Photo: Freepik/tirachardz)"
6,ipreet_tyagi,Yes,2020-11-04T10:16:53.000Z,https://www.instagram.com/p/CHJmWT8pk8M/,2020-11-04T01:13:29.000Z,"It’s not just back pain or eye strain many of us have to deal with after back-to-back online meetings. You also become stressed out and anxious – and that lousy WiFi connection isn’t helping. 

Find out more – and the little things you can do to help yourself – by clicking on the link in bio. #Zoom #onlinemeeting #videocall #videoconference #webinar #online #health #fatigue #work #workfromhome (Photo: Freepik/tirachardz)"
7,agenthena,I feel like my eyes are overworked HAHAHA,2020-11-05T08:23:59.000Z,https://www.instagram.com/p/CHJmWT8pk8M/,2020-11-04T01:13:29.000Z,"It’s not just back pain or eye strain many of us have to deal with after back-to-back online meetings. You also become stressed out and anxious – and that lousy WiFi connection isn’t helping. 

Find out more – and the little things you can do to help yourself – by clicking on the link in bio. #Zoom #onlinemeeting #videocall #videoconference #webinar #online #health #fatigue #work #workfromhome (Photo: Freepik/tirachardz)"
0,isaackho_03,"No need work from home, work outside",2020-08-05T04:30:10.000Z,https://www.instagram.com/p/CDfPEPcpeef/,2020-08-05T00:47:46.000Z,"Using a low coffee table as your desk, typing on the laptop in bed, sharing your child’s crowded study desk to keep an eye on his home-based learning while you reply emails … those are some of the positions we find ourselves in this new WFH era.

And this is causing a lot of problems. Doctors shared they’ve been seeing a rise in patients with WFH-related injuries – whether it’s backaches or sprains – every month. Here’s how to tweak your home office setup to make you more comfortable.

LAPTOP: The best way to set up your laptop is on a table – and not balanced on your lap. Raise it by 5 to 10 inches (13cm to 25cm) with paper reams or laptop raisers to achieve the proper height.

MONITOR: If you’re using an external monitor or have two freestanding monitors at home, make sure they are of the same size and height. Place the monitors directly in front of you to avoid vision and neck problems – at least an arm’s length away (about 45cm to 70cm) at eye level.

KEYBOARD & MOUSE: Use a separate keyboard and mouse when using a laptop – preferably a low-profile keyboard not more than 3cm high and with an incline angle of less than 15 degrees to maintain your wrists’ neutral position. When typing, the elbows should be maintained at a 90-degree-to-120-degree bend with the forearms resting on the table or armrest. Your mouse should fit your palm and kept close to the keyboard.

CHAIR: If you don’t want to splurge on an ergonomic chair, get a cushion or lumbar support for your regular chair. But whatever chair you use, it should be stable and adjustable so that your knees and hips are kept at 90 degrees. Use one with armrests, a backrest, and enough height for your feet to lay flat on the floor or be supported by a footrest to reduce pressure on the thighs.

Read more on CNA Lifestyle, link in bio. #worktips #work #backache #WFH #homeoffice #worklifebalance (Photo: Freepik)"
