,username,comments,timestamp,postUrl,pubDate,description
0,alamak_tan,"Sure they can, they've said for so many years they don't need Singaporeans. We have to believe them. 🥂",2021-01-16T07:13:13.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
1,sand_artist_lawrence_koh,Praying for everyone to stay strong and stay safe. Never give up! Stay gold!,2021-01-16T06:19:52.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
2,emondarider23,Already closed down most resto in JB..even Puteri Pan Pacific Hotel already call it quits,2021-01-16T07:18:54.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
3,lennonwong,Most of them cant,2021-01-16T07:00:16.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
4,ten.nnz,answer is no,2021-01-16T16:14:14.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
5,christoh_88,Yes we can storm this 👏👏,2021-01-16T06:20:52.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
6,seemralicious_seemi,I miss you johor,2021-01-16T06:27:53.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
7,denny60,Let’s us wish them well so that post pandemic we can continue to live and prosper together.,2021-01-16T09:33:09.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
8,cs_yj_yj,Just wishing that all this pandemic can be over soon..,2021-01-16T06:49:52.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
9,mfm.x,Focus on ur own country la dumb article,2021-01-17T00:23:33.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
10,rajankelly,WAIT LONG LING SURE ALL CLOSE SHOP,2021-01-16T10:30:25.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
11,myonefaith,80% can’t survive ! 10% still hanging on and 10 joining the can’t survive soon !,2021-01-17T01:32:26.000Z,https://www.instagram.com/p/CKGHV49Joo5/,2021-01-16T06:19:01.000Z,"These are challenging times to be in the fine dining business and those in the Malaysian state are often reliant on the incoming Singapore dollar to be profitable.

But some leading restaurants remain undaunted and upbeat. 

Click on the link in bio for the story. #Johor #Malaysia #Singapore #finedining #restaurant #food (Photo: Sushi Shin)"
0,adysetan69,And the benefits of opening is?? New cluster??,2020-12-09T00:07:42.000Z,https://www.instagram.com/p/CIjmDbJpacc/,2020-12-09T00:02:33.000Z,"These are: Bar Kiharu at Orchard Plaza, Bell Bar at Cuppage Plaza and Skinny’s Lounge at Boat Quay. 

Link in bio for details. #Singapore #bar #pub #nightlife (Photo: Facebook/Bar Kiharu)"
1,fuadseg,"If SG has recovered their economy from covid19, but Indonesia has not yet, would SG really recover their economy ? that is the big question !",2020-12-09T00:13:23.000Z,https://www.instagram.com/p/CIjmDbJpacc/,2020-12-09T00:02:33.000Z,"These are: Bar Kiharu at Orchard Plaza, Bell Bar at Cuppage Plaza and Skinny’s Lounge at Boat Quay. 

Link in bio for details. #Singapore #bar #pub #nightlife (Photo: Facebook/Bar Kiharu)"
2,jaisequel,inb4 no drunk no go home,2020-12-09T00:45:06.000Z,https://www.instagram.com/p/CIjmDbJpacc/,2020-12-09T00:02:33.000Z,"These are: Bar Kiharu at Orchard Plaza, Bell Bar at Cuppage Plaza and Skinny’s Lounge at Boat Quay. 

Link in bio for details. #Singapore #bar #pub #nightlife (Photo: Facebook/Bar Kiharu)"
3,psalm_23.d,Why ? Can’t wait to be .....,2020-12-09T01:31:08.000Z,https://www.instagram.com/p/CIjmDbJpacc/,2020-12-09T00:02:33.000Z,"These are: Bar Kiharu at Orchard Plaza, Bell Bar at Cuppage Plaza and Skinny’s Lounge at Boat Quay. 

Link in bio for details. #Singapore #bar #pub #nightlife (Photo: Facebook/Bar Kiharu)"
4,_d_t_15_,@crazy_gangsta04 @crazy_gangsterz36 you want go?,2020-12-09T02:32:55.000Z,https://www.instagram.com/p/CIjmDbJpacc/,2020-12-09T00:02:33.000Z,"These are: Bar Kiharu at Orchard Plaza, Bell Bar at Cuppage Plaza and Skinny’s Lounge at Boat Quay. 

Link in bio for details. #Singapore #bar #pub #nightlife (Photo: Facebook/Bar Kiharu)"
5,neiljaa,Three Bars And Pubs declared testing centres in two weeks?,2020-12-09T04:29:09.000Z,https://www.instagram.com/p/CIjmDbJpacc/,2020-12-09T00:02:33.000Z,"These are: Bar Kiharu at Orchard Plaza, Bell Bar at Cuppage Plaza and Skinny’s Lounge at Boat Quay. 

Link in bio for details. #Singapore #bar #pub #nightlife (Photo: Facebook/Bar Kiharu)"
6,kyh87,that photo is the definition of HARAM - booze and 🐖 lol.,2020-12-09T04:38:03.000Z,https://www.instagram.com/p/CIjmDbJpacc/,2020-12-09T00:02:33.000Z,"These are: Bar Kiharu at Orchard Plaza, Bell Bar at Cuppage Plaza and Skinny’s Lounge at Boat Quay. 

Link in bio for details. #Singapore #bar #pub #nightlife (Photo: Facebook/Bar Kiharu)"
