,username,comments,timestamp,postUrl,pubDate,description
0,karen_chan2015,@pizzahut_sg You are doing PR here to the migrant workers but pls remember our Sg workers too. It will not be too much to offer pizza discounts for delivery becos  many have to stay home on a holiday.,2020-05-01T04:04:47.000Z,https://www.instagram.com/p/B_n_-8Tp6fY/,2020-05-01T00:23:33.000Z,"It’s Labour Day today and as a small gesture of thanks to migrant workers, Pizza Hut Singapore said it’s donating 3,000 pizzas to those who’ve been affected by the COVID-19 pandemic. “Through this initiative, we would like to express our heartfelt appreciation to the migrant workers for their hard work and contribution to Singapore: THANK You, Stay Safe & Stay Strong!” the company said in a statement.

Pizza Hut has also recently partnered with taxi company ComfortDelGro as a new delivery option. This is to help provide additional income to the drivers during this challenging time. #pizza #PizzaHut #Singapore #migrantworkers #LabourDay #May1 #thankyou (Photo: Instagram/pizzahut_sg)"
1,grace_t._gozali,👏👏👍👍,2020-05-01T04:57:23.000Z,https://www.instagram.com/p/B_n_-8Tp6fY/,2020-05-01T00:23:33.000Z,"It’s Labour Day today and as a small gesture of thanks to migrant workers, Pizza Hut Singapore said it’s donating 3,000 pizzas to those who’ve been affected by the COVID-19 pandemic. “Through this initiative, we would like to express our heartfelt appreciation to the migrant workers for their hard work and contribution to Singapore: THANK You, Stay Safe & Stay Strong!” the company said in a statement.

Pizza Hut has also recently partnered with taxi company ComfortDelGro as a new delivery option. This is to help provide additional income to the drivers during this challenging time. #pizza #PizzaHut #Singapore #migrantworkers #LabourDay #May1 #thankyou (Photo: Instagram/pizzahut_sg)"
2,jhos76257,Helper not included 😒,2020-05-01T05:30:37.000Z,https://www.instagram.com/p/B_n_-8Tp6fY/,2020-05-01T00:23:33.000Z,"It’s Labour Day today and as a small gesture of thanks to migrant workers, Pizza Hut Singapore said it’s donating 3,000 pizzas to those who’ve been affected by the COVID-19 pandemic. “Through this initiative, we would like to express our heartfelt appreciation to the migrant workers for their hard work and contribution to Singapore: THANK You, Stay Safe & Stay Strong!” the company said in a statement.

Pizza Hut has also recently partnered with taxi company ComfortDelGro as a new delivery option. This is to help provide additional income to the drivers during this challenging time. #pizza #PizzaHut #Singapore #migrantworkers #LabourDay #May1 #thankyou (Photo: Instagram/pizzahut_sg)"
3,sudhathiagarajan,👍👍👍👏👏👏👏👏👏,2020-05-01T05:35:06.000Z,https://www.instagram.com/p/B_n_-8Tp6fY/,2020-05-01T00:23:33.000Z,"It’s Labour Day today and as a small gesture of thanks to migrant workers, Pizza Hut Singapore said it’s donating 3,000 pizzas to those who’ve been affected by the COVID-19 pandemic. “Through this initiative, we would like to express our heartfelt appreciation to the migrant workers for their hard work and contribution to Singapore: THANK You, Stay Safe & Stay Strong!” the company said in a statement.

Pizza Hut has also recently partnered with taxi company ComfortDelGro as a new delivery option. This is to help provide additional income to the drivers during this challenging time. #pizza #PizzaHut #Singapore #migrantworkers #LabourDay #May1 #thankyou (Photo: Instagram/pizzahut_sg)"
4,marchfidel01,How to get this?,2020-05-01T05:42:10.000Z,https://www.instagram.com/p/B_n_-8Tp6fY/,2020-05-01T00:23:33.000Z,"It’s Labour Day today and as a small gesture of thanks to migrant workers, Pizza Hut Singapore said it’s donating 3,000 pizzas to those who’ve been affected by the COVID-19 pandemic. “Through this initiative, we would like to express our heartfelt appreciation to the migrant workers for their hard work and contribution to Singapore: THANK You, Stay Safe & Stay Strong!” the company said in a statement.

Pizza Hut has also recently partnered with taxi company ComfortDelGro as a new delivery option. This is to help provide additional income to the drivers during this challenging time. #pizza #PizzaHut #Singapore #migrantworkers #LabourDay #May1 #thankyou (Photo: Instagram/pizzahut_sg)"
5,margaretchin80,🙌,2020-05-01T05:50:43.000Z,https://www.instagram.com/p/B_n_-8Tp6fY/,2020-05-01T00:23:33.000Z,"It’s Labour Day today and as a small gesture of thanks to migrant workers, Pizza Hut Singapore said it’s donating 3,000 pizzas to those who’ve been affected by the COVID-19 pandemic. “Through this initiative, we would like to express our heartfelt appreciation to the migrant workers for their hard work and contribution to Singapore: THANK You, Stay Safe & Stay Strong!” the company said in a statement.

Pizza Hut has also recently partnered with taxi company ComfortDelGro as a new delivery option. This is to help provide additional income to the drivers during this challenging time. #pizza #PizzaHut #Singapore #migrantworkers #LabourDay #May1 #thankyou (Photo: Instagram/pizzahut_sg)"
6,helinghuang,❤️,2020-05-01T05:51:43.000Z,https://www.instagram.com/p/B_n_-8Tp6fY/,2020-05-01T00:23:33.000Z,"It’s Labour Day today and as a small gesture of thanks to migrant workers, Pizza Hut Singapore said it’s donating 3,000 pizzas to those who’ve been affected by the COVID-19 pandemic. “Through this initiative, we would like to express our heartfelt appreciation to the migrant workers for their hard work and contribution to Singapore: THANK You, Stay Safe & Stay Strong!” the company said in a statement.

Pizza Hut has also recently partnered with taxi company ComfortDelGro as a new delivery option. This is to help provide additional income to the drivers during this challenging time. #pizza #PizzaHut #Singapore #migrantworkers #LabourDay #May1 #thankyou (Photo: Instagram/pizzahut_sg)"
7,emil.stagram,👏🏻👏🏻👏🏻,2020-05-01T06:04:36.000Z,https://www.instagram.com/p/B_n_-8Tp6fY/,2020-05-01T00:23:33.000Z,"It’s Labour Day today and as a small gesture of thanks to migrant workers, Pizza Hut Singapore said it’s donating 3,000 pizzas to those who’ve been affected by the COVID-19 pandemic. “Through this initiative, we would like to express our heartfelt appreciation to the migrant workers for their hard work and contribution to Singapore: THANK You, Stay Safe & Stay Strong!” the company said in a statement.

Pizza Hut has also recently partnered with taxi company ComfortDelGro as a new delivery option. This is to help provide additional income to the drivers during this challenging time. #pizza #PizzaHut #Singapore #migrantworkers #LabourDay #May1 #thankyou (Photo: Instagram/pizzahut_sg)"
8,yuliathio,👏🏻👏🏻👏🏻👏🏻👏🏻,2020-05-01T06:14:00.000Z,https://www.instagram.com/p/B_n_-8Tp6fY/,2020-05-01T00:23:33.000Z,"It’s Labour Day today and as a small gesture of thanks to migrant workers, Pizza Hut Singapore said it’s donating 3,000 pizzas to those who’ve been affected by the COVID-19 pandemic. “Through this initiative, we would like to express our heartfelt appreciation to the migrant workers for their hard work and contribution to Singapore: THANK You, Stay Safe & Stay Strong!” the company said in a statement.

Pizza Hut has also recently partnered with taxi company ComfortDelGro as a new delivery option. This is to help provide additional income to the drivers during this challenging time. #pizza #PizzaHut #Singapore #migrantworkers #LabourDay #May1 #thankyou (Photo: Instagram/pizzahut_sg)"
9,vinette3111,👏👍,2020-05-01T07:03:10.000Z,https://www.instagram.com/p/B_n_-8Tp6fY/,2020-05-01T00:23:33.000Z,"It’s Labour Day today and as a small gesture of thanks to migrant workers, Pizza Hut Singapore said it’s donating 3,000 pizzas to those who’ve been affected by the COVID-19 pandemic. “Through this initiative, we would like to express our heartfelt appreciation to the migrant workers for their hard work and contribution to Singapore: THANK You, Stay Safe & Stay Strong!” the company said in a statement.

Pizza Hut has also recently partnered with taxi company ComfortDelGro as a new delivery option. This is to help provide additional income to the drivers during this challenging time. #pizza #PizzaHut #Singapore #migrantworkers #LabourDay #May1 #thankyou (Photo: Instagram/pizzahut_sg)"
