,username,comments,timestamp,postUrl,pubDate,description
0,suu_buzz_bee_,Hoping for happy ending,2021-02-26T00:27:52.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
1,shadowtrooper262,America crazy. Take two dogs that don't belong to them lol,2021-02-26T05:10:49.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
2,kitakata55,That’s exactly what the dognapper waiting for $500000usd!,2021-02-26T01:41:48.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
3,singaporeuntold,Shouldn’t she offer the money as reward for the capture of shooter?,2021-02-26T00:36:47.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
4,mdtaufiq.als,Call john wick,2021-02-26T16:55:21.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
5,theoneandonlyvg,Welcome to crazy America,2021-02-26T14:59:48.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
6,brightshadow964,Tf,2021-02-26T00:32:40.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
7,aliahuhh,Wtf,2021-02-26T02:16:14.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
8,hastutiong,😢hope she get them back asap 🙏🙏,2021-02-26T01:24:38.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
9,try121a,reason not to own any pets.,2021-02-26T00:31:31.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
10,william.lwj,omfg,2021-02-26T20:32:37.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
11,brightshadow964,Tf,2021-02-26T00:31:21.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
12,brightshadow964,Tf,2021-02-26T06:05:13.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
13,tanggying,:(,2021-02-26T12:16:02.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
14,refluxion.jt,😞😞😞,2021-02-26T01:41:21.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
15,princessteddy218sg,🤦‍♀️,2021-02-26T13:33:53.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
16,suu_buzz_bee_,Hoping for happy ending,2021-02-26T03:16:23.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
17,noicehat,And I wish the walker for a speedy recovery ❤️,2021-02-26T12:51:47.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
18,aliahuhh,Wtf,2021-02-26T01:34:32.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
19,tea_noah,😢😢😢😢😢 I hope the dog is in a good condition,2021-02-26T08:24:36.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
20,cancerthecat,Stupid Love,2021-02-26T18:14:28.000Z,https://www.instagram.com/p/CLvDVuzJxmo/,2021-02-26T00:24:17.000Z,"The dog walker, who was hospitalised, was attacked by someone with a semi-automatic handgun. 

Koji and Gustav were taken but Miss Asia got away, and now the singer’s offering a US$500,000 reward for their return. 

Link in bio. #LadyGaga #pets #dogs #Frenchbulldogs #Koji #Gustav #celebrity #music (Photo: Instagram/ladygaga)"
