,username,comments,timestamp,postUrl,pubDate,description
0,christoh_88,👏👏 @prancesynergy,2020-12-30T10:23:34.000Z,https://www.instagram.com/p/CJaIKEBJ4yI/,2020-12-30T04:19:33.000Z,"Senior staff nurse&nbsp;Sarah Lim became the first person in Singapore to receive a&nbsp;COVID-19 vaccination&nbsp;on Wednesday (Dec 30), with more than 30 other healthcare workers&nbsp;at the National Centre for Infectious Diseases also set to receive the jab.

Link in bio for details. #COVID19 #vaccine #Singapore"
1,together_destiny,👏👏👏👏👏👏👏,2020-12-30T11:28:25.000Z,https://www.instagram.com/p/CJaIKEBJ4yI/,2020-12-30T04:19:33.000Z,"Senior staff nurse&nbsp;Sarah Lim became the first person in Singapore to receive a&nbsp;COVID-19 vaccination&nbsp;on Wednesday (Dec 30), with more than 30 other healthcare workers&nbsp;at the National Centre for Infectious Diseases also set to receive the jab.

Link in bio for details. #COVID19 #vaccine #Singapore"
2,coxandrewpeter,👏,2020-12-30T11:42:54.000Z,https://www.instagram.com/p/CJaIKEBJ4yI/,2020-12-30T04:19:33.000Z,"Senior staff nurse&nbsp;Sarah Lim became the first person in Singapore to receive a&nbsp;COVID-19 vaccination&nbsp;on Wednesday (Dec 30), with more than 30 other healthcare workers&nbsp;at the National Centre for Infectious Diseases also set to receive the jab.

Link in bio for details. #COVID19 #vaccine #Singapore"
3,jjacelynong,🙏,2020-12-30T11:58:01.000Z,https://www.instagram.com/p/CJaIKEBJ4yI/,2020-12-30T04:19:33.000Z,"Senior staff nurse&nbsp;Sarah Lim became the first person in Singapore to receive a&nbsp;COVID-19 vaccination&nbsp;on Wednesday (Dec 30), with more than 30 other healthcare workers&nbsp;at the National Centre for Infectious Diseases also set to receive the jab.

Link in bio for details. #COVID19 #vaccine #Singapore"
4,daniel_.waite,Which vaccine are Singapore using?,2020-12-30T12:27:30.000Z,https://www.instagram.com/p/CJaIKEBJ4yI/,2020-12-30T04:19:33.000Z,"Senior staff nurse&nbsp;Sarah Lim became the first person in Singapore to receive a&nbsp;COVID-19 vaccination&nbsp;on Wednesday (Dec 30), with more than 30 other healthcare workers&nbsp;at the National Centre for Infectious Diseases also set to receive the jab.

Link in bio for details. #COVID19 #vaccine #Singapore"
5,a_dyanifelicia,Salut to our frontline heroes 👍,2020-12-30T12:47:56.000Z,https://www.instagram.com/p/CJaIKEBJ4yI/,2020-12-30T04:19:33.000Z,"Senior staff nurse&nbsp;Sarah Lim became the first person in Singapore to receive a&nbsp;COVID-19 vaccination&nbsp;on Wednesday (Dec 30), with more than 30 other healthcare workers&nbsp;at the National Centre for Infectious Diseases also set to receive the jab.

Link in bio for details. #COVID19 #vaccine #Singapore"
6,mikel.junior,Safe or not..her face look uncomfortable,2020-12-30T13:12:36.000Z,https://www.instagram.com/p/CJaIKEBJ4yI/,2020-12-30T04:19:33.000Z,"Senior staff nurse&nbsp;Sarah Lim became the first person in Singapore to receive a&nbsp;COVID-19 vaccination&nbsp;on Wednesday (Dec 30), with more than 30 other healthcare workers&nbsp;at the National Centre for Infectious Diseases also set to receive the jab.

Link in bio for details. #COVID19 #vaccine #Singapore"
7,nicalopicallo,Rlly? Hmm people in NS seemed to have gotten it already. 👁👄👁,2020-12-30T13:15:48.000Z,https://www.instagram.com/p/CJaIKEBJ4yI/,2020-12-30T04:19:33.000Z,"Senior staff nurse&nbsp;Sarah Lim became the first person in Singapore to receive a&nbsp;COVID-19 vaccination&nbsp;on Wednesday (Dec 30), with more than 30 other healthcare workers&nbsp;at the National Centre for Infectious Diseases also set to receive the jab.

Link in bio for details. #COVID19 #vaccine #Singapore"
8,kuncharamesh,Great news 👏,2020-12-30T13:32:34.000Z,https://www.instagram.com/p/CJaIKEBJ4yI/,2020-12-30T04:19:33.000Z,"Senior staff nurse&nbsp;Sarah Lim became the first person in Singapore to receive a&nbsp;COVID-19 vaccination&nbsp;on Wednesday (Dec 30), with more than 30 other healthcare workers&nbsp;at the National Centre for Infectious Diseases also set to receive the jab.

Link in bio for details. #COVID19 #vaccine #Singapore"
9,sataysedapnya,Why give to chinese 1st ah? Malay or Indian cannot ah... Why not give to old people 1st.. No respect eh,2020-12-30T14:09:10.000Z,https://www.instagram.com/p/CJaIKEBJ4yI/,2020-12-30T04:19:33.000Z,"Senior staff nurse&nbsp;Sarah Lim became the first person in Singapore to receive a&nbsp;COVID-19 vaccination&nbsp;on Wednesday (Dec 30), with more than 30 other healthcare workers&nbsp;at the National Centre for Infectious Diseases also set to receive the jab.

Link in bio for details. #COVID19 #vaccine #Singapore"
