,username,comments,timestamp,postUrl,pubDate,description
0,sand_artist_lawrence_koh,Praying for everyone,2021-02-08T08:31:30.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
1,limcheng1819,"I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing.",2021-02-09T02:23:44.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
2,limcheng1819,"At the public toilets, I notice they fewer people now wash their hands with soap, and these include food handlers.",2021-02-09T02:25:54.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
3,limcheng1819,"At the public toilets, I notice that fewer people now wash their hands with soap, they just sprinkle with water after toilet use, and these include food handlers. It’s like the situation on the roads. People don’t care till they notice a traffic police. It’s not our culture to abide by rules.",2021-02-09T02:27:34.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
4,limcheng1819,"Sorry I don’t mean to post repeatedly. The system kept asking me to tab, saying the posting failed to upload.",2021-02-09T02:29:01.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
0,limcheng1819,Maybe also look at Bukit Timah market? Many stall owners not wearing masks and fruit stalls offering food sampling😔,2021-02-06T12:07:13.000Z,https://www.instagram.com/p/CK7ufXzj-lT/,2021-02-06T02:00:50.000Z,"Keep safe this #CNY2021🍊

❤️ Stay home if you can. If heading out, avoid crowded areas and peak hours. 

Let's all be socially responsible and follow safe management measures. 

For more info: go.gov.sg/mse-cny-ig (link in bio)"
1,sivapalanibilo,Also in Sheng Siong's...really crowded...no SMM,2021-02-06T12:48:01.000Z,https://www.instagram.com/p/CK7ufXzj-lT/,2021-02-06T02:00:50.000Z,"Keep safe this #CNY2021🍊

❤️ Stay home if you can. If heading out, avoid crowded areas and peak hours. 

Let's all be socially responsible and follow safe management measures. 

For more info: go.gov.sg/mse-cny-ig (link in bio)"
2,rosita_insa,Lol ain’t nobody gonna follow bruh,2021-02-06T17:00:45.000Z,https://www.instagram.com/p/CK7ufXzj-lT/,2021-02-06T02:00:50.000Z,"Keep safe this #CNY2021🍊

❤️ Stay home if you can. If heading out, avoid crowded areas and peak hours. 

Let's all be socially responsible and follow safe management measures. 

For more info: go.gov.sg/mse-cny-ig (link in bio)"
0,vijjibin,@7ravim,2021-01-29T06:05:00.000Z,https://www.instagram.com/p/CKneijGnU3y/,2021-01-29T05:16:39.000Z,"Here's a tale of a man called Nick, who went to work though he was sick 🤒

If you feel unwell with flu-like symptoms, go to a doctor and stay home afterwards. Do not go to work, do not go to school. Protect yourself and your loved ones ❤️

Tips on keeping COVID-19 safe: https://www.gov.sg/features/how-tos"
1,jjasmineloh,"NO to CB Season 2. Stay alert, vigilant. Wear your mask properly, which means cover both mouth and nose. Clean your hands. Practice social distancing. 🙌 JIA YOU EVERYONE 🙌🙌",2021-01-29T06:25:22.000Z,https://www.instagram.com/p/CKneijGnU3y/,2021-01-29T05:16:39.000Z,"Here's a tale of a man called Nick, who went to work though he was sick 🤒

If you feel unwell with flu-like symptoms, go to a doctor and stay home afterwards. Do not go to work, do not go to school. Protect yourself and your loved ones ❤️

Tips on keeping COVID-19 safe: https://www.gov.sg/features/how-tos"
2,jordanielrantornlips27,"TABLE SHIELD, COUNTER SHIELD AND CABIN SHIELD, FAVE SHIELD TO ALL COUNTERS AND PEOPLE",2021-01-29T07:08:45.000Z,https://www.instagram.com/p/CKneijGnU3y/,2021-01-29T05:16:39.000Z,"Here's a tale of a man called Nick, who went to work though he was sick 🤒

If you feel unwell with flu-like symptoms, go to a doctor and stay home afterwards. Do not go to work, do not go to school. Protect yourself and your loved ones ❤️

Tips on keeping COVID-19 safe: https://www.gov.sg/features/how-tos"
3,_.omidahomie._,Thank You Sg GOV I really appreciate how much you have done to almost make COVID-19  not such a huge part of our lives and so quickly too. Looking forward to complete vaccination.,2021-01-29T10:49:41.000Z,https://www.instagram.com/p/CKneijGnU3y/,2021-01-29T05:16:39.000Z,"Here's a tale of a man called Nick, who went to work though he was sick 🤒

If you feel unwell with flu-like symptoms, go to a doctor and stay home afterwards. Do not go to work, do not go to school. Protect yourself and your loved ones ❤️

Tips on keeping COVID-19 safe: https://www.gov.sg/features/how-tos"
4,iamgiging,👏👏👏,2021-01-29T10:58:44.000Z,https://www.instagram.com/p/CKneijGnU3y/,2021-01-29T05:16:39.000Z,"Here's a tale of a man called Nick, who went to work though he was sick 🤒

If you feel unwell with flu-like symptoms, go to a doctor and stay home afterwards. Do not go to work, do not go to school. Protect yourself and your loved ones ❤️

Tips on keeping COVID-19 safe: https://www.gov.sg/features/how-tos"
