,username,comments,timestamp,postUrl,pubDate,description
0,heizenberg_el_chino,👏👏👏👏👏,2021-02-19T06:30:59.000Z,https://www.instagram.com/p/CLdrZGdhnUM/,2021-02-19T06:27:57.000Z,"Businesses in Singapore will receive support from Budget 2021 to innovate and transform from their operations.

For more information: go.gov.sg/budget21-businesses-ig (link in Bio)"
1,philip_yong2,👏👏👏👏👏,2021-02-19T07:25:59.000Z,https://www.instagram.com/p/CLdrZGdhnUM/,2021-02-19T06:27:57.000Z,"Businesses in Singapore will receive support from Budget 2021 to innovate and transform from their operations.

For more information: go.gov.sg/budget21-businesses-ig (link in Bio)"
0,heizenberg_el_chino,👏👏👏👏😍😍,2021-02-18T03:25:49.000Z,https://www.instagram.com/p/CLarp4NHuzZ/,2021-02-18T02:32:31.000Z,"The Singapore Green Plan, announced by DPM Heng in his Budget 2021 statement, is a long-term plan that aims to secure a green, liveable, and sustainable home for generations of Singaporeans to come. 

For more information: go.gov.sg/budget21-sggreenplan-ig (link in bio)"
0,marialee647,❤️❤️❤️❤️,2021-02-17T06:06:05.000Z,https://www.instagram.com/p/CLYLQ1LBhb4/,2021-02-17T03:11:00.000Z,"Enhancements to the Jobs Support Scheme and SGUnited Jobs &amp; Skills Package were announced by DPM Heng during his Budget 2021 statement yesterday. 

For more information: go.gov.sg/budget21-workers-ig (link in Bio)"
1,nil663808,🙌👏❤️,2021-02-18T12:12:22.000Z,https://www.instagram.com/p/CLYLQ1LBhb4/,2021-02-17T03:11:00.000Z,"Enhancements to the Jobs Support Scheme and SGUnited Jobs &amp; Skills Package were announced by DPM Heng during his Budget 2021 statement yesterday. 

For more information: go.gov.sg/budget21-workers-ig (link in Bio)"
0,jesperlau98,📻📺👂🏻👂🏻👀👀. 👍🏻👍🏻👍🏻,2021-02-17T01:51:19.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17T01:30:27.000Z,"The COVID-19 Resilience Package was announced by DPM Heng during his Budget 2021 statement on 16 Feb 2021 to help address the economic uncertainties brought about by the pandemic. 

For more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
1,marialee647,❤️❤️❤️,2021-02-17T01:53:46.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17T01:30:27.000Z,"The COVID-19 Resilience Package was announced by DPM Heng during his Budget 2021 statement on 16 Feb 2021 to help address the economic uncertainties brought about by the pandemic. 

For more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
2,ahmad_mogamad,❤️,2021-02-17T05:48:53.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17T01:30:27.000Z,"The COVID-19 Resilience Package was announced by DPM Heng during his Budget 2021 statement on 16 Feb 2021 to help address the economic uncertainties brought about by the pandemic. 

For more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
3,katniss.bree,❤️,2021-02-17T16:28:09.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17T01:30:27.000Z,"The COVID-19 Resilience Package was announced by DPM Heng during his Budget 2021 statement on 16 Feb 2021 to help address the economic uncertainties brought about by the pandemic. 

For more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
4,juliana.francis.77715,🥰🥰🥰🥰🥰,2021-02-19T06:38:44.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17T01:30:27.000Z,"The COVID-19 Resilience Package was announced by DPM Heng during his Budget 2021 statement on 16 Feb 2021 to help address the economic uncertainties brought about by the pandemic. 

For more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
0,fs.inspire,👏,2021-02-16T14:35:47.000Z,https://www.instagram.com/p/CLWzQoVHQH6/,2021-02-16T14:22:01.000Z,"At his Budget 2021 Speech on 16 Feb, Deputy Prime Minister Heng Swee Keat announced a $900 million Household Support Package to support families and households. 

For more information: go.gov.sg/budget21-families-ig (link in bio)"
1,philip_yong2,👏👏👏,2021-02-16T15:28:15.000Z,https://www.instagram.com/p/CLWzQoVHQH6/,2021-02-16T14:22:01.000Z,"At his Budget 2021 Speech on 16 Feb, Deputy Prime Minister Heng Swee Keat announced a $900 million Household Support Package to support families and households. 

For more information: go.gov.sg/budget21-families-ig (link in bio)"
2,joycesvillareal,👏👏👏❤️❤️,2021-02-16T20:49:00.000Z,https://www.instagram.com/p/CLWzQoVHQH6/,2021-02-16T14:22:01.000Z,"At his Budget 2021 Speech on 16 Feb, Deputy Prime Minister Heng Swee Keat announced a $900 million Household Support Package to support families and households. 

For more information: go.gov.sg/budget21-families-ig (link in bio)"
0,sand_artist_lawrence_koh,Praying for everyone,2021-02-08T08:31:30.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
