,username,comments,timestamp,postUrl,pubDate,description
0,nomadicmons,Thank you Singapore for keeping us safe 🙏,2020-10-19T09:07:17.000Z,https://www.instagram.com/p/CGggtRXHk9u/,2020-10-19T02:19:58.000Z,"There is no perfect policy, no perfect way of doing things. We can only do our best.

When emotions run high, what matters most is the safety of everyone.

See how public officers, together with NGOs, worked together to care for the wellbeing of migrant workers at the dormitories.

📽️ Catch the As One short films at go.gov.sg/as-one

#AsOneSG"
1,loh.david,This is a good one!,2020-10-20T01:45:08.000Z,https://www.instagram.com/p/CGggtRXHk9u/,2020-10-19T02:19:58.000Z,"There is no perfect policy, no perfect way of doing things. We can only do our best.

When emotions run high, what matters most is the safety of everyone.

See how public officers, together with NGOs, worked together to care for the wellbeing of migrant workers at the dormitories.

📽️ Catch the As One short films at go.gov.sg/as-one

#AsOneSG"
2,francissweett,Salute ! Thank you !,2020-10-20T03:30:47.000Z,https://www.instagram.com/p/CGggtRXHk9u/,2020-10-19T02:19:58.000Z,"There is no perfect policy, no perfect way of doing things. We can only do our best.

When emotions run high, what matters most is the safety of everyone.

See how public officers, together with NGOs, worked together to care for the wellbeing of migrant workers at the dormitories.

📽️ Catch the As One short films at go.gov.sg/as-one

#AsOneSG"
0,sanepic,"Am wondering how government calculate retrenchment as some companies offer under the table agreement? Even if company terminate, if nobody report to MOM, will government aware of it?🙏🏻",2020-09-11T05:04:16.000Z,https://www.instagram.com/p/CE6jNxnnKeA/,2020-09-09T11:54:43.000Z,"1️⃣Though hiring slowed, it did not stop
2️⃣How workers seized new opportunities ⚡
3️⃣Jobs in the tourism sector ⛱️
4️⃣Outreach activities by SG United Jobs and Skills

➡️&nbsp;Read on for more information about&nbsp;Singapore Ministry of Manpower's recent job situation report focusing on workers who were retrenched in the first quarter of 2020.

For jobs and traineeship opportunities in tourism: go.gov.sg/tourism-jobs

To find out more relevant skills:
- go.gov.sg/tourismhotels 
- go.gov.sg/tourismmice"
1,wawa_haddad,Yeah.....,2020-09-12T08:21:33.000Z,https://www.instagram.com/p/CE6jNxnnKeA/,2020-09-09T11:54:43.000Z,"1️⃣Though hiring slowed, it did not stop
2️⃣How workers seized new opportunities ⚡
3️⃣Jobs in the tourism sector ⛱️
4️⃣Outreach activities by SG United Jobs and Skills

➡️&nbsp;Read on for more information about&nbsp;Singapore Ministry of Manpower's recent job situation report focusing on workers who were retrenched in the first quarter of 2020.

For jobs and traineeship opportunities in tourism: go.gov.sg/tourism-jobs

To find out more relevant skills:
- go.gov.sg/tourismhotels 
- go.gov.sg/tourismmice"
0,jesperlau98,"My NDP 2020 is by going out for lunch, buy things & have tea break the home sweet home for evening to watch the NDP show on 📺.",2020-08-13T05:47:34.000Z,https://www.instagram.com/p/CD0Wrdcni7p/,2020-08-13T05:38:20.000Z,"🇸🇬
Rei Ishikawa, 13, and her mother, who is a Singaporean, normally travel back to Singapore to celebrate NDP.
They couldn’t this year – so they brought the celebrations to where they were, in Japan!

🇸🇬
No drones ✅ no kites ✅ Sooraj KK, 28, helped with the air safety operations at Pandan Reservoir, making sure the air was clear for the smooth running of NDP festivities.

🇸🇬
2 home bakers - Dr Iroshini Chua, 44 and her daughter Aiyana Chua, 14, spent 2 days baking these cakes for healthcare workers at Yishun Community Hospital, Tan Tock Seng Hospital and Changi EXPO.

🇸🇬
Volunteers from ItsRainingRaincoats, spent their National Day going around Singapore to show their appreciation for migrant workers by giving them donated funpacks.

❤️ How did you spend your NDP? Share with us in the comments!"
1,starrygreenpipe,Can I know today gt hw many new Covid cases?,2020-08-13T07:31:28.000Z,https://www.instagram.com/p/CD0Wrdcni7p/,2020-08-13T05:38:20.000Z,"🇸🇬
Rei Ishikawa, 13, and her mother, who is a Singaporean, normally travel back to Singapore to celebrate NDP.
They couldn’t this year – so they brought the celebrations to where they were, in Japan!

🇸🇬
No drones ✅ no kites ✅ Sooraj KK, 28, helped with the air safety operations at Pandan Reservoir, making sure the air was clear for the smooth running of NDP festivities.

🇸🇬
2 home bakers - Dr Iroshini Chua, 44 and her daughter Aiyana Chua, 14, spent 2 days baking these cakes for healthcare workers at Yishun Community Hospital, Tan Tock Seng Hospital and Changi EXPO.

🇸🇬
Volunteers from ItsRainingRaincoats, spent their National Day going around Singapore to show their appreciation for migrant workers by giving them donated funpacks.

❤️ How did you spend your NDP? Share with us in the comments!"
2,kawaii_kawaii_dolls,Hey there @gov.sg  don’t mind me asking I tough : Karaoke isn’t supposed to operate and don’t mind me saying why are they still operating,2020-08-16T08:26:47.000Z,https://www.instagram.com/p/CD0Wrdcni7p/,2020-08-13T05:38:20.000Z,"🇸🇬
Rei Ishikawa, 13, and her mother, who is a Singaporean, normally travel back to Singapore to celebrate NDP.
They couldn’t this year – so they brought the celebrations to where they were, in Japan!

🇸🇬
No drones ✅ no kites ✅ Sooraj KK, 28, helped with the air safety operations at Pandan Reservoir, making sure the air was clear for the smooth running of NDP festivities.

🇸🇬
2 home bakers - Dr Iroshini Chua, 44 and her daughter Aiyana Chua, 14, spent 2 days baking these cakes for healthcare workers at Yishun Community Hospital, Tan Tock Seng Hospital and Changi EXPO.

🇸🇬
Volunteers from ItsRainingRaincoats, spent their National Day going around Singapore to show their appreciation for migrant workers by giving them donated funpacks.

❤️ How did you spend your NDP? Share with us in the comments!"
3,wasochist,Can I suggest you guys make the daily covid updates into your highlights so we can keep track of the numbers . Thank u !,2020-08-17T08:06:50.000Z,https://www.instagram.com/p/CD0Wrdcni7p/,2020-08-13T05:38:20.000Z,"🇸🇬
Rei Ishikawa, 13, and her mother, who is a Singaporean, normally travel back to Singapore to celebrate NDP.
They couldn’t this year – so they brought the celebrations to where they were, in Japan!

🇸🇬
No drones ✅ no kites ✅ Sooraj KK, 28, helped with the air safety operations at Pandan Reservoir, making sure the air was clear for the smooth running of NDP festivities.

🇸🇬
2 home bakers - Dr Iroshini Chua, 44 and her daughter Aiyana Chua, 14, spent 2 days baking these cakes for healthcare workers at Yishun Community Hospital, Tan Tock Seng Hospital and Changi EXPO.

🇸🇬
Volunteers from ItsRainingRaincoats, spent their National Day going around Singapore to show their appreciation for migrant workers by giving them donated funpacks.

❤️ How did you spend your NDP? Share with us in the comments!"
4,kawaii_kawaii_dolls,Hey there @gov.sg don’t mind me asking I tough each person can only invite 5 person to their house don’t mind me saying some people are  flunt these rules don’t seem to take them seriously,2020-08-19T01:19:46.000Z,https://www.instagram.com/p/CD0Wrdcni7p/,2020-08-13T05:38:20.000Z,"🇸🇬
Rei Ishikawa, 13, and her mother, who is a Singaporean, normally travel back to Singapore to celebrate NDP.
They couldn’t this year – so they brought the celebrations to where they were, in Japan!

🇸🇬
No drones ✅ no kites ✅ Sooraj KK, 28, helped with the air safety operations at Pandan Reservoir, making sure the air was clear for the smooth running of NDP festivities.

🇸🇬
2 home bakers - Dr Iroshini Chua, 44 and her daughter Aiyana Chua, 14, spent 2 days baking these cakes for healthcare workers at Yishun Community Hospital, Tan Tock Seng Hospital and Changi EXPO.

🇸🇬
Volunteers from ItsRainingRaincoats, spent their National Day going around Singapore to show their appreciation for migrant workers by giving them donated funpacks.

❤️ How did you spend your NDP? Share with us in the comments!"
