Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
5,https://www.instagram.com/p/CLlutjSHTBJ/,"Your Covid-19 questions answered:
 
Does vaccination prevent me from being a COVID-19 virus carrier?
 
#vaccineqnsanswered #vaccinationSG",2,2021-02-22T09:30:53.000Z,gov.sg,2.51462e+18
6,https://www.instagram.com/p/CLeAU5OMCjY/,"Your Covid-19 questions answered:
 
If I suffer from any side effects after getting vaccinated, what should I do?
 
#vaccineqnsanswered #vaccinationSG",2,2021-02-19T09:30:52.000Z,gov.sg,2.51245e+18
13,https://www.instagram.com/p/CLbbiIZDEQ6/,"Your Covid-19 questions answered:
 
Will I get an allergic reaction from the use of vaccines?
 
#vaccineqnsanswered #vaccinationSG",3,2021-02-18T09:30:53.000Z,gov.sg,2.51172e+18
22,https://www.instagram.com/p/CLYLQ1LBhb4/,"Enhancements to the Jobs Support Scheme and SGUnited Jobs &amp; Skills Package were announced by DPM Heng during his Budget 2021 statement yesterday. 

For more information: go.gov.sg/budget21-workers-ig (link in Bio)",2,2021-02-17T03:11:00.000Z,gov.sg,2.51081e+18
31,https://www.instagram.com/p/CLX_wd4pYTP/,"The COVID-19 Resilience Package was announced by DPM Heng during his Budget 2021 statement on 16 Feb 2021 to help address the economic uncertainties brought about by the pandemic. 

For more information: go.gov.sg/budget21-covid19relief-ig (link in bio)",5,2021-02-17T01:30:27.000Z,gov.sg,2.51076e+18
46,https://www.instagram.com/p/CLUAz7eHGbq/,"Wondering what it's like to take your COVID-19 vaccine? Watch nursing student Gerlin take her first dose at Bukit Batok Polyclinic! For more info visit: vaccine.gov.sg 

Song Credit:
vt.tiktok.com/ZSEVvJMd/

#vaccinationsg",14,2021-02-15T12:24:20.000Z,gov.sg,2.50963e+18
47,https://www.instagram.com/p/CLTtIYTMOX8/,"Your Covid-19 questions answered:
 
Why is vaccination not compulsory? 
 
#vaccineqnsanswered #vaccinationSG",40,2021-02-15T09:30:44.000Z,gov.sg,2.50955e+18
48,https://www.instagram.com/p/CLG1KYAgRwU/,"Your Covid-19 questions answered:
 
Do we still need to practise safe management measures after getting vaccinated?
 
#vaccineqnsanswered #vaccinationSG",27,2021-02-10T09:30:47.000Z,gov.sg,2.50592e+18
52,https://www.instagram.com/p/CLETx5al4HZ/,"Your Covid-19 questions answered:

How can the vaccine be safe when it was developed so quickly?

#vaccineqnsanswered #vaccinationSG",10,2021-02-09T10:00:36.000Z,gov.sg,2.50521e+18
53,https://www.instagram.com/p/CLCCjBOnXHC/,"Your Covid-19 questions answered:

Why should we get vaccinated when community cases are low?

#vaccineqnsanswered #vaccinationSG",11,2021-02-08T12:51:33.000Z,gov.sg,2.50458e+18
54,https://www.instagram.com/p/CLBkuTRAL9T/,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)",5,2021-02-08T08:30:56.000Z,gov.sg,2.50444e+18
61,https://www.instagram.com/p/CK79d0WD4n8/,"Mask ☑️, Hand sanitiser ☑️, TraceTogether Token ☑️

You wouldn’t leave home without these daily essentials. Don’t miss out on *essential* updates on COVID-19 and vaccine information from the Gov.sg WhatsApp and Telegram!

📲 Sign up here: go.gov.sg/whatsapp ❇️ go.gov.sg/govsg-telegram 🔷 (Links in Bio)",0,2021-02-06T04:11:48.000Z,gov.sg,2.50286e+18
62,https://www.instagram.com/p/CK78NGmLSVw/,"It has been a year since COVID-19 changed our lives, and we are celebrating Chinese New Year differently this year. Let's celebrate safely, stay united and look out for one another. Steady? 😉",3,2021-02-06T04:01:16.000Z,gov.sg,2.50286e+18
71,https://www.instagram.com/p/CK21XkoH36N/,"The COVID-19 vaccine is especially important for seniors, because COVID-19 can be a very serious and dangerous illness for an older person.
By getting vaccinated, you will protect yourself, your families and your friends.",37,2021-02-04T04:25:38.000Z,gov.sg,2.50142e+18
72,https://www.instagram.com/p/CKu2cdWLVZX/,"1 year of change, 3 stories of hope. Stay tuned to find out how these families adapted to life with COVID-19 and become more than just neighbours.",6,2021-02-01T02:00:26.000Z,gov.sg,2.49917e+18
