,username,comments,timestamp,postUrl,pubDate,description
0,shankar.rajan.1949,"When I went on the appointed date and time to Bishan CC, I was not vaccinated as my medical record shows that I am allergic to the antibiotic tetracycline.The centre says it will contact me in future. Does it mean that I will not be able to travel when all restrictions are lifted as I will not have the vaccination certificate? What to do?",2021-02-22T11:15:16.000Z,https://www.instagram.com/p/CLlutjSHTBJ/,2021-02-22T09:30:53.000Z,"Your Covid-19 questions answered:
 
Does vaccination prevent me from being a COVID-19 virus carrier?
 
#vaccineqnsanswered #vaccinationSG"
1,m_ask.co,"Vax does not prevent you from being a carrier but since it prevents you from getting really sick from it, you will have less symptoms probably even if you do catch it. Less symptoms means less chance of spreading it to others eg. Less mucus discharge etc.",2021-02-22T15:51:03.000Z,https://www.instagram.com/p/CLlutjSHTBJ/,2021-02-22T09:30:53.000Z,"Your Covid-19 questions answered:
 
Does vaccination prevent me from being a COVID-19 virus carrier?
 
#vaccineqnsanswered #vaccinationSG"
0,heizenberg_el_chino,👏👏,2021-02-19T09:31:24.000Z,https://www.instagram.com/p/CLeAU5OMCjY/,2021-02-19T09:30:52.000Z,"Your Covid-19 questions answered:
 
If I suffer from any side effects after getting vaccinated, what should I do?
 
#vaccineqnsanswered #vaccinationSG"
1,maricanzainab,.,2021-02-19T13:45:30.000Z,https://www.instagram.com/p/CLeAU5OMCjY/,2021-02-19T09:30:52.000Z,"Your Covid-19 questions answered:
 
If I suffer from any side effects after getting vaccinated, what should I do?
 
#vaccineqnsanswered #vaccinationSG"
0,studioyoelia,thank you 🙏👍,2021-02-18T10:15:15.000Z,https://www.instagram.com/p/CLbbiIZDEQ6/,2021-02-18T09:30:53.000Z,"Your Covid-19 questions answered:
 
Will I get an allergic reaction from the use of vaccines?
 
#vaccineqnsanswered #vaccinationSG"
1,foramhpandya,"I m SG citizen, when will I get my vaccine?",2021-02-18T13:55:23.000Z,https://www.instagram.com/p/CLbbiIZDEQ6/,2021-02-18T09:30:53.000Z,"Your Covid-19 questions answered:
 
Will I get an allergic reaction from the use of vaccines?
 
#vaccineqnsanswered #vaccinationSG"
2,chongsun1234,how about the 72 year old who got heart attack within 12 hours of the vaccine jab??? pls update,2021-02-19T05:49:15.000Z,https://www.instagram.com/p/CLbbiIZDEQ6/,2021-02-18T09:30:53.000Z,"Your Covid-19 questions answered:
 
Will I get an allergic reaction from the use of vaccines?
 
#vaccineqnsanswered #vaccinationSG"
0,marialee647,❤️❤️❤️❤️,2021-02-17T06:06:05.000Z,https://www.instagram.com/p/CLYLQ1LBhb4/,2021-02-17T03:11:00.000Z,"Enhancements to the Jobs Support Scheme and SGUnited Jobs &amp; Skills Package were announced by DPM Heng during his Budget 2021 statement yesterday. 

For more information: go.gov.sg/budget21-workers-ig (link in Bio)"
1,nil663808,🙌👏❤️,2021-02-18T12:12:22.000Z,https://www.instagram.com/p/CLYLQ1LBhb4/,2021-02-17T03:11:00.000Z,"Enhancements to the Jobs Support Scheme and SGUnited Jobs &amp; Skills Package were announced by DPM Heng during his Budget 2021 statement yesterday. 

For more information: go.gov.sg/budget21-workers-ig (link in Bio)"
0,jesperlau98,📻📺👂🏻👂🏻👀👀. 👍🏻👍🏻👍🏻,2021-02-17T01:51:19.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17T01:30:27.000Z,"The COVID-19 Resilience Package was announced by DPM Heng during his Budget 2021 statement on 16 Feb 2021 to help address the economic uncertainties brought about by the pandemic. 

For more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
