Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
54,https://www.instagram.com/p/CLBkuTRAL9T/,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)",5,2021-02-08T08:30:56.000Z,gov.sg,2.50444e+18
62,https://www.instagram.com/p/CK78NGmLSVw/,"It has been a year since COVID-19 changed our lives, and we are celebrating Chinese New Year differently this year. Let's celebrate safely, stay united and look out for one another. Steady? 😉",3,2021-02-06T04:01:16.000Z,gov.sg,2.50286e+18
63,https://www.instagram.com/p/CK7ufXzj-lT/,"Keep safe this #CNY2021🍊

❤️ Stay home if you can. If heading out, avoid crowded areas and peak hours. 

Let's all be socially responsible and follow safe management measures. 

For more info: go.gov.sg/mse-cny-ig (link in bio)",4,2021-02-06T02:00:50.000Z,gov.sg,2.5028e+18
100,https://www.instagram.com/p/CKWdPdulM_h/,"This #CNY2021, let’s stay safe and stay socially responsible 🍊🍊

For more: go.gov.sg/govsg-cny2021-ig (link in Bio)",1,2021-01-22T14:38:13.000Z,gov.sg,2.49231e+18
261,https://www.instagram.com/p/CIZgeSKnFlj/,"The Gov.sg WhatsApp service now has an in-built infobot! Available in 4 languages, you can use it to access information on the COVID-19 situation in Singapore, safe distancing measures, financial support and more. 

Simply open your Gov.sg WhatsApp chat window and type ""hello"" to get started. 

📱If you haven't subscribed to the Gov.sg WhatsApp service, you can do so at go.gov.sg/WhatsApp (Link in Bio)",5,2020-12-05T02:01:23.000Z,gov.sg,2.45714e+18
359,https://www.instagram.com/p/CHAtHT_nkY1/,"Part of the larger transport and storage sector, the logistics industry saw lower airfreight capacity, a shortage of workers due to border lockdowns, and reduced efficiency due to safe distancing measures during the pandemic 😷

But businesses that could pivot quickly and capture opportunities remained resilient 💪

✅ Here's how.",2,2020-10-31T14:20:31.000Z,gov.sg,2.43214e+18
460,https://www.instagram.com/p/CFvxnKzHcx7/,"Our actions matter, and we are in this together 👨‍👩‍👧‍👧❤️ Be a hero and share this catchy jingle on safe distancing tips with your loved ones 🎵

Whether it is at work 💻, visiting your loved ones 🏠, or heading outdoors 🌴🏃‍♀‍ in this new normal, let's stay COVID-safe for our family and friends!",2,2020-09-30T04:00:39.000Z,gov.sg,2.40936e+18
462,https://www.instagram.com/p/CFqo1JbHrg0/,"🎵 Wonderful people of Singapore, this song is for you! 🎵 Be a hero and share this jingle on safe distancing tips with your loved ones 🎤

Because of you, we can stay COVID-safe when shopping, commuting 🚕 🚌 🚞 and dining out🍴in this new normal.",7,2020-09-28T04:07:45.000Z,gov.sg,2.40792e+18
826,https://www.instagram.com/p/B_rmjgHHjTY/,"With minor adjustments made to the circuit breaker measures from 5th and 12th May onwards, selected services like TCM and hairdressing will resume.
.
More essential businesses will also gradually reopen, if they comply with safe distancing measures.",36,2020-05-02T09:58:19.000Z,gov.sg,2.3001e+18
905,https://www.instagram.com/p/B-qwRmJnbwb/,"Enhanced safe distancing measures have kicked in for workplaces as part of Singapore's ""Circuit Breaker"". Stay home, stay safe and stay healthy everyone! 🇸🇬#SGUnited",5,2020-04-07T05:32:54.000Z,gov.sg,2.28185e+18
910,https://www.instagram.com/p/B-iwAMqnjzD/,"Food and essential supplies will remain available, even when the latest safe distancing measures kick in on 7 April. The Goverment has assured that Singaporeans will still be able to meet their daily needs. #sgunited",5,2020-04-04T02:59:20.000Z,gov.sg,2.2796e+18
918,https://www.instagram.com/p/B-hE_K5nXk0/,💼 💻 What do the new safe distancing measures mean for your workplace?,8,2020-04-03T11:21:12.000Z,gov.sg,2.27912e+18
922,https://www.instagram.com/p/B-XLUwejcnb/,"Singaporeans all over the island cheering our front liners on and showing love in a time of COVID-19.

At a time when we need to ensure safe distancing to protect one another, we are closer and more connected than ever #SGUnited

Thank you to all whose clips have made this video possible 🙏😊",47,2020-03-30T15:04:25.000Z,gov.sg,2.27634e+18
959,https://www.instagram.com/p/B7uLebwAvNn/,祝你🐭年新年快乐万事如意！🍊🍊 Wishing everyone a prosperous year ahead. Happy Chinese New Year!,3,2020-01-24T23:53:50.000Z,gov.sg,2.22877e+18
961,https://www.instagram.com/p/B7YalkcHmb0/,"Family love is life’s greatest blessing.
This Chinese New Year, let’s thank our families for all they’ve done for us.
#CNY2020 #MerdekaGeneration",22,2020-01-16T13:03:48.000Z,gov.sg,2.22264e+18
962,https://www.instagram.com/p/B7I_0pIAvnm/,"A birthmark that bonds. And breaks them apart. 
Stay tuned to find out the story behind this birthmark.

#CNY2020 #MerdekaGeneration",1,2020-01-10T13:20:21.000Z,gov.sg,2.2183e+18
