,username,comments,timestamp,postUrl,pubDate,description
0,sand_artist_lawrence_koh,Praying for everyone,2021-02-08T08:31:30.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
1,limcheng1819,"I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing.",2021-02-09T02:23:44.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
2,limcheng1819,"At the public toilets, I notice they fewer people now wash their hands with soap, and these include food handlers.",2021-02-09T02:25:54.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
3,limcheng1819,"At the public toilets, I notice that fewer people now wash their hands with soap, they just sprinkle with water after toilet use, and these include food handlers. It’s like the situation on the roads. People don’t care till they notice a traffic police. It’s not our culture to abide by rules.",2021-02-09T02:27:34.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
4,limcheng1819,"Sorry I don’t mean to post repeatedly. The system kept asking me to tab, saying the posting failed to upload.",2021-02-09T02:29:01.000Z,https://www.instagram.com/p/CLBkuTRAL9T/,2021-02-08T08:30:56.000Z,"Getting staff to be in the office when they could WFH puts us at risk of COVID-19 community spread. We shouldn't let up on workplace safe management measures. 

As we approach CNY, remember that lohei and CNY meals are not allowed. 

Let's stay vigilant to protect ourselves and re-open our economy safely. 

For more: go.gov.sg-safe-workplace-ig (link in Bio)"
0,ntbzonefestival,@gov.sg ni hao from LOMBOK!,2021-02-06T04:06:34.000Z,https://www.instagram.com/p/CK78NGmLSVw/,2021-02-06T04:01:16.000Z,"It has been a year since COVID-19 changed our lives, and we are celebrating Chinese New Year differently this year. Let's celebrate safely, stay united and look out for one another. Steady? 😉"
1,cibun_evelyn,@kawalcovid19.id let’s kawal Indonesia to a safer CNY 2021 celebration 🙏🏼❤️ @clarissakusumadjaja @nymamandari are we ready 🤩,2021-02-06T10:46:14.000Z,https://www.instagram.com/p/CK78NGmLSVw/,2021-02-06T04:01:16.000Z,"It has been a year since COVID-19 changed our lives, and we are celebrating Chinese New Year differently this year. Let's celebrate safely, stay united and look out for one another. Steady? 😉"
0,limcheng1819,Maybe also look at Bukit Timah market? Many stall owners not wearing masks and fruit stalls offering food sampling😔,2021-02-06T12:07:13.000Z,https://www.instagram.com/p/CK7ufXzj-lT/,2021-02-06T02:00:50.000Z,"Keep safe this #CNY2021🍊

❤️ Stay home if you can. If heading out, avoid crowded areas and peak hours. 

Let's all be socially responsible and follow safe management measures. 

For more info: go.gov.sg/mse-cny-ig (link in bio)"
1,sivapalanibilo,Also in Sheng Siong's...really crowded...no SMM,2021-02-06T12:48:01.000Z,https://www.instagram.com/p/CK7ufXzj-lT/,2021-02-06T02:00:50.000Z,"Keep safe this #CNY2021🍊

❤️ Stay home if you can. If heading out, avoid crowded areas and peak hours. 

Let's all be socially responsible and follow safe management measures. 

For more info: go.gov.sg/mse-cny-ig (link in bio)"
2,rosita_insa,Lol ain’t nobody gonna follow bruh,2021-02-06T17:00:45.000Z,https://www.instagram.com/p/CK7ufXzj-lT/,2021-02-06T02:00:50.000Z,"Keep safe this #CNY2021🍊

❤️ Stay home if you can. If heading out, avoid crowded areas and peak hours. 

Let's all be socially responsible and follow safe management measures. 

For more info: go.gov.sg/mse-cny-ig (link in bio)"
0,philip_yong2,🔥🔥🔥🔥🔥,2021-01-22T17:21:11.000Z,https://www.instagram.com/p/CKWdPdulM_h/,2021-01-22T14:38:13.000Z,"This #CNY2021, let’s stay safe and stay socially responsible 🍊🍊

For more: go.gov.sg/govsg-cny2021-ig (link in Bio)"
0,anitsuj00,Hello,2020-12-05T10:44:20.000Z,https://www.instagram.com/p/CIZgeSKnFlj/,2020-12-05T02:01:23.000Z,"The Gov.sg WhatsApp service now has an in-built infobot! Available in 4 languages, you can use it to access information on the COVID-19 situation in Singapore, safe distancing measures, financial support and more. 

Simply open your Gov.sg WhatsApp chat window and type ""hello"" to get started. 

📱If you haven't subscribed to the Gov.sg WhatsApp service, you can do so at go.gov.sg/WhatsApp (Link in Bio)"
1,ngcecilia,Hello,2020-12-06T10:22:50.000Z,https://www.instagram.com/p/CIZgeSKnFlj/,2020-12-05T02:01:23.000Z,"The Gov.sg WhatsApp service now has an in-built infobot! Available in 4 languages, you can use it to access information on the COVID-19 situation in Singapore, safe distancing measures, financial support and more. 

Simply open your Gov.sg WhatsApp chat window and type ""hello"" to get started. 

📱If you haven't subscribed to the Gov.sg WhatsApp service, you can do so at go.gov.sg/WhatsApp (Link in Bio)"
