Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
5,https://www.instagram.com/p/CLlutjSHTBJ/,"Your Covid-19 questions answered:
 
Does vaccination prevent me from being a COVID-19 virus carrier?
 
#vaccineqnsanswered #vaccinationSG",2,2021-02-22T09:30:53.000Z,gov.sg,2.51462e+18
6,https://www.instagram.com/p/CLeAU5OMCjY/,"Your Covid-19 questions answered:
 
If I suffer from any side effects after getting vaccinated, what should I do?
 
#vaccineqnsanswered #vaccinationSG",2,2021-02-19T09:30:52.000Z,gov.sg,2.51245e+18
13,https://www.instagram.com/p/CLbbiIZDEQ6/,"Your Covid-19 questions answered:
 
Will I get an allergic reaction from the use of vaccines?
 
#vaccineqnsanswered #vaccinationSG",3,2021-02-18T09:30:53.000Z,gov.sg,2.51172e+18
46,https://www.instagram.com/p/CLUAz7eHGbq/,"Wondering what it's like to take your COVID-19 vaccine? Watch nursing student Gerlin take her first dose at Bukit Batok Polyclinic! For more info visit: vaccine.gov.sg 

Song Credit:
vt.tiktok.com/ZSEVvJMd/

#vaccinationsg",14,2021-02-15T12:24:20.000Z,gov.sg,2.50963e+18
47,https://www.instagram.com/p/CLTtIYTMOX8/,"Your Covid-19 questions answered:
 
Why is vaccination not compulsory? 
 
#vaccineqnsanswered #vaccinationSG",40,2021-02-15T09:30:44.000Z,gov.sg,2.50955e+18
48,https://www.instagram.com/p/CLG1KYAgRwU/,"Your Covid-19 questions answered:
 
Do we still need to practise safe management measures after getting vaccinated?
 
#vaccineqnsanswered #vaccinationSG",27,2021-02-10T09:30:47.000Z,gov.sg,2.50592e+18
52,https://www.instagram.com/p/CLETx5al4HZ/,"Your Covid-19 questions answered:

How can the vaccine be safe when it was developed so quickly?

#vaccineqnsanswered #vaccinationSG",10,2021-02-09T10:00:36.000Z,gov.sg,2.50521e+18
53,https://www.instagram.com/p/CLCCjBOnXHC/,"Your Covid-19 questions answered:

Why should we get vaccinated when community cases are low?

#vaccineqnsanswered #vaccinationSG",11,2021-02-08T12:51:33.000Z,gov.sg,2.50458e+18
61,https://www.instagram.com/p/CK79d0WD4n8/,"Mask ☑️, Hand sanitiser ☑️, TraceTogether Token ☑️

You wouldn’t leave home without these daily essentials. Don’t miss out on *essential* updates on COVID-19 and vaccine information from the Gov.sg WhatsApp and Telegram!

📲 Sign up here: go.gov.sg/whatsapp ❇️ go.gov.sg/govsg-telegram 🔷 (Links in Bio)",0,2021-02-06T04:11:48.000Z,gov.sg,2.50286e+18
71,https://www.instagram.com/p/CK21XkoH36N/,"The COVID-19 vaccine is especially important for seniors, because COVID-19 can be a very serious and dangerous illness for an older person.
By getting vaccinated, you will protect yourself, your families and your friends.",37,2021-02-04T04:25:38.000Z,gov.sg,2.50142e+18
95,https://www.instagram.com/p/CKXsAQ6nXaS/,"Vaccinations for seniors will start from 27 Jan at Ang Mo Kio and Tanjong Pagar, and progressively extended to seniors across the island in mid-Feb 👵👴

Protect yourself and your loved ones. Get vaccinated when it is offered to you, and encourage your parents and grandparents to do so too! 🙏🏻

For more: 
- go.gov.sg/govsg-22jan21-ig (link in bio)
- vaccine.gov.sg",16,2021-01-23T02:06:27.000Z,gov.sg,2.49265e+18
129,https://www.instagram.com/p/CJz0TPUHtkV/,"PM received his first dose of COVID-19 vaccination on 8 January 2021. 

You are also strongly encouraged to go for it, when you are notified of your eligibility. Do your part to protect yourself and others.

For more info on the COVID-19 vaccines: go.gov.sg/govsg-vaccines (link in bio)",23,2021-01-09T03:46:30.000Z,gov.sg,2.48256e+18
130,https://www.instagram.com/p/CJzt39lH9Tp/,"With more of us vaccinated, it will be harder for COVID-19 to spread, protecting ourselves as well as our loved ones.

Read more about how the vaccinations are being prioritised: go.gov.sg/govsg-vaccines3 (link in bio)",21,2021-01-09T02:50:08.000Z,gov.sg,2.48253e+18
139,https://www.instagram.com/p/CJxMz0JlPOv/,"All vaccines used in Singapore must comply with @who guidelines and be approved by the Health Sciences Authority. 👩‍🔬👨‍🔬

So when your turn comes, get the COVID-19 vaccine to protect yourself and your loved ones! 👍

For more details: go.gov.sg/govsg-vaccines2-ig (link in Bio)",38,2021-01-08T03:22:44.000Z,gov.sg,2.48182e+18
