,username,comments,timestamp,postUrl,pubDate,description
0,marcus.joshua_,𝙒𝙤𝙬!!! 𝙄 𝙙𝙞𝙙𝙣'𝙩 𝙠𝙣𝙤𝙬 𝙖𝙣𝙮𝙩𝙝𝙞𝙣𝙜 𝙖𝙗𝙤𝙪𝙩 𝙨𝙚𝙘𝙪𝙧𝙚𝙛𝙭 𝙞𝙣𝙫𝙚𝙨𝙩𝙢𝙚𝙣𝙩 𝙘𝙤𝙢𝙥𝙖𝙣𝙮 𝙪𝙣𝙩𝙞𝙡 𝙄 𝙘𝙖𝙢𝙚 𝙖𝙘𝙧𝙤𝙨𝙨 @educator_jayden_fx 𝙬𝙝𝙤 𝙩𝙖𝙪𝙜𝙝𝙩 𝙢𝙚 𝙝𝙤𝙬 𝙩𝙤 𝙩𝙧𝙖𝙙𝙚. 𝙄 𝙨𝙩𝙖𝙧𝙩𝙚𝙙 𝙬𝙞𝙩𝙝 $700 𝙖𝙣𝙙 𝙬𝙖𝙨 𝙨𝙝𝙤𝙘𝙠𝙚𝙙 𝙩𝙤 𝙨𝙚𝙚 $4750 𝙞𝙣 𝙖 𝙬𝙚𝙚𝙠. 𝙄 𝙟𝙪𝙨𝙩 𝙘𝙖𝙣'𝙩 𝙝𝙚𝙡𝙥 𝙞𝙩 𝙬𝙞𝙩𝙝 𝙩𝙝𝙚 𝙟𝙤𝙮 𝙞𝙣 𝙢𝙮 𝙝𝙚𝙖𝙧𝙩. 𝙏𝙝𝙞𝙨 𝙞𝙨 𝙢𝙮 𝙡𝙞𝙩𝙩𝙡𝙚 𝙬𝙖𝙮 𝙩𝙤 𝙨𝙝𝙤𝙬 @educator_jayden_fx 𝙖𝙥𝙥𝙧𝙚𝙘𝙞𝙖𝙩𝙞𝙤𝙣 𝙗𝙮 𝙢𝙖𝙠𝙞𝙣𝙜  𝙝𝙞𝙢 𝙠𝙣𝙤𝙬𝙣 𝙩𝙤 𝙚𝙫𝙚𝙧𝙮𝙤𝙣𝙚 𝙬𝙝𝙤 𝙞𝙨 𝙞𝙣𝙩𝙚𝙧𝙚𝙨𝙩𝙚𝙙,2021-02-22T06:31:32.000Z,https://www.instagram.com/p/CLlaHmWnVMU/,2021-02-22T06:30:56.000Z,"Was greeted by the Bowen Bear when I arrived at @bowensec_official last Friday. It’s holding a heart, which speaks to the culture of care that the school focuses on. Since last year, Bowen has put in place a school-wide buddy system where some students take on the role of peer support leaders (PSLs) to help support their fellow students. These PSLs undergo training and are themselves supported by teachers who help guide them and navigate issues that may be quite complex. Peer support and relationships are an important part of CCE 2021, to build a caring and enabling school environment.

It was good to hear from some of the PSLs, who shared their experiences with me. They told me there was some social awkwardness when school reopened after the Circuit Breaker. For some, there was a more long lasting impact. Sec 4 PSL Kai Bin noticed that a classmate was having trouble focusing in class, often falling asleep and not submitting work. He requested for his form teacher to seat him next to this classmate so he could help his classmate along. Kai Bin rounded off his sharing with some good insight – he said that while his classmate eventually did well for the end of year exams, more importantly, his classmate developed a more positive mindset about learning and coming to school. I couldn’t agree more. 

Glad to see students stepping forward to do their part for their school community and fellow students! #backtoschool"
1,whosighknee,@bowen_choo,2021-02-22T07:43:10.000Z,https://www.instagram.com/p/CLlaHmWnVMU/,2021-02-22T06:30:56.000Z,"Was greeted by the Bowen Bear when I arrived at @bowensec_official last Friday. It’s holding a heart, which speaks to the culture of care that the school focuses on. Since last year, Bowen has put in place a school-wide buddy system where some students take on the role of peer support leaders (PSLs) to help support their fellow students. These PSLs undergo training and are themselves supported by teachers who help guide them and navigate issues that may be quite complex. Peer support and relationships are an important part of CCE 2021, to build a caring and enabling school environment.

It was good to hear from some of the PSLs, who shared their experiences with me. They told me there was some social awkwardness when school reopened after the Circuit Breaker. For some, there was a more long lasting impact. Sec 4 PSL Kai Bin noticed that a classmate was having trouble focusing in class, often falling asleep and not submitting work. He requested for his form teacher to seat him next to this classmate so he could help his classmate along. Kai Bin rounded off his sharing with some good insight – he said that while his classmate eventually did well for the end of year exams, more importantly, his classmate developed a more positive mindset about learning and coming to school. I couldn’t agree more. 

Glad to see students stepping forward to do their part for their school community and fellow students! #backtoschool"
2,kimliroaduterte,❤️😍,2021-02-22T07:50:14.000Z,https://www.instagram.com/p/CLlaHmWnVMU/,2021-02-22T06:30:56.000Z,"Was greeted by the Bowen Bear when I arrived at @bowensec_official last Friday. It’s holding a heart, which speaks to the culture of care that the school focuses on. Since last year, Bowen has put in place a school-wide buddy system where some students take on the role of peer support leaders (PSLs) to help support their fellow students. These PSLs undergo training and are themselves supported by teachers who help guide them and navigate issues that may be quite complex. Peer support and relationships are an important part of CCE 2021, to build a caring and enabling school environment.

It was good to hear from some of the PSLs, who shared their experiences with me. They told me there was some social awkwardness when school reopened after the Circuit Breaker. For some, there was a more long lasting impact. Sec 4 PSL Kai Bin noticed that a classmate was having trouble focusing in class, often falling asleep and not submitting work. He requested for his form teacher to seat him next to this classmate so he could help his classmate along. Kai Bin rounded off his sharing with some good insight – he said that while his classmate eventually did well for the end of year exams, more importantly, his classmate developed a more positive mindset about learning and coming to school. I couldn’t agree more. 

Glad to see students stepping forward to do their part for their school community and fellow students! #backtoschool"
3,bevtham_,MY ALMA MATER!!,2021-02-22T07:55:42.000Z,https://www.instagram.com/p/CLlaHmWnVMU/,2021-02-22T06:30:56.000Z,"Was greeted by the Bowen Bear when I arrived at @bowensec_official last Friday. It’s holding a heart, which speaks to the culture of care that the school focuses on. Since last year, Bowen has put in place a school-wide buddy system where some students take on the role of peer support leaders (PSLs) to help support their fellow students. These PSLs undergo training and are themselves supported by teachers who help guide them and navigate issues that may be quite complex. Peer support and relationships are an important part of CCE 2021, to build a caring and enabling school environment.

It was good to hear from some of the PSLs, who shared their experiences with me. They told me there was some social awkwardness when school reopened after the Circuit Breaker. For some, there was a more long lasting impact. Sec 4 PSL Kai Bin noticed that a classmate was having trouble focusing in class, often falling asleep and not submitting work. He requested for his form teacher to seat him next to this classmate so he could help his classmate along. Kai Bin rounded off his sharing with some good insight – he said that while his classmate eventually did well for the end of year exams, more importantly, his classmate developed a more positive mindset about learning and coming to school. I couldn’t agree more. 

Glad to see students stepping forward to do their part for their school community and fellow students! #backtoschool"
4,youchoong,SG 🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌********,2021-02-22T09:16:29.000Z,https://www.instagram.com/p/CLlaHmWnVMU/,2021-02-22T06:30:56.000Z,"Was greeted by the Bowen Bear when I arrived at @bowensec_official last Friday. It’s holding a heart, which speaks to the culture of care that the school focuses on. Since last year, Bowen has put in place a school-wide buddy system where some students take on the role of peer support leaders (PSLs) to help support their fellow students. These PSLs undergo training and are themselves supported by teachers who help guide them and navigate issues that may be quite complex. Peer support and relationships are an important part of CCE 2021, to build a caring and enabling school environment.

It was good to hear from some of the PSLs, who shared their experiences with me. They told me there was some social awkwardness when school reopened after the Circuit Breaker. For some, there was a more long lasting impact. Sec 4 PSL Kai Bin noticed that a classmate was having trouble focusing in class, often falling asleep and not submitting work. He requested for his form teacher to seat him next to this classmate so he could help his classmate along. Kai Bin rounded off his sharing with some good insight – he said that while his classmate eventually did well for the end of year exams, more importantly, his classmate developed a more positive mindset about learning and coming to school. I couldn’t agree more. 

Glad to see students stepping forward to do their part for their school community and fellow students! #backtoschool"
0,vitagenqueen,You are doing a good job 😊,2020-10-29T09:27:23.000Z,https://www.instagram.com/p/CG7BhDMHoY-/,2020-10-29T09:22:17.000Z,"A very lively atmosphere greeted me at Tampines North Primary yesterday. Thank you for the warm welcome #backtoschool! 

Met some P5 and 6 students who shared their #CircuitBreaker experience with me. They didn’t like it and much preferred going to school. But they also learnt to make the most of the situation. Some picked up new skills, while others helped out with household chores. They spent more time with family members and learnt to appreciate the important things in life. They showed adaptability and resilience and these are the traits that will put them in good stead for the future. Very proud of our young ones!"
1,joey_.lim,LMAO @mxrshyy_,2020-10-29T11:09:26.000Z,https://www.instagram.com/p/CG7BhDMHoY-/,2020-10-29T09:22:17.000Z,"A very lively atmosphere greeted me at Tampines North Primary yesterday. Thank you for the warm welcome #backtoschool! 

Met some P5 and 6 students who shared their #CircuitBreaker experience with me. They didn’t like it and much preferred going to school. But they also learnt to make the most of the situation. Some picked up new skills, while others helped out with household chores. They spent more time with family members and learnt to appreciate the important things in life. They showed adaptability and resilience and these are the traits that will put them in good stead for the future. Very proud of our young ones!"
2,itmeverayeojianxuan,Can you come to Marsilling primary school please 🥺,2020-10-29T11:21:12.000Z,https://www.instagram.com/p/CG7BhDMHoY-/,2020-10-29T09:22:17.000Z,"A very lively atmosphere greeted me at Tampines North Primary yesterday. Thank you for the warm welcome #backtoschool! 

Met some P5 and 6 students who shared their #CircuitBreaker experience with me. They didn’t like it and much preferred going to school. But they also learnt to make the most of the situation. Some picked up new skills, while others helped out with household chores. They spent more time with family members and learnt to appreciate the important things in life. They showed adaptability and resilience and these are the traits that will put them in good stead for the future. Very proud of our young ones!"
3,kateheartz44,❤️❤️,2020-10-30T00:17:36.000Z,https://www.instagram.com/p/CG7BhDMHoY-/,2020-10-29T09:22:17.000Z,"A very lively atmosphere greeted me at Tampines North Primary yesterday. Thank you for the warm welcome #backtoschool! 

Met some P5 and 6 students who shared their #CircuitBreaker experience with me. They didn’t like it and much preferred going to school. But they also learnt to make the most of the situation. Some picked up new skills, while others helped out with household chores. They spent more time with family members and learnt to appreciate the important things in life. They showed adaptability and resilience and these are the traits that will put them in good stead for the future. Very proud of our young ones!"
4,choykokkee,Nurturing the seeds of future governance.,2020-10-30T00:21:51.000Z,https://www.instagram.com/p/CG7BhDMHoY-/,2020-10-29T09:22:17.000Z,"A very lively atmosphere greeted me at Tampines North Primary yesterday. Thank you for the warm welcome #backtoschool! 

Met some P5 and 6 students who shared their #CircuitBreaker experience with me. They didn’t like it and much preferred going to school. But they also learnt to make the most of the situation. Some picked up new skills, while others helped out with household chores. They spent more time with family members and learnt to appreciate the important things in life. They showed adaptability and resilience and these are the traits that will put them in good stead for the future. Very proud of our young ones!"
