,username,comments,timestamp,postUrl,pubDate,description
0,kimliroaduterte,❤️😍,2021-02-19T14:52:44.000Z,https://www.instagram.com/p/CLegdkGnXC8/,2021-02-19T14:11:41.000Z,"Visited the vaccination centre at Jalan Besar CC today with Minister @gankimyong. We will be commencing vaccinations for seniors above 70 years old from next Monday, and more vaccination centres will also be opened progressively for the convenience of all. 

Our vaccination efforts have been going well so far. About 250,000 people have received at least one dose of the vaccine. We are now getting supplies from both Pfizer and Moderna. Based on the expected supply schedule, another 1 million people should be able to get at least one dose of the vaccine by around end-March/early-April. This will cover all seniors above 60. 

Do encourage your seniors at home to get vaccinated when their turn comes, for their protection and safety."
1,lawrencemstan,How about Singaporean oversea?Will we able to get vaccination at the country singapore embassy?,2021-02-20T03:24:21.000Z,https://www.instagram.com/p/CLegdkGnXC8/,2021-02-19T14:11:41.000Z,"Visited the vaccination centre at Jalan Besar CC today with Minister @gankimyong. We will be commencing vaccinations for seniors above 70 years old from next Monday, and more vaccination centres will also be opened progressively for the convenience of all. 

Our vaccination efforts have been going well so far. About 250,000 people have received at least one dose of the vaccine. We are now getting supplies from both Pfizer and Moderna. Based on the expected supply schedule, another 1 million people should be able to get at least one dose of the vaccine by around end-March/early-April. This will cover all seniors above 60. 

Do encourage your seniors at home to get vaccinated when their turn comes, for their protection and safety."
2,andyng6650,😍,2021-02-22T03:11:37.000Z,https://www.instagram.com/p/CLegdkGnXC8/,2021-02-19T14:11:41.000Z,"Visited the vaccination centre at Jalan Besar CC today with Minister @gankimyong. We will be commencing vaccinations for seniors above 70 years old from next Monday, and more vaccination centres will also be opened progressively for the convenience of all. 

Our vaccination efforts have been going well so far. About 250,000 people have received at least one dose of the vaccine. We are now getting supplies from both Pfizer and Moderna. Based on the expected supply schedule, another 1 million people should be able to get at least one dose of the vaccine by around end-March/early-April. This will cover all seniors above 60. 

Do encourage your seniors at home to get vaccinated when their turn comes, for their protection and safety."
3,tancheaheang,Then about 50 year old to 60 year old.When receive the COVID-19 vaccine of the both Pfizer and Moderna?,2021-02-22T04:55:17.000Z,https://www.instagram.com/p/CLegdkGnXC8/,2021-02-19T14:11:41.000Z,"Visited the vaccination centre at Jalan Besar CC today with Minister @gankimyong. We will be commencing vaccinations for seniors above 70 years old from next Monday, and more vaccination centres will also be opened progressively for the convenience of all. 

Our vaccination efforts have been going well so far. About 250,000 people have received at least one dose of the vaccine. We are now getting supplies from both Pfizer and Moderna. Based on the expected supply schedule, another 1 million people should be able to get at least one dose of the vaccine by around end-March/early-April. This will cover all seniors above 60. 

Do encourage your seniors at home to get vaccinated when their turn comes, for their protection and safety."
0,terence.sim.kj,❤️,2021-02-17T15:34:08.000Z,https://www.instagram.com/p/CLY91sSHdxZ/,2021-02-17T10:32:56.000Z,"Good news! We received our first shipment of Moderna vaccines this afternoon. This follows another batch of Pfizer-BioNTech vaccines that arrived this morning. These shipments will enable us to progressively roll out our vaccination programme, with vaccination for seniors in the community set to begin later next week.
 
We expect more vaccines from both Moderna and Pfizer-BioNTech to arrive over the coming months. We will continue to monitor our supplies closely, to meet our target of vaccinating all Singaporeans and long-term residents by the end of this year.

📷: MCI"
1,laksa_144,🙌🙌🙌❤️❤️❤️👏👏👏,2021-02-17T10:54:05.000Z,https://www.instagram.com/p/CLY91sSHdxZ/,2021-02-17T10:32:56.000Z,"Good news! We received our first shipment of Moderna vaccines this afternoon. This follows another batch of Pfizer-BioNTech vaccines that arrived this morning. These shipments will enable us to progressively roll out our vaccination programme, with vaccination for seniors in the community set to begin later next week.
 
We expect more vaccines from both Moderna and Pfizer-BioNTech to arrive over the coming months. We will continue to monitor our supplies closely, to meet our target of vaccinating all Singaporeans and long-term residents by the end of this year.

📷: MCI"
2,waltermittykoh,言出必行的政府,2021-02-17T11:37:02.000Z,https://www.instagram.com/p/CLY91sSHdxZ/,2021-02-17T10:32:56.000Z,"Good news! We received our first shipment of Moderna vaccines this afternoon. This follows another batch of Pfizer-BioNTech vaccines that arrived this morning. These shipments will enable us to progressively roll out our vaccination programme, with vaccination for seniors in the community set to begin later next week.
 
We expect more vaccines from both Moderna and Pfizer-BioNTech to arrive over the coming months. We will continue to monitor our supplies closely, to meet our target of vaccinating all Singaporeans and long-term residents by the end of this year.

📷: MCI"
3,lynnlim9,👏👏,2021-02-17T10:42:28.000Z,https://www.instagram.com/p/CLY91sSHdxZ/,2021-02-17T10:32:56.000Z,"Good news! We received our first shipment of Moderna vaccines this afternoon. This follows another batch of Pfizer-BioNTech vaccines that arrived this morning. These shipments will enable us to progressively roll out our vaccination programme, with vaccination for seniors in the community set to begin later next week.
 
We expect more vaccines from both Moderna and Pfizer-BioNTech to arrive over the coming months. We will continue to monitor our supplies closely, to meet our target of vaccinating all Singaporeans and long-term residents by the end of this year.

📷: MCI"
4,dr_foo_son,wish to get it asap. We should only accept high efficacy vaccines like Moderna and Pfizer.,2021-02-17T11:08:10.000Z,https://www.instagram.com/p/CLY91sSHdxZ/,2021-02-17T10:32:56.000Z,"Good news! We received our first shipment of Moderna vaccines this afternoon. This follows another batch of Pfizer-BioNTech vaccines that arrived this morning. These shipments will enable us to progressively roll out our vaccination programme, with vaccination for seniors in the community set to begin later next week.
 
We expect more vaccines from both Moderna and Pfizer-BioNTech to arrive over the coming months. We will continue to monitor our supplies closely, to meet our target of vaccinating all Singaporeans and long-term residents by the end of this year.

📷: MCI"
5,cindylim1156,👏👏👏👏👏❤️,2021-02-17T13:34:17.000Z,https://www.instagram.com/p/CLY91sSHdxZ/,2021-02-17T10:32:56.000Z,"Good news! We received our first shipment of Moderna vaccines this afternoon. This follows another batch of Pfizer-BioNTech vaccines that arrived this morning. These shipments will enable us to progressively roll out our vaccination programme, with vaccination for seniors in the community set to begin later next week.
 
We expect more vaccines from both Moderna and Pfizer-BioNTech to arrive over the coming months. We will continue to monitor our supplies closely, to meet our target of vaccinating all Singaporeans and long-term residents by the end of this year.

📷: MCI"
