postUrl,description,commentCount,pubDate,username,postId
https://www.instagram.com/p/CJqIaq1LmKG/,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)",123,2021-01-05T09:29:40.000Z,leehsienloong,2479831561888752262
https://www.instagram.com/p/CI7HW4UAOk4/,"Today is International Migrants Day, an apt reminder to thank migrant workers for their contributions to our nation. You have endured a difficult period. As we enter Phase 3, more restrictions will be eased, and workers will be able to enjoy more communal activities. Workers will also be offered the vaccine, with more details to be announced.
⠀⠀⠀⠀⠀⠀⠀
We will continue to care for our migrant workers, just as we care for Singaporeans. Let us continue to work together to keep one another safe. – LHL⠀⠀⠀⠀⠀⠀⠀",124,2020-12-18T03:16:36.000Z,leehsienloong,2466597579534690616
https://www.instagram.com/p/CI3Jo8Drphr/,"Great news – Singapore Hawker Culture has been inscribed on the @unesco Representative List of Intangible Cultural Heritage of Humanity!
⠀⠀⠀⠀⠀⠀⠀
Many have worked hard to get our Hawker Culture inscribed on that list. Thank you for your hard work over the years – it has been a long but fruitful journey.
⠀⠀⠀⠀⠀⠀⠀
But the biggest thanks must go out to the generations of hawkers for nourishing a nation’s stomach and spirits. This momentous achievement would not have been possible without their sweat, toil and dedication to their profession. Why not celebrate by ordering your favourite hawker dishes this week? – LHL
⠀⠀⠀⠀⠀⠀⠀
#OurHawkerCulture #ThankYouHawkers
⠀⠀⠀⠀⠀⠀⠀
(Photos by me)⠀⠀⠀⠀⠀⠀⠀",178,2020-12-16T14:19:05.000Z,leehsienloong,2465481716692588651
https://www.instagram.com/p/CHg-4O_rC4-/,"Today is World Kindness Day. If there’s a silver lining to the pandemic, it is how it has inspired so many of us to step forward to help one other through these tough times. Frontline workers, migrant workers, friends in need, and kindly strangers, through acts of kindness big and small, have shown that the kampung spirit in Singapore is alive and well, even when we’re socially distanced.⠀
⠀
The National Volunteer & Philanthropy Centre (@cityofgoodsg) will be holding their annual @givingweeksg in December. It will offer many opportunities to help those in need. ⠀
⠀
With Deepavali just around the corner, we can continue to help spread light in our communities. Whether donating to a charity on giving.sg, thanking your food delivery person, or just reaching out to a friend to find out how they’re doing, let’s all continue to be kind together, and show that #SGCares. – LHL",59,2020-11-13T03:10:22.000Z,leehsienloong,2441227541309828670
https://www.instagram.com/p/CGYyNq8g8QE/,"Today, we held a virtual Public Service Observance Ceremony. In my message, I thanked public officers for their dedication and efforts during this crisis. Many dealt with situations out of their comfort zone – serving on the frontlines, in hospitals, migrant workers’ dormitories, and at the border. Others worked long hours from offices and homes, to come up with solutions to the disruptions caused by the pandemic, from schools to businesses, travel and our vulnerable groups.⠀
⠀
There were inevitably shortcomings to our COVID-19 response. We will learn from them, improve our processes and do better. But as we adjusted and strengthened our responses to the pandemic, our officers rose to the occasion, and pulled together as one public service.⠀
⠀
I hope you will join me in saluting our public officers. Without them, we wouldn’t have got thus far. The fight is not over, the battle is far from won. But together, we will overcome. – LHL⠀
 ⠀
(PMO Video by Alex Qiu)⠀
⠀
@psdsingapore",101,2020-10-16T02:14:55.000Z,leehsienloong,2420905641502819332
https://www.instagram.com/p/CFHTTl5Mfqf/,"Met the team from the Assurance, Care and Engagement (ACE) Group today. The ACE Group is a new division in the Ministry of Manpower. It takes over from the Inter-agency Task Force (ITF), which has been doing COVID-19 operations in the migrant worker dormitories since April.⠀
 ⠀
I am grateful to the ACE and ITF teams for their hard work. They have been testing our migrant workers, plus delivering meals, providing medical care, keeping them safe and finally bringing the dorm outbreak well under control. It has been an enormous task, on a scale beyond what most Singaporeans are aware of.⠀
 ⠀
We are now transitioning to a more permanent arrangement with ACE. The migrant workers are returning to work. We have to ensure that they can work safely, live safely, and rest safely, to prevent COVID-19 from coming back. We need support from employers, dorm operators, management, and non-government organisations. We also ask for the understanding of the migrant workers themselves, as we strive to keep them safe and well.⠀
⠀
Thank you all once again for the good work! – LHL⠀
⠀
(MCI Photo by Lee Jia Wen)",75,2020-09-14T10:45:49.000Z,leehsienloong,2397970235839871647
https://www.instagram.com/p/CEHLMTQsx3y/,"Welcomed another foreign visitor to the Istana today. Despite the ongoing pandemic, it’s a good feeling to return to some semblance of normalcy.
 
Had a fruitful meeting with Communist Party of China Politburo member and Central Commission for Foreign Affairs Office Director Yang Jiechi. As you would expect, we discussed our respective COVID-19 situations. Despite the pandemic, both sides have kept up contacts through phone and video calls. Singapore and China had earlier agreed on a “fast lane” for essential business and official travel between both countries. At the moment this covers six Chinese provinces and municipalities, and hopefully this list will grow if the situation stays under control.

This year marks the 30th anniversary of Singapore-China diplomatic relations. Our ties with China are substantial and multi-faceted. I am confident that by working with each other and with the international community, we can make more progress in the post-COVID world. – LHL
 
(MCI Photo by Lee Jia Wen)",60,2020-08-20T13:03:32.000Z,leehsienloong,2379920151915208178
https://www.instagram.com/p/CCGEB65no2C/,"Today is SAF Day.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Our soldiers have played an active part in the fight against COVID-19, from contact tracing to health surveillance, managing quarantine facilities, and taking care of the migrant worker dormitories. They may not have trained specifically for these tasks, but their mission remains unchanged — to protect and safeguard the interests of Singapore and Singaporeans.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Our SAF must remain strong and vigilant, especially as we head into an uncertain future. I am deeply grateful to all the men and women of the SAF, and their families, for their steadfast dedication and service to our nation. – LHL
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#HormatSAF",29,2020-07-01T09:42:42.000Z,leehsienloong,2343578380242161026
https://www.instagram.com/p/CCDjO5znrNf/,"Dear AMK voters,

Thank you for supporting me and my team all these years. Singapore is at a critical moment, fighting COVID-19. Please vote PAP, to secure our lives, our jobs, our future. Thank you!

– LHL

#GE2020
#OurLivesOurJobsOurFuture",418,2020-06-30T10:14:47.000Z,leehsienloong,2342871186932675423
https://www.instagram.com/p/CB7YzffH-02/,"This morning, the @papsingapore launched our GE 2020 Manifesto — Our Lives, Our Jobs, Our Future.
⠀⠀⠀⠀⠀⠀⠀
This is not a normal election because we are not living in normal times. The central focus of this Manifesto is how we will work together to overcome the crisis of a generation.
⠀⠀⠀⠀⠀⠀⠀
- How to keep Singaporeans and our migrant workers safe and prevent COVID-19 from overwhelming our healthcare system.
⠀⠀⠀⠀⠀⠀⠀
- How to restart and transform the economy, save jobs and businesses, and reskill workers.
⠀⠀⠀⠀⠀⠀⠀
- How to provide one another care and support, so that together we can keep ourselves safe amidst the uncertainties ahead.
⠀⠀⠀⠀⠀⠀⠀
Beyond COVID-19, this Manifesto also sets out the PAP’s longer-term plans to build a better Singapore, beyond the next 5-year term of government — 10, 20 years down the road.
⠀⠀⠀⠀⠀⠀⠀
Singaporeans can rely on the PAP government. What the PAP promises, it delivers.
⠀⠀⠀⠀⠀⠀⠀
We need a strong and capable leadership team, with the full support of all Singaporeans, to put our Manifesto into action. That is the way to secure our lives, our jobs, and the Future of Singapore.
⠀⠀⠀⠀⠀⠀⠀
You can watch my address here on the PAP YouTube channel: www.youtube.com/PeopleActionPartyHQ ⠀⠀⠀⠀⠀⠀⠀
– LHL",124,2020-06-27T06:08:48.000Z,leehsienloong,2340573522966867254
