,username,comments,timestamp,postUrl,pubDate,description
0,vjsdpl,RIP to Sir Encik Mahmud,2021-01-05T09:42:06.000Z,https://www.instagram.com/p/CJqIaq1LmKG/,2021-01-05T09:29:40.000Z,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)"
1,bkbabalauu,"My Deepest Condolences, may God give peace to the soul 😣",2021-01-05T09:40:44.000Z,https://www.instagram.com/p/CJqIaq1LmKG/,2021-01-05T09:29:40.000Z,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)"
2,ileesumin,"I see ok, thank you PM Lee for the explanation 😇",2021-01-05T09:35:16.000Z,https://www.instagram.com/p/CJqIaq1LmKG/,2021-01-05T09:29:40.000Z,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)"
3,sand_artist_lawrence_koh,Rip.. 🌹🌹🌹,2021-01-05T09:40:46.000Z,https://www.instagram.com/p/CJqIaq1LmKG/,2021-01-05T09:29:40.000Z,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)"
4,imbarrykam,"The time where our first generation of leaders are slowing leaving us due to old age is inching closer and closer. I really hope that all Singaporeans, young and old, will learn and know how to cherish and appreciate what we have today. Do not lose sight of where and how we came to what we are today.",2021-01-05T12:55:08.000Z,https://www.instagram.com/p/CJqIaq1LmKG/,2021-01-05T09:29:40.000Z,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)"
5,itmeverayeojianxuan,I miss mr Lee Kuan Yew:(😭,2021-01-05T09:31:06.000Z,https://www.instagram.com/p/CJqIaq1LmKG/,2021-01-05T09:29:40.000Z,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)"
6,lourdes.manzano.144,Al - FATIHAH,2021-01-05T16:14:11.000Z,https://www.instagram.com/p/CJqIaq1LmKG/,2021-01-05T09:29:40.000Z,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)"
7,crazy_eternity,RIP,2021-01-05T10:18:51.000Z,https://www.instagram.com/p/CJqIaq1LmKG/,2021-01-05T09:29:40.000Z,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)"
8,m.raihan_1500,"😔😔 May Encik Mahmud rest in piece, to all my muslim friends Al-fatihah",2021-01-05T13:29:23.000Z,https://www.instagram.com/p/CJqIaq1LmKG/,2021-01-05T09:29:40.000Z,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)"
9,_ki_y.w_,RIP,2021-01-05T09:33:15.000Z,https://www.instagram.com/p/CJqIaq1LmKG/,2021-01-05T09:29:40.000Z,"Deeply saddened to learn of the passing of Encik Mahmud Awang on Monday. He was one of Singapore’s founding leaders.

A widely respected unionist, Encik Mahmud first got involved in union work when he joined the Singapore Traction Company (STC) as a bus conductor. He became close friends with Mr Ahmad Ibrahim, Mr Devan Nair and Mr Lee Kuan Yew, and won the support of many unions.

Encik Mahmud was elected to the Legislative Assembly in the 1963 General Election, and subsequently to the Parliament of newly independent Singapore. In the years when Singapore was in Malaysia, Malay PAP leaders, including Encik Mahmud, Othman Wok, Rahim Ishak, and others, came under enormous pressure by UMNO politicians to choose race over nation. But Encik Mahmud and his comrades held firm in their conviction. Their courage and leadership kept alive the vision of a multiracial Singapore, and enabled it to become the reality today.
 
Mr Lee was forever grateful for Encik Mahmud’s stout-hearted support at this critical moment in our history, and they kept in touch. At Mr Lee’s state funeral, Encik Mahmud was one of the pallbearers.
 
Encik Mahmud may have left us, but his legacy will live on. My thoughts are with his family in this time of loss. – LHL

(Encik Mahmud Awang (extreme left), a pallbearer at Mr Lee Kuan Yew’s funeral in 2015. / MCI Photo by LH Goh)"
